date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,333.56,333.98,318.60,321.30,20369152,-10.14,-3.06%,321.30,6595295766.88,195078
2018-03-09,321.33,331.44,320.23,331.44,14500219,14.44,4.56%,331.44,4736213187.57,137292
2018-03-08,322.20,322.9176,314.13,317.00,11340066,-4.16,-1.30%,317.00,3601911007.30,118386
2018-03-07,320.00,323.74,314.55,321.16,17132222,-4.06,-1.25%,321.16,5477334917.59,167968
2018-03-06,319.88,325.79,316.50,325.22,18525844,10.22,3.24%,325.22,5965192828.13,188970
2018-03-05,302.85,316.91,297.60,315.00,18986099,13.95,4.63%,315.00,5868143129.75,202284
2018-03-02,284.65,301.18,283.23,301.05,13345313,10.66,3.67%,301.05,3905175219.32,144541
2018-03-01,292.75,295.25,283.83,290.39,11932051,-0.99,-0.34%,290.39,3463707189.54,143801
2018-02-28,293.10,295.75,290.78,291.38,7653454,0.77,0.26%,291.38,2243196118.35,86922
2018-02-27,294.77,297.36,290.59,290.61,9416489,-3.55,-1.21%,290.61,2767711773.22,117707
2018-02-26,288.75,295.6475,287.01,294.16,10268633,8.23,2.88%,294.16,3007176064.30,98952
2018-02-23,281.00,286.00,277.81,285.93,7301809,7.79,2.80%,285.93,2059107005.52,81022
2018-02-22,283.88,284.50,274.45,278.14,8891535,-2.90,-1.03%,278.14,2480508783.37,100201
2018-02-21,282.07,286.64,280.01,281.04,9371121,2.49,0.89%,281.04,2655938823.87,98206
2018-02-20,277.74,285.812,276.61,278.55,7769023,0.03,0.01%,278.55,2188545409.33,92095
2018-02-16,278.73,281.96,275.69,278.52,8312380,-1.75,-0.62%,278.52,2314964247.98,95949
2018-02-15,270.03,280.50,267.63,280.27,10759667,14.27,5.36%,280.27,2951615802.46,123733
2018-02-14,260.47,269.88,260.33,266.00,10971985,7.73,2.99%,266.00,2929620289.91,117650
2018-02-13,257.29,261.41,254.70,258.27,6855151,0.32,0.12%,258.27,1772119450.08,73086
2018-02-12,252.14,259.15,249.00,257.95,8534906,8.48,3.40%,257.95,2177756663.26,96583
