date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,23.31,23.66,23.15,23.30,2957627,-0.07,-0.30%,23.30,69194999.81,21655
2018-03-09,23.81,23.93,23.26,23.37,3630249,-0.14,-0.60%,23.37,85488160.12,23267
2018-03-08,23.10,23.61,22.93,23.51,4133467,0.57,2.48%,23.51,96446867.53,31374
2018-03-07,23.01,23.63,22.72,22.94,5428250,-0.26,-1.12%,22.94,124922678.54,37056
2018-03-06,24.67,24.71,23.17,23.20,5575638,-1.18,-4.84%,23.20,131457452.75,34272
2018-03-05,23.95,24.62,23.88,24.38,3728369,0.42,1.75%,24.38,90729829.79,25195
2018-03-02,23.30,24.01,23.05,23.96,3771395,0.61,2.61%,23.96,89113628.69,22690
2018-03-01,23.40,23.94,23.24,23.35,4548183,0.02,0.09%,23.35,107144753.40,32655
2018-02-28,24.36,24.62,23.31,23.33,5292428,-0.91,-3.75%,23.33,125307875.70,27847
2018-02-27,24.74,25.01,24.23,24.24,4065338,-0.62,-2.49%,24.24,99468872.98,23120
2018-02-26,24.75,25.06,24.41,24.86,4971429,0.20,0.81%,24.86,123187600.96,27768
2018-02-23,23.67,24.70,23.56,24.66,6302475,1.20,5.12%,24.66,152684887.49,32824
2018-02-22,23.60,24.23,22.96,23.46,7312432,0.26,1.12%,23.46,172284985.57,37955
2018-02-21,24.33,25.02,23.10,23.20,13105350,-2.53,-9.83%,23.20,312682065.87,72065
2018-02-20,26.03,26.40,25.555,25.73,5699220,-0.17,-0.66%,25.73,147271241.54,35467
2018-02-16,25.56,26.57,25.51,25.90,4352675,0.21,0.82%,25.90,113493088.69,33732
2018-02-15,26.87,26.87,25.045,25.69,4520733,-1.04,-3.89%,25.69,115794439.32,32735
2018-02-14,25.70,26.78,25.41,26.73,3524933,0.62,2.37%,26.73,93036598.69,24911
2018-02-13,26.44,26.78,26.01,26.11,2816644,-0.67,-2.50%,26.11,73935826.23,20351
2018-02-12,26.44,27.33,26.25,26.78,3838653,0.80,3.08%,26.78,103089233.54,27019
2018-02-09,26.60,26.79,24.56,25.98,5406616,-0.40,-1.52%,25.98,138339289.04,40871
2018-02-08,28.57,28.84,26.34,26.38,3909500,-2.15,-7.54%,26.38,106488767.19,28939
2018-02-07,29.57,29.93,28.46,28.53,3800172,-1.11,-3.74%,28.53,110697775.30,27246
2018-02-06,28.90,30.13,28.65,29.64,3701765,0.23,0.78%,29.64,109048718.18,28575
2018-02-05,30.00,30.64,29.28,29.41,4250786,-0.95,-3.13%,29.41,126850285.25,27938
2018-02-02,31.66,31.87,30.31,30.36,3736398,-1.70,-5.30%,30.36,115252248.95,28135
2018-02-01,31.75,32.28,31.5975,32.06,2256601,0.40,1.26%,32.06,72169207.32,17591
2018-01-31,31.91,32.32,31.44,31.66,2634464,-0.01,-0.03%,31.66,83617618.64,17888
2018-01-30,32.68,32.79,31.46,31.67,3581755,-1.66,-4.98%,31.67,113868103.30,25120
2018-01-29,33.75,34.36,33.235,33.33,3558375,-0.63,-1.86%,33.33,119540263.25,19966
2018-01-26,33.81,34.02,33.51,33.96,2071192,0.15,0.44%,33.96,70156395.10,13478
2018-01-25,34.32,34.58,33.68,33.81,3444678,-0.32,-0.94%,33.81,117265116.68,21573
2018-01-24,34.02,34.40,33.63,34.13,2431250,0.27,0.80%,34.13,82886870.34,17150
2018-01-23,34.05,34.34,33.675,33.86,1893867,-0.28,-0.82%,33.86,64388847.42,15256
2018-01-22,33.76,34.15,33.47,34.14,1629794,0.82,2.46%,34.14,55305797.93,13750
2018-01-19,33.46,33.48,33.00,33.32,3670246,-0.42,-1.24%,33.32,121834957.42,17176
2018-01-18,34.33,34.40,33.70,33.74,2243593,-0.59,-1.72%,33.74,76191451.29,13797
2018-01-17,34.33,34.70,33.76,34.33,2186744,0.23,0.67%,34.33,75136864.97,15704
2018-01-16,34.95,35.12,34.08,34.10,1926615,-0.65,-1.87%,34.10,66353926.84,16937
2018-01-12,34.63,34.82,34.06,34.75,2046538,0.15,0.43%,34.75,70899351.76,14750
2018-01-11,34.25,35.15,33.98,34.60,2212221,0.57,1.67%,34.60,76679291.97,16032
2018-01-10,34.71,35.04,33.945,34.03,2135996,-0.49,-1.42%,34.03,73277269.45,15031
2018-01-09,34.89,35.20,34.40,34.52,2124811,-0.28,-0.80%,34.52,73705898.68,18000
2018-01-08,33.89,34.935,33.66,34.80,3041924,0.88,2.59%,34.80,104897308.72,21113
2018-01-05,33.55,34.015,33.06,33.92,3217955,0.08,0.24%,33.92,108398979.86,22047
2018-01-04,33.72,33.97,33.02,33.84,3462188,0.74,2.24%,33.84,116602316.44,23202
2018-01-03,33.00,33.58,32.92,33.10,3967329,0.20,0.61%,33.10,131671380.66,24736
2018-01-02,31.84,32.91,31.81,32.90,2408374,1.37,4.35%,32.90,78405725.83,17284
2017-12-29,32.24,32.26,31.52,31.53,1133396,-0.45,-1.41%,31.53,35940942.61,9553
2017-12-28,31.88,32.13,31.60,31.98,1480667,0.16,0.50%,31.98,47369597.87,9804
2017-12-27,32.06,32.13,31.64,31.82,1267157,-0.37,-1.15%,31.82,40394970.65,10495
2017-12-26,31.60,32.35,31.39,32.19,1209664,0.73,2.32%,32.19,38778010.14,10419
2017-12-22,30.99,31.76,30.64,31.46,1321811,0.45,1.45%,31.46,41569323.51,9576
2017-12-21,30.21,31.21,29.89,31.01,3090131,0.58,1.91%,31.01,95175731.97,22447
2017-12-20,30.00,30.48,29.48,30.43,1910396,0.59,1.98%,30.43,57704978.36,14082
2017-12-19,28.92,29.98,28.84,29.84,2737407,1.10,3.83%,29.84,81196911.69,19564
2017-12-18,28.21,28.95,27.96,28.74,2451434,0.93,3.34%,28.74,70332239.61,14490
2017-12-15,28.57,29.06,27.77,27.81,3607497,-0.82,-2.86%,27.81,101717934.18,15879
2017-12-14,29.175,29.30,28.62,28.63,1719488,-0.44,-1.51%,28.63,49585026.77,11236
2017-12-13,30.30,30.30,29.025,29.07,2078790,-1.17,-3.87%,29.07,61451651.68,14072
2017-12-12,30.57,30.57,29.77,30.24,1887195,-0.12,-0.40%,30.24,56875165.69,13483
2017-12-11,29.47,30.58,29.47,30.36,2253181,0.97,3.30%,30.36,68246060.80,13179
2017-12-08,29.31,30.09,29.15,29.39,2781178,0.53,1.84%,29.39,82248043.99,16149
2017-12-07,28.50,29.00,28.05,28.86,1896408,0.42,1.48%,28.86,54576553.26,13607
2017-12-06,30.26,30.30,28.42,28.44,2815975,-2.12,-6.94%,28.44,81330640.77,19525
2017-12-05,31.18,31.26,30.50,30.56,1968000,-0.84,-2.68%,30.56,60555159.26,12946
2017-12-04,31.85,32.21,31.30,31.40,1945836,-0.48,-1.51%,31.40,61650840.42,15199
2017-12-01,31.29,32.305,31.08,31.88,2315377,0.95,3.07%,31.88,73817309.79,19444
2017-11-30,30.48,31.17,30.35,30.93,2411822,0.83,2.76%,30.93,74404245.63,16198
2017-11-29,29.92,30.44,29.53,30.10,1520597,0.18,0.60%,30.10,45661120.80,13157
2017-11-28,29.65,30.02,29.42,29.92,1073007,0.23,0.77%,29.92,32061375.12,9197
2017-11-27,30.54,30.60,29.69,29.69,1742166,-1.05,-3.42%,29.69,51984398.94,10979
2017-11-24,30.98,31.11,30.62,30.74,589218,0.08,0.26%,30.74,18124246.69,3754
2017-11-22,30.67,30.92,30.54,30.66,1238552,0.48,1.59%,30.66,38056533.99,10344
2017-11-21,30.29,30.50,29.671,30.18,1917986,0.17,0.57%,30.18,57608201.70,13262
2017-11-20,30.09,30.185,29.19,30.01,1435052,-0.29,-0.96%,30.01,42880994.02,10881
2017-11-17,29.74,30.37,29.72,30.30,1814926,0.86,2.92%,30.30,54740585.64,13571
2017-11-16,29.62,29.87,29.35,29.44,1665462,-0.13,-0.44%,29.44,49195156.02,12239
2017-11-15,29.40,29.8799,28.991,29.57,2954721,-0.25,-0.84%,29.57,87430457.36,17665
2017-11-14,31.96,31.96,29.77,29.82,4928662,-2.27,-7.07%,29.82,149295534.88,33454
2017-11-13,33.22,33.28,32.0301,32.09,3122196,-1.22,-3.66%,32.09,101124928.01,21398
2017-11-10,32.83,33.33,32.47,33.31,2648913,0.32,0.97%,33.31,87388106.08,19218
2017-11-09,32.06,33.31,31.92,32.99,2076988,0.71,2.20%,32.99,68367065.42,17091
2017-11-08,32.71,32.86,31.95,32.28,2300125,-0.58,-1.77%,32.28,74415134.48,17756
2017-11-07,33.02,33.24,32.48,32.86,3577068,-0.21,-0.64%,32.86,117379214.98,24317
2017-11-06,30.96,33.10,30.86,33.07,4894918,2.41,7.86%,33.07,159178430.73,33948
