date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,22.99,23.19,22.96,23.14,5725475,0.18,0.78%,23.14,132232496.02,22249
2018-03-09,23.09,23.12,22.74,22.96,4872471,-0.12,-0.52%,22.96,111408216.22,21856
2018-03-08,22.95,23.18,22.87,23.08,2453388,0.13,0.57%,23.08,56595463.41,13226
2018-03-07,23.25,23.29,22.81,22.95,4216249,-0.26,-1.12%,22.95,96973296.94,22805
2018-03-06,23.48,23.535,23.195,23.21,5323483,-0.32,-1.36%,23.21,124302976.70,26891
2018-03-05,23.18,23.61,23.06,23.53,3926349,0.36,1.55%,23.53,92143950.97,18153
2018-03-02,23.19,23.3999,22.99,23.17,4702544,0.00,0.00%,23.17,108780663.27,25575
2018-03-01,23.16,23.53,23.08,23.17,5428375,0.04,0.17%,23.17,126408918.40,29745
2018-02-28,23.34,23.46,23.105,23.13,5825031,-0.19,-0.81%,23.13,135451921.48,17899
2018-02-27,23.66,23.70,23.21,23.32,3909572,-0.27,-1.14%,23.32,91512641.96,24786
2018-02-26,23.67,23.75,23.43,23.59,4486264,-0.01,-0.04%,23.59,105715971.35,21865
2018-02-23,23.11,23.63,23.105,23.60,3767857,0.52,2.25%,23.60,88429162.22,16853
2018-02-22,22.89,23.285,22.84,23.08,4442023,0.28,1.23%,23.08,102853070.31,19392
2018-02-21,22.95,23.28,22.80,22.80,2851903,-0.22,-0.96%,22.80,65691167.19,17576
2018-02-20,23.56,23.77,22.805,23.02,4071924,-0.46,-1.96%,23.02,93845229.31,26109
2018-02-16,23.32,23.63,23.26,23.48,3911492,0.11,0.47%,23.48,91894582.54,21995
2018-02-15,22.83,23.37,22.77,23.37,6189161,0.63,2.77%,23.37,143515738.29,24243
2018-02-14,22.98,23.04,22.74,22.74,3187896,-0.39,-1.69%,22.74,72790252.68,19802
2018-02-13,23.04,23.215,22.79,23.13,2653834,0.02,0.09%,23.13,61114761.03,17649
2018-02-12,23.14,23.23,22.81,23.11,3695404,0.02,0.09%,23.11,85268043.83,16572
2018-02-09,22.58,23.27,22.49,23.09,5275003,0.58,2.58%,23.09,120671037.20,36160
2018-02-08,22.89,23.20,22.44,22.51,6438748,-0.385,-1.68%,22.51,146307078.44,34389
2018-02-07,23.27,23.65,23.08,23.09,4045640,-0.188,-0.82%,22.895,94164103.67,23496
2018-02-06,23.21,23.42,22.695,23.28,4925081,-0.238,-1.02%,23.0834,113760441.93,30899
2018-02-05,23.95,24.20,23.52,23.52,3939145,-0.446,-1.88%,23.3214,93452323.25,23093
2018-02-02,24.15,24.22,23.94,23.97,2915597,-0.268,-1.11%,23.7676,70122212.91,12893
2018-02-01,24.70,24.77,24.105,24.24,3907721,-0.436,-1.78%,24.0353,95019905.47,18422
2018-01-31,24.50,24.69,24.31,24.68,4421969,0.228,0.94%,24.4716,108553736.32,22945
2018-01-30,24.23,24.55,24.16,24.45,2758874,0.228,0.95%,24.2435,67452035.97,15206
2018-01-29,24.42,24.49,24.15,24.22,3026397,-0.278,-1.14%,24.0155,73472714.60,14265
2018-01-26,24.49,24.59,24.28,24.50,4492640,0.079,0.33%,24.2931,109797452.97,22376
2018-01-25,24.10,24.45,24.05,24.42,2761780,0.238,0.99%,24.2138,67076102.06,21447
2018-01-24,24.03,24.20,23.87,24.18,3679392,0.01,0.04%,23.9758,88673019.73,20126
2018-01-23,24.02,24.28,23.98,24.17,2313900,0.218,0.92%,23.9659,55897048.90,15623
2018-01-22,24.01,24.10,23.87,23.95,3642243,0.01,0.04%,23.7477,87283184.74,18209
2018-01-19,24.06,24.155,23.85,23.94,2586188,-0.04,-0.17%,23.7378,62007956.41,14648
2018-01-18,24.14,24.22,23.915,23.98,4002728,-0.169,-0.70%,23.7775,96112696.18,14313
2018-01-17,24.12,24.255,24.06,24.15,2103660,0.119,0.50%,23.9461,50803338.51,12304
2018-01-16,24.16,24.23,23.77,24.03,2401808,-0.04,-0.17%,23.8271,57669660.57,15933
2018-01-12,24.08,24.27,23.96,24.07,2661419,-0.059,-0.25%,23.8667,64220687.19,15858
2018-01-11,24.38,24.505,24.02,24.13,3112630,0.00,0.00%,23.9262,75247506.54,19249
2018-01-10,24.60,24.69,24.08,24.13,3862391,-0.565,-2.31%,23.9262,93584934.42,19924
2018-01-09,24.98,25.075,24.645,24.70,2335619,-0.297,-1.20%,24.4914,57832404.53,14798
2018-01-08,24.87,25.01,24.79,25.00,2803678,0.208,0.85%,24.7889,69865236.19,16694
2018-01-05,25.13,25.21,24.56,24.79,3340118,-0.297,-1.20%,24.5806,82894233.54,18865
2018-01-04,25.17,25.36,25.00,25.09,3428804,-0.109,-0.44%,24.8781,86255531.75,16843
2018-01-03,25.28,25.52,25.08,25.20,2130609,-0.159,-0.63%,24.9872,53758601.60,13887
2018-01-02,25.64,25.69,25.31,25.36,2695104,-0.307,-1.21%,25.1458,68511139.18,14109
2017-12-29,25.61,25.71,25.44,25.67,2798281,0.109,0.43%,25.4532,71706401.15,13150
2017-12-28,25.32,25.57,25.20,25.56,2652617,0.317,1.27%,25.3441,67647394.18,14201
2017-12-27,25.14,25.30,25.10,25.24,1765377,0.178,0.72%,25.0268,44524342.05,12329
2017-12-26,25.26,25.38,25.03,25.06,1694359,-0.218,-0.87%,24.8484,42592613.55,10258
2017-12-22,24.83,25.31,24.79,25.28,3610240,0.615,2.51%,25.0665,90831183.44,18917
2017-12-21,24.885,25.03,24.63,24.66,2784115,-0.297,-1.20%,24.4517,68942402.18,18741
2017-12-20,25.365,25.41,24.85,24.96,3390676,-0.337,-1.34%,24.7492,84927540.06,19313
2017-12-19,25.935,26.074,25.28,25.30,1967462,-0.674,-2.62%,25.0863,50103428.61,11841
2017-12-18,26.50,26.53,25.92,25.98,2537676,-0.526,-2.00%,25.7606,66103759.71,14881
