date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,145.38,145.99,142.26,142.56,1410966,-2.97,-2.04%,142.56,202426652.76,14864
2018-03-09,141.69,145.97,141.43,145.53,1759211,5.09,3.62%,145.53,254610896.54,17251
2018-03-08,141.46,142.28,139.25,140.44,1540220,-0.28,-0.20%,140.44,216402650.45,15078
2018-03-07,139.34,141.84,139.07,140.72,1288478,-0.36,-0.26%,140.72,181518274.55,12581
2018-03-06,141.35,141.64,139.51,141.08,1184982,0.25,0.18%,141.08,166925582.23,11629
2018-03-05,137.84,141.18,136.49,140.83,1495160,2.17,1.56%,140.83,208690545.38,13459
2018-03-02,137.54,139.4099,136.11,138.66,1339443,-0.01,-0.01%,138.66,184821927.94,13616
2018-03-01,139.45,141.19,136.63,138.67,2167656,-0.41,-0.29%,138.67,301253410.99,20988
2018-02-28,142.62,143.45,139.05,139.08,1693410,-3.75,-2.63%,139.08,238956814.15,13176
2018-02-27,145.98,147.61,142.79,142.83,1595539,-2.69,-1.85%,142.83,230676044.95,15838
2018-02-26,143.25,146.02,142.66,145.52,1595991,2.90,2.03%,145.52,230896502.70,15593
2018-02-23,142.34,143.405,141.12,142.62,1348275,1.14,0.81%,142.62,191635838.85,12680
2018-02-22,139.83,142.91,138.90,141.48,1810921,2.58,1.86%,141.48,255997518.69,17647
2018-02-21,140.15,142.89,138.80,138.90,1740003,-1.13,-0.81%,138.90,245164282.50,17610
2018-02-20,141.71,141.98,139.07,140.03,1763342,-2.61,-1.83%,140.03,247139438.19,17245
2018-02-16,142.00,144.07,141.761,142.64,1277092,0.26,0.18%,142.64,182441063.15,11316
2018-02-15,143.01,143.292,140.435,142.38,1378784,0.13,0.09%,142.38,195708615.98,14502
2018-02-14,139.63,142.435,138.00,142.25,1646331,1.94,1.38%,142.25,233228620.38,15902
2018-02-13,138.95,140.95,137.3638,140.31,1344384,0.40,0.29%,140.31,187646061.59,12272
2018-02-12,139.25,140.93,137.47,139.91,1762710,1.69,1.22%,139.91,246183106.94,18711
2018-02-09,138.06,139.49,131.81,138.22,2382488,1.33,0.97%,138.22,323325364.19,23402
2018-02-08,142.62,143.27,136.87,136.89,2657186,-5.79,-4.06%,136.89,369814573.68,21555
2018-02-07,142.09,144.45,141.371,142.68,1464540,-0.37,-0.26%,142.68,209807825.56,14246
2018-02-06,136.99,143.445,134.55,143.05,2455032,4.44,3.20%,143.05,344939174.51,26474
2018-02-05,144.74,146.73,138.18,138.61,2508930,-6.42,-4.43%,138.61,355588049.65,21132
2018-02-02,147.15,147.85,144.61,145.03,1774596,-3.44,-2.32%,145.03,258698251.77,18069
2018-02-01,149.28,150.35,147.90,148.47,1427071,-1.69,-1.13%,148.47,212476298.65,15782
2018-01-31,150.27,151.67,149.74,150.88,1690139,0.826,0.55%,150.16,255002725.00,16962
2018-01-30,150.67,151.405,149.70,150.05,1471560,-1.334,-0.89%,149.334,221194883.76,13760
2018-01-29,150.97,152.40,150.66,151.39,1566423,0.418,0.28%,150.6676,237519654.97,14776
2018-01-26,148.79,151.37,148.43,150.97,2148640,2.727,1.85%,150.2496,322955987.01,17772
2018-01-25,149.70,151.342,147.81,148.23,1650081,-1.702,-1.14%,147.5226,245378649.72,16993
2018-01-24,150.75,152.00,147.17,149.94,2927987,-1.712,-1.13%,149.2245,437697439.09,26966
2018-01-23,151.13,152.27,149.045,151.66,2632456,0.189,0.13%,150.9363,397872656.19,18700
2018-01-22,151.44,152.01,149.82,151.47,2403738,0.07,0.05%,150.7472,362611605.32,22234
2018-01-19,153.66,153.85,151.34,151.40,3041034,-2.00,-1.31%,150.6775,462927656.06,22718
2018-01-18,154.30,154.71,152.90,153.41,1757006,-0.637,-0.42%,152.6779,269725061.25,15432
2018-01-17,152.77,154.34,151.7895,154.05,2085127,1.045,0.69%,153.3149,320209836.13,19505
2018-01-16,154.88,157.1499,152.95,153.00,2492763,-1.334,-0.87%,152.2699,385640255.09,21084
