date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,110.64,110.81,109.15,109.51,1498707,-1.19,-1.07%,109.51,164410178.16,10170
2018-03-09,108.56,110.79,108.1301,110.70,1215408,2.93,2.72%,110.70,134010226.11,10356
2018-03-08,107.60,107.935,106.16,107.77,1287478,0.57,0.53%,107.77,138105793.93,13149
2018-03-07,105.68,108.14,105.68,107.62,1278239,0.896,0.84%,107.20,137001344.13,15538
2018-03-06,106.74,106.88,105.27,106.72,877703,0.359,0.34%,106.3035,93272056.62,10434
2018-03-05,103.57,106.81,103.3233,106.36,1125998,1.644,1.58%,105.9449,119314481.89,12564
2018-03-02,102.95,105.00,101.18,104.71,1327959,1.036,1.00%,104.3013,137209618.74,13531
2018-03-01,106.05,106.64,103.31,103.67,1161251,-2.191,-2.08%,103.2654,121565291.52,13172
2018-02-28,108.15,108.59,105.85,105.87,1329339,-1.713,-1.60%,105.4568,142191287.85,12198
2018-02-27,108.53,109.89,107.58,107.59,1414079,-1.245,-1.15%,107.1701,153721340.76,15338
2018-02-26,107.15,108.87,106.45,108.84,987259,2.271,2.14%,108.4152,106926253.92,8748
2018-02-23,104.80,106.58,104.39,106.56,881281,2.43,2.34%,106.1441,93077398.77,10072
2018-02-22,105.75,106.825,103.87,104.12,1252343,-1.255,-1.20%,103.7136,131576786.11,15829
2018-02-21,105.20,106.91,104.70,105.38,870253,0.657,0.63%,104.9687,92138350.54,11905
2018-02-20,104.47,105.82,104.47,104.72,1220112,-0.139,-0.13%,104.3113,128144269.88,12774
2018-02-16,103.64,105.60,103.64,104.86,1512837,0.986,0.95%,104.4507,158653996.78,15297
2018-02-15,103.72,104.82,103.21,103.87,1239137,1.175,1.15%,103.4646,128769291.79,12449
2018-02-14,98.94,102.91,98.33,102.69,1165733,3.327,3.36%,102.2892,118512291.68,12366
2018-02-13,98.37,99.60,97.82,99.35,1015870,-0.01,-0.01%,98.9622,100498405.90,10029
2018-02-12,98.11,100.15,97.61,99.36,1386988,1.972,2.03%,98.9722,137623068.75,18276
2018-02-09,97.49,98.135,94.39,97.38,1588703,1.175,1.23%,96.9999,153557060.75,18904
2018-02-08,100.76,100.77,96.18,96.20,1749051,-4.512,-4.50%,95.8245,172019359.99,16991
2018-02-07,100.66,103.21,100.65,100.73,1515519,-0.628,-0.62%,100.3369,154076674.33,17522
2018-02-06,97.32,101.37,95.84,101.36,2736442,1.614,1.62%,100.9644,271283000.82,28631
