date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,66.98,67.93,66.98,67.69,1626226,0.53,0.79%,67.69,109930010.56,14453
2018-03-09,68.27,68.73,66.62,67.16,3154417,-0.47,-0.69%,67.16,211734840.76,24553
2018-03-08,69.43,69.43,67.00,67.63,3220012,-1.85,-2.66%,67.63,217940606.72,28407
2018-03-07,67.71,69.79,67.71,69.48,3745147,1.70,2.51%,69.48,259156861.87,28770
2018-03-06,68.10,68.39,66.70,67.78,3095073,-0.08,-0.12%,67.78,209281810.44,24117
2018-03-05,67.31,69.12,67.25,67.86,3345146,-0.02,-0.03%,67.86,228121415.25,28025
2018-03-02,67.18,68.15,65.96,67.88,3876986,0.35,0.52%,67.88,260669781.78,27252
2018-03-01,66.49,68.27,66.00,67.53,5096255,2.13,3.26%,67.53,342753272.71,43489
2018-02-28,67.63,67.7699,65.39,65.40,2602570,-1.89,-2.81%,65.40,172237780.70,18829
2018-02-27,67.62,68.45,67.27,67.29,1717227,-0.59,-0.87%,67.29,116388896.21,15886
2018-02-26,68.04,68.445,66.95,67.88,1704407,0.94,1.40%,67.88,115435733.01,14473
2018-02-23,67.23,67.43,66.14,66.94,1313073,-0.01,-0.01%,66.94,87541309.79,11404
2018-02-22,67.38,67.92,66.80,66.95,2606462,0.10,0.15%,66.95,175002201.05,11198
2018-02-21,67.56,68.2128,66.85,66.85,1633311,-0.71,-1.05%,66.85,110036885.63,14731
2018-02-20,68.03,69.1183,67.09,67.56,3453355,-0.98,-1.43%,67.56,235143155.04,23864
2018-02-16,65.38,69.50,64.90,68.54,5312769,2.96,4.51%,68.54,361005708.39,40357
2018-02-15,65.86,66.00,64.59,65.58,2524407,0.39,0.60%,65.58,164910383.58,15738
2018-02-14,63.33,65.38,63.33,65.19,3077087,1.11,1.73%,65.19,200046189.20,25768
2018-02-13,63.21,64.53,62.72,64.08,3192101,0.64,1.01%,64.08,204372609.82,22937
2018-02-12,62.25,64.03,61.94,63.44,2800312,1.67,2.70%,63.44,177273465.53,21350
2018-02-09,61.68,62.27,59.50,61.77,3291682,1.39,2.30%,61.77,200339485.51,29087
2018-02-08,63.04,63.075,60.38,60.38,3362316,-2.54,-4.04%,60.38,206669816.59,27464
2018-02-07,63.41,64.1891,62.92,62.92,3153179,-0.68,-1.07%,62.92,199788442.19,24341
2018-02-06,61.04,63.83,60.31,63.60,5682417,1.06,1.69%,63.60,356790411.39,42851
2018-02-05,63.60,64.81,61.85,62.54,4241518,-1.70,-2.65%,62.54,269781090.71,37516
2018-02-02,65.80,65.88,64.08,64.24,3814066,-2.14,-3.22%,64.24,247388749.85,30163
2018-02-01,66.65,67.10,65.90,66.38,3209411,-0.58,-0.87%,66.38,213335011.59,21872
2018-01-31,67.93,67.99,66.34,66.96,4875666,0.14,0.21%,66.96,326584175.95,30628
2018-01-30,69.605,70.03,66.00,66.82,4430814,-2.22,-3.22%,66.82,297637622.00,28803
2018-01-29,69.46,69.98,68.97,69.04,2448380,-0.50,-0.72%,69.04,169717424.28,22518
2018-01-26,68.40,69.55,68.09,69.54,2778242,1.30,1.91%,69.54,191772224.17,19100
2018-01-25,69.71,69.76,67.99,68.24,3857396,-0.77,-1.12%,68.24,264680584.46,24949
2018-01-24,69.47,69.91,68.86,69.01,1872889,0.03,0.04%,69.01,129791790.17,16126
2018-01-23,68.69,69.68,67.70,68.98,2786829,-0.01,-0.01%,68.98,191824761.07,21429
2018-01-22,68.87,69.10,68.18,68.99,2432274,0.27,0.39%,68.99,167333383.01,18729
2018-01-19,69.19,69.23,68.21,68.72,3272779,-0.10,-0.15%,68.72,224923526.99,21081
2018-01-18,69.04,69.43,68.50,68.82,2798217,-0.44,-0.64%,68.82,193046461.24,17829
2018-01-17,69.39,69.55,68.59,69.26,1952190,0.31,0.45%,69.26,135062800.05,14404
2018-01-16,69.07,70.20,68.27,68.95,4299697,-0.07,-0.10%,68.95,297594838.17,20600
2018-01-12,70.15,70.48,68.80,69.02,2637261,-1.16,-1.65%,69.02,182417151.81,21450
2018-01-11,69.35,70.18,68.90,70.18,2027483,1.24,1.80%,70.18,141311382.40,17187
2018-01-10,67.77,69.06,67.31,68.94,2539349,1.16,1.71%,68.94,174387359.88,17100
2018-01-09,68.23,68.23,67.70,67.78,3289260,-0.46,-0.67%,67.78,223384761.01,19390
2018-01-08,67.80,68.33,67.52,68.24,3118151,0.38,0.56%,68.24,211647963.39,15410
2018-01-05,67.37,67.91,66.69,67.86,2660820,0.64,0.95%,67.86,179510193.76,18528
2018-01-04,67.53,67.65,66.60,67.22,2529263,-0.17,-0.25%,67.22,169707818.52,17986
2018-01-03,66.79,67.73,66.44,67.39,3772513,0.87,1.31%,67.39,253305453.29,24595
2018-01-02,64.21,66.55,64.10,66.52,3756643,2.94,4.62%,66.52,247729963.10,25981
2017-12-29,64.75,64.75,63.57,63.58,1519439,-0.76,-1.18%,63.58,96938076.43,11786
2017-12-28,64.24,64.47,63.93,64.34,1138176,0.11,0.17%,64.34,73028582.95,9912
2017-12-27,64.74,64.74,64.14,64.61,2065516,-0.119,-0.19%,64.23,133267096.45,9419
2017-12-26,64.60,64.8599,64.34,64.73,2502662,0.169,0.26%,64.3493,161807832.22,8229
2017-12-22,64.185,64.60,63.58,64.56,2247593,0.03,0.05%,64.1803,144317634.11,14440
2017-12-21,64.255,64.729,63.90,64.53,2827425,0.676,1.06%,64.1505,181818930.27,18942
2017-12-20,64.06,64.43,63.27,63.85,3960415,1.412,2.27%,63.4745,252396681.61,26100
2017-12-19,62.03,62.78,61.71,62.43,2900784,0.418,0.68%,62.0628,180943143.42,19329
2017-12-18,60.50,62.07,60.12,62.01,3147363,1.889,3.16%,61.6453,193417117.33,25426
2017-12-15,59.96,60.389,59.23,60.11,6442165,0.567,0.96%,59.7565,386922549.96,22962
2017-12-14,61.28,62.18,59.50,59.54,3914708,-2.296,-3.73%,59.1898,236730304.38,29151
2017-12-13,61.70,62.00,61.041,61.85,2951106,-0.099,-0.16%,61.4863,181798868.67,23027
2017-12-12,61.20,62.12,60.90,61.95,4733507,0.676,1.11%,61.5857,292473348.29,29767
2017-12-11,60.51,61.57,60.10,61.27,5465370,1.094,1.83%,60.9097,333387886.99,33179
2017-12-08,59.15,60.95,59.05,60.17,5874741,1.571,2.70%,59.8161,353924241.52,37765
2017-12-07,58.11,58.67,57.98,58.59,2227321,0.646,1.12%,58.2454,130155496.09,18412
