date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,16.85,17.00,16.725,16.85,375123,0.05,0.30%,16.85,6322700.04,2426
2018-03-09,16.55,16.80,16.45,16.80,412361,0.40,2.44%,16.80,6850761.95,2033
2018-03-08,16.60,16.65,16.35,16.40,468210,-0.10,-0.61%,16.40,7692692.64,2442
2018-03-07,16.50,16.60,16.35,16.50,232251,-0.10,-0.60%,16.50,3827933.58,1587
2018-03-06,16.40,16.65,16.325,16.60,281685,0.20,1.22%,16.60,4649537.68,1517
2018-03-05,16.10,16.45,16.05,16.40,286794,0.25,1.55%,16.40,4677424.30,1821
2018-03-02,15.95,16.15,15.90,16.15,545799,0.05,0.31%,16.15,8765199.00,1955
2018-03-01,16.30,16.45,16.025,16.10,440717,-0.30,-1.83%,16.10,7123104.82,2691
2018-02-28,16.75,16.75,16.40,16.40,344622,-0.30,-1.80%,16.40,5691361.34,1932
2018-02-27,16.85,16.95,16.625,16.70,260276,-0.20,-1.18%,16.70,4352929.22,1895
2018-02-26,16.80,16.975,16.75,16.90,281724,0.15,0.90%,16.90,4760948.54,2007
2018-02-23,16.60,16.80,16.425,16.75,165662,0.25,1.52%,16.75,2757729.26,1193
2018-02-22,16.30,16.65,16.30,16.50,528120,0.35,2.17%,16.50,8719667.32,3093
2018-02-21,16.15,16.45,16.15,16.15,561863,0.05,0.31%,16.15,9143666.88,3390
2018-02-20,16.45,16.45,16.05,16.10,450846,-0.35,-2.13%,16.10,7316288.76,2891
2018-02-16,16.55,16.70,16.40,16.45,614205,-0.15,-0.90%,16.45,10142497.38,3501
2018-02-15,16.70,16.85,16.50,16.60,428696,-0.10,-0.60%,16.60,7126185.74,2657
2018-02-14,16.50,16.75,16.40,16.70,369369,0.15,0.91%,16.70,6143822.06,2411
2018-02-13,16.15,16.625,16.10,16.55,665181,0.40,2.48%,16.55,10937868.52,4018
2018-02-12,16.10,16.50,16.00,16.15,1410839,0.15,0.94%,16.15,22807122.43,6841
2018-02-09,16.00,16.50,15.60,16.00,1151540,0.15,0.95%,16.00,18416426.07,5714
2018-02-08,16.15,16.35,15.80,15.85,616584,-0.45,-2.76%,15.85,9871953.16,3813
2018-02-07,16.35,16.55,16.15,16.30,519776,-0.20,-1.21%,16.30,8507735.15,3285
2018-02-06,15.80,16.525,15.50,16.50,730388,0.40,2.48%,16.50,11818791.68,4642
2018-02-05,16.75,16.90,16.10,16.10,386588,-0.65,-3.88%,16.10,6325556.20,2396
2018-02-02,17.10,17.10,16.65,16.75,308285,-0.40,-2.33%,16.75,5186111.46,1893
2018-02-01,17.30,17.35,17.00,17.15,607208,-0.30,-1.72%,17.15,10405696.17,3870
2018-01-31,17.20,17.45,17.00,17.45,411716,0.15,0.87%,17.45,7141142.79,2460
