date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,50.90,51.38,50.70,51.25,1692817,0.38,0.75%,51.25,86637268.65,13735
2018-03-09,50.59,50.87,50.0968,50.87,1483503,0.29,0.57%,50.87,74971156.17,13837
2018-03-08,50.88,51.15,50.33,50.58,1592646,-0.27,-0.53%,50.58,80646372.75,13814
2018-03-07,50.40,50.90,50.13,50.85,1445142,0.31,0.61%,50.85,73233706.73,11974
2018-03-06,50.15,50.57,49.91,50.54,1814717,0.23,0.46%,50.54,91429249.74,13999
2018-03-05,49.58,50.64,49.58,50.31,1806536,0.58,1.17%,50.31,90892247.57,16287
2018-03-02,49.45,49.78,49.15,49.73,2017567,0.12,0.24%,49.73,99895663.73,17040
2018-03-01,49.17,49.85,48.84,49.61,2497850,0.43,0.87%,49.61,123729578.47,22973
2018-02-28,49.50,49.80,49.15,49.18,3400166,0.029,0.06%,49.18,167998074.26,24629
2018-02-27,50.68,50.84,49.35,49.37,3216737,-1.225,-2.43%,49.151,160284597.38,25902
2018-02-26,50.38,50.78,50.16,50.60,2815669,0.398,0.80%,50.3755,142139062.29,23892
2018-02-23,49.46,50.24,49.34,50.20,2375563,0.896,1.83%,49.9773,118393318.30,17438
2018-02-22,48.56,49.75,48.26,49.30,2940889,0.906,1.88%,49.0813,144939579.28,24517
2018-02-21,49.28,49.57,48.34,48.39,3500308,-1.006,-2.04%,48.1753,170768269.79,29871
2018-02-20,49.90,50.25,49.39,49.40,2980005,-0.558,-1.12%,49.1809,148117393.72,23916
2018-02-16,49.33,50.0346,49.31,49.96,2907389,0.677,1.38%,49.7384,144733272.58,22799
2018-02-15,48.27,49.37,48.14,49.28,3003388,1.175,2.45%,49.0614,147265433.15,24096
2018-02-14,48.55,48.65,47.78,48.10,2728541,-0.886,-1.82%,47.8866,131394032.39,23122
2018-02-13,48.65,49.18,47.96,48.99,2853831,0.309,0.64%,48.7727,139037153.77,23751
2018-02-12,49.06,49.23,47.25,48.68,4290564,-0.219,-0.45%,48.4641,207018327.15,31567
2018-02-09,47.87,49.28,47.42,48.90,3233632,1.334,2.82%,48.6831,155912629.13,27202
2018-02-08,48.84,49.3257,47.54,47.56,4398359,-1.354,-2.78%,47.349,213089062.21,35082
2018-02-07,50.10,50.95,48.89,48.92,5867148,-1.145,-2.30%,48.703,290256829.37,43531
2018-02-06,49.76,50.66,49.01,50.07,3823197,-0.03,-0.06%,49.8479,190639145.86,33080
2018-02-05,50.89,51.785,50.05,50.10,3114833,-1.145,-2.24%,49.8778,158145335.48,23917
2018-02-02,51.10,51.45,50.42,51.25,2514574,-0.338,-0.66%,51.0227,128536103.69,19835
2018-02-01,53.09,53.21,51.41,51.59,3188987,-1.593,-3.01%,51.3611,165859787.89,23905
2018-01-31,52.33,53.45,52.21,53.19,3632308,0.945,1.82%,52.954,192360457.20,18663
2018-01-30,52.95,53.00,52.281,52.46,2088531,-0.585,-1.11%,52.0092,109784436.10,15691
2018-01-29,54.00,54.17,52.65,53.05,2118087,-1.15,-2.14%,52.5942,112452170.26,17975
2018-01-26,54.50,54.53,53.98,54.21,1672559,-0.228,-0.42%,53.7442,90591179.41,14398
2018-01-25,54.01,54.46,53.93,54.44,1638367,0.426,0.80%,53.9722,88813723.89,13745
2018-01-24,54.42,54.58,53.86,54.01,1666642,-0.516,-0.95%,53.5459,90071503.59,14999
2018-01-23,53.95,54.56,53.95,54.53,1639780,0.664,1.24%,54.0615,89139734.59,14031
2018-01-22,53.17,53.8998,53.17,53.86,1705504,0.714,1.35%,53.3972,91655181.77,13080
2018-01-19,52.88,53.15,52.60,53.14,1977476,0.387,0.74%,52.6834,104691486.93,14117
2018-01-18,53.05,53.19,52.62,52.75,1921488,-0.486,-0.92%,52.2967,101500910.77,15304
2018-01-17,53.20,53.50,52.95,53.24,1665343,0.297,0.57%,52.7825,88683290.08,14156
2018-01-16,53.00,53.51,52.92,52.94,2002363,0.218,0.42%,52.4851,106515888.01,15046
2018-01-12,53.20,53.215,52.63,52.72,2066353,-0.555,-1.05%,52.267,109182747.09,14550
2018-01-11,53.25,53.75,53.15,53.28,2239341,0.218,0.41%,52.8222,119398941.32,16431
2018-01-10,54.00,54.04,52.80,53.06,3655705,-1.18,-2.19%,52.6041,194153863.77,27134
2018-01-09,55.21,55.27,54.19,54.25,1923662,-1.021,-1.86%,53.7839,105016605.92,15636
2018-01-08,55.25,55.39,55.02,55.28,1098171,0.069,0.13%,54.805,60655757.65,10033
2018-01-05,55.30,55.37,54.91,55.21,1425638,-0.04,-0.07%,54.7356,78573723.30,12417
2018-01-04,56.28,56.33,55.25,55.25,1879218,-1.21,-2.16%,54.7753,104328654.70,15105
2018-01-03,56.70,56.83,56.32,56.47,1544022,-0.149,-0.26%,55.9848,87246307.95,14604
2018-01-02,57.02,57.06,56.42,56.62,1620992,-0.397,-0.70%,56.1335,91910573.84,14513
2017-12-29,56.93,57.17,56.69,57.02,1453157,0.112,0.20%,56.5301,82884156.12,11479
2017-12-28,56.74,57.15,56.51,57.12,1309017,0.395,0.71%,56.4185,74621702.67,10874
2017-12-27,56.38,56.98,56.12,56.72,1261947,0.484,0.87%,56.0234,71583206.60,10674
2017-12-26,55.93,56.49,55.74,56.23,947552,0.375,0.68%,55.5395,53307018.45,8558
2017-12-22,55.595,55.90,55.30,55.85,985432,0.593,1.09%,55.1641,54937717.72,7817
2017-12-21,55.40,55.91,55.165,55.25,1219543,-0.356,-0.65%,54.5715,67526228.84,9628
2017-12-20,56.40,56.5999,55.605,55.61,1552140,-0.731,-1.31%,54.9271,86755875.03,12748
2017-12-19,57.61,57.76,56.27,56.35,1538792,-1.432,-2.51%,55.658,87239050.31,12720
2017-12-18,57.59,58.23,57.50,57.80,1813922,0.395,0.70%,57.0902,104938300.86,14108
2017-12-15,57.25,57.57,57.0732,57.40,5255390,0.425,0.75%,56.6951,301524359.26,17464
2017-12-14,56.61,57.18,56.60,56.97,2045250,0.099,0.18%,56.2704,116470281.13,15451
2017-12-13,55.89,57.16,55.89,56.87,2421727,1.116,2.03%,56.1716,137401476.36,19853
2017-12-12,55.67,55.84,55.27,55.74,1500242,0.316,0.58%,55.0555,83504915.95,12328
2017-12-11,55.61,55.81,55.33,55.42,2125268,-0.158,-0.29%,54.7394,117833571.52,10810
2017-12-08,54.93,55.58,54.93,55.58,1357109,0.741,1.37%,54.8974,75231876.19,11694
2017-12-07,54.65,55.15,54.61,54.83,1631520,0.128,0.24%,54.1567,89492588.60,13949
2017-12-06,55.30,55.48,54.395,54.70,2296532,-0.514,-0.94%,54.0283,125776554.14,17965
2017-12-05,55.39,55.669,55.151,55.22,1736125,-0.119,-0.22%,54.5419,96089983.99,16794
2017-12-04,55.56,55.89,55.28,55.34,2506698,-0.207,-0.38%,54.6604,139177069.34,21590
2017-12-01,55.47,55.835,55.08,55.55,2938413,0.247,0.45%,54.8678,162997518.52,24514
2017-11-30,55.40,55.63,55.09,55.30,2003322,0.041,0.08%,54.6209,110809146.79,12733
2017-11-29,55.74,55.90,55.19,55.47,2076268,-0.403,-0.73%,54.5794,115199915.32,16988
