date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,57.25,57.85,57.20,57.59,3031544,0.28,0.49%,57.59,174306173.86,22005
2018-03-09,56.99,57.38,56.89,57.31,2060422,0.71,1.25%,57.31,117812731.49,15285
2018-03-08,56.69,56.96,55.90,56.60,2253109,-0.11,-0.19%,56.60,127433934.40,17541
2018-03-07,56.43,57.47,56.42,56.71,2265295,-0.31,-0.54%,56.71,128698680.55,20733
2018-03-06,57.15,57.46,56.64,57.02,1537371,0.11,0.19%,57.02,87718507.40,13050
2018-03-05,56.72,57.30,56.16,56.91,2535427,-0.17,-0.30%,56.91,144189393.74,20786
2018-03-02,56.00,57.26,55.17,57.08,2415038,0.57,1.01%,57.08,136552549.35,19493
2018-03-01,56.35,56.88,55.71,56.51,3106610,0.18,0.32%,56.51,175174984.13,30315
2018-02-28,57.26,58.08,56.22,56.33,3880160,-0.67,-1.18%,56.33,221029682.57,23594
2018-02-27,57.80,58.04,56.56,57.00,3969670,-0.47,-0.82%,57.00,227121552.86,24578
2018-02-26,58.32,58.3368,56.76,57.47,3330261,-0.55,-0.95%,57.47,191078866.80,25068
2018-02-23,57.43,58.34,57.05,58.02,2595916,0.84,1.47%,58.02,150231099.96,21707
2018-02-22,56.62,58.37,56.36,57.18,3773546,1.08,1.93%,57.18,217043954.71,26965
2018-02-21,56.94,57.40,56.09,56.10,2010689,-0.92,-1.61%,56.10,113959036.28,16201
2018-02-20,57.00,57.68,56.71,57.02,1468697,0.11,0.19%,57.02,83930130.86,13457
2018-02-16,57.57,57.68,56.62,56.91,2343445,-0.89,-1.54%,56.91,133887344.84,17300
2018-02-15,57.63,57.94,57.12,57.80,3163666,0.33,0.57%,57.80,182433419.97,20169
2018-02-14,56.27,57.88,56.17,57.47,3417092,0.63,1.11%,57.47,196024968.01,23508
2018-02-13,56.24,57.32,55.92,56.84,2030523,0.29,0.51%,56.84,115339485.27,17641
2018-02-12,55.27,56.99,55.04,56.55,2582646,2.22,4.09%,56.55,145336851.48,19540
2018-02-09,54.94,55.22,52.39,54.33,3602875,-0.07,-0.13%,54.33,194328629.16,27326
2018-02-08,56.54,56.88,54.37,54.40,2720253,-2.18,-3.85%,54.40,150335965.36,20780
2018-02-07,56.33,57.54,56.32,56.58,2495371,0.16,0.28%,56.58,141670341.59,19064
2018-02-06,54.54,56.6484,54.38,56.42,3572839,0.86,1.55%,56.42,198716760.53,28936
2018-02-05,57.20,57.61,54.78,55.56,3529825,-2.19,-3.79%,55.56,198563326.91,23417
2018-02-02,59.095,59.215,57.61,57.75,2459850,-1.99,-3.33%,57.75,143014382.66,19137
2018-02-01,58.98,60.04,58.87,59.74,1858617,0.88,1.50%,59.74,110653294.66,14919
2018-01-31,58.83,59.46,58.69,58.86,2467334,0.13,0.22%,58.86,145552676.18,18323
2018-01-30,58.90,59.1291,58.18,58.73,2008731,-0.76,-1.28%,58.73,117822183.09,16533
2018-01-29,59.86,60.13,59.45,59.49,4023797,-0.66,-1.10%,59.49,240130233.99,17683
2018-01-26,60.00,60.39,59.73,60.15,2590756,0.34,0.57%,60.15,155541334.56,15843
2018-01-25,60.95,61.11,60.27,60.58,2412765,-0.128,-0.21%,59.81,146107339.43,18160
2018-01-24,60.89,61.36,60.61,60.71,2818584,0.227,0.38%,59.9384,171695242.26,19794
2018-01-23,60.00,60.71,59.59,60.48,3110523,0.592,1.00%,59.7113,187414783.88,20437
2018-01-22,58.34,59.88,58.34,59.88,4065591,1.54,2.67%,59.1189,241538379.42,22731
2018-01-19,58.07,58.34,57.14,58.32,8657039,0.178,0.31%,57.5788,501935354.96,36222
2018-01-18,59.25,59.37,58.12,58.14,3439103,-1.254,-2.14%,57.401,201274517.61,26838
2018-01-17,59.46,59.79,58.66,59.41,4204166,0.602,1.04%,58.6549,249412942.54,29462
2018-01-16,59.00,60.06,58.72,58.80,4511860,0.128,0.22%,58.0527,267371718.19,35792
2018-01-12,58.49,58.90,57.84,58.67,2965244,0.306,0.53%,57.9243,173625491.65,24709
2018-01-11,57.40,58.55,57.09,58.36,3359452,1.599,2.86%,57.6182,195125273.37,24686
2018-01-10,56.54,56.995,56.41,56.74,2517405,0.247,0.44%,56.0188,142925384.41,16650
2018-01-09,56.69,56.96,56.33,56.49,2056023,-0.148,-0.26%,55.772,116426665.26,17831
2018-01-08,56.18,56.96,55.931,56.64,3640696,0.573,1.03%,55.9201,205868459.81,25100
2018-01-05,55.25,56.29,55.07,56.06,10159496,-0.138,-0.25%,55.3475,565087392.24,57334
2018-01-04,55.69,56.33,55.445,56.20,2790821,0.652,1.19%,55.4857,155970730.44,16799
2018-01-03,54.69,55.84,54.57,55.54,2539138,0.879,1.63%,54.8341,140547930.69,18540
2018-01-02,53.76,54.75,53.56,54.65,2548565,1.185,2.25%,53.9554,138681283.30,15576
2017-12-29,53.62,53.89,53.33,53.45,2527651,-0.039,-0.07%,52.7707,135354672.19,17080
2017-12-28,53.17,53.51,52.96,53.49,2078044,0.316,0.60%,52.8101,110612891.91,14651
2017-12-27,53.35,53.40,53.03,53.17,2609036,-0.089,-0.17%,52.4942,138743663.41,16014
2017-12-26,53.30,53.72,53.12,53.26,1621732,0.049,0.09%,52.5831,86458024.51,10854
2017-12-22,52.31,53.44,52.14,53.21,2940432,0.977,1.90%,52.5337,156018545.65,17688
2017-12-21,51.50,52.40,51.28,52.22,3014850,0.701,1.38%,51.5563,156823630.33,21979
2017-12-20,52.11,52.25,51.47,51.51,3059687,-0.346,-0.67%,50.8553,158015849.23,18482
2017-12-19,52.44,52.70,51.84,51.86,2434104,-0.484,-0.94%,51.2009,126619838.53,15527
2017-12-18,52.39,52.78,52.16,52.35,3723934,0.188,0.36%,51.6846,195220428.87,22473
2017-12-15,52.84,53.02,52.06,52.16,5325749,-0.573,-1.10%,51.497,278884289.66,16654
2017-12-14,52.99,53.47,52.72,52.74,2280238,-0.474,-0.90%,52.0697,120924979.63,17295
2017-12-13,53.47,53.54,53.10,53.22,1861719,-0.178,-0.34%,52.5436,99155989.85,12937
2017-12-12,53.48,53.86,53.11,53.40,2427759,0.00,0.00%,52.7213,129673767.65,16942
2017-12-11,53.14,54.15,53.00,53.40,3076039,0.385,0.74%,52.7213,164798866.33,21302
2017-12-08,52.73,53.12,52.60,53.01,2106694,0.592,1.14%,52.3362,111506211.62,14967
2017-12-07,51.81,52.42,51.65,52.41,1848479,0.602,1.18%,51.7439,96514353.06,12837
2017-12-06,52.30,52.34,51.4452,51.80,1733450,-0.533,-1.03%,51.1416,89789464.98,14068
2017-12-05,52.37,52.58,52.15,52.34,2302913,0.049,0.10%,51.6748,120587555.47,15210
2017-12-04,52.13,52.88,51.96,52.29,3566670,0.178,0.35%,51.6254,187093937.02,23191
2017-12-01,52.27,52.40,51.59,52.11,3260266,0.207,0.40%,51.4477,169834624.14,25150
2017-11-30,50.63,52.07,50.625,51.90,4323133,1.451,2.91%,51.2404,223368081.13,22502
2017-11-29,49.91,50.44,49.76,50.43,2074752,0.365,0.74%,49.789,104250345.91,15148
