date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,73.98,74.28,73.31,73.45,2146145,-0.28,-0.38%,73.45,158106117.99,14099
2018-03-09,73.59,74.08,73.135,73.73,1995007,0.22,0.30%,73.73,146888046.22,15332
2018-03-08,73.97,74.03,72.56,73.51,2261720,-0.00,-0.00%,73.51,165689938.69,19576
2018-03-07,74.99,75.29,73.59,74.11,3338227,-1.22,-1.63%,73.51,247777101.64,26615
2018-03-06,76.13,76.17,74.15,75.34,3459985,-0.536,-0.71%,74.73,259500120.59,23199
2018-03-05,75.50,76.37,75.50,75.88,1912517,0.228,0.30%,75.2657,145237665.54,16108
2018-03-02,75.65,76.56,74.89,75.65,2155331,0.794,1.07%,75.0375,163133496.67,19280
2018-03-01,74.76,75.492,73.50,74.85,4389145,-1.369,-1.81%,74.244,327008310.44,36730
2018-02-28,77.38,77.62,76.20,76.23,2027304,-0.704,-0.92%,75.6128,155660027.97,15833
2018-02-27,78.00,78.28,76.93,76.94,2038253,-1.151,-1.49%,76.3171,157678850.54,19407
2018-02-26,77.72,78.155,77.32,78.10,1569451,0.784,1.02%,77.4677,122275221.16,12228
2018-02-23,77.18,77.79,76.40,77.31,1655249,0.516,0.68%,76.6841,127573188.71,15981
2018-02-22,77.35,78.03,76.51,76.79,2112752,-0.238,-0.31%,76.1683,163125607.27,20442
2018-02-21,78.34,79.66,76.96,77.03,3348248,-1.319,-1.70%,76.4064,260123163.88,25125
2018-02-20,78.58,79.56,77.61,78.36,4665562,-0.357,-0.46%,77.7256,366579038.29,30062
2018-02-16,77.88,79.28,77.60,78.72,4270793,1.428,1.86%,78.0827,335372164.73,34692
2018-02-15,78.66,79.22,76.05,77.28,6217914,-5.455,-6.64%,76.6543,481904333.69,46945
2018-02-14,81.61,83.34,81.06,82.78,6895756,3.194,4.05%,82.1098,567576995.06,56549
2018-02-13,78.35,80.91,78.33,79.56,4294823,0.774,0.99%,78.9159,343291197.96,37558
2018-02-12,77.71,79.30,77.52,78.78,5116659,1.815,2.38%,78.1422,402886947.42,38097
2018-02-09,76.25,77.59,74.36,76.95,4310884,1.032,1.37%,76.327,327205928.73,36455
2018-02-08,75.94,79.19,75.60,75.91,5477779,0.526,0.70%,75.2954,424924534.91,43576
2018-02-07,73.99,76.31,73.64,75.38,2143581,1.587,2.17%,74.7697,161651400.26,19694
2018-02-06,71.97,74.54,71.40,73.78,2899882,0.883,1.22%,73.1827,212666030.54,27980
2018-02-05,74.67,75.66,72.89,72.89,3160337,-2.004,-2.70%,72.2999,234560287.99,29161
2018-02-02,75.84,76.05,74.66,74.91,2955372,-1.27,-1.68%,74.3035,222429887.99,25353
2018-02-01,76.22,76.94,75.88,76.19,2208285,-0.456,-0.60%,75.5732,168427018.76,16422
2018-01-31,77.03,77.38,76.20,76.65,3227358,-0.149,-0.20%,76.0294,247583228.56,25859
2018-01-30,77.59,78.24,76.75,76.80,2310321,-0.595,-0.78%,76.1782,178239306.00,16860
2018-01-29,77.20,78.04,76.91,77.40,1715741,-0.248,-0.32%,76.7734,132947892.24,15684
2018-01-26,76.87,77.75,76.58,77.65,1853988,0.962,1.26%,77.0213,143149793.30,14769
2018-01-25,76.88,77.50,76.20,76.68,3590954,0.099,0.13%,76.0592,275593280.44,27884
2018-01-24,75.65,77.24,75.47,76.58,2375151,1.071,1.43%,75.96,181556618.44,15174
2018-01-23,76.26,76.26,74.10,75.50,2599936,-0.853,-1.13%,74.8888,195345491.98,19959
2018-01-22,74.85,76.40,74.775,76.36,1787844,1.389,1.87%,75.7418,135879814.44,13139
2018-01-19,76.00,76.10,74.16,74.96,3044444,-1.051,-1.39%,74.3531,228070071.28,20138
2018-01-18,74.91,76.185,74.325,76.02,2166652,0.516,0.69%,75.4045,164114165.07,16809
2018-01-17,74.50,75.99,74.21,75.50,1387849,1.17,1.59%,74.8888,104490898.62,13197
2018-01-16,76.25,76.65,74.19,74.32,2368945,-1.587,-2.11%,73.7183,177776546.53,19789
2018-01-12,74.55,76.11,74.52,75.92,2678738,1.587,2.15%,75.3054,202578195.09,19707
2018-01-11,72.79,74.42,72.655,74.32,1911033,1.607,2.23%,73.7183,141325375.54,14905
2018-01-10,71.90,72.81,71.20,72.70,1906050,0.615,0.86%,72.1114,137886190.14,15135
2018-01-09,72.76,73.15,72.02,72.08,1626065,-0.327,-0.46%,71.4964,117840680.14,11526
2018-01-08,71.73,72.62,71.26,72.41,1875447,0.238,0.33%,71.8238,135325241.35,14096
2018-01-05,71.39,72.22,70.85,72.17,1841607,1.101,1.56%,71.5857,132248225.91,14015
2018-01-04,70.41,71.23,69.65,71.06,2033325,0.694,0.99%,70.4847,143740282.63,16260
2018-01-03,72.59,72.82,70.20,70.36,3589048,-2.39,-3.31%,69.7904,253978493.61,26720
2018-01-02,72.66,73.36,71.35,72.77,3065210,-0.06,-0.08%,72.1809,222523339.98,25100
2017-12-29,73.41,73.83,72.83,72.83,1418145,-0.565,-0.78%,72.2404,103634920.94,10136
2017-12-28,73.71,73.71,72.65,73.40,925096,-0.079,-0.11%,72.8058,67735538.37,7452
2017-12-27,73.39,73.53,72.94,73.48,1196075,0.129,0.18%,72.8851,87675502.98,8158
2017-12-26,73.51,74.27,73.02,73.35,722729,-0.258,-0.35%,72.7562,53071980.87,5884
2017-12-22,74.17,74.33,73.23,73.61,1752140,-0.466,-0.63%,73.0141,128934458.10,13324
2017-12-21,74.53,74.81,73.99,74.08,1368577,0.079,0.11%,73.4802,101720057.59,11060
2017-12-20,73.73,74.54,73.60,74.00,2247858,0.129,0.18%,73.4009,166451144.76,14056
2017-12-19,73.55,74.02,72.96,73.87,1937860,0.397,0.54%,73.2719,142531810.22,15768
2017-12-18,74.24,74.49,72.72,73.47,1791055,-0.337,-0.46%,72.8752,131661128.28,15101
2017-12-15,73.92,74.83,73.52,74.41,4030885,1.289,1.79%,73.2125,299748467.46,18738
2017-12-14,73.30,74.33,72.59,73.10,3311517,-0.60,-0.83%,71.9235,243008548.66,24988
2017-12-13,73.84,74.66,73.41,73.71,2019357,-0.787,-1.07%,72.5237,149117925.36,14864
2017-12-12,74.44,74.88,73.70,74.51,1922110,0.069,0.09%,73.3109,142616640.90,13996
2017-12-11,73.95,75.18,73.4801,74.44,2570642,0.945,1.31%,73.242,191259523.08,18024
2017-12-08,73.32,73.65,72.82,73.48,3271961,0.384,0.53%,72.2974,239767319.27,25860
2017-12-07,74.39,74.78,72.95,73.09,3133609,-1.358,-1.85%,71.9137,229933094.71,19072
2017-12-06,75.31,75.88,74.31,74.47,2495585,-0.826,-1.12%,73.2715,186460880.03,18081
2017-12-05,75.42,76.48,74.15,75.31,3735591,0.60,0.82%,74.098,280932849.92,26954
2017-12-04,74.02,76.09,74.02,74.70,4181204,1.299,1.80%,73.4978,313687855.85,30213
2017-12-01,71.57,73.45,70.64,73.38,2642078,1.909,2.72%,72.199,191834046.93,23590
