date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,250.52,251.0081,246.01,249.12,708264,-1.39,-0.55%,249.12,176377153.06,9827
2018-03-09,244.44,250.83,243.25,250.51,641775,8.17,3.37%,250.51,159418683.87,9857
2018-03-08,244.42,244.86,241.665,242.34,670232,-0.44,-0.18%,242.34,162888416.58,8167
2018-03-07,249.32,250.50,242.43,242.78,880431,-8.96,-3.56%,242.78,215852646.35,10562
2018-03-06,246.78,252.78,245.64,251.74,661269,4.89,1.98%,251.74,165101051.41,10522
2018-03-05,240.00,246.91,240.00,246.85,744538,5.84,2.42%,246.85,182162033.88,9697
2018-03-02,242.33,244.13,237.7036,241.01,934884,-2.25,-0.92%,241.01,224579055.44,12527
2018-03-01,243.63,248.16,240.54,243.26,938926,-0.93,-0.38%,243.26,229124195.43,12654
2018-02-28,240.88,250.31,239.01,244.19,1175747,5.61,2.35%,244.19,289342015.38,15245
2018-02-27,253.40,253.67,238.41,238.58,1972101,-16.39,-6.43%,238.58,479850739.71,24087
2018-02-26,254.40,255.03,251.50,254.97,754717,0.84,0.33%,254.97,191685671.96,9401
2018-02-23,249.08,254.22,249.08,254.13,608274,6.77,2.74%,254.13,153830930.12,8768
2018-02-22,248.47,251.87,246.65,247.36,589434,-0.33,-0.13%,247.36,146533510.49,8907
2018-02-21,255.05,258.76,247.53,247.69,977521,-4.69,-1.86%,247.69,245967467.47,12410
2018-02-20,250.05,254.89,247.73,252.38,781021,1.28,0.51%,252.38,196862120.26,11199
2018-02-16,251.99,253.54,249.43,251.10,726765,-1.19,-0.47%,251.10,182835972.46,9374
2018-02-15,248.62,252.29,247.6035,252.29,843479,4.74,1.91%,252.29,211467005.67,11559
2018-02-14,244.06,249.52,242.38,247.55,1095351,2.24,0.91%,247.55,270786977.30,13883
2018-02-13,247.09,248.87,243.08,245.31,753123,-2.94,-1.18%,245.31,184898519.04,10422
2018-02-12,250.60,252.89,244.66,248.25,944453,-1.58,-0.63%,248.25,234354066.51,12470
2018-02-09,254.82,256.36,239.82,249.83,1837037,-2.39,-0.95%,249.83,453917166.61,25226
2018-02-08,256.00,262.36,248.441,252.22,2593310,0.14,0.06%,252.22,663614681.23,28472
2018-02-07,254.03,258.40,250.51,252.08,1735146,-2.82,-1.11%,252.08,439515072.37,23218
2018-02-06,245.15,255.72,241.68,254.90,1404779,8.41,3.41%,254.90,353572369.36,18869
2018-02-05,251.73,258.47,246.46,246.49,1409164,-6.15,-2.43%,246.49,357040732.41,19041
2018-02-02,260.72,263.08,251.84,252.64,1470105,-9.74,-3.71%,252.64,377146856.75,19935
2018-02-01,263.01,266.47,260.67,262.38,952776,-2.31,-0.87%,262.38,250915187.89,13526
2018-01-31,269.13,271.56,263.70,264.69,1513927,-3.58,-1.33%,264.69,403683537.16,17132
2018-01-30,272.87,276.05,267.78,268.27,917561,-5.67,-2.07%,268.27,248001867.39,10589
2018-01-29,275.14,276.24,272.96,273.94,648527,-1.53,-0.56%,273.94,177907509.10,8217
2018-01-26,275.14,276.01,272.75,275.47,703218,2.59,0.95%,275.47,193243117.26,8849
2018-01-25,277.57,279.23,272.38,272.88,851224,-3.05,-1.11%,272.88,233735371.36,10403
2018-01-24,272.49,277.13,269.18,275.93,742903,4.72,1.74%,275.93,203924606.90,9863
2018-01-23,271.49,272.46,268.82,271.21,599983,-1.09,-0.40%,271.21,162514232.70,7313
2018-01-22,273.00,274.68,268.77,272.30,689608,-0.72,-0.26%,272.30,187459858.25,9180
2018-01-19,268.04,273.17,266.79,273.02,785697,6.69,2.51%,273.02,213209428.15,8907
2018-01-18,264.92,267.13,263.36,266.33,659208,1.29,0.49%,266.33,175216688.76,8868
2018-01-17,259.61,265.82,257.50,265.04,1067838,7.15,2.77%,265.04,280286317.93,13245
2018-01-16,259.86,260.51,256.35,257.89,844324,-0.71,-0.27%,257.89,217780297.22,10971
2018-01-12,261.15,261.15,256.13,258.60,1247619,-1.15,-0.44%,258.60,323438720.66,13947
2018-01-11,258.54,260.28,256.96,259.75,813856,1.30,0.50%,259.75,210932781.74,9563
2018-01-10,260.19,261.13,258.06,258.45,703169,-2.81,-1.08%,258.45,182397830.13,9118
2018-01-09,260.18,262.38,258.01,261.26,531236,1.26,0.48%,261.26,138508232.62,7790
2018-01-08,260.95,266.26,259.21,260.00,641363,-0.28,-0.11%,260.00,167639171.04,8481
2018-01-05,259.49,262.33,257.51,260.28,641546,2.60,1.01%,260.28,166655684.30,8346
2018-01-04,255.56,261.22,254.215,257.68,892177,3.84,1.51%,257.68,229522875.37,12539
2018-01-03,249.90,255.705,248.82,253.84,1358724,4.58,1.84%,253.84,344209930.09,11870
2018-01-02,241.34,252.03,241.29,249.26,1423480,8.72,3.63%,249.26,354461845.19,15861
2017-12-29,241.34,242.51,240.28,240.54,834625,-1.82,-0.75%,240.54,201316779.76,8054
2017-12-28,242.85,243.54,240.9582,242.36,747264,0.05,0.02%,242.36,180965441.48,8005
