date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,63.75,64.54,63.50,63.89,7821475,0.22,0.35%,63.89,500404564.49,43420
2018-03-09,63.39,63.76,63.10,63.67,12059707,0.71,1.13%,63.67,766141041.59,56077
2018-03-08,64.39,64.55,62.47,62.96,9402574,-1.46,-2.27%,62.96,594086311.99,61642
2018-03-07,65.12,65.705,64.20,65.19,4694166,-0.464,-0.72%,64.42,305385456.47,32802
2018-03-06,66.45,66.51,65.56,65.66,4435259,-0.257,-0.39%,64.8844,292233826.67,29362
2018-03-05,65.17,66.38,65.01,65.92,4746913,0.277,0.43%,65.1414,312809860.81,33526
2018-03-02,65.12,65.85,64.24,65.64,3752456,0.01,0.02%,64.8647,244600962.47,31726
2018-03-01,65.70,66.39,65.08,65.63,5519323,0.03,0.05%,64.8548,362748502.16,48047
2018-02-28,67.25,67.39,65.59,65.60,8149584,-1.136,-1.72%,64.8251,540389779.36,31268
2018-02-27,67.61,67.98,66.75,66.75,6623649,-0.514,-0.77%,65.9615,446451654.24,48113
2018-02-26,68.36,68.42,67.15,67.27,7385607,-1.038,-1.54%,66.4754,498909407.34,47869
2018-02-23,68.34,68.85,67.72,68.32,3854662,0.395,0.59%,67.513,262973548.88,28593
2018-02-22,67.82,68.81,67.36,67.92,3785333,0.702,1.06%,67.1177,258038303.61,28704
2018-02-21,67.99,68.70,67.19,67.21,5113629,-0.771,-1.15%,66.4161,347071465.56,37892
2018-02-20,68.88,68.88,67.81,67.99,5107948,-0.168,-0.25%,67.1869,348324137.30,39209
2018-02-16,69.21,69.41,68.07,68.16,5793646,-1.255,-1.83%,67.3549,397438878.14,41453
2018-02-15,69.95,70.05,67.69,69.43,5020812,-0.415,-0.60%,68.6099,346071843.40,39539
2018-02-14,66.62,70.20,66.60,69.85,8007764,0.128,0.19%,69.0249,549508476.91,56239
2018-02-13,69.21,70.17,69.12,69.72,4519843,-0.148,-0.21%,68.8965,315351412.24,31805
2018-02-12,68.89,70.53,68.89,69.87,3951715,1.67,2.48%,69.0447,276222748.53,33823
2018-02-09,69.04,69.41,65.7128,68.18,5440264,-0.287,-0.42%,67.3747,367235348.53,47079
2018-02-08,69.99,70.16,68.47,68.47,7126269,-1.383,-2.00%,67.6612,493192580.18,49874
2018-02-07,71.48,72.20,69.85,69.87,5630286,-1.334,-1.90%,69.0447,397998031.50,45270
2018-02-06,69.77,71.66,69.40,71.22,5616417,0.306,0.44%,70.3787,396579708.74,45929
2018-02-05,72.99,73.87,70.05,70.91,5786781,-2.638,-3.63%,70.0724,416398277.78,44332
2018-02-02,75.20,75.20,73.35,73.58,5505047,-2.49,-3.31%,72.7109,406751809.56,36729
2018-02-01,75.02,76.28,74.99,76.10,3165336,1.117,1.51%,75.2011,239553441.97,24327
2018-01-31,74.86,75.25,74.22,74.97,4626137,0.208,0.28%,74.0845,346089353.82,26204
2018-01-30,75.48,76.04,74.68,74.76,4415223,-1.463,-1.94%,73.8769,331314550.07,30325
2018-01-29,76.88,77.1867,76.08,76.24,3014770,-0.929,-1.22%,75.3395,231079895.60,21856
