date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,66.67,66.93,66.31,66.50,1261430,-0.02,-0.03%,66.50,83998381.51,10066
2018-03-09,65.50,66.70,65.47,66.52,1452131,1.13,1.73%,66.52,96146952.70,11637
2018-03-08,65.06,65.82,64.97,65.39,2175121,0.57,0.88%,65.39,142375285.71,15574
2018-03-07,64.68,65.089,64.34,64.82,1602956,-0.27,-0.41%,64.82,103855726.02,11856
2018-03-06,65.24,65.24,64.36,65.09,1630996,0.05,0.08%,65.09,105883309.45,10301
2018-03-05,63.33,65.23,63.33,65.04,1772977,1.25,1.96%,65.04,114921216.79,16431
2018-03-02,63.24,63.95,63.00,63.79,1549669,0.24,0.38%,63.79,98539011.91,13787
2018-03-01,63.65,65.73,63.09,63.55,2769953,-1.58,-2.43%,63.55,177136702.19,23888
2018-02-28,66.40,66.715,65.11,65.13,2474509,-0.79,-1.20%,65.13,162055092.08,15345
2018-02-27,67.03,67.87,65.92,65.92,2121677,-0.91,-1.36%,65.92,140930703.75,16831
2018-02-26,66.52,66.92,66.41,66.83,1711580,0.36,0.54%,66.83,114200638.10,13823
2018-02-23,65.53,66.49,65.21,66.47,1246884,1.42,2.18%,66.47,82456291.79,10569
2018-02-22,65.32,65.83,64.88,65.05,1181654,-0.03,-0.05%,65.05,77128000.56,12235
2018-02-21,65.64,66.24,65.08,65.08,1536346,-0.33,-0.50%,65.08,100745948.87,14643
2018-02-20,66.67,66.90,65.30,65.41,2239208,-1.40,-2.10%,65.41,146963403.88,21353
2018-02-16,66.48,67.40,66.48,66.81,3203782,0.34,0.51%,66.81,214064148.01,16772
2018-02-15,65.92,66.47,65.31,66.47,2146018,1.10,1.68%,66.47,141905534.67,16409
2018-02-14,64.33,65.53,63.93,65.37,1469687,0.74,1.14%,65.37,95601296.36,13251
2018-02-13,64.30,64.89,64.00,64.63,1562026,-0.06,-0.09%,64.63,100785935.05,11809
2018-02-12,64.58,65.05,64.21,64.69,2112974,0.53,0.83%,64.69,136738194.39,17687
2018-02-09,62.59,64.61,62.03,64.16,3338805,2.30,3.72%,64.16,211700156.31,28331
2018-02-08,64.60,64.60,61.80,61.86,3128571,-2.88,-4.45%,61.86,196710250.04,28493
2018-02-07,63.90,65.9457,63.68,64.74,2691333,0.51,0.79%,64.74,175257441.13,27539
