date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,20.12,20.26,20.04,20.11,3034653,-0.04,-0.20%,20.11,61042906.94,19187
2018-03-09,19.86,20.15,19.79,20.15,2536334,0.38,1.92%,20.15,50853600.69,14014
2018-03-08,19.93,20.01,19.60,19.77,1822378,-0.15,-0.75%,19.77,35969747.07,12688
2018-03-07,19.68,20.00,19.68,19.92,1968088,0.02,0.10%,19.92,39187424.80,13461
2018-03-06,19.72,19.94,19.57,19.90,1933570,0.23,1.17%,19.90,38329343.73,13996
2018-03-05,19.27,19.74,19.18,19.67,3574699,0.23,1.18%,19.67,70058144.95,19181
2018-03-02,19.05,19.46,18.815,19.44,2495550,0.28,1.46%,19.44,48061570.35,17010
2018-03-01,19.11,19.32,19.01,19.16,3225332,0.02,0.10%,19.16,61809943.14,22362
2018-02-28,19.58,19.69,19.13,19.14,2566241,-0.32,-1.64%,19.14,49687609.57,16503
2018-02-27,19.71,19.92,19.45,19.46,2601746,-0.26,-1.32%,19.46,51138022.70,16442
2018-02-26,19.75,19.75,19.415,19.72,2732907,0.03,0.15%,19.72,53528591.28,16565
2018-02-23,19.47,19.69,19.44,19.69,1965526,0.26,1.34%,19.69,38436305.14,12022
2018-02-22,19.83,19.92,19.37,19.43,2341453,-0.33,-1.67%,19.43,45792465.98,16446
2018-02-21,19.60,19.99,19.54,19.76,2179952,0.14,0.71%,19.76,43236830.08,14353
2018-02-20,19.81,19.90,19.52,19.62,2071665,-0.22,-1.11%,19.62,40731883.95,13537
2018-02-16,19.64,19.91,19.64,19.84,2753989,0.10,0.51%,19.84,54571517.56,17788
2018-02-15,19.66,19.804,19.61,19.74,2684269,0.16,0.82%,19.74,52893963.55,18199
2018-02-14,19.08,19.61,19.02,19.58,2521784,0.45,2.35%,19.58,49045133.00,15918
2018-02-13,18.99,19.15,18.93,19.13,1923215,0.06,0.31%,19.13,36698002.04,14236
2018-02-12,18.97,19.26,18.86,19.07,2095328,0.16,0.85%,19.07,39939120.34,15285
2018-02-09,18.94,19.04,18.42,18.91,4113679,0.35,1.89%,18.91,77158290.10,30546
2018-02-08,19.19,19.19,18.56,18.56,3106318,-0.64,-3.33%,18.56,58734304.23,24326
2018-02-07,19.05,19.39,18.97,19.20,3537968,0.08,0.42%,19.20,68113734.75,23280
2018-02-06,18.65,19.205,18.28,19.12,5110386,0.11,0.58%,19.12,96762056.91,38045
2018-02-05,19.55,19.71,19.005,19.01,6518371,-0.62,-3.16%,19.01,126360160.17,37650
2018-02-02,19.74,19.99,19.60,19.63,3028480,-0.18,-0.91%,19.63,59841653.35,19827
2018-02-01,19.62,19.83,19.525,19.81,2966512,0.14,0.71%,19.81,58495739.41,19236
2018-01-31,19.59,19.75,19.49,19.67,6456227,0.182,0.94%,19.67,126831753.02,23489
2018-01-30,19.71,19.93,19.65,19.66,3315603,-0.099,-0.51%,19.4875,65416349.85,20372
2018-01-29,19.92,19.99,19.73,19.76,2300149,-0.159,-0.80%,19.5866,45577829.66,14118
2018-01-26,19.92,20.00,19.75,19.92,2181538,0.01,0.05%,19.7452,43324890.92,13233
2018-01-25,19.99,20.05,19.86,19.91,4205172,-0.03,-0.15%,19.7353,83765789.92,21571
2018-01-24,20.11,20.14,19.85,19.94,2084089,-0.119,-0.60%,19.765,41627847.94,14956
2018-01-23,19.87,20.11,19.8322,20.06,2739376,0.04,0.20%,19.884,54813563.25,18031
2018-01-22,19.95,20.07,19.82,20.02,3973888,-0.059,-0.30%,19.8443,79300079.52,22511
2018-01-19,19.87,20.12,19.58,20.08,6113046,0.644,3.35%,19.9038,121646124.85,30720
2018-01-18,19.44,19.56,19.315,19.43,3653679,-0.02,-0.10%,19.2595,71055010.04,24949
2018-01-17,19.48,19.51,19.24,19.45,2496973,0.059,0.31%,19.2793,48463886.29,15987
2018-01-16,19.60,19.60,19.30,19.39,2783394,-0.089,-0.46%,19.2199,54148595.00,19134
2018-01-12,19.55,19.63,19.41,19.48,2098732,0.00,0.00%,19.3091,40947761.91,13934
2018-01-11,19.38,19.49,19.25,19.48,1829259,0.228,1.19%,19.3091,35527674.40,12348
2018-01-10,19.17,19.50,19.08,19.25,2180742,0.178,0.94%,19.0811,42163277.06,15291
2018-01-09,19.04,19.345,19.00,19.07,2768436,0.099,0.53%,18.9027,53001732.14,16063
2018-01-08,18.93,18.98,18.75,18.97,2626284,0.03,0.16%,18.8036,49647687.69,11855
2018-01-05,18.92,18.99,18.80,18.94,2132121,0.099,0.53%,18.7738,40278550.24,12480
2018-01-04,18.86,19.0064,18.79,18.84,2262828,0.119,0.64%,18.6747,42667009.05,13469
2018-01-03,18.73,18.80,18.57,18.72,2472070,-0.079,-0.43%,18.5558,46152864.61,13330
2018-01-02,18.83,18.93,18.645,18.80,2784425,0.099,0.53%,18.635,52279291.80,14807
2017-12-29,18.95,19.01,18.70,18.70,1803175,-0.218,-1.16%,18.5359,33844671.52,8838
2017-12-28,18.81,18.93,18.725,18.92,1812494,0.139,0.75%,18.754,34164805.03,10378
2017-12-27,18.90,18.9499,18.74,18.78,1711336,-0.089,-0.48%,18.6152,32186401.90,10307
2017-12-26,18.91,19.04,18.80,18.87,1341188,-0.045,-0.24%,18.7044,25306787.85,7276
2017-12-22,19.10,19.10,18.84,18.915,1363793,-0.104,-0.55%,18.749,25806757.63,10240
2017-12-21,18.97,19.09,18.90,19.02,2545657,0.149,0.79%,18.8531,48405891.87,14578
2017-12-20,19.14,19.18,18.72,18.87,2605733,-0.169,-0.89%,18.7044,49214398.39,13915
2017-12-19,19.14,19.195,18.93,19.04,3475726,0.04,0.21%,18.8729,66237841.88,17919
2017-12-18,18.99,19.10,18.855,19.00,2880203,0.188,1.01%,18.8333,54605005.42,18407
2017-12-15,18.57,19.11,18.53,18.81,9827777,0.307,1.68%,18.645,185139702.34,25448
2017-12-14,18.70,18.84,18.475,18.50,3515106,-0.169,-0.91%,18.3377,65346119.32,21942
2017-12-13,18.78,18.92,18.57,18.67,2783741,-0.069,-0.37%,18.5062,52197209.29,16953
2017-12-12,18.68,18.83,18.58,18.74,1734018,0.079,0.43%,18.5756,32468694.60,12351
2017-12-11,18.82,18.87,18.59,18.66,1947597,-0.178,-0.96%,18.4963,36422364.01,10104
2017-12-08,19.00,19.00,18.66,18.84,2081309,-0.05,-0.26%,18.6747,39145422.01,14306
2017-12-07,18.78,19.01,18.68,18.89,1475025,0.069,0.37%,18.7243,27850306.93,10840
2017-12-06,18.90,19.22,18.80,18.82,2142191,-0.129,-0.69%,18.6549,40464364.21,13863
2017-12-05,19.30,19.415,18.88,18.95,2550601,-0.297,-1.56%,18.7837,48560606.77,14765
2017-12-04,19.07,19.40,19.04,19.25,4720070,0.337,1.80%,19.0811,91014235.29,23421
2017-12-01,19.01,19.17,18.27,18.91,4153850,-0.109,-0.58%,18.7441,78170185.76,29691
2017-11-30,19.40,19.495,19.02,19.02,3562065,-0.238,-1.25%,18.8531,68252695.41,21181
2017-11-29,18.86,19.35,18.83,19.26,3721128,0.545,2.94%,19.091,71303596.10,24979
2017-11-28,18.19,18.725,18.155,18.71,2543477,0.535,2.97%,18.5458,47159349.75,16128
2017-11-27,18.13,18.27,18.11,18.17,1125417,0.05,0.28%,18.0106,20472465.15,8653
2017-11-24,18.27,18.275,18.12,18.12,605566,-0.079,-0.44%,17.961,11004009.26,4776
2017-11-22,18.16,18.31,18.12,18.20,1817588,0.01,0.05%,18.0403,33111571.32,12870
2017-11-21,18.36,18.36,18.155,18.19,2051373,-0.139,-0.76%,18.0304,37357422.42,13616
2017-11-20,18.19,18.33,18.09,18.33,1810620,0.159,0.88%,18.1692,33049884.20,11586
2017-11-17,18.03,18.24,17.98,18.17,1580467,0.059,0.33%,18.0106,28690008.83,10806
2017-11-16,18.30,18.32,18.11,18.11,1712467,-0.089,-0.49%,17.9511,31115914.12,11856
2017-11-15,18.12,18.37,18.03,18.20,3169019,-0.079,-0.44%,18.0403,57722980.73,19679
2017-11-14,18.09,18.385,18.09,18.28,2421072,0.069,0.38%,18.1196,44199230.85,17929
2017-11-13,17.63,18.23,17.58,18.21,3747470,0.496,2.82%,18.0502,67670276.80,20234
2017-11-10,17.76,17.875,17.65,17.71,2067687,-0.05,-0.28%,17.5546,36727013.27,12681
2017-11-09,17.88,17.97,17.645,17.76,2495595,-0.188,-1.06%,17.6042,44380388.73,16576
2017-11-08,17.99,18.12,17.79,17.95,2212816,-0.099,-0.55%,17.7925,39616553.80,13583
2017-11-07,18.38,18.42,17.99,18.05,3032317,-0.367,-2.01%,17.8916,54988075.90,20601
2017-11-06,18.44,18.47,18.32,18.42,2485084,-0.069,-0.38%,18.2584,45733627.09,11859
2017-11-03,18.54,18.60,18.33,18.49,1795819,-0.129,-0.70%,18.3278,33165531.89,12700
2017-11-02,18.49,18.66,18.36,18.62,1908678,0.089,0.49%,18.4566,35366879.54,13333
2017-11-01,18.75,18.78,18.46,18.53,1929376,-0.129,-0.70%,18.3674,35874167.14,12799
2017-10-31,18.52,18.819,18.40,18.66,4263505,0.201,1.10%,18.4963,79530966.07,19811
2017-10-30,18.83,18.89,18.56,18.63,2347386,-0.285,-1.53%,18.2956,43840407.69,14329
2017-10-27,18.80,18.95,18.695,18.92,1930878,0.069,0.37%,18.5804,36427123.72,13423
2017-10-26,18.67,18.90,18.65,18.85,1685978,0.167,0.91%,18.5116,31760635.65,12308
2017-10-25,18.83,18.86,18.55,18.68,2301296,-0.157,-0.85%,18.3447,43010055.48,16474
2017-10-24,18.79,19.06,18.77,18.84,4568458,0.088,0.48%,18.5018,86185015.48,23176
2017-10-23,18.90,18.95,18.65,18.75,3895349,-0.137,-0.74%,18.4134,73085052.12,25030
2017-10-20,19.36,19.36,18.745,18.89,3267456,0.52,2.89%,18.5509,61821153.00,20255
2017-10-19,18.10,18.41,18.10,18.36,2187921,0.118,0.66%,18.0304,40037750.94,13986
