date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,41.99,42.44,41.79,42.42,5138119,0.39,0.93%,42.42,216653226.97,30782
2018-03-09,41.66,42.04,41.56,42.03,3644104,0.30,0.72%,42.03,152577683.37,22832
2018-03-08,41.14,41.81,41.10,41.73,2675601,0.61,1.48%,41.73,111414361.44,18313
2018-03-07,42.36,42.6099,41.10,41.12,6288074,-1.30,-3.06%,41.12,261472390.85,37958
2018-03-06,41.93,42.67,41.5363,42.42,6426815,0.47,1.12%,42.42,271354621.77,37644
2018-03-05,40.72,42.15,40.22,41.95,5381636,1.23,3.02%,41.95,222967777.37,27058
2018-03-02,41.00,41.58,40.60,40.72,4818286,-0.54,-1.31%,40.72,197033070.83,30574
2018-03-01,41.09,42.52,41.09,41.26,7259548,0.17,0.41%,41.26,302716051.76,48366
2018-02-28,40.45,41.45,40.06,41.09,7790981,0.86,2.14%,41.09,319635178.34,38420
2018-02-27,41.13,41.66,40.23,40.23,5602706,-0.83,-2.02%,40.23,228453317.79,36966
2018-02-26,41.19,41.78,40.94,41.06,8214973,-0.08,-0.19%,41.06,339322877.19,32149
2018-02-23,40.25,41.19,40.24,41.14,3304563,1.05,2.62%,41.14,135309779.98,21204
2018-02-22,39.93,40.35,39.79,40.09,4619372,0.30,0.75%,40.09,185217683.76,26532
2018-02-21,39.98,40.6254,39.77,39.79,6735011,-0.22,-0.55%,39.79,270482486.87,29693
2018-02-20,40.30,40.51,39.74,40.01,4057167,-0.39,-0.97%,40.01,162211537.21,20273
2018-02-16,40.07,40.56,39.875,40.40,4106901,0.44,1.10%,40.40,165677285.87,23039
2018-02-15,39.34,39.99,39.245,39.96,4891591,0.88,2.25%,39.96,194369912.01,28470
2018-02-14,39.48,39.96,39.05,39.08,4741418,-0.75,-1.88%,39.08,186707031.71,28188
2018-02-13,39.22,40.08,38.99,39.83,8801037,0.49,1.25%,39.83,347820537.86,36704
2018-02-12,38.63,39.585,38.29,39.34,6050523,0.77,2.00%,39.34,235849005.36,37847
2018-02-09,38.45,38.8526,37.30,38.57,7358020,0.33,0.86%,38.57,280447120.85,48369
2018-02-08,39.36,39.50,38.23,38.24,6051683,-1.24,-3.14%,38.24,235350817.26,42273
2018-02-07,39.82,40.345,39.33,39.48,5693490,-0.38,-0.95%,39.48,226613609.87,35405
2018-02-06,40.00,40.09,38.45,39.86,7861409,-0.44,-1.09%,39.86,310223289.99,49960
2018-02-05,41.55,41.695,40.30,40.30,5042424,-1.14,-2.75%,40.30,207051378.94,31177
2018-02-02,42.10,42.29,41.18,41.44,5668493,-1.13,-2.65%,41.44,235710467.29,30725
2018-02-01,42.45,47.00,41.86,42.57,15252772,0.14,0.33%,42.57,664559325.57,78526
2018-01-31,42.09,42.55,41.67,42.43,7153113,0.45,1.07%,42.43,301969251.85,35951
2018-01-30,42.93,43.02,41.81,41.98,7566515,-1.00,-2.33%,41.98,318524275.39,37608
2018-01-29,43.27,43.4727,42.95,42.98,2737650,-0.56,-1.29%,42.98,118138010.30,17255
2018-01-26,43.77,43.90,43.32,43.54,4230333,0.05,0.11%,43.54,184110475.73,21410
2018-01-25,43.69,43.91,43.22,43.49,5662312,-0.19,-0.43%,43.49,246020412.48,31977
2018-01-24,43.82,44.38,43.52,43.68,6067075,-0.16,-0.36%,43.68,265472292.72,23345
2018-01-23,43.85,44.17,43.75,43.84,4493233,-0.10,-0.23%,43.84,197536972.92,25985
2018-01-22,44.50,44.70,43.81,43.94,4921199,-0.45,-1.01%,43.94,216977346.96,24954
2018-01-19,44.59,44.775,44.31,44.39,4337721,-0.11,-0.25%,44.39,192909674.55,23817
2018-01-18,44.02,44.61,43.95,44.50,7085652,0.30,0.68%,44.50,314877687.87,21377
2018-01-17,44.12,44.32,43.935,44.20,4322146,0.18,0.41%,44.20,190986084.12,20745
2018-01-16,43.99,44.26,43.77,44.02,4542961,0.20,0.46%,44.02,199920576.46,24930
