date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,25.52,25.52,24.53,25.01,2079676,-0.28,-1.11%,25.01,51764127.65,16438
2018-03-09,25.08,25.31,24.82,25.29,1486596,0.37,1.48%,25.29,37430365.91,10905
2018-03-08,24.99,25.15,24.59,24.92,1635397,-0.22,-0.88%,24.92,40702169.39,12421
2018-03-07,24.62,25.40,24.50,25.14,2325255,0.49,1.99%,25.14,58357101.45,18193
2018-03-06,25.09,25.11,24.30,24.65,2502179,-0.42,-1.68%,24.65,61522488.80,16968
2018-03-05,24.97,25.50,24.75,25.07,3512096,0.06,0.24%,25.07,87982574.04,24935
2018-03-02,23.445,25.17,23.32,25.01,8128116,0.905,3.75%,25.01,198661851.64,54809
2018-03-01,25.27,25.83,22.57,24.105,15341393,-7.475,-23.67%,24.105,367670934.84,88528
2018-02-28,31.99,32.30,31.53,31.58,1787951,-0.26,-0.82%,31.58,56706101.44,13698
2018-02-27,32.26,32.59,31.82,31.84,1203119,-0.51,-1.58%,31.84,38663744.99,12180
2018-02-26,32.18,32.36,31.73,32.35,1337508,0.09,0.28%,32.35,42984544.54,11923
2018-02-23,31.92,32.32,31.50,32.26,903483,0.40,1.26%,32.26,28924689.32,7722
2018-02-22,32.04,32.43,31.77,31.86,982543,-0.18,-0.56%,31.86,31472856.68,8317
2018-02-21,31.74,32.73,31.65,32.04,946612,0.44,1.39%,32.04,30587791.20,8981
2018-02-20,31.69,32.2499,31.42,31.60,2189764,-0.15,-0.47%,31.60,69482464.27,11864
2018-02-16,30.86,32.37,30.86,31.75,1930072,0.75,2.42%,31.75,61470110.40,13473
2018-02-15,31.05,31.16,30.58,31.00,1688103,-0.66,-2.08%,31.00,52262630.70,11416
2018-02-14,31.01,31.73,31.01,31.66,1261982,0.45,1.44%,31.66,39759589.70,10302
2018-02-13,29.73,31.49,28.7701,31.21,5558222,-1.71,-5.19%,31.21,168974412.05,37518
2018-02-12,33.36,34.19,32.49,32.92,1185421,-0.23,-0.69%,32.92,38971912.65,9644
2018-02-09,33.24,34.26,32.27,33.15,1652839,0.27,0.82%,33.15,54460395.48,13878
2018-02-08,33.78,33.98,32.87,32.88,1402811,-0.97,-2.87%,32.88,46838407.38,11205
2018-02-07,34.22,34.72,33.83,33.85,1163088,-0.48,-1.40%,33.85,39719880.89,8615
2018-02-06,33.07,34.43,32.74,34.33,1561371,0.64,1.90%,34.33,52934136.75,13599
2018-02-05,35.04,35.31,33.58,33.69,1153303,-1.53,-4.34%,33.69,39474785.69,9722
2018-02-02,35.49,36.04,35.20,35.22,1176925,-0.44,-1.23%,35.22,41868993.89,9938
2018-02-01,35.62,35.77,35.15,35.66,1193119,-0.23,-0.64%,35.66,42452259.76,9631
2018-01-31,36.83,36.83,35.69,35.89,1260959,-0.85,-2.31%,35.89,45386115.93,9454
2018-01-30,37.37,37.57,36.67,36.74,934250,-1.02,-2.70%,36.74,34428543.77,7497
2018-01-29,37.49,38.20,37.38,37.76,983259,0.19,0.51%,37.76,37289487.95,7254
