date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,47.11,47.69,47.05,47.58,3133898,0.53,1.13%,47.58,148751139.22,24062
2018-03-09,46.91,47.11,46.25,47.05,2587428,0.22,0.47%,47.05,121134646.39,18739
2018-03-08,46.59,47.02,46.36,46.83,3245019,0.45,0.97%,46.83,151740703.39,20605
2018-03-07,46.70,46.84,46.19,46.38,3288404,-0.36,-0.77%,46.38,152701511.97,20359
2018-03-06,48.02,48.055,47.08,47.19,3251328,-0.872,-1.83%,46.74,153723707.97,23224
2018-03-05,47.64,48.265,47.25,48.07,4358244,0.366,0.78%,47.6116,208543500.79,30245
2018-03-02,48.27,48.58,47.08,47.70,3558288,-0.584,-1.22%,47.2451,169544445.52,23717
2018-03-01,48.47,49.02,47.9264,48.29,3615311,-0.139,-0.29%,47.8295,174783294.89,31124
2018-02-28,48.97,49.28,48.42,48.43,2961938,-0.357,-0.74%,47.9682,144378598.55,22030
2018-02-27,50.28,50.41,48.78,48.79,4037991,-1.496,-3.00%,48.3247,198662692.38,27725
2018-02-26,50.59,50.85,50.14,50.30,2619223,-0.228,-0.46%,49.8203,132157100.32,21235
2018-02-23,49.01,50.56,48.55,50.53,2637456,1.337,2.75%,50.0481,132107293.58,20458
2018-02-22,48.68,49.46,48.42,49.18,2805120,0.644,1.34%,48.711,137972579.02,21648
2018-02-21,49.31,49.61,48.495,48.53,2741870,-0.753,-1.54%,48.0672,134318856.43,15480
2018-02-20,49.19,49.50,48.86,49.29,4765513,-0.139,-0.28%,48.82,234532482.50,21826
2018-02-16,48.72,49.67,48.53,49.43,2480826,0.812,1.69%,48.9586,122346555.97,18002
2018-02-15,47.69,48.61,47.61,48.61,2704513,0.981,2.08%,48.1465,130455973.58,20493
2018-02-14,47.63,48.11,47.37,47.62,2315072,-0.416,-0.87%,47.1659,110472161.42,17867
2018-02-13,47.46,48.15,47.08,48.04,2519066,0.416,0.88%,47.5819,120287719.04,20033
2018-02-12,47.33,47.85,46.79,47.62,5126799,0.376,0.80%,47.1659,243253523.83,30184
2018-02-09,46.68,47.61,46.20,47.24,5031957,0.505,1.09%,46.7895,236051316.93,39810
2018-02-08,47.48,48.14,46.68,46.73,5313783,-0.961,-2.03%,46.2844,250763939.78,33361
2018-02-07,47.59,48.48,47.54,47.70,3299967,0.069,0.15%,47.2451,158411153.87,25527
2018-02-06,48.27,48.33,46.58,47.63,4905822,-1.198,-2.48%,47.1758,232307130.73,35885
