date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,36.92,37.00,36.50,36.61,25210277,-0.16,-0.44%,36.61,924236965.12,70186
2018-03-09,36.61,36.92,36.53,36.77,18311855,0.27,0.74%,36.77,672831755.79,68788
2018-03-08,35.99,36.50,35.93,36.50,20537588,0.57,1.59%,36.50,745974363.15,69197
2018-03-07,35.60,36.08,35.55,35.93,22239404,0.05,0.14%,35.93,796460264.72,72355
2018-03-06,36.24,36.24,35.75,35.88,17081100,-0.24,-0.66%,35.88,613530787.00,65674
2018-03-05,35.82,36.28,35.77,36.12,21176053,0.17,0.47%,36.12,763530162.14,74944
2018-03-02,35.55,36.07,35.40,35.95,21130333,0.32,0.90%,35.95,757225810.44,80037
2018-03-01,36.12,36.2693,35.195,35.63,28731400,-0.68,-1.87%,35.63,1025718421.43,137554
2018-02-28,37.03,37.28,36.31,36.31,26907899,-0.49,-1.33%,36.31,988072097.20,93321
2018-02-27,37.07,37.235,36.74,36.80,22336909,-0.29,-0.78%,36.80,825380595.31,92576
2018-02-26,36.29,37.21,36.21,37.09,24105629,0.83,2.29%,37.09,890358763.17,87015
2018-02-23,35.93,36.30,35.83,36.26,17020895,0.52,1.45%,36.26,614302074.62,62327
2018-02-22,35.87,36.15,35.61,35.74,22754704,-0.02,-0.06%,35.74,815326688.87,94169
2018-02-21,35.97,36.59,35.73,35.76,24546750,-0.25,-0.69%,35.76,887156806.97,88278
2018-02-20,36.02,36.4927,35.88,36.01,25808704,-0.25,-0.69%,36.01,932391746.24,80721
2018-02-16,35.76,36.66,35.68,36.26,26242465,0.55,1.54%,36.26,952128196.64,97464
2018-02-15,35.37,35.73,35.08,35.71,21431059,0.52,1.48%,35.71,760964163.25,75930
2018-02-14,34.70,35.34,34.56,35.19,23239837,0.25,0.72%,35.19,815698478.36,91553
2018-02-13,34.57,35.03,34.41,34.94,20454978,0.28,0.81%,34.94,711554678.51,78344
2018-02-12,34.45,34.87,34.0285,34.66,36758689,0.50,1.46%,34.66,1271224234.58,124658
2018-02-09,34.19,34.43,33.20,34.16,47297681,0.53,1.58%,34.16,1597424026.68,207864
2018-02-08,35.00,35.17,33.60,33.63,43501709,-1.35,-3.86%,33.63,1492678926.10,187380
2018-02-07,35.13,35.65,34.97,34.98,29370002,-0.30,-0.85%,34.98,1035587915.24,128777
2018-02-06,34.16,35.475,34.00,35.28,53164235,0.61,1.76%,35.28,1842191195.61,272264
2018-02-05,36.48,36.70,34.00,34.67,40288128,-1.94,-5.30%,34.67,1424163730.36,179320
2018-02-02,36.60,37.25,36.51,36.61,24277891,-0.22,-0.60%,36.61,893571085.03,101075
2018-02-01,36.61,37.395,36.61,36.83,28176379,0.13,0.35%,36.83,1041034675.44,107939
2018-01-31,37.92,37.99,36.83,37.04,34022734,-0.753,-2.01%,36.70,1265804590.97,116001
2018-01-30,38.21,38.75,37.35,37.80,45999703,-1.209,-3.13%,37.453,1739054421.68,154969
2018-01-29,39.00,39.43,38.77,39.02,34894666,0.01,0.03%,38.6618,1365732841.22,122078
2018-01-26,37.30,39.09,37.30,39.01,48805858,1.764,4.78%,38.6519,1883039717.21,150312
2018-01-25,36.97,37.34,36.90,37.23,18015415,0.297,0.81%,36.8883,669263245.19,65869
2018-01-24,36.99,37.0701,36.731,36.93,17716499,0.109,0.30%,36.591,654023393.22,70416
2018-01-23,36.82,37.08,36.54,36.82,17578034,-0.109,-0.30%,36.482,648647050.21,71979
2018-01-22,36.89,37.07,36.73,36.93,20285144,-0.01,-0.03%,36.591,748487917.12,68829
2018-01-19,37.19,37.28,36.50,36.94,29538600,-0.05,-0.14%,36.6009,1090120880.99,79564
2018-01-18,37.17,37.17,36.70,36.99,18924552,-0.188,-0.51%,36.6505,698520070.09,65795
2018-01-17,36.82,37.37,36.765,37.18,24034478,0.575,1.58%,36.8387,893249426.42,84721
2018-01-16,36.57,36.98,36.47,36.60,28972241,0.059,0.16%,36.264,1061869195.62,70656
2018-01-12,36.63,36.80,36.46,36.54,19203657,-0.02,-0.05%,36.2046,702765336.54,68565
2018-01-11,36.64,36.70,36.42,36.56,14328844,0.089,0.25%,36.2244,522962685.24,55418
2018-01-10,36.34,36.61,36.31,36.47,17794887,0.059,0.16%,36.1352,648956662.46,58202
2018-01-09,36.44,36.637,36.36,36.41,16011637,-0.04,-0.11%,36.0758,584167171.30,67346
2018-01-08,36.72,36.80,36.33,36.45,18941521,-0.406,-1.11%,36.1154,690667824.52,63713
