date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,63.12,63.4077,62.825,63.05,1377084,0.00,0.00%,63.05,86922562.50,12851
2018-03-09,61.76,63.15,61.72,63.05,2041677,1.68,2.74%,63.05,128045898.44,19036
2018-03-08,61.64,61.7942,60.655,61.37,2066636,-0.21,-0.34%,61.37,126344190.72,17232
2018-03-07,60.87,61.82,60.69,61.58,1631314,-0.01,-0.02%,61.58,100129635.70,13398
2018-03-06,61.76,62.00,61.13,61.59,1223546,0.22,0.36%,61.59,75324123.61,13645
2018-03-05,60.52,61.86,60.08,61.37,2383345,0.28,0.46%,61.37,146039033.49,22158
2018-03-02,60.45,61.25,59.42,61.09,1467274,0.41,0.68%,61.09,88727119.62,15761
2018-03-01,62.37,62.86,61.03,61.19,2860038,-1.13,-1.83%,60.68,176549010.30,27250
2018-02-28,63.81,64.17,62.32,62.33,1914020,-1.23,-1.95%,61.8105,120653986.87,16655
2018-02-27,63.78,64.73,63.56,63.57,1412039,-0.407,-0.64%,63.0401,90290378.32,13953
2018-02-26,63.54,64.09,63.28,63.98,1157455,0.823,1.31%,63.4467,73906534.28,11612
2018-02-23,62.77,63.24,62.41,63.15,984436,0.773,1.25%,62.6236,61935319.40,9611
2018-02-22,63.43,63.79,62.15,62.37,1680198,-0.922,-1.47%,61.8501,105413905.36,15017
2018-02-21,62.78,64.42,62.78,63.30,1715860,0.595,0.96%,62.7724,109289473.80,16520
2018-02-20,62.56,63.35,62.42,62.70,1444840,-0.347,-0.56%,62.1774,90822484.91,14407
2018-02-16,62.45,63.50,62.22,63.05,1643704,0.178,0.29%,62.5245,103521891.51,13976
2018-02-15,63.67,64.44,62.21,62.87,1891279,-0.397,-0.63%,62.346,118674888.18,19465
2018-02-14,61.51,63.48,61.24,63.27,1404035,1.537,2.51%,62.7426,88035992.11,13777
2018-02-13,61.66,61.90,61.05,61.72,1223466,-0.119,-0.19%,61.2056,75363318.04,11159
2018-02-12,62.25,64.8697,60.62,61.84,2108864,0.446,0.73%,61.3246,130928768.72,19927
2018-02-09,61.31,61.925,59.25,61.39,2062647,1.002,1.67%,60.8783,124990288.33,20532
2018-02-08,63.42,63.80,60.37,60.38,2232791,-3.51,-5.54%,59.8767,137435647.56,17463
2018-02-07,64.10,65.49,63.85,63.92,1630386,-0.615,-0.96%,63.3872,105085484.55,14149
2018-02-06,62.40,64.91,61.3698,64.54,2585154,0.982,1.56%,64.0021,164931276.69,24748
2018-02-05,65.25,66.50,63.25,63.55,2105526,-2.777,-4.22%,63.0203,136576310.48,20997
2018-02-02,68.09,68.885,66.29,66.35,1352538,-2.092,-3.08%,65.797,90833068.03,11966
2018-02-01,67.34,68.60,67.34,68.46,1866271,0.853,1.27%,67.8894,127373805.71,16941
2018-01-31,68.60,69.05,67.34,67.60,2510879,-0.892,-1.31%,67.0366,170547398.49,20773
2018-01-30,70.00,72.075,68.01,68.50,3470267,-5.95,-8.05%,67.9291,239655538.95,29211
2018-01-29,74.92,75.585,74.325,74.50,1726705,-0.535,-0.72%,73.879,128812395.02,12900
2018-01-26,74.35,75.06,73.79,75.04,1203924,0.773,1.05%,74.4145,89874419.47,11112
2018-01-25,74.26,74.42,73.84,74.26,1508661,0.258,0.35%,73.641,111925254.36,12229
2018-01-24,73.94,74.20,73.51,74.00,1000293,0.436,0.60%,73.3832,73960698.14,7736
2018-01-23,73.61,73.94,73.085,73.56,1119441,-0.407,-0.55%,72.9469,82321291.06,9676
2018-01-22,74.10,74.29,73.49,73.97,1008812,-0.079,-0.11%,73.3535,74508039.73,9010
2018-01-19,73.78,74.29,73.40,74.05,1364721,0.565,0.78%,73.4328,100908445.15,8596
2018-01-18,73.58,73.95,73.35,73.48,923972,0.03,0.04%,72.8675,67999916.15,8542
2018-01-17,73.32,73.80,72.80,73.45,1015760,0.545,0.75%,72.8378,74651469.08,10052
2018-01-16,74.43,74.80,72.27,72.90,1440048,-1.299,-1.77%,72.2924,105496430.35,13415
2018-01-12,74.09,74.40,73.61,74.21,1043177,0.327,0.45%,73.5915,77196116.14,8417
2018-01-11,73.72,74.01,73.26,73.88,1147602,0.496,0.68%,73.2642,84672359.29,10809
2018-01-10,73.02,74.05,72.79,73.38,1329641,0.407,0.56%,72.7684,97664940.98,13464
2018-01-09,72.21,73.535,72.12,72.97,1477465,0.754,1.05%,72.3618,108009003.23,11531
2018-01-08,71.92,72.25,71.36,72.21,961988,0.208,0.29%,71.6081,69228566.00,8992
2018-01-05,71.56,72.21,71.34,72.00,1069435,0.545,0.77%,71.3999,76841939.81,8055
2018-01-04,70.76,71.75,70.70,71.45,908178,0.912,1.30%,70.8545,64853196.23,7675
2018-01-03,70.00,70.69,70.00,70.53,706838,0.149,0.21%,69.9421,49783511.45,6638
2018-01-02,71.18,71.32,69.921,70.38,760256,-0.178,-0.26%,69.7934,53440295.64,7458
2017-12-29,71.48,71.61,70.53,70.56,702118,-0.823,-1.16%,69.9719,49688749.73,6033
2017-12-28,71.17,71.43,70.9588,71.39,602911,0.317,0.45%,70.795,42955949.71,6017
2017-12-27,71.39,71.57,70.90,71.07,476562,-0.258,-0.36%,70.4776,33874879.53,5054
2017-12-26,71.46,71.86,71.02,71.33,433272,0.069,0.10%,70.7355,30900441.28,4720
2017-12-22,71.57,71.88,70.835,71.26,703711,0.02,0.03%,70.666,50163375.04,6096
2017-12-21,71.71,72.04,71.14,71.24,890964,-0.01,-0.01%,70.6462,63622092.74,7525
2017-12-20,71.42,71.66,70.72,71.25,1207277,0.387,0.55%,70.6561,86044780.74,10011
2017-12-19,71.10,71.42,70.52,70.86,1092741,0.248,0.35%,70.2694,77570579.11,11755
2017-12-18,70.73,71.41,69.835,70.61,1190647,0.238,0.34%,70.0215,83854234.44,10225
2017-12-15,70.05,70.93,69.915,70.37,2075300,0.476,0.69%,69.7835,146150242.35,8496
2017-12-14,70.35,70.54,69.75,69.89,1089288,-0.357,-0.51%,69.3075,76278010.92,9103
2017-12-13,70.76,71.04,70.24,70.25,1024641,-0.526,-0.75%,69.6645,72237081.89,9338
2017-12-12,71.58,71.81,70.18,70.78,1385377,-0.744,-1.05%,70.19,98224283.57,11795
2017-12-11,71.69,71.80,71.00,71.53,849567,-0.228,-0.32%,70.9338,60699234.34,7951
2017-12-08,71.30,71.81,70.76,71.76,803142,0.764,1.08%,71.1619,57473181.25,7963
2017-12-07,70.48,71.49,70.46,70.99,984204,0.169,0.24%,70.3983,69945387.24,9271
2017-12-06,70.66,71.50,70.535,70.82,945736,0.139,0.20%,70.2297,67178369.77,8282
2017-12-05,71.11,71.62,70.57,70.68,1218606,-0.169,-0.24%,70.0909,86464815.36,9984
2017-12-04,71.31,71.89,70.84,70.85,1103180,0.327,0.47%,70.2595,78564500.43,10085
2017-12-01,70.57,70.57,68.28,70.52,1577456,0.218,0.31%,69.9322,110383117.74,14556
2017-11-30,72.00,72.23,70.78,70.79,2295130,-0.739,-1.05%,69.714,163134918.70,15282
2017-11-29,70.48,72.18,70.41,71.54,1407696,1.467,2.13%,70.4526,100763584.94,14509
2017-11-28,68.88,70.26,68.76,70.05,1073495,1.349,1.99%,68.9853,74925651.65,9487
2017-11-27,68.67,68.87,68.45,68.68,968575,0.03,0.04%,67.6361,66497608.64,10165
2017-11-24,68.57,68.85,68.28,68.65,415998,0.246,0.37%,67.6066,28535721.02,4250
2017-11-22,68.64,68.86,68.31,68.40,443495,-0.148,-0.22%,67.3604,30376646.74,4868
2017-11-21,69.08,69.35,68.40,68.55,776982,-0.266,-0.39%,67.5081,53313842.12,8215
2017-11-20,68.84,69.12,68.59,68.82,616935,0.177,0.26%,67.774,42467181.58,6544
2017-11-17,68.04,68.94,67.92,68.64,849937,0.246,0.37%,67.5967,58318938.92,6167
2017-11-16,68.80,69.15,68.305,68.39,1229010,-0.177,-0.26%,67.3505,84216641.91,12324
2017-11-15,67.58,68.85,67.28,68.57,1361337,0.236,0.35%,67.5278,93165942.79,11995
2017-11-14,67.68,68.45,67.48,68.33,1729630,0.295,0.44%,67.2914,117777518.62,11881
2017-11-13,67.61,68.53,67.573,68.03,1484330,-0.03,-0.04%,66.996,101072044.81,10738
2017-11-10,68.35,68.53,67.61,68.06,840177,-0.355,-0.53%,67.0255,57134941.33,7951
2017-11-09,68.02,68.605,67.31,68.42,1676757,-0.069,-0.10%,67.3801,114235340.02,17013
2017-11-08,68.90,68.99,67.70,68.49,1429860,-0.611,-0.90%,67.449,97847508.92,12782
2017-11-07,69.25,69.9524,68.86,69.11,1459263,-0.108,-0.16%,68.0596,101101514.29,11363
2017-11-06,68.03,69.455,68.00,69.22,1026746,0.886,1.32%,68.1679,70953568.79,11184
2017-11-03,68.67,68.82,68.185,68.32,1262025,-0.561,-0.83%,67.2816,86333884.63,9776
2017-11-02,67.27,69.40,66.95,68.89,2275821,1.733,2.62%,67.8429,156454853.55,20415
2017-11-01,66.21,67.205,65.98,67.13,1694200,1.261,1.94%,66.1097,113382884.76,13825
2017-10-31,66.62,67.13,65.80,65.85,1404520,-0.66,-1.01%,64.8491,93005513.81,12178
2017-10-30,67.81,67.835,66.44,66.52,1003633,-1.556,-2.32%,65.5089,67073763.90,10049
2017-10-27,67.59,69.20,66.6259,68.10,1270064,-0.098,-0.15%,67.0649,86604678.59,11123
2017-10-26,68.22,68.30,67.65,68.20,1005781,0.502,0.75%,67.1634,68479421.11,9059
2017-10-25,68.75,68.77,67.25,67.69,877842,-0.867,-1.28%,66.6612,59467951.71,10075
2017-10-24,68.40,68.66,67.86,68.57,1032613,0.295,0.44%,67.5278,70606809.75,8451
2017-10-23,68.05,68.32,67.51,68.27,893913,0.512,0.77%,67.2323,60839797.44,7939
2017-10-20,68.87,68.90,67.71,67.75,1063984,-0.414,-0.62%,66.7202,72375463.43,8314
2017-10-19,67.56,68.18,67.39,68.17,667475,0.266,0.40%,67.1339,45391982.46,6896
2017-10-18,67.80,68.005,67.57,67.90,860698,0.325,0.49%,66.868,58452605.65,8444
2017-10-17,67.43,67.61,67.08,67.57,905713,0.246,0.37%,66.543,61079647.19,8481
2017-10-16,67.37,67.54,67.19,67.32,629358,0.108,0.16%,66.2968,42365802.71,6871
2017-10-13,67.44,67.95,67.15,67.21,723470,-0.118,-0.18%,66.1885,48772306.82,7498
2017-10-12,67.10,67.59,66.96,67.33,879277,0.03,0.04%,66.3066,59210871.93,8158
2017-10-11,67.31,67.48,66.95,67.30,663740,-0.197,-0.30%,66.2771,44608214.45,6434
2017-10-10,66.66,67.52,66.61,67.50,806329,0.896,1.37%,66.474,54242238.05,7665
2017-10-09,66.77,66.79,66.34,66.59,479456,-0.059,-0.09%,65.5779,31902632.10,3789
2017-10-06,66.80,66.98,66.13,66.65,724565,0.079,0.12%,65.637,48285552.13,6866
2017-10-05,65.84,66.89,65.63,66.57,940583,0.739,1.14%,65.5582,62557511.28,7899
2017-10-04,65.43,65.99,65.275,65.82,910088,0.473,0.73%,64.8196,59853816.65,9319
2017-10-03,64.93,65.355,64.52,65.34,1342623,0.414,0.65%,64.3469,87292350.22,10384
2017-10-02,64.62,65.11,64.46,64.92,1149940,0.571,0.90%,63.9333,74602566.79,9575
2017-09-29,63.81,64.49,63.81,64.34,1021262,0.335,0.53%,63.3621,65645157.81,9621
2017-09-28,64.53,64.58,63.72,64.00,793431,-0.512,-0.81%,63.0272,50787936.45,8367
2017-09-27,64.14,64.75,63.93,64.52,1085055,1.142,1.83%,63.5393,69892790.28,9589
2017-09-26,63.40,63.47,63.01,63.36,651362,-0.02,-0.03%,62.397,41244507.60,5793
2017-09-25,62.96,63.41,62.71,63.38,644464,0.256,0.41%,62.4167,40758018.49,5423
2017-09-22,62.85,63.41,62.6766,63.12,867570,0.187,0.30%,62.1606,54696456.44,7380
2017-09-21,63.13,63.41,62.90,62.93,917006,-0.187,-0.30%,61.9735,57872015.74,8587
2017-09-20,63.11,63.28,62.40,63.12,630754,0.217,0.35%,62.1606,39728659.46,6581
