date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,60.35,60.43,59.74,59.97,2553288,-0.40,-0.66%,59.97,153305082.37,17871
2018-03-09,59.37,60.38,59.17,60.37,1860746,1.35,2.29%,60.37,111673748.56,15404
2018-03-08,58.53,59.085,58.40,59.02,1455473,0.60,1.03%,59.02,85576382.03,11627
2018-03-07,58.20,58.67,58.17,58.42,2326404,-0.20,-0.34%,58.42,135895987.02,16505
2018-03-06,58.86,58.97,57.68,58.62,3362392,-0.17,-0.29%,58.62,196065327.58,24188
2018-03-05,57.32,58.945,57.025,58.79,3179979,1.21,2.10%,58.79,185040837.88,28757
2018-03-02,57.40,57.84,56.976,57.58,4005987,-0.21,-0.36%,57.58,230126611.23,30093
2018-03-01,57.75,58.60,57.28,57.79,3158224,0.21,0.36%,57.79,182687464.12,26121
2018-02-28,58.88,59.36,57.57,57.58,4031844,-0.95,-1.62%,57.58,234886321.06,31185
2018-02-27,58.80,59.26,58.53,58.53,4889080,-0.32,-0.54%,58.53,287372940.34,28029
2018-02-26,57.80,59.06,57.74,58.85,3289980,1.14,1.98%,58.85,193066574.08,23057
2018-02-23,56.99,57.76,56.92,57.71,1968645,0.86,1.51%,57.71,113233407.03,14931
2018-02-22,57.28,57.79,56.67,56.85,3358122,-0.32,-0.56%,56.85,191756305.18,25109
2018-02-21,56.73,58.10,56.59,57.17,3649130,0.63,1.11%,57.17,210171175.26,27319
2018-02-20,57.06,57.29,56.47,56.54,3807347,-0.81,-1.41%,56.54,216030144.24,22499
2018-02-16,56.59,57.53,56.59,57.35,3704703,0.57,1.00%,57.35,212051939.04,23079
2018-02-15,56.90,57.00,56.24,56.78,4209011,0.48,0.85%,56.78,238544633.55,29367
2018-02-14,53.77,56.35,53.57,56.30,6304580,3.08,5.79%,56.30,349070648.87,45469
2018-02-13,52.11,53.24,51.99,53.22,3078387,0.84,1.60%,53.22,162716798.23,23470
2018-02-12,52.42,52.79,51.47,52.38,2850833,0.16,0.31%,52.38,148973474.20,23883
2018-02-09,51.60,52.55,51.22,52.22,5109461,1.15,2.25%,52.22,264950533.00,38925
2018-02-08,53.47,53.51,51.04,51.07,5464752,-2.33,-4.36%,51.07,284354157.00,37281
2018-02-07,52.78,54.10,52.55,53.40,4334460,0.53,1.00%,53.40,232216639.97,38168
2018-02-06,51.44,53.11,50.79,52.87,5951128,0.92,1.77%,52.87,311458847.97,46576
2018-02-05,52.96,54.37,51.94,51.95,4452676,-1.29,-2.42%,51.95,236306596.57,40001
2018-02-02,53.56,54.45,53.16,53.24,3004371,-0.34,-0.63%,53.24,161089827.41,22387
2018-02-01,53.15,54.41,53.10,53.58,4502846,0.605,1.14%,53.58,241466093.87,32011
2018-01-31,53.82,54.50,53.50,54.10,6765392,0.597,1.14%,52.9753,365292855.59,43129
2018-01-30,53.15,54.47,53.15,53.49,5233570,0.353,0.68%,52.378,280908724.37,34024
2018-01-29,54.76,54.85,53.09,53.13,7824812,-1.665,-3.10%,52.0255,417942184.09,46140
2018-01-26,55.98,56.76,54.05,54.83,5802847,-0.911,-1.67%,53.6901,320493601.57,36265
2018-01-25,55.70,55.81,55.08,55.76,4766578,0.421,0.78%,54.6008,264876246.54,23775
2018-01-24,57.63,57.63,54.01,55.33,7594887,-1.684,-3.01%,54.1797,419246109.18,43165
2018-01-23,58.17,58.25,56.33,57.05,4611261,-1.146,-2.01%,55.864,263064448.73,33904
2018-01-22,57.85,58.25,57.79,58.22,2632899,0.548,0.97%,57.0097,152770670.72,20483
2018-01-19,57.51,57.85,57.34,57.66,3847604,0.362,0.65%,56.4613,221748830.51,20101
2018-01-18,57.24,57.44,56.91,57.29,2042859,0.059,0.10%,56.099,116854592.96,11280
2018-01-17,56.48,57.40,56.23,57.23,3169878,0.94,1.71%,56.0402,180873508.12,20158
2018-01-16,56.08,56.53,55.88,56.27,3800449,0.323,0.59%,55.1002,213600466.00,20337
2018-01-12,55.82,56.10,55.37,55.94,2659776,0.274,0.50%,54.7771,148549239.66,17280
2018-01-11,55.84,56.04,55.50,55.66,2087117,-0.02,-0.04%,54.5029,116138460.31,15692
2018-01-10,56.06,56.20,55.44,55.68,3212949,-0.48,-0.87%,54.5225,178868893.44,22456
2018-01-09,55.81,56.57,55.77,56.17,3823617,0.46,0.84%,55.0023,215223222.21,22206
2018-01-08,55.61,55.815,55.32,55.70,3075619,0.166,0.31%,54.5421,171091118.10,17027
2018-01-05,55.44,55.59,54.87,55.53,3264793,0.206,0.38%,54.3756,180464841.52,16223
2018-01-04,55.43,55.80,55.095,55.32,2573296,-0.01,-0.02%,54.17,142425713.94,15815
2018-01-03,55.32,55.56,54.86,55.33,3247332,-0.029,-0.05%,54.1797,179238902.51,24870
2018-01-02,56.46,56.46,55.07,55.36,2715475,-0.94,-1.70%,54.2091,150851995.19,20153
2017-12-29,56.52,56.64,56.32,56.32,1375219,-0.186,-0.34%,55.1492,77579048.13,8848
2017-12-28,56.53,56.70,56.135,56.51,1314720,0.147,0.27%,55.3352,74108895.55,10403
2017-12-27,56.30,56.69,56.22,56.36,1865601,0.137,0.25%,55.1883,105237787.51,9443
2017-12-26,56.03,56.30,55.99,56.22,1235654,0.127,0.23%,55.0512,69399508.50,6495
2017-12-22,55.74,56.18,55.64,56.09,1714783,0.284,0.52%,54.9239,96007260.32,10501
2017-12-21,57.18,57.18,55.65,55.80,2610789,-0.362,-0.66%,54.64,145994488.04,14140
2017-12-20,55.82,56.28,55.79,56.17,2691183,0.372,0.68%,55.0023,151099045.00,17501
2017-12-19,55.43,55.91,55.31,55.79,2613678,0.578,1.07%,54.6302,145702906.64,17837
2017-12-18,55.69,55.78,55.095,55.20,2511204,-0.255,-0.47%,54.0524,138925621.23,17187
2017-12-15,55.29,55.80,55.20,55.46,5616812,0.313,0.58%,54.307,311637765.55,18075
2017-12-14,56.00,56.185,55.00,55.14,3069152,-0.705,-1.29%,53.9937,170067015.81,23470
2017-12-13,55.24,56.23,55.15,55.86,3407800,0.695,1.29%,54.6987,190185392.21,24549
2017-12-12,55.18,55.81,55.03,55.15,4154715,0.264,0.49%,54.0035,229468627.92,26104
2017-12-11,54.88,54.99,54.45,54.88,2571554,-0.108,-0.20%,53.7391,140731859.40,14540
2017-12-08,54.77,54.99,54.57,54.99,1609665,0.46,0.86%,53.8468,88306505.20,12752
2017-12-07,54.52,54.835,54.395,54.52,1993232,-0.069,-0.13%,53.3866,108821168.77,14535
2017-12-06,54.27,54.6749,54.083,54.59,1935070,0.333,0.63%,53.4551,105509765.28,12979
2017-12-05,54.50,54.75,54.14,54.25,3880740,-0.108,-0.20%,53.1222,210928087.72,17792
2017-12-04,54.19,54.54,54.04,54.36,3373566,0.744,1.42%,53.2299,183423664.45,24369
2017-12-01,53.33,54.00,52.55,53.60,3301907,0.411,0.79%,52.4857,176426781.61,24533
2017-11-30,52.74,53.71,52.51,53.18,5779044,0.715,1.39%,52.0744,307170948.28,22697
2017-11-29,52.92,53.29,52.40,52.45,3706111,-0.323,-0.63%,51.3596,195511757.20,27069
2017-11-28,52.05,52.82,52.02,52.78,3747837,0.695,1.36%,51.6828,197082129.92,15934
2017-11-27,51.93,52.24,51.8601,52.07,2086846,0.215,0.42%,50.9875,108763398.03,11898
2017-11-24,51.86,51.95,51.61,51.85,1726318,0.166,0.33%,50.7721,89434130.94,6059
2017-11-22,51.88,51.88,51.48,51.68,2078667,-0.186,-0.37%,50.6056,107415539.19,14672
2017-11-21,52.00,52.26,51.75,51.87,4229958,0.049,0.10%,50.7917,219649430.91,14704
2017-11-20,51.65,51.90,51.55,51.82,2015760,0.264,0.52%,50.7427,104373248.88,12640
2017-11-17,51.39,51.68,51.32,51.55,2240670,-0.02,-0.04%,50.4783,115479247.14,13450
2017-11-16,52.00,52.08,51.43,51.57,2940131,-0.078,-0.15%,50.4979,151932098.54,15417
2017-11-15,51.17,51.89,50.95,51.65,3130381,0.362,0.72%,50.5762,161549581.66,19841
2017-11-14,50.80,51.54,50.72,51.28,2894777,0.176,0.35%,50.2139,148337616.50,19401
2017-11-13,50.55,51.21,50.40,51.10,3418901,0.343,0.69%,50.0377,174311282.83,19887
2017-11-10,50.48,50.86,50.18,50.75,1292349,0.108,0.22%,49.695,65464350.85,10129
2017-11-09,50.39,50.73,50.14,50.64,1772057,0.088,0.18%,49.5872,89436780.02,14114
2017-11-08,50.40,50.72,50.28,50.55,1778767,0.059,0.12%,49.4991,89942777.03,12700
2017-11-07,50.31,51.00,50.29,50.49,1830999,0.274,0.56%,49.4404,92540725.53,14153
2017-11-06,49.81,50.40,49.74,50.21,3272613,0.059,0.12%,49.1662,164333761.09,17426
2017-11-03,49.18,50.27,49.15,50.15,3884802,0.823,1.70%,49.1074,194100608.41,23080
2017-11-02,48.88,50.14,48.84,49.31,3538325,0.499,1.05%,48.2849,174773872.06,24284
2017-11-01,48.85,48.93,48.69,48.80,1873492,0.147,0.31%,47.7855,91438894.55,12504
2017-10-31,48.70,48.93,48.59,48.65,2689957,-0.01,-0.02%,47.6386,131004558.86,15110
2017-10-30,48.79,49.11,48.655,48.66,2385075,-0.235,-0.49%,47.6484,116352127.38,15521
2017-10-27,48.95,49.12,48.66,48.90,2683153,-0.245,-0.51%,47.8834,131169774.00,17264
2017-10-26,48.87,49.25,48.67,49.15,2883147,0.519,1.09%,48.1282,141400649.18,20356
2017-10-25,48.90,49.01,48.56,48.62,1957191,-0.401,-0.84%,47.6092,95303145.40,17859
2017-10-24,48.99,49.28,48.84,49.03,3221407,0.127,0.27%,48.0107,158051076.63,19850
2017-10-23,48.98,49.06,48.755,48.90,3002881,-0.01,-0.02%,47.8834,146847198.96,17831
2017-10-20,48.97,49.02,48.52,48.91,3089680,0.215,0.45%,47.8932,150972158.48,19805
2017-10-19,48.04,48.70,47.92,48.69,2502737,0.588,1.25%,47.6778,121270737.01,16877
2017-10-18,48.86,48.98,47.89,48.09,4104074,-0.45,-0.95%,47.0903,197498719.68,24567
2017-10-17,49.00,49.4699,48.08,48.55,5517417,-0.421,-0.88%,47.5407,267965246.64,21127
2017-10-16,48.67,49.12,48.67,48.98,3142711,0.304,0.64%,47.9618,153834031.53,20486
2017-10-13,48.84,49.16,48.635,48.67,3216581,-0.078,-0.16%,47.6582,156999153.85,18851
2017-10-12,49.32,49.41,48.70,48.75,3064813,-0.49,-1.02%,47.7365,149688357.04,22585
2017-10-11,49.29,49.36,48.96,49.25,2336605,-0.118,-0.24%,48.2261,114942305.87,16909
2017-10-10,49.44,49.63,49.16,49.37,2198168,-0.078,-0.16%,48.3436,108433904.08,17466
2017-10-09,49.34,49.75,49.165,49.45,2292207,0.166,0.34%,48.422,113450557.44,13914
2017-10-06,49.10,49.41,48.94,49.28,1815892,0.225,0.47%,48.2555,89326089.96,13100
2017-10-05,49.21,49.26,48.99,49.05,2757466,-0.118,-0.24%,48.0303,135517723.64,19335
2017-10-04,49.01,49.30,48.94,49.17,3555398,0.098,0.20%,48.1478,174582187.04,16667
2017-10-03,48.92,49.10,48.79,49.07,2542803,0.039,0.08%,48.0499,124501829.15,15606
2017-10-02,48.39,49.19,48.36,49.03,3457131,0.597,1.26%,48.0107,168800474.51,19957
2017-09-29,47.96,48.44,47.855,48.42,1974645,0.353,0.75%,47.4134,95381441.33,11643
2017-09-28,47.69,48.08,47.57,48.06,4015715,0.343,0.73%,47.0609,192253608.53,18113
2017-09-27,48.13,48.2999,47.61,47.71,2857103,-0.137,-0.29%,46.7182,136725666.94,19062
2017-09-26,47.91,48.29,47.80,47.85,2941636,-0.147,-0.31%,46.8552,141190247.29,14526
2017-09-25,47.93,48.06,47.61,48.00,4710047,0.02,0.04%,47.0021,225700784.58,18501
2017-09-22,47.61,48.02,47.42,47.98,3044053,0.294,0.63%,46.9825,145385572.45,16233
2017-09-21,47.64,48.13,47.58,47.68,3923298,-0.02,-0.04%,46.6888,187194596.91,18023
2017-09-20,47.67,48.01,47.50,47.70,5060750,0.069,0.15%,46.7084,241632775.99,29487
2017-09-19,47.14,48.30,47.14,47.63,6611399,1.293,2.85%,46.6398,315382416.11,37369
2017-09-18,46.17,46.33,45.90,46.31,3153069,0.284,0.63%,45.3473,145718292.41,18565
2017-09-15,46.07,46.45,45.96,46.02,3690372,-0.049,-0.11%,45.0633,170077454.74,16933
2017-09-14,46.09,46.09,45.43,46.07,3167825,-0.069,-0.15%,45.1123,145272177.94,17982
2017-09-13,46.23,46.37,45.74,46.14,3098589,-0.431,-0.94%,45.1808,142891778.78,19844
2017-09-12,46.30,46.62,45.96,46.58,4302695,0.157,0.34%,45.6116,199403593.66,25106
2017-09-11,46.49,47.55,46.24,46.42,7352395,0.989,2.22%,45.455,341432607.09,38237
2017-09-08,43.60,45.505,43.60,45.41,7058859,1.645,3.84%,44.466,317364712.40,43544
2017-09-07,44.92,44.92,43.59,43.73,5818044,-1.185,-2.69%,42.8209,255707403.15,32208
2017-09-06,44.20,45.535,44.12,44.94,5991417,0.813,1.88%,44.0057,268914183.19,35347
2017-09-05,45.28,45.3324,43.98,44.11,7658903,-1.518,-3.39%,43.193,339981055.45,48340
2017-09-01,46.52,46.683,45.64,45.66,6624814,-0.803,-1.76%,44.7108,304837483.93,29221
2017-08-31,46.52,46.80,46.38,46.48,4557229,-0.088,-0.19%,45.5137,211909908.93,24472
2017-08-30,47.60,47.775,46.40,46.57,5079286,-1.038,-2.23%,45.6019,238445862.24,31345
2017-08-29,47.15,47.64,47.14,47.63,3208804,0.313,0.68%,46.6398,152429404.77,18158
2017-08-28,47.45,47.7536,46.98,47.31,6050127,-1.067,-2.25%,46.3265,285790593.26,33497
2017-08-25,48.43,48.74,48.38,48.40,2406726,0.137,0.29%,47.3938,116723797.05,14798
2017-08-24,48.94,48.94,48.24,48.26,2618983,-0.558,-1.17%,47.2567,127015212.30,16098
2017-08-23,48.73,49.01,48.73,48.83,1721278,-0.059,-0.12%,47.8149,84169328.89,10524
2017-08-22,48.71,48.98,48.59,48.89,2500973,0.196,0.41%,47.8736,122106202.75,14636
2017-08-21,48.63,48.765,48.10,48.69,2615032,0.059,0.12%,47.6778,126835699.41,12761
2017-08-18,48.43,48.895,48.30,48.63,3466061,0.118,0.25%,47.619,168656836.82,15248
2017-08-17,48.76,48.98,48.44,48.51,3891341,-0.196,-0.41%,47.5015,189420214.52,21313
2017-08-16,47.95,48.95,47.65,48.71,3892326,1.097,2.35%,47.6974,189452860.99,23086
2017-08-15,47.79,47.86,47.48,47.59,2158060,-0.176,-0.38%,46.6007,102691267.84,13243
2017-08-14,47.51,47.81,47.40,47.77,1480998,0.529,1.14%,46.7769,70683766.30,10187
2017-08-11,47.70,47.94,47.17,47.23,2943218,-0.47,-1.01%,46.2481,139189644.36,13006
2017-08-10,47.83,47.94,47.545,47.71,2485540,-0.323,-0.69%,46.7182,118618904.32,11408
2017-08-09,47.61,48.04,47.585,48.04,2786170,0.392,0.84%,47.0413,133549483.82,15034
2017-08-08,47.58,47.77,47.50,47.64,2378281,-0.029,-0.06%,46.6496,113287572.27,13847
2017-08-07,47.73,47.75,47.53,47.67,1965098,-0.039,-0.08%,46.679,93609416.19,11523
2017-08-04,47.75,47.75,47.52,47.71,1817557,0.098,0.21%,46.7182,86616640.32,11328
2017-08-03,47.23,47.6766,47.085,47.61,3017238,0.382,0.83%,46.6202,143254848.61,14632
2017-08-02,47.32,47.52,47.13,47.22,2492174,0.00,0.00%,46.2383,117780895.88,16602
2017-08-01,47.32,47.52,47.13,47.22,2492041,0.088,0.19%,46.2383,117774610.26,16601
2017-07-31,47.30,47.3799,47.04,47.13,2743973,-0.088,-0.19%,46.1502,129397411.28,16151
2017-07-28,46.33,47.28,46.33,47.22,3113015,0.92,2.03%,46.2383,146286993.89,15594
2017-07-27,46.50,46.56,46.08,46.28,2915726,-0.225,-0.49%,45.3179,134855905.10,17171
2017-07-26,46.97,47.00,46.385,46.51,2226566,-0.392,-0.85%,45.5431,103880779.62,14324
2017-07-25,47.12,47.18,46.68,46.91,1765984,0.127,0.28%,45.9348,82759626.07,15128
2017-07-24,46.42,46.88,46.36,46.78,1940539,0.411,0.91%,45.8075,90607817.76,12109
2017-07-21,46.38,46.46,46.21,46.36,2876792,-0.118,-0.26%,45.3962,133306982.69,18648
2017-07-20,45.67,46.53,45.55,46.48,3142022,0.793,1.77%,45.5137,145148153.93,21452
2017-07-19,45.48,45.67,45.28,45.67,2349179,0.323,0.73%,44.7206,106988872.97,17612
2017-07-18,45.25,45.94,45.24,45.34,4987589,-0.108,-0.24%,44.3974,226516651.25,27097
2017-07-17,45.58,45.58,45.17,45.45,5069748,-0.127,-0.29%,44.5051,230243122.53,26381
2017-07-14,45.08,45.63,44.9999,45.58,2982214,0.372,0.84%,44.6324,135358023.31,15155
2017-07-13,46.33,46.33,44.87,45.20,4589801,0.333,0.76%,44.2603,207324918.75,24372
2017-07-12,44.67,44.95,44.50,44.86,2784180,0.274,0.63%,43.9274,124794247.72,16298
2017-07-11,45.03,45.11,44.5499,44.58,2248945,-0.411,-0.93%,43.6532,100511203.80,15504
2017-07-10,44.76,45.11,44.76,45.00,3246135,0.01,0.02%,44.0645,146039796.20,17156
2017-07-07,44.47,45.165,44.43,44.99,2192036,0.548,1.26%,44.0547,98482557.10,15121
2017-07-06,44.75,44.85,44.38,44.43,4703329,-0.323,-0.74%,43.5063,209990644.55,18607
2017-07-05,44.43,44.80,44.16,44.76,2891156,0.441,1.02%,43.8295,129161266.75,18012
