date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,187.24,187.24,181.42,182.36,1039661,-4.22,-2.26%,182.36,190396846.11,11829
2018-03-09,182.79,187.86,182.08,186.58,1315806,5.42,2.99%,186.58,244680492.89,14125
2018-03-08,178.85,181.27,177.67,181.16,1417885,4.77,2.70%,181.16,255482530.35,14014
2018-03-07,175.86,177.50,175.03,176.39,1223039,-1.45,-0.82%,176.39,215759125.43,12285
2018-03-06,178.00,180.605,177.50,177.84,1173971,0.72,0.41%,177.84,209539186.43,12459
2018-03-05,174.49,178.08,172.80,177.12,1026494,1.57,0.89%,177.12,180647248.91,11597
2018-03-02,176.31,176.83,173.18,175.55,1354099,-1.75,-0.99%,175.55,237305358.21,16744
2018-03-01,178.50,181.32,175.65,177.30,1830534,-1.17,-0.66%,177.30,325886191.63,21586
2018-02-28,182.79,184.08,178.43,178.47,983402,-3.42,-1.88%,178.47,177711595.21,9501
2018-02-27,185.44,186.11,181.86,181.89,721100,-3.66,-1.97%,181.89,132387664.08,8623
2018-02-26,184.62,186.20,183.43,185.55,860374,1.98,1.08%,185.55,159098721.07,7664
2018-02-23,184.85,185.39,181.22,183.57,722716,-0.35,-0.19%,183.57,132146224.80,7028
2018-02-22,182.47,185.215,181.875,183.92,848644,2.62,1.45%,183.92,156285178.35,10107
2018-02-21,181.72,184.72,181.26,181.30,687956,-0.31,-0.17%,181.30,125789131.82,8003
2018-02-20,182.00,183.71,180.425,181.61,893113,-1.61,-0.88%,181.61,162488485.08,9884
2018-02-16,184.35,186.30,183.15,183.22,869213,-1.41,-0.76%,183.22,160174297.72,10840
2018-02-15,185.26,186.82,183.08,184.63,920087,0.74,0.40%,184.63,169896078.62,11112
2018-02-14,179.11,184.19,178.61,183.89,1152342,4.06,2.26%,183.89,210164291.83,11798
2018-02-13,179.83,180.83,178.76,179.83,1077331,-1.15,-0.64%,179.83,193476609.50,11775
2018-02-12,178.67,182.75,177.84,180.98,1529064,4.09,2.31%,180.98,276448524.97,17137
2018-02-09,177.06,178.58,168.44,176.89,2086443,2.38,1.36%,176.89,361919105.62,24110
2018-02-08,182.51,182.51,174.50,174.51,1520809,-8.14,-4.46%,174.51,270513614.96,19497
2018-02-07,186.26,188.33,183.17,183.31,1506599,-3.597,-1.93%,182.6501,280409031.50,18226
2018-02-06,180.31,188.06,177.771,186.92,2991506,4.902,2.70%,186.2471,552447650.31,32404
2018-02-05,188.16,190.87,180.74,182.00,1771621,-8.609,-4.53%,181.3448,328851664.96,19764
2018-02-02,193.12,193.44,187.14,190.64,2002521,-2.82,-1.46%,189.9537,380116806.04,23849
2018-02-01,195.79,198.20,192.50,193.47,3058470,-7.921,-3.95%,192.7735,594397939.26,29750
2018-01-31,205.53,207.22,200.64,201.42,1544665,-3.218,-1.58%,200.6949,314023577.89,16473
2018-01-30,205.03,205.53,202.70,204.65,992557,-1.813,-0.88%,203.9133,202986937.78,11848
2018-01-29,209.10,210.28,206.24,206.47,578548,-3.179,-1.52%,205.7267,120116139.77,7163
2018-01-26,207.79,209.705,206.75,209.66,1162742,2.142,1.04%,208.9052,242835205.22,9007
2018-01-25,210.16,210.16,205.811,207.51,960631,-1.315,-0.63%,206.763,199386734.59,9863
2018-01-24,210.22,211.45,207.67,208.83,842417,-0.498,-0.24%,208.0782,176280532.91,8634
2018-01-23,210.44,210.665,208.53,209.33,940462,-0.897,-0.43%,208.5764,196888057.69,9246
2018-01-22,209.97,210.555,207.435,210.23,836117,-0.707,-0.34%,209.4732,174893109.60,10043
