date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,30.00,30.30,29.92,30.18,3654304,0.14,0.47%,30.18,110245356.25,25230
2018-03-09,29.70,30.05,29.275,30.04,2742533,0.52,1.76%,30.04,81813352.11,18134
2018-03-08,29.73,29.76,29.165,29.52,3292147,-0.10,-0.34%,29.52,96862839.56,20294
2018-03-07,29.70,29.99,29.4172,29.62,2835429,-0.28,-0.94%,29.62,84043601.32,18808
2018-03-06,29.49,29.93,29.19,29.90,4124656,0.59,2.01%,29.90,122366491.28,28727
2018-03-05,28.79,29.52,28.64,29.31,6868065,0.36,1.24%,29.31,200660566.95,40580
2018-03-02,28.43,29.005,28.21,28.95,5344840,0.23,0.80%,28.95,153372193.46,36991
2018-03-01,28.11,28.72,27.94,28.72,8429666,0.65,2.32%,28.72,239424802.44,52828
2018-02-28,28.57,28.74,27.84,28.07,8066327,-0.43,-1.51%,28.07,227433630.88,44332
2018-02-27,29.47,29.94,28.49,28.50,5758120,-0.84,-2.86%,28.50,166725051.75,31819
2018-02-26,29.46,29.50,28.96,29.34,2887764,0.07,0.24%,29.34,84430561.01,20737
2018-02-23,29.23,29.3651,28.75,29.27,3880177,0.08,0.27%,29.27,112752352.28,26883
2018-02-22,29.46,29.55,29.125,29.19,3544609,-0.15,-0.51%,29.19,103836009.99,23108
2018-02-21,29.59,30.42,29.34,29.34,5267770,-0.13,-0.44%,29.34,157436309.07,34344
2018-02-20,29.68,29.84,29.26,29.47,3534930,-0.27,-0.91%,29.47,104126301.45,22839
2018-02-16,29.61,30.02,29.53,29.74,4990056,0.24,0.81%,29.74,148696762.56,31352
2018-02-15,29.75,29.75,29.035,29.50,5303601,0.04,0.14%,29.50,155921727.29,29949
2018-02-14,28.79,29.64,28.665,29.46,6174993,0.46,1.59%,29.46,180729639.55,35629
2018-02-13,29.08,29.27,28.80,29.00,3918009,-0.18,-0.62%,29.00,113680991.95,25956
2018-02-12,29.07,29.49,28.89,29.18,6652407,0.47,1.64%,29.18,194117362.66,41290
2018-02-09,29.09,29.19,28.029,28.71,6870804,0.04,0.14%,28.71,196315538.85,49812
2018-02-08,29.96,30.15,28.67,28.67,5766617,-1.24,-4.15%,28.67,168691475.66,39381
2018-02-07,30.08,31.02,29.90,29.91,5598456,-0.25,-0.83%,29.91,169888271.26,37698
2018-02-06,28.53,30.36,28.33,30.16,6148904,0.81,2.76%,30.16,182687061.48,40050
