date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,119.86,121.10,119.45,120.06,705940,0.20,0.17%,120.06,85030902.21,7101
2018-03-09,117.56,120.31,116.89,119.86,1245420,3.18,2.73%,119.86,148924714.45,8573
2018-03-08,118.09,118.26,116.01,116.68,659541,-1.31,-1.11%,116.68,77042867.20,7405
2018-03-07,117.73,119.215,116.88,117.99,626102,-1.08,-0.91%,117.99,73738755.46,6602
2018-03-06,117.54,120.17,117.34,119.07,834408,2.14,1.83%,119.07,99024264.72,8754
2018-03-05,116.63,118.20,116.365,116.93,618380,-0.39,-0.33%,116.93,72452672.65,7038
2018-03-02,117.70,118.21,115.485,117.32,674020,-1.27,-1.07%,117.32,78802339.23,7014
2018-03-01,119.51,119.97,117.38,118.59,785601,-0.61,-0.51%,118.59,93234737.02,9954
2018-02-28,120.65,121.88,119.19,119.20,670035,-1.02,-0.85%,119.20,80715064.08,5227
2018-02-27,121.59,122.18,120.22,120.22,418018,-1.52,-1.25%,120.22,50622802.88,4918
2018-02-26,120.00,121.77,119.52,121.74,842043,2.38,1.99%,121.74,102146457.09,5487
2018-02-23,119.65,119.75,118.20,119.36,452999,0.59,0.50%,119.36,53929244.20,6002
2018-02-22,119.95,120.80,118.52,118.77,508862,-0.45,-0.38%,118.77,60787919.21,5476
2018-02-21,119.30,121.64,118.898,119.22,621733,0.36,0.30%,119.22,74580743.64,7254
2018-02-20,118.51,119.92,118.00,118.86,715707,-0.51,-0.43%,118.86,85194167.72,7184
2018-02-16,117.64,120.01,117.2801,119.37,811570,1.44,1.22%,119.37,96784160.98,8310
2018-02-15,116.69,118.14,114.90,117.93,1080939,1.94,1.67%,117.93,126092301.82,9241
2018-02-14,115.17,116.35,114.5628,115.99,707929,-0.04,-0.03%,115.99,81714809.50,8252
2018-02-13,116.26,116.64,115.46,116.03,464771,-0.66,-0.57%,116.03,53945504.27,5039
2018-02-12,115.41,117.24,114.15,116.69,779146,2.93,2.58%,116.69,90335864.74,9192
2018-02-09,113.08,114.40,110.28,113.76,830047,1.81,1.62%,113.76,93675679.65,8116
2018-02-08,116.79,116.80,111.90,111.95,1136130,-5.18,-4.42%,111.95,129695238.27,10295
2018-02-07,118.55,119.91,117.13,117.13,1001342,-1.83,-1.54%,117.13,118497014.87,11452
2018-02-06,114.44,119.269,114.44,118.96,1487026,1.83,1.56%,118.96,174269918.34,16270
2018-02-05,121.86,122.50,115.00,117.13,1208706,-5.97,-4.85%,117.13,143717505.21,13474
2018-02-02,123.14,123.59,121.80,123.10,1020102,-0.44,-0.36%,123.10,125247709.40,10642
2018-02-01,125.30,125.30,122.45,123.54,1661979,-2.09,-1.66%,123.54,205728241.70,13645
2018-01-31,125.08,125.94,119.28,125.63,2269244,0.92,0.74%,125.63,280789426.67,20613
2018-01-30,125.44,126.02,124.05,124.71,1058850,-1.26,-1.00%,124.71,132155572.51,11386
2018-01-29,128.80,128.82,125.885,125.97,745453,-0.96,-0.76%,125.97,94397879.28,8661
2018-01-26,126.27,131.1316,124.69,126.93,1295973,1.30,1.03%,126.93,164453826.10,10723
2018-01-25,126.21,127.31,125.36,125.63,806255,-0.57,-0.45%,125.63,101669880.23,9033
2018-01-24,126.99,128.02,125.52,126.20,620355,-0.28,-0.22%,126.20,78435703.55,6888
2018-01-23,126.81,127.235,125.03,126.48,672257,-0.77,-0.61%,126.48,84966681.22,7277
2018-01-22,127.80,127.88,126.43,127.25,650824,-0.31,-0.24%,127.25,82703675.87,5071
2018-01-19,126.69,127.69,126.47,127.56,741165,1.45,1.15%,127.56,94321496.16,7803
2018-01-18,126.60,127.23,126.03,126.11,553272,-0.65,-0.51%,126.11,69909583.73,5803
2018-01-17,126.61,127.37,125.60,126.76,565818,0.88,0.70%,126.76,71594940.39,6896
2018-01-16,128.79,129.04,125.291,125.88,708983,-2.44,-1.90%,125.88,89938941.71,7990
2018-01-12,129.38,129.38,127.71,128.32,535861,-0.92,-0.71%,128.32,68821397.73,6380
2018-01-11,128.39,129.28,127.36,129.24,365290,1.24,0.97%,129.24,47069261.77,4321
2018-01-10,127.94,128.41,127.33,128.00,484574,0.10,0.08%,128.00,61993648.09,5693
2018-01-09,129.77,129.92,127.62,127.90,990796,-1.68,-1.30%,127.90,127364008.97,10488
2018-01-08,129.13,130.19,128.71,129.58,593244,1.11,0.86%,129.58,76910177.50,6470
2018-01-05,128.70,129.10,127.725,128.47,673008,0.39,0.30%,128.47,86452532.12,6872
2018-01-04,126.22,129.15,126.1535,128.08,1065451,2.10,1.67%,128.08,136525907.73,10564
2018-01-03,123.82,126.58,123.64,125.98,874367,2.37,1.92%,125.98,109806118.86,8265
2018-01-02,121.47,123.78,121.11,123.61,825426,3.06,2.54%,123.61,101454687.05,7433
2017-12-29,121.20,121.38,120.31,120.55,444428,-0.37,-0.31%,120.55,53658039.47,3511
2017-12-28,120.67,120.99,119.47,120.92,350549,0.38,0.32%,120.92,42253468.23,4401
2017-12-27,120.23,121.06,119.66,120.54,435404,0.44,0.37%,120.54,52472817.12,5006
2017-12-26,120.09,120.88,119.69,120.10,380874,0.01,0.01%,120.10,45781401.40,4161
2017-12-22,119.64,120.36,119.04,120.09,409532,0.42,0.35%,120.09,49072887.35,4557
2017-12-21,120.00,121.11,119.95,120.30,505375,0.557,0.47%,119.67,60896101.63,5991
2017-12-20,119.57,120.18,118.92,119.74,919356,0.895,0.76%,119.1129,110069279.29,9314
2017-12-19,117.77,119.92,117.325,118.84,804801,1.791,1.54%,118.2176,95520621.07,7219
2017-12-18,116.34,117.33,115.65,117.04,623268,1.761,1.54%,116.4271,72843000.27,6341
2017-12-15,115.16,116.27,114.18,115.27,1708201,0.378,0.33%,114.6663,197018491.76,9510
