date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,63.54,63.87,63.15,63.56,3159444,-0.13,-0.20%,63.56,200590041.22,20118
2018-03-09,62.58,63.70,62.00,63.69,2445518,1.31,2.10%,63.69,154476925.67,20022
2018-03-08,62.11,62.45,61.73,62.38,1433899,0.46,0.74%,62.38,89213090.53,13296
2018-03-07,61.60,61.94,61.10,61.92,2284914,0.32,0.52%,61.92,141100838.05,17868
2018-03-06,61.02,61.70,60.68,61.60,1920232,0.51,0.83%,61.60,117748461.10,14825
2018-03-05,59.77,61.46,59.74,61.09,1704743,0.87,1.44%,61.09,104059827.76,14438
2018-03-02,60.55,60.63,59.25,60.22,2436904,-0.50,-0.82%,60.22,145939179.33,19637
2018-03-01,60.51,61.37,60.23,60.72,2161192,0.04,0.07%,60.72,131238600.32,19722
2018-02-28,60.73,61.43,60.58,60.68,4643987,0.32,0.53%,60.68,282644993.15,20940
2018-02-27,61.50,61.51,59.83,60.36,2471336,-0.95,-1.55%,60.36,149564169.80,21619
2018-02-26,61.53,61.56,60.90,61.31,2467736,0.05,0.08%,61.31,151045229.51,19175
2018-02-23,60.34,61.49,60.16,61.26,3275294,1.32,2.20%,61.26,200494138.42,23392
2018-02-22,60.17,60.58,59.74,59.94,3353377,0.03,0.05%,59.94,201431078.87,26347
2018-02-21,61.15,61.51,59.86,59.91,2689857,-1.32,-2.16%,59.91,163251052.64,20483
2018-02-20,61.72,62.50,61.15,61.23,3633302,-0.75,-1.21%,61.23,223609137.28,22557
2018-02-16,61.46,62.48,61.42,61.98,2867759,0.57,0.93%,61.98,177929897.81,16926
2018-02-15,60.76,61.44,60.34,61.41,3054201,0.87,1.44%,61.41,185854978.37,23585
2018-02-14,60.79,60.79,59.89,60.54,2679451,-0.62,-1.01%,60.54,161925952.03,19771
2018-02-13,60.05,61.43,59.84,61.16,2438864,1.01,1.68%,61.16,148455110.12,17770
2018-02-12,60.63,60.79,58.44,60.15,3650514,-0.17,-0.28%,60.15,218428395.67,28933
2018-02-09,58.70,60.88,58.28,60.32,3365002,1.99,3.41%,60.32,199954485.94,29101
2018-02-08,60.07,61.05,58.30,58.33,4594183,-1.71,-2.85%,58.33,273208156.42,35007
2018-02-07,60.55,61.91,59.97,60.04,4137502,-0.70,-1.15%,60.04,251714438.01,33897
2018-02-06,60.15,61.21,59.165,60.74,4659456,-0.47,-0.77%,60.74,280126401.53,38324
2018-02-05,63.51,64.22,61.09,61.21,3496729,-2.62,-4.10%,61.21,216751747.52,23870
2018-02-02,63.26,64.20,62.90,63.83,2646791,0.11,0.17%,63.83,168544151.82,19244
2018-02-01,65.01,65.19,63.58,63.72,3474817,-1.39,-2.13%,63.72,222967154.29,19329
2018-01-31,63.06,65.17,62.941,65.11,3976908,2.21,3.51%,65.11,257095962.88,24809
2018-01-30,63.18,63.41,62.42,62.90,2621705,-0.49,-0.77%,62.90,165101216.95,19393
2018-01-29,64.25,64.25,63.34,63.39,1462627,-1.00,-1.55%,63.39,93026669.41,13642
2018-01-26,64.35,64.50,63.83,64.39,1611917,0.17,0.26%,64.39,103506073.07,13259
2018-01-25,64.76,64.76,63.76,64.22,1625164,-0.26,-0.40%,64.22,104192142.21,13955
2018-01-24,64.96,64.99,64.15,64.48,3171721,-0.49,-0.75%,64.48,204376848.97,26891
2018-01-23,63.39,64.98,63.13,64.97,3554279,1.86,2.95%,64.97,228849816.92,28710
2018-01-22,61.90,63.16,61.78,63.11,3172178,1.33,2.15%,63.11,199357876.99,23098
2018-01-19,61.52,61.78,61.09,61.78,3791008,0.35,0.57%,61.78,232953332.15,25293
2018-01-18,62.76,62.76,61.40,61.43,3680733,-1.43,-2.27%,61.43,227126641.56,23908
2018-01-17,62.43,62.99,62.06,62.86,2394227,0.72,1.16%,62.86,150030571.79,18434
2018-01-16,62.24,63.24,62.00,62.14,2432476,0.29,0.47%,62.14,152042189.68,17427
2018-01-12,61.71,62.06,61.37,61.85,2441904,0.20,0.32%,61.85,151023589.35,18388
2018-01-11,61.63,61.93,61.11,61.65,2162207,0.21,0.34%,61.65,133037158.80,18481
2018-01-10,62.40,62.40,61.42,61.44,2791725,-1.21,-1.93%,61.44,172018380.96,22606
2018-01-09,63.49,63.97,62.53,62.65,2306070,-0.64,-1.01%,62.65,145028112.74,17663
2018-01-08,62.44,63.32,62.32,63.29,2333331,0.73,1.17%,63.29,147065526.93,15673
2018-01-05,62.92,63.02,62.48,62.56,2825789,-0.05,-0.08%,62.56,176884780.89,18028
2018-01-04,63.80,63.96,62.61,62.61,2128515,-1.28,-2.00%,62.61,134159608.68,15499
2018-01-03,63.96,64.15,63.61,63.89,1650084,-0.12,-0.19%,63.89,105385050.18,14086
2018-01-02,64.59,64.84,63.90,64.01,1532181,-0.50,-0.78%,64.01,98228638.72,11989
2017-12-29,64.89,64.94,64.40,64.51,1541486,-0.25,-0.39%,64.51,99549941.25,11910
2017-12-28,64.25,64.795,64.05,64.76,1269675,0.48,0.75%,64.76,82072169.09,11329
2017-12-27,64.09,64.40,63.79,64.28,1227210,0.46,0.72%,64.28,78788976.85,11256
2017-12-26,63.94,63.98,63.48,63.82,905304,-0.01,-0.02%,63.82,57746441.57,8994
2017-12-22,63.26,63.9444,63.02,63.83,1670903,0.82,1.30%,63.83,106409958.76,11958
2017-12-21,63.305,63.63,62.99,63.01,1823813,-0.04,-0.06%,63.01,115269079.71,15254
2017-12-20,63.74,64.1598,63.00,63.05,2446106,-0.33,-0.52%,63.05,154837851.80,17494
2017-12-19,65.82,65.99,63.30,63.38,3145655,-2.48,-3.77%,63.38,200627812.35,22830
2017-12-18,66.045,66.67,65.67,65.86,2353021,-0.12,-0.18%,65.86,155392763.29,16871
2017-12-15,66.63,66.87,65.25,65.98,4537900,0.51,0.78%,65.98,299567494.51,18139
2017-12-14,65.82,66.27,65.50,65.91,2029904,0.149,0.23%,65.47,133766973.09,16952
2017-12-13,66.19,66.58,65.685,65.76,2232994,-0.407,-0.62%,65.321,147165045.30,18307
2017-12-12,65.90,66.39,65.41,66.17,1761270,0.437,0.67%,65.7282,116406665.26,14174
2017-12-11,66.05,66.30,65.47,65.73,1282147,-0.427,-0.65%,65.2912,84265266.42,11054
2017-12-08,66.00,66.40,65.91,66.16,1518806,0.338,0.52%,65.7183,100430414.93,9455
2017-12-07,64.71,65.84,64.61,65.82,1808148,1.093,1.70%,65.3806,118522902.60,12614
2017-12-06,64.37,64.73,64.05,64.72,1415520,0.278,0.43%,64.2879,91322453.99,11720
2017-12-05,65.85,65.86,64.30,64.44,2242447,-1.49,-2.27%,64.0098,145166060.07,19210
2017-12-04,66.86,66.98,65.93,65.94,2027769,-0.248,-0.38%,65.4998,134148195.77,16661
2017-12-01,66.40,67.05,65.13,66.19,1679571,-0.04,-0.06%,65.7481,110916603.10,14789
2017-11-30,66.46,66.55,65.83,66.23,3133544,0.099,0.15%,65.7878,207334244.65,17551
2017-11-29,66.66,66.7427,65.60,66.13,1872591,-0.556,-0.84%,65.6885,123808423.18,15814
2017-11-28,66.90,66.95,66.28,66.69,1812780,-0.179,-0.27%,66.2448,120757697.98,17602
2017-11-27,67.24,67.25,66.72,66.87,1211690,-0.189,-0.28%,66.4236,81122275.93,9975
2017-11-24,67.04,67.34,67.02,67.06,451327,0.169,0.25%,66.6123,30289016.68,3961
2017-11-22,67.29,67.40,66.83,66.89,1269644,-0.507,-0.76%,66.4434,85092018.27,10297
2017-11-21,66.70,67.53,66.67,67.40,1437172,0.954,1.44%,66.95,96679813.65,12664
2017-11-20,66.48,66.86,66.19,66.44,1401994,0.139,0.21%,65.9964,93373759.36,14184
2017-11-17,66.52,66.84,66.19,66.30,1304300,-0.745,-1.12%,65.8574,86591193.57,11110
2017-11-16,65.69,67.19,65.50,67.05,2509390,1.45,2.23%,66.6024,167309071.39,19252
2017-11-15,66.93,67.08,65.51,65.59,2068159,-1.589,-2.38%,65.1521,136434554.80,16887
2017-11-14,67.02,67.25,66.6876,67.19,1869822,0.119,0.18%,66.7414,125334819.36,14637
2017-11-13,66.28,67.22,66.05,67.07,1613674,0.844,1.28%,66.6222,108046755.49,13773
2017-11-10,66.03,66.89,66.00,66.22,1587602,-0.258,-0.39%,65.7779,105373402.69,12780
