date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,107.99,108.57,107.14,107.14,5081263,-1.16,-1.07%,107.14,545861064.92,30195
2018-03-09,109.46,109.90,107.98,108.30,4398017,-0.70,-0.64%,108.30,477115250.28,26954
2018-03-08,107.16,109.06,106.94,109.00,4053811,2.11,1.97%,109.00,439831577.70,27205
2018-03-07,106.97,107.85,106.3325,106.89,3271355,-1.09,-1.01%,106.89,349981439.46,24148
2018-03-06,107.76,108.00,106.62,107.98,6040950,0.28,0.26%,107.98,649990030.25,30595
2018-03-05,106.04,107.84,105.77,107.70,5557546,0.89,0.83%,107.70,595355722.10,40147
2018-03-02,104.31,107.08,104.31,106.81,6229100,2.13,2.03%,106.81,661274646.92,47582
2018-03-01,103.67,105.045,102.93,104.68,6683285,1.13,1.09%,104.68,696816924.61,51797
2018-02-28,105.40,105.63,103.50,103.55,5346032,-0.53,-0.51%,103.55,557046622.86,34818
2018-02-27,106.39,106.47,104.08,104.08,4414524,-2.60,-2.44%,104.08,462502351.37,35488
2018-02-26,106.23,106.79,105.18,106.68,5654748,0.57,0.54%,106.68,600101027.36,39406
2018-02-23,103.65,106.36,103.43,106.11,4824677,3.13,3.04%,106.11,507619262.27,36719
2018-02-22,103.66,105.51,102.89,102.98,4072916,-0.74,-0.71%,102.98,423203423.85,32448
2018-02-21,103.10,105.05,102.98,103.72,5661147,0.87,0.85%,103.72,589097332.07,38371
2018-02-20,103.70,103.89,102.33,102.85,3974934,-1.46,-1.40%,102.85,409379104.55,28072
2018-02-16,103.31,105.13,103.05,104.31,5209387,0.62,0.60%,104.31,543340543.57,28876
2018-02-15,102.56,103.71,102.06,103.69,4361113,1.15,1.12%,103.69,449204024.12,27924
2018-02-14,102.75,103.50,101.74,102.54,4253763,-0.51,-0.49%,102.54,437111708.98,34660
2018-02-13,101.74,103.16,100.975,103.05,5182271,0.65,0.63%,103.05,530868053.00,34913
2018-02-12,100.27,103.07,99.79,102.40,6468874,2.46,2.46%,102.40,658351952.51,43725
2018-02-09,100.90,101.60,98.55,99.94,9899855,-0.45,-0.45%,99.94,992445544.67,77337
2018-02-08,99.52,102.38,99.00,100.39,11214336,1.51,1.53%,100.39,1132822520.78,68384
2018-02-07,99.90,101.61,98.50,98.88,5916838,-1.45,-1.45%,98.88,592301074.12,47168
2018-02-06,97.31,100.64,96.66,100.33,9591585,1.64,1.66%,100.33,950984129.23,70252
2018-02-05,102.93,103.48,98.51,98.69,7901161,-4.75,-4.59%,98.69,795231611.88,61667
2018-02-02,105.00,105.53,103.19,103.44,6421805,-1.73,-1.64%,103.44,669343335.20,48794
2018-02-01,107.04,107.58,104.9348,105.17,7612858,-2.06,-1.92%,105.17,804810572.27,47175
2018-01-31,108.23,108.47,106.74,107.23,5041574,-0.71,-0.66%,107.23,541551293.81,34215
2018-01-30,108.20,109.37,107.754,107.94,4069673,-0.67,-0.62%,107.94,440253847.31,30532
2018-01-29,109.63,109.70,108.41,108.61,3952549,-1.58,-1.43%,108.61,429822988.42,30185
2018-01-26,107.36,110.46,107.31,110.19,6000673,2.70,2.51%,110.19,658862194.09,35294
2018-01-25,110.43,111.25,103.02,107.49,11823674,-3.11,-2.81%,107.49,1273155256.16,79246
2018-01-24,109.56,110.89,109.56,110.60,4404104,1.07,0.98%,110.60,486534004.25,33444
2018-01-23,108.50,109.775,108.40,109.53,3778058,0.72,0.66%,109.53,413249518.89,24155
2018-01-22,109.15,109.68,108.46,108.81,4762264,-0.11,-0.10%,108.81,519080251.70,33213
2018-01-19,105.58,109.11,105.54,108.92,5818855,3.85,3.66%,108.92,627039547.13,35860
2018-01-18,105.46,105.71,104.80,105.07,4134618,-0.72,-0.68%,105.07,434696834.20,25986
2018-01-17,105.08,106.25,105.08,105.79,4009392,0.92,0.88%,105.79,424342650.58,28690
2018-01-16,104.55,104.98,103.77,104.87,5855595,0.37,0.35%,104.87,611632637.59,36742
2018-01-12,105.57,105.64,103.91,104.50,5513801,-0.36,-0.34%,104.50,576609185.70,37768
2018-01-11,106.32,106.62,104.405,104.86,4109303,-0.77,-0.73%,104.86,433586420.21,28182
2018-01-10,105.02,106.04,103.88,105.63,3696461,0.74,0.71%,105.63,389335122.09,28847
2018-01-09,104.75,105.44,104.24,104.89,3939176,0.75,0.72%,104.89,413292228.38,27582
2018-01-08,103.98,104.67,103.85,104.14,4911599,-0.16,-0.15%,104.14,511827486.19,22224
2018-01-05,103.27,104.60,103.27,104.30,4641446,0.83,0.80%,104.30,483702479.16,26981
2018-01-04,104.24,104.49,103.47,103.47,4170091,-0.79,-0.76%,103.47,432792314.79,29572
2018-01-03,104.36,104.855,103.8546,104.26,3589756,-0.13,-0.12%,104.26,374211123.95,27120
2018-01-02,105.82,106.1697,104.16,104.39,5126776,-1.26,-1.19%,104.39,536388369.93,36123
2017-12-29,105.08,106.52,105.00,105.65,4248335,0.84,0.80%,105.65,449769722.54,22253
