date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,162.51,162.99,161.507,162.26,1641252,-0.19,-0.12%,162.26,266411358.02,16647
2018-03-09,161.00,162.80,160.185,162.45,1750935,2.96,1.86%,162.45,283647089.16,16150
2018-03-08,159.96,160.39,157.38,159.49,1499970,-0.15,-0.09%,159.49,238388484.63,13765
2018-03-07,157.31,160.08,157.01,159.64,1425829,0.30,0.19%,159.64,226818681.54,13517
2018-03-06,159.04,159.85,157.20,159.34,1330060,0.63,0.40%,159.34,211249899.82,15160
2018-03-05,155.85,159.66,154.961,158.71,1749133,1.28,0.81%,158.71,276878287.59,18591
2018-03-02,155.26,157.82,153.8194,157.43,1949245,1.44,0.92%,157.43,304999614.62,20279
2018-03-01,157.66,159.0087,155.70,155.99,2604277,-1.67,-1.06%,155.99,408686999.41,28603
2018-02-28,160.83,162.04,157.59,157.66,2204628,-2.57,-1.60%,157.66,351809298.04,20292
2018-02-27,161.76,163.585,160.22,160.23,2088938,-1.60,-0.99%,160.23,338051267.75,21640
2018-02-26,160.73,161.90,159.43,161.83,1649717,1.74,1.09%,161.83,265482494.87,17731
2018-02-23,158.14,160.15,157.605,160.09,1594362,2.49,1.58%,160.09,253228619.84,15067
2018-02-22,161.73,162.80,157.25,157.60,2391460,-3.68,-2.28%,157.60,381633551.21,24355
2018-02-21,158.69,163.24,158.69,161.28,2554865,2.15,1.35%,161.28,412790000.48,22641
2018-02-20,158.63,160.77,158.24,159.13,1707851,0.05,0.03%,159.13,272577326.80,16718
2018-02-16,158.91,160.81,158.30,159.08,2168530,-0.78,-0.49%,159.08,345424304.48,17132
2018-02-15,159.46,160.32,158.67,159.86,2143291,1.59,1.00%,159.86,342338715.29,18601
2018-02-14,152.84,158.70,152.84,158.27,2207095,4.98,3.25%,158.27,345795284.87,21404
2018-02-13,151.04,153.53,151.005,153.29,2131463,1.01,0.66%,153.29,325721168.10,22832
2018-02-12,152.80,154.29,151.17,152.28,2429130,0.57,0.38%,152.28,370662591.22,22037
2018-02-09,150.98,153.00,147.17,151.71,2977678,2.33,1.56%,151.71,447364987.88,30331
2018-02-08,155.05,155.83,149.38,149.38,2946846,-5.62,-3.63%,149.38,446361975.68,28615
2018-02-07,153.75,156.87,153.39,155.00,2495546,0.71,0.46%,155.00,388216189.60,27565
2018-02-06,147.02,154.76,146.34,154.29,4582150,3.97,2.64%,154.29,693419976.17,43409
2018-02-05,156.18,157.74,149.30,150.32,5096882,-7.65,-4.84%,150.32,786914436.70,41490
2018-02-02,158.66,159.44,157.37,157.97,2782046,-1.18,-0.74%,157.97,440860460.93,26250
2018-02-01,157.41,159.84,157.10,159.15,2016556,1.13,0.72%,159.15,319785008.85,19156
2018-01-31,158.40,159.43,157.43,158.02,1921785,0.12,0.08%,158.02,303978484.59,20408
2018-01-30,158.25,159.42,157.14,157.90,2372746,-1.31,-0.82%,157.90,375013843.53,19341
2018-01-29,158.45,160.07,158.40,159.21,1686606,0.55,0.35%,159.21,268909369.09,17396
2018-01-26,158.02,158.75,157.08,158.66,1930106,0.86,0.54%,158.66,305218532.14,16143
2018-01-25,158.35,158.69,157.35,157.80,2054779,0.06,0.04%,157.80,324449238.35,17483
2018-01-24,155.69,158.27,155.69,157.74,1828774,1.97,1.26%,157.74,287875263.19,19400
2018-01-23,154.60,156.51,154.33,155.77,2313114,0.05,0.03%,155.77,360353148.55,19775
2018-01-22,155.12,155.72,154.31,155.72,1856578,0.47,0.30%,155.72,288090462.38,17000
2018-01-19,154.36,156.149,154.10,155.25,2735639,1.54,1.00%,155.25,423940520.47,19625
2018-01-18,153.70,154.89,152.94,153.71,2680021,-0.52,-0.34%,153.71,412167453.93,21273
2018-01-17,152.99,154.9288,151.84,154.23,2738544,1.97,1.29%,154.23,421342899.00,21757
2018-01-16,152.81,154.90,151.53,152.26,2688296,1.17,0.77%,152.26,411365580.92,24864
2018-01-12,152.33,153.50,150.00,151.84,3275203,0.348,0.23%,151.0901,496201095.34,28478
2018-01-11,150.42,151.49,149.84,151.49,2396951,1.861,1.25%,150.7418,361821908.31,24083
2018-01-10,148.48,151.105,148.00,149.62,1960948,1.791,1.22%,148.881,293927486.00,20857
2018-01-09,145.99,149.035,145.36,147.82,2438234,2.756,1.91%,147.0899,360546396.63,25184
2018-01-08,144.50,145.74,144.27,145.05,2564879,0.269,0.19%,144.3336,372215499.53,21874
2018-01-05,145.14,145.37,143.94,144.78,2079393,0.179,0.12%,144.0649,300736934.93,18550
2018-01-04,145.07,147.12,144.45,144.60,3292507,0.01,0.01%,143.8858,478233306.44,30438
2018-01-03,144.60,145.36,144.305,144.59,2423185,-0.03,-0.02%,143.8759,350573267.29,21081
2018-01-02,145.25,145.46,143.96,144.62,2824938,0.328,0.23%,143.9057,408818089.31,20582
2017-12-29,146.12,146.20,144.29,144.29,1127522,-1.373,-0.95%,143.5774,163204460.65,11395
2017-12-28,145.00,145.75,144.71,145.67,1085621,0.687,0.48%,144.9505,157864437.81,11169
2017-12-27,145.28,145.53,144.45,144.98,1093554,0.08,0.06%,144.2639,158558666.98,9759
2017-12-26,146.26,146.81,144.53,144.90,751933,-1.214,-0.83%,144.1843,109177475.88,8855
2017-12-22,146.33,147.02,145.28,146.12,1040506,-0.139,-0.10%,145.3983,151992720.34,10448
