date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,84.59,86.42,84.42,86.14,994702,1.19,1.40%,86.14,85312723.81,8387
2018-03-09,85.73,85.73,83.92,84.95,1275893,-0.11,-0.13%,84.95,108173721.07,12072
2018-03-08,83.60,85.22,83.31,85.06,901570,2.20,2.66%,85.06,76169362.33,9235
2018-03-07,81.73,83.32,81.42,82.86,623803,0.44,0.53%,82.86,51557285.51,6015
2018-03-06,82.58,82.92,81.64,82.42,688867,-0.39,-0.47%,82.42,56686844.08,7444
2018-03-05,82.65,83.33,80.80,82.81,1379601,-0.18,-0.22%,82.81,113649077.45,13460
2018-03-02,80.50,84.53,79.21,82.99,2456575,3.42,4.30%,82.99,201666341.43,20627
2018-03-01,80.98,81.49,78.50,79.57,2178358,-1.70,-2.09%,79.57,173436938.56,20268
2018-02-28,83.08,83.45,81.37,81.46,1788499,-0.539,-0.66%,81.27,146679723.15,12766
2018-02-27,85.00,85.53,81.71,82.00,2486373,-6.285,-7.13%,81.8088,207149463.81,22679
2018-02-26,88.44,89.495,87.56,88.30,1133321,0.05,0.06%,88.0941,100410185.89,10734
2018-02-23,87.50,88.42,87.02,88.25,739650,1.177,1.36%,88.0442,65060060.75,7053
2018-02-22,87.10,88.715,86.84,87.07,705858,-0.03,-0.03%,86.867,61667732.39,6231
2018-02-21,87.04,88.80,86.85,87.10,626325,0.06,0.07%,86.8969,55024264.66,7123
2018-02-20,88.73,89.13,86.86,87.04,1323330,-2.504,-2.80%,86.837,116062951.43,11655
2018-02-16,89.27,90.72,89.20,89.55,781759,-0.10,-0.11%,89.3412,70277417.49,8213
2018-02-15,87.32,89.69,86.70,89.65,800261,2.983,3.45%,89.4409,71004112.74,8770
2018-02-14,85.19,87.34,84.99,86.66,743162,0.848,0.99%,86.4579,64203679.57,8293
2018-02-13,84.76,86.69,84.09,85.81,875483,0.509,0.60%,85.6099,74970385.45,9784
2018-02-12,85.95,86.15,84.42,85.30,1001717,-0.01,-0.01%,85.1011,85347300.13,10024
2018-02-09,85.09,86.26,82.79,85.31,1059843,0.868,1.03%,85.1111,89799065.54,10816
2018-02-08,87.14,87.95,84.44,84.44,1103170,-3.073,-3.52%,84.2431,94762791.70,18270
2018-02-07,87.20,88.43,86.98,87.52,744747,-0.519,-0.59%,87.3159,65389567.09,12124
2018-02-06,86.34,88.575,85.84,88.04,1154939,1.147,1.32%,87.8347,100752168.52,15488
2018-02-05,90.22,90.66,86.84,86.89,1215950,-3.502,-3.88%,86.6874,107752634.93,13962
2018-02-02,90.72,91.06,89.88,90.40,859882,-0.559,-0.62%,90.1892,77723228.33,9091
2018-02-01,90.63,92.30,90.63,90.96,793160,0.339,0.38%,90.7479,72403424.21,8949
2018-01-31,90.27,90.97,89.49,90.62,1203185,0.459,0.51%,90.4087,108675828.61,13382
2018-01-30,90.71,90.99,89.64,90.16,889381,-2.195,-2.38%,89.9497,80264617.24,7537
2018-01-29,93.66,95.035,92.36,92.36,1287825,-2.783,-2.93%,92.1446,120449906.51,12957
2018-01-26,95.06,95.93,94.29,95.15,989263,0.559,0.59%,94.9281,93974528.23,9615
2018-01-25,94.26,94.69,93.72,94.59,692380,0.978,1.05%,94.3694,65282394.98,7279
2018-01-24,94.05,94.805,92.70,93.61,723769,-0.379,-0.40%,93.3917,67784574.84,7925
2018-01-23,92.60,94.17,92.38,93.99,919086,0.549,0.59%,93.7708,86147371.91,8087
2018-01-22,91.66,93.47,91.53,93.44,765096,1.556,1.70%,93.2221,71018768.44,7832
2018-01-19,92.00,92.23,90.66,91.88,1239265,0.19,0.21%,91.6657,113293360.93,9252
2018-01-18,91.34,91.74,89.37,91.69,1036762,0.09,0.10%,91.4762,94230208.54,9194
2018-01-17,90.72,92.36,90.50,91.60,894204,0.738,0.81%,91.3864,81916259.70,9051
2018-01-16,91.19,92.58,90.38,90.86,848824,-0.938,-1.02%,90.6481,77456481.91,7614
2018-01-12,92.19,92.75,91.09,91.80,559679,-0.19,-0.21%,91.5859,51320329.50,5816
2018-01-11,90.17,92.1599,90.03,91.99,981054,1.906,2.12%,91.7755,89699632.20,7668
2018-01-10,90.43,90.875,89.23,90.08,884926,-0.758,-0.84%,89.8699,79690945.48,7519
2018-01-09,90.66,91.115,90.02,90.84,1056960,0.708,0.79%,90.6282,95958586.89,9856
2018-01-08,91.39,91.39,87.73,90.13,1655186,-1.048,-1.15%,89.9198,147784536.64,13801
2018-01-05,91.41,91.72,89.78,91.18,662790,0.10,0.11%,90.9674,60266477.32,6464
2018-01-04,91.58,92.04,89.59,91.08,1597955,1.636,1.83%,90.8676,145574192.67,13136
2018-01-03,89.59,89.93,88.86,89.44,868112,-0.249,-0.28%,89.2314,77602786.17,8380
2018-01-02,87.75,90.82,87.65,89.69,798163,2.524,2.90%,89.4808,71539180.48,7761
2017-12-29,87.57,87.79,87.04,87.16,442315,-0.11,-0.13%,86.9567,38621531.72,4615
2017-12-28,88.52,88.70,87.14,87.27,651990,-1.237,-1.40%,87.0665,57030131.23,4819
2017-12-27,88.53,89.37,87.98,88.51,606745,0.579,0.66%,88.3036,53686171.88,6046
2017-12-26,87.62,88.97,87.51,87.93,746926,0.918,1.06%,87.7249,65881653.26,5568
2017-12-22,87.395,87.41,86.60,87.01,415346,-0.17,-0.19%,86.8071,36138957.24,5018
2017-12-21,87.19,87.66,86.33,87.18,609077,0.648,0.75%,86.9767,53096564.00,7192
2017-12-20,86.98,87.21,86.01,86.53,1002570,0.639,0.75%,86.3282,86793114.51,8370
2017-12-19,85.70,86.29,85.30,85.89,935634,-0.489,-0.57%,85.6897,80409262.65,7197
2017-12-18,86.85,86.93,85.79,86.38,1428738,-0.12,-0.14%,86.1786,123556333.56,7776
2017-12-15,85.285,86.58,84.125,86.50,2098862,2.454,2.93%,86.2983,180632175.39,12677
2017-12-14,85.63,86.43,82.13,84.04,2198333,-1.975,-2.30%,83.844,184931984.93,17441
2017-12-13,86.19,86.615,85.40,86.02,1106478,0.10,0.12%,85.8194,95160852.32,10032
2017-12-12,85.48,87.56,85.42,85.92,1400364,0.329,0.39%,85.7196,121022379.44,12152
2017-12-11,85.32,86.72,85.21,85.59,1868127,-0.01,-0.01%,85.3904,160230752.90,8266
2017-12-08,84.70,85.74,83.79,85.60,963615,2.724,3.29%,85.4004,82188168.77,7999
2017-12-07,82.54,83.16,81.28,82.87,847054,0.489,0.59%,82.6767,69898167.61,7962
2017-12-06,83.54,83.70,81.68,82.38,999677,-1.197,-1.44%,82.1879,82442793.37,9626
2017-12-05,86.49,86.6399,83.36,83.58,1341482,-2.714,-3.15%,83.3851,113351274.31,11466
2017-12-04,87.94,88.13,86.24,86.30,870574,-0.698,-0.80%,86.0987,75839010.19,7612
2017-12-01,87.39,88.40,86.18,87.00,834515,-0.21,-0.24%,86.7971,72875888.35,7948
2017-11-30,88.58,88.71,86.90,87.21,1035567,-0.349,-0.40%,87.0066,90662297.11,9927
2017-11-29,87.10,88.31,87.10,87.72,680564,0.687,0.79%,87.3558,59784861.89,6307
2017-11-28,86.66,87.43,85.63,87.03,737388,0.966,1.13%,86.6687,63985778.91,7012
2017-11-27,86.93,87.23,85.42,86.06,859354,-0.508,-0.59%,85.7027,73962450.39,7746
2017-11-24,87.13,87.41,85.89,86.57,224113,-0.129,-0.15%,86.2106,19462429.21,2171
2017-11-22,86.50,86.91,86.24,86.70,481956,-0.05,-0.06%,86.34,41755773.33,4954
2017-11-21,85.60,87.53,85.40,86.75,703615,1.544,1.82%,86.3898,61175441.00,7451
2017-11-20,85.73,85.76,84.65,85.20,968575,-0.687,-0.80%,84.8463,82504650.05,8934
2017-11-17,86.51,86.78,85.80,85.89,1188585,-1.105,-1.28%,85.5334,102328034.22,9045
2017-11-16,86.06,87.76,85.99,87.00,1329959,1.195,1.40%,86.6388,115983979.48,12747
2017-11-15,85.80,86.51,84.63,85.80,1022999,-0.199,-0.23%,85.4438,87762501.10,9503
2017-11-14,86.72,86.82,85.55,86.00,1930550,-0.797,-0.92%,85.6429,166118906.53,15325
