date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,199.96,200.41,198.56,199.41,1004349,-0.55,-0.28%,199.41,200324075.92,10225
2018-03-09,200.08,200.40,197.67,199.96,884128,0.15,0.08%,199.96,175919039.02,8816
2018-03-08,198.14,200.49,197.13,199.81,756595,1.80,0.91%,199.81,150997333.64,8462
2018-03-07,197.33,198.91,196.40,198.01,583960,-0.15,-0.08%,198.01,115516775.60,7099
2018-03-06,196.80,199.08,195.415,198.16,711877,0.81,0.41%,198.16,140451232.06,8747
2018-03-05,195.09,199.00,195.09,197.35,1146861,2.35,1.21%,197.35,226861521.72,11458
2018-03-02,196.18,197.61,192.83,195.00,950665,-1.11,-0.57%,195.00,185105199.95,12116
2018-03-01,194.24,198.49,193.08,196.11,1196702,1.67,0.86%,196.11,235298576.09,15853
2018-02-28,193.82,196.68,193.12,194.44,1152568,1.52,0.79%,194.44,224509880.20,11936
2018-02-27,196.54,197.74,192.52,192.92,979556,-2.96,-1.51%,192.92,190058874.02,12158
2018-02-26,196.05,197.41,193.31,195.88,879881,0.20,0.10%,195.88,171537508.31,11075
2018-02-23,193.33,195.7399,192.84,195.68,778167,2.54,1.32%,195.68,151527001.85,9812
2018-02-22,191.63,194.37,190.77,193.14,1466730,2.39,1.25%,193.14,282740757.40,17738
2018-02-21,186.97,194.22,185.77,190.75,2526872,4.44,2.38%,190.75,482266999.54,26873
2018-02-20,187.63,190.25,185.91,186.31,1377216,-2.44,-1.29%,186.31,257724686.77,14051
2018-02-16,189.98,190.96,187.015,188.75,1112611,-1.73,-0.91%,188.75,209687103.93,13247
2018-02-15,187.52,191.35,187.00,190.48,931850,3.70,1.98%,190.48,176908883.15,12001
2018-02-14,187.81,188.15,184.69,186.78,963755,-2.42,-1.28%,186.78,179666299.79,11492
2018-02-13,187.95,190.28,187.50,189.20,1054536,1.38,0.73%,189.20,199188764.66,11869
2018-02-12,187.63,188.57,182.93,187.82,1405648,0.66,0.35%,187.82,262398139.98,17453
2018-02-09,181.75,188.70,180.71,187.16,2002079,6.67,3.70%,187.16,371608668.08,22094
2018-02-08,185.35,185.945,180.48,180.49,1213663,-4.86,-2.62%,180.49,222380384.16,15021
2018-02-07,184.65,188.62,183.76,185.35,1021658,-0.05,-0.03%,185.35,190474304.94,14355
2018-02-06,182.98,187.09,180.9254,185.40,1566375,0.42,0.23%,185.40,288443868.01,17532
2018-02-05,189.47,191.73,183.271,184.98,1088800,-5.33,-2.80%,184.98,203780236.99,13031
2018-02-02,190.10,191.95,188.39,190.31,973962,-0.67,-0.35%,190.31,185401948.30,10937
2018-02-01,196.10,196.58,190.71,190.98,1125724,-4.78,-2.44%,190.98,217423164.14,11943
2018-01-31,193.49,195.76,191.88,195.76,2749419,2.16,1.12%,195.76,535555224.88,18057
2018-01-30,192.54,194.2899,190.26,193.60,1535542,1.06,0.55%,193.60,296382282.88,12790
2018-01-29,192.50,192.93,190.15,192.54,1121948,-0.31,-0.16%,192.54,215515123.71,10970
2018-01-26,193.27,193.675,190.70,192.85,1083159,0.28,0.15%,192.85,208091625.28,10140
2018-01-25,194.00,194.78,190.82,192.57,855527,-2.35,-1.21%,192.57,164443869.81,10346
2018-01-24,197.82,198.01,194.31,194.92,687010,-3.17,-1.60%,194.92,134074626.45,9204
2018-01-23,194.00,198.549,193.56,198.09,981967,4.31,2.22%,198.09,193708340.86,10469
2018-01-22,194.14,194.62,192.51,193.78,909602,0.22,0.11%,193.78,175989605.76,10251
2018-01-19,193.91,194.50,192.70,193.56,646108,0.31,0.16%,193.56,125022576.41,6759
2018-01-18,195.12,195.6799,192.60,193.25,1241017,-2.44,-1.25%,193.25,240215996.17,11753
2018-01-17,194.80,197.02,194.44,195.69,737901,1.94,1.00%,195.69,144322980.28,8918
2018-01-16,194.20,198.425,193.52,193.75,1034218,0.20,0.10%,193.75,201595623.13,10723
2018-01-12,196.02,196.50,193.40,193.55,957647,-2.57,-1.31%,193.55,186075970.94,10286
2018-01-11,196.80,197.37,195.01,196.12,1094164,0.01,0.01%,196.12,214446268.08,12771
2018-01-10,199.67,200.07,195.30,196.11,1133154,-5.04,-2.51%,196.11,222443615.80,13446
2018-01-09,204.07,204.20,200.91,201.15,659878,-2.38,-1.17%,201.15,133165113.24,8953
2018-01-08,202.09,204.15,201.94,203.53,768618,1.61,0.80%,203.53,156161102.89,10416
2018-01-05,203.33,204.04,201.71,201.92,644570,-1.19,-0.59%,201.92,130341979.73,7602
2018-01-04,205.90,207.01,202.57,203.11,799579,-3.66,-1.77%,203.11,162760836.41,10135
2018-01-03,206.35,207.66,205.74,206.77,580046,0.45,0.22%,206.77,119894603.33,7292
2018-01-02,210.05,210.17,205.58,206.32,812308,-2.68,-1.28%,206.32,168214499.29,9416
2017-12-29,209.73,210.55,208.63,209.00,620088,-0.24,-0.11%,209.00,129846159.32,7213
2017-12-28,209.12,209.98,208.10,209.24,666707,-0.04,-0.02%,209.24,139492752.80,7503
2017-12-27,208.55,209.535,208.2827,209.28,379275,1.25,0.60%,209.28,79301516.30,6604
2017-12-26,206.57,208.94,206.55,208.03,331678,2.06,1.00%,208.03,69034111.64,5038
2017-12-22,204.79,206.57,204.40,205.97,501261,2.25,1.10%,205.97,103079064.92,6091
2017-12-21,205.02,205.90,203.61,203.72,644999,-1.43,-0.70%,203.72,131619139.00,7971
2017-12-20,208.29,208.85,205.02,205.15,801475,-3.06,-1.47%,205.15,165216712.91,8529
2017-12-19,211.54,212.55,207.87,208.21,713494,-3.88,-1.83%,208.21,148997505.05,9547
2017-12-18,213.30,215.45,211.72,212.09,823286,0.53,0.25%,212.09,175349218.58,9673
2017-12-15,211.355,212.71,210.18,211.56,1158885,0.54,0.26%,211.56,245205337.73,9483
