date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,95.71,96.2499,94.89,94.99,1310643,-0.92,-0.96%,94.99,124779951.62,12604
2018-03-09,96.00,96.29,95.43,95.91,1776360,0.72,0.76%,95.91,170229891.53,15666
2018-03-08,94.23,95.23,93.55,95.19,2101270,0.97,1.03%,95.19,198751253.74,17379
2018-03-07,93.03,95.04,93.02,94.22,1791368,0.29,0.31%,94.22,168500745.97,17106
2018-03-06,93.55,94.31,92.75,93.93,2056462,0.87,0.93%,93.93,193045144.78,18781
2018-03-05,91.02,93.22,90.67,93.06,2953329,1.69,1.85%,93.06,273307435.99,21753
2018-03-02,90.07,91.64,89.79,91.37,1903789,0.50,0.55%,91.37,172913364.57,15631
2018-03-01,90.54,91.92,89.50,90.87,3431866,0.50,0.55%,90.87,311611085.40,30738
2018-02-28,92.95,93.04,90.34,90.37,3233813,-1.75,-1.90%,90.37,295383671.42,23156
2018-02-27,92.77,93.75,92.10,92.12,3183120,-0.40,-0.43%,92.12,295664670.98,24404
2018-02-26,92.62,93.23,91.96,92.52,3391106,0.69,0.75%,92.52,314156654.79,25273
2018-02-23,90.59,91.86,90.11,91.83,2921994,1.70,1.89%,91.83,267170145.81,18799
2018-02-22,90.10,91.20,89.59,90.13,2905595,0.55,0.61%,90.13,262744239.07,22352
2018-02-21,91.06,91.53,89.56,89.58,2256679,-1.41,-1.55%,89.58,203970297.00,20521
2018-02-20,91.95,92.575,90.26,90.99,2957073,-1.00,-1.09%,90.99,268758529.75,27228
2018-02-16,91.78,92.915,90.95,91.99,2224825,-0.08,-0.09%,91.99,204814610.69,19273
2018-02-15,93.98,94.40,91.62,92.77,2639607,-0.556,-0.60%,92.07,244058020.99,22079
2018-02-14,93.39,93.81,91.32,93.33,4091287,-0.427,-0.46%,92.6257,379195457.36,32516
2018-02-13,93.24,94.29,92.96,93.76,1441217,0.169,0.18%,93.0525,135075862.59,13017
2018-02-12,93.46,94.77,92.61,93.59,1809007,0.983,1.07%,92.8838,169498188.79,15065
2018-02-09,93.12,94.13,89.14,92.60,2679288,0.159,0.17%,91.9012,245422518.23,23695
2018-02-08,95.49,95.516,92.41,92.44,2621070,-3.146,-3.32%,91.7424,245257467.23,23223
2018-02-07,96.82,98.09,95.59,95.61,2199665,-1.26,-1.31%,94.8885,212396469.48,22624
2018-02-06,92.88,97.00,92.70,96.88,2894153,1.657,1.75%,96.1489,275757745.69,26564
2018-02-05,95.82,99.57,93.55,95.21,4252511,-1.786,-1.86%,94.4915,411920464.60,35504
2018-02-02,101.10,101.10,96.08,97.01,4492340,-3.821,-3.82%,96.278,439114739.10,37174
2018-02-01,102.33,102.99,99.67,100.86,3243583,-1.528,-1.50%,100.0989,326089413.22,27550
2018-01-31,102.60,102.95,101.64,102.40,3388700,0.119,0.12%,101.6273,346973581.30,20174
2018-01-30,103.05,103.69,101.89,102.28,2049789,-1.955,-1.89%,101.5082,210314927.12,16953
2018-01-29,106.12,106.44,103.95,104.25,2563544,-2.322,-2.20%,103.4633,269290212.22,22411
2018-01-26,104.62,106.92,104.52,106.59,2645111,2.402,2.32%,105.7857,281015812.33,22998
2018-01-25,105.01,105.3315,103.97,104.17,1863989,-0.457,-0.44%,103.3839,194713263.94,15192
2018-01-24,107.22,107.47,103.80,104.63,1945272,-2.253,-2.12%,103.8405,204654301.59,18784
2018-01-23,106.90,107.34,106.56,106.90,1436529,0.238,0.23%,106.0933,153712475.88,14100
2018-01-22,105.59,106.82,105.39,106.66,1348037,1.022,0.98%,105.8551,143544479.75,12308
2018-01-19,105.53,105.65,104.82,105.63,1657504,0.337,0.32%,104.8329,174708131.74,11174
2018-01-18,106.43,106.43,104.55,105.29,1514010,-0.863,-0.82%,104.4955,159467248.61,12959
2018-01-17,103.95,106.91,103.83,106.16,2333429,2.64,2.57%,105.3589,247100169.69,20751
2018-01-16,104.54,104.89,103.17,103.50,2601232,-1.459,-1.40%,102.719,270061747.91,20308
2018-01-12,102.54,105.09,102.50,104.97,1849280,2.58,2.54%,104.1779,193263085.91,15259
2018-01-11,102.62,102.62,101.51,102.37,1358615,0.288,0.28%,101.5975,138962036.05,12598
2018-01-10,101.92,102.41,101.30,102.08,978149,0.357,0.35%,101.3097,99866174.31,10226
2018-01-09,101.90,102.25,101.37,101.72,1536954,-0.337,-0.33%,100.9524,156437936.11,12958
2018-01-08,102.50,102.50,101.46,102.06,1236474,-0.099,-0.10%,101.2899,125986638.17,10680
2018-01-05,102.20,102.35,101.64,102.16,1752478,0.01,0.01%,101.3891,178951199.60,16032
2018-01-04,102.40,102.72,101.82,102.15,1110641,-0.278,-0.27%,101.3792,113458937.43,10975
2018-01-03,101.45,102.80,101.41,102.43,1351711,0.675,0.67%,101.6571,138294983.87,13787
2018-01-02,101.66,101.83,101.0701,101.75,1222369,0.595,0.59%,100.9822,124073489.86,12873
2017-12-29,102.25,102.29,101.15,101.15,1267611,-0.804,-0.79%,100.3867,128580130.66,10110
2017-12-28,102.10,102.16,101.42,101.96,1258339,-0.099,-0.10%,101.1906,128034767.63,10806
2017-12-27,101.81,102.43,101.265,102.06,1225991,0.417,0.41%,101.2899,125086809.83,9967
2017-12-26,101.14,101.81,100.86,101.64,900387,0.744,0.74%,100.873,91415912.15,8267
2017-12-22,100.465,101.275,100.31,100.89,1092587,0.804,0.81%,100.1287,110225678.83,10027
2017-12-21,100.59,100.84,99.91,100.08,2359861,-0.635,-0.64%,99.3248,236911524.21,18666
2017-12-20,100.00,100.98,99.22,100.72,2223089,1.568,1.59%,99.96,222766376.15,18161
2017-12-19,100.00,100.14,99.07,99.14,1552253,-0.834,-0.84%,98.3919,154216903.67,11127
2017-12-18,99.68,100.415,99.67,99.98,1832961,0.06,0.06%,99.2256,183415092.16,14634
2017-12-15,99.96,100.41,99.58,99.92,2957293,0.367,0.37%,99.166,295736613.39,13727
2017-12-14,100.00,100.46,99.55,99.55,1455883,-0.437,-0.44%,98.7988,145455187.16,11933
2017-12-13,99.33,100.39,98.99,99.99,1912677,0.913,0.93%,99.2355,191239572.17,14654
2017-12-12,99.88,100.13,99.00,99.07,1670382,-0.645,-0.65%,98.3224,166070876.77,13275
2017-12-11,99.37,100.25,99.37,99.72,1299546,0.169,0.17%,98.9675,129655044.25,12009
2017-12-08,98.52,99.87,98.2024,99.55,2359950,1.677,1.73%,98.7988,234645644.31,14597
2017-12-07,97.50,98.29,97.3197,97.86,1485659,0.268,0.28%,97.1215,145442382.18,12061
2017-12-06,98.12,98.62,97.29,97.59,1612430,-0.675,-0.69%,96.8536,157553437.67,13502
2017-12-05,97.75,99.345,97.54,98.27,1820192,0.734,0.76%,97.5285,179317053.99,16120
2017-12-04,96.99,99.35,96.99,97.53,1953770,-0.04,-0.04%,96.794,191735571.29,16516
2017-12-01,97.98,98.16,95.35,97.57,2329597,0.01,0.01%,96.8337,226677387.25,18915
2017-11-30,95.00,97.69,94.92,97.56,3332633,2.63,2.79%,96.8238,323191006.63,21172
2017-11-29,94.05,95.035,94.05,94.91,2004132,0.854,0.91%,94.1938,189884410.37,19507
2017-11-28,93.46,94.22,92.84,94.05,1584227,1.231,1.34%,93.3403,148612678.47,12202
2017-11-27,93.54,93.637,92.55,92.81,2066230,-0.824,-0.89%,92.1097,192104924.18,15709
2017-11-24,93.33,93.86,93.29,93.64,605671,0.347,0.38%,92.9334,56679171.27,6390
2017-11-22,93.67,93.96,92.70,93.29,1414050,-0.328,-0.35%,92.586,131879837.59,11801
2017-11-21,92.93,94.04,92.86,93.62,1509095,0.992,1.08%,92.9135,141388527.59,13302
2017-11-20,92.49,92.9801,92.15,92.62,920207,-0.03,-0.03%,91.9211,85235552.77,8581
2017-11-17,92.24,93.19,91.97,92.65,1340724,0.189,0.21%,91.9509,124134102.35,11582
2017-11-16,92.00,92.74,91.54,92.46,2198575,0.586,0.64%,91.7623,202926968.67,16728
2017-11-15,92.20,93.06,91.45,92.57,1765992,-0.256,-0.28%,91.1767,163338007.58,15788
2017-11-14,92.59,93.39,92.39,92.83,1774911,-0.483,-0.53%,91.4328,164921095.10,15563
2017-11-13,93.66,94.21,93.20,93.32,1264829,-0.335,-0.36%,91.9154,118381338.87,10180
2017-11-10,94.31,94.51,93.32,93.66,1347768,-0.749,-0.80%,92.2503,126242948.67,11692
2017-11-09,93.61,94.63,93.61,94.42,1532564,-0.128,-0.14%,92.9989,144347176.35,14640
2017-11-08,94.52,94.67,94.02,94.55,2035370,-0.02,-0.02%,93.1269,192214328.28,13199
2017-11-07,94.67,94.87,93.9473,94.57,1371193,0.138,0.15%,93.1466,129526848.04,12972
2017-11-06,93.59,94.95,93.29,94.43,1927063,0.837,0.91%,93.0087,182059043.75,16024
2017-11-03,93.33,94.42,93.06,93.58,1868071,0.118,0.13%,92.1715,175503251.07,18231
2017-11-02,92.21,93.60,91.91,93.46,1822777,1.143,1.26%,92.0533,169684675.07,15775
2017-11-01,91.03,92.65,90.915,92.30,2152232,1.202,1.34%,90.9108,198098772.39,19447
2017-10-31,90.94,91.4419,90.29,91.08,1442195,0.059,0.07%,89.7092,131318824.88,12727
2017-10-30,91.58,92.32,90.99,91.02,1923358,-0.955,-1.05%,89.6501,175701086.33,13563
2017-10-27,91.05,92.08,90.20,91.99,2082916,0.798,0.89%,90.6055,190722072.32,18100
2017-10-26,91.51,92.00,90.80,91.18,1683305,-0.537,-0.59%,89.8077,153416530.48,14673
2017-10-25,91.82,92.35,91.233,91.725,1818085,-0.103,-0.11%,90.3445,166754350.77,19603
2017-10-24,91.28,91.885,90.67,91.83,1425678,0.581,0.65%,90.4479,130547684.95,12694
2017-10-23,90.89,91.755,90.7006,91.24,2036034,0.433,0.48%,89.8668,185765335.57,15415
2017-10-20,90.79,91.03,90.39,90.80,2109754,0.404,0.45%,89.4334,191352145.55,16243
2017-10-19,89.71,90.575,89.26,90.39,1899788,0.148,0.17%,89.0295,171522336.78,15951
2017-10-18,90.74,90.879,89.90,90.24,1942216,-0.384,-0.43%,88.8818,175305290.16,15544
2017-10-17,90.69,91.10,90.40,90.63,2398438,-0.236,-0.26%,89.2659,217527955.75,18769
2017-10-16,93.50,93.789,90.70,90.87,3563007,-3.506,-3.77%,89.5023,325695545.90,26153
2017-10-13,94.69,95.00,94.22,94.43,1608631,0.089,0.10%,93.0087,152121654.37,13018
2017-10-12,93.45,94.46,93.325,94.34,1692842,0.65,0.70%,92.9201,159410382.47,14779
2017-10-11,93.47,93.95,92.92,93.68,1644346,0.207,0.22%,92.27,153917737.89,13491
2017-10-10,93.66,94.00,93.32,93.47,1110093,0.148,0.16%,92.0632,103840341.61,10203
2017-10-09,93.45,93.76,93.035,93.32,1238669,0.492,0.54%,91.9154,115598977.66,11057
2017-10-06,92.77,93.33,92.41,92.82,1769365,-0.502,-0.55%,91.423,164198287.55,11157
2017-10-05,93.53,94.12,93.10,93.33,2046375,-0.098,-0.11%,91.9253,191314900.94,13127
2017-10-04,93.39,93.71,92.76,93.43,2214339,-0.197,-0.21%,92.0238,206616967.23,15439
2017-10-03,93.80,94.69,93.25,93.63,2606137,1.231,1.35%,92.2208,244746245.30,20286
2017-10-02,91.36,92.67,91.21,92.38,1929524,0.758,0.84%,90.9896,177987432.49,17709
2017-09-29,91.66,92.075,91.35,91.61,1947346,-0.177,-0.20%,90.2312,178437261.33,16277
2017-09-28,91.98,92.19,91.29,91.79,2197416,-0.01,-0.01%,90.4085,201670340.87,19177
2017-09-27,91.39,92.08,90.58,91.80,2468192,0.443,0.49%,90.4183,225595323.12,18219
2017-09-26,91.15,91.68,90.91,91.35,1986464,0.335,0.37%,89.9751,181487264.37,15990
2017-09-25,89.97,91.495,89.85,91.01,2039664,1.103,1.25%,89.6402,185460214.42,15925
2017-09-22,89.14,90.10,89.02,89.89,2036645,0.739,0.84%,88.5371,182849163.26,15857
2017-09-21,88.90,89.71,88.80,89.14,2035665,0.069,0.08%,87.7984,181741675.47,15190
2017-09-20,89.03,89.51,88.77,89.07,2279024,-0.02,-0.02%,87.7294,203098653.69,16390
2017-09-19,88.37,89.305,88.02,89.09,1928572,0.768,0.88%,87.7491,171661308.51,15679
2017-09-18,87.61,88.35,87.50,88.31,1815947,0.63,0.73%,86.9809,159914344.84,13816
2017-09-15,86.30,87.82,86.29,87.67,4363635,1.408,1.66%,86.3505,381391032.82,16777
2017-09-14,86.18,86.76,85.95,86.24,2002274,-0.108,-0.13%,84.942,172675695.29,16880
2017-09-13,85.89,86.455,85.52,86.35,1748362,0.611,0.72%,85.0504,150614511.74,15736
2017-09-12,85.20,85.84,85.08,85.73,1567276,0.532,0.63%,84.4397,134124383.14,12722
2017-09-11,84.90,85.42,84.4299,85.19,1508877,0.483,0.58%,83.9078,128249013.46,14021
2017-09-08,84.03,85.11,83.96,84.70,1936653,0.65,0.79%,83.4252,163744367.49,18228
2017-09-07,83.48,84.20,83.11,84.04,1853228,0.67,0.82%,82.7751,155229716.80,16199
2017-09-06,83.64,83.95,83.18,83.36,1885884,0.118,0.14%,82.1054,157580610.41,16129
2017-09-05,84.32,84.40,82.66,83.24,2491360,-1.172,-1.41%,81.9872,207515484.34,22059
2017-09-01,83.87,84.61,83.19,84.43,2048819,0.611,0.74%,83.1592,172545240.16,18471
2017-08-31,83.97,83.98,83.12,83.81,2445980,0.207,0.25%,82.5486,204667983.10,17924
2017-08-30,83.50,83.74,82.95,83.60,1853829,0.098,0.12%,82.3417,154573554.14,16033
2017-08-29,83.50,83.99,83.25,83.50,1697342,-0.148,-0.18%,82.2432,141921095.71,13413
2017-08-28,84.11,84.60,83.52,83.65,2285609,0.227,0.28%,82.391,191584509.59,16245
2017-08-25,84.30,84.84,83.37,83.42,1778851,-0.443,-0.54%,82.1645,148972447.43,14004
2017-08-24,82.06,84.41,82.06,83.87,2463215,1.487,1.83%,82.6077,206169932.86,18888
2017-08-23,81.97,82.65,81.88,82.36,1159758,0.128,0.16%,81.1204,95556511.49,11183
2017-08-22,82.12,82.60,81.99,82.23,1709073,0.325,0.40%,80.9924,140639027.54,14689
2017-08-21,81.41,82.04,81.14,81.90,1686896,0.335,0.42%,80.6673,137904839.42,14409
2017-08-18,80.80,82.17,80.73,81.56,2288852,0.66,0.83%,80.3324,186633676.45,16188
2017-08-17,82.67,83.01,80.89,80.89,2359120,-2.108,-2.58%,79.6725,192593600.29,20640
2017-08-16,83.31,83.48,82.7641,83.03,2138380,0.049,0.06%,81.7803,177727493.42,16596
2017-08-15,83.75,84.0802,83.24,83.68,1907632,-0.195,-0.24%,81.7311,159540206.83,15120
2017-08-14,83.60,84.30,83.44,83.88,1758701,0.43,0.53%,81.9264,147666684.38,13030
2017-08-11,83.09,83.80,82.96,83.44,1858217,-0.195,-0.24%,81.4967,155250562.92,15488
2017-08-10,84.42,84.75,83.48,83.64,1850474,-0.83,-1.01%,81.692,155191067.88,15931
2017-08-09,85.00,85.56,84.315,84.49,2297079,-0.518,-0.62%,82.5222,194580814.03,18382
2017-08-08,84.84,85.31,84.53,85.02,1847981,-0.049,-0.06%,83.0399,156994451.55,16289
2017-08-07,85.53,85.59,84.88,85.07,2187167,-0.518,-0.62%,83.0887,186207318.99,18166
2017-08-04,85.69,86.19,85.58,85.60,2087492,-0.049,-0.06%,83.6064,179169730.61,16279
2017-08-03,86.77,87.12,85.59,85.65,2430478,-0.996,-1.18%,83.6552,209130396.87,20007
2017-08-02,85.45,87.30,85.38,86.67,2952526,1.016,1.21%,84.6515,256160828.03,23927
2017-08-01,84.04,85.81,84.00,85.63,2696710,1.836,2.24%,83.6357,230180060.55,21049
2017-07-31,83.88,84.39,83.75,83.75,3641465,0.098,0.12%,81.7995,305665158.38,20427
2017-07-28,84.24,84.65,83.49,83.65,2169434,-0.84,-1.02%,81.7018,181970004.38,17547
2017-07-27,83.53,84.93,83.341,84.51,2188391,0.791,0.97%,82.5418,184674451.79,16190
2017-07-26,84.69,84.723,83.62,83.70,1754183,-0.733,-0.89%,81.7506,147373357.18,13912
2017-07-25,83.21,84.68,83.21,84.45,2335573,1.758,2.18%,82.4832,196988019.04,18145
2017-07-24,82.69,83.02,82.52,82.65,1417890,-0.195,-0.24%,80.7251,117235118.13,10220
2017-07-21,82.31,83.325,81.98,82.85,2190624,0.479,0.59%,80.9204,181349162.68,17341
2017-07-20,82.97,83.12,81.99,82.36,1167740,-0.547,-0.68%,80.4418,96322220.32,11614
2017-07-19,81.95,82.94,81.86,82.92,1666164,0.938,1.17%,80.9888,137635166.71,16151
2017-07-18,82.09,82.13,81.51,81.96,1339117,0.147,0.18%,80.0511,109619794.89,12241
2017-07-17,81.92,82.22,81.64,81.81,1843814,-0.381,-0.47%,79.9046,151110416.17,16120
2017-07-14,81.86,82.35,81.65,82.20,1435779,0.469,0.59%,80.2856,117801435.71,12039
2017-07-13,81.94,82.25,81.11,81.72,2319003,-0.508,-0.63%,79.8167,189081342.75,20086
2017-07-12,82.83,83.10,81.91,82.24,1605978,-0.117,-0.15%,80.3246,132271871.60,13297
2017-07-11,82.28,82.75,81.91,82.36,1366121,-0.098,-0.12%,80.4418,112637863.61,12012
2017-07-10,82.48,82.87,82.3301,82.46,1498681,-0.137,-0.17%,80.5395,123685660.35,12589
2017-07-07,81.92,82.82,81.55,82.60,1710804,0.693,0.87%,80.6762,140978317.75,15365
2017-07-06,82.40,82.6038,81.69,81.89,1590807,-0.43,-0.53%,79.9828,130653169.81,15921
2017-07-05,83.25,83.25,82.15,82.33,1974184,-0.986,-1.21%,80.4125,162863236.79,17301
2017-07-03,82.97,83.87,82.92,83.34,1076858,0.635,0.79%,81.399,89922793.61,9411
2017-06-30,82.32,83.11,81.92,82.69,2458693,0.801,1.00%,80.7641,203331521.25,19275
2017-06-29,82.10,82.82,81.79,81.87,2513955,0.078,0.10%,79.9632,206829355.20,21484
2017-06-28,81.00,82.13,80.99,81.79,2317543,1.221,1.55%,79.8851,189499187.39,19157
2017-06-27,80.39,81.30,80.24,80.54,1653917,0.293,0.37%,78.6642,133636313.32,15487
2017-06-26,80.28,80.65,80.055,80.24,1512907,-0.029,-0.04%,78.3712,121552704.99,12566
2017-06-23,78.82,80.37,78.80,80.27,2696625,1.328,1.72%,78.4005,215690996.02,13638
2017-06-22,79.02,79.41,78.63,78.91,1016070,0.02,0.03%,77.0722,80345778.94,10041
2017-06-21,79.55,79.77,78.63,78.89,2073891,-0.645,-0.83%,77.0526,163939438.95,17052
2017-06-20,80.30,80.60,78.91,79.55,2299676,-1.651,-2.08%,77.6973,182674054.76,19798
2017-06-19,80.99,81.52,80.85,81.24,2757432,0.293,0.37%,79.3479,224350557.39,19378
2017-06-16,79.43,80.98,79.21,80.94,4870857,1.817,2.35%,79.0549,391831566.34,24943
2017-06-15,78.61,79.38,78.53,79.08,2157299,0.293,0.38%,77.2382,170538783.29,19375
2017-06-14,80.59,80.64,78.75,78.78,2810765,-1.807,-2.29%,76.9452,222581959.09,24202
2017-06-13,80.29,80.73,79.90,80.63,1843073,0.41,0.52%,78.7521,148315315.22,17058
2017-06-12,79.63,80.48,79.59,80.21,2971158,0.625,0.80%,78.3419,238055222.30,24310
2017-06-09,77.36,79.70,77.295,79.57,2832784,2.119,2.80%,77.7168,223974126.45,23717
2017-06-08,76.83,77.943,76.80,77.40,2434728,0.43,0.57%,75.5974,188759146.83,22381
2017-06-07,76.64,77.155,76.35,76.96,2555987,-0.078,-0.10%,75.1676,196200399.27,22620
2017-06-06,76.69,77.10,76.3246,77.04,1707166,0.176,0.23%,75.2457,131114527.94,16514
2017-06-05,76.19,77.23,76.19,76.86,2251922,0.479,0.64%,75.0699,173104681.16,20087
2017-06-02,76.17,76.81,75.85,76.37,2150859,-0.244,-0.33%,74.5913,164249076.38,18028
2017-06-01,76.38,76.71,75.90,76.62,2503838,0.498,0.67%,74.8355,191313276.44,21306
2017-05-31,76.90,77.23,76.00,76.11,3842345,-0.869,-1.16%,74.3374,292886086.62,20575
2017-05-30,77.28,77.68,76.82,77.00,1920204,-0.43,-0.57%,75.2067,148180842.70,17013
2017-05-26,77.63,77.91,77.15,77.44,2300404,0.02,0.03%,75.6364,178200719.95,19364
2017-05-25,78.51,78.88,77.215,77.42,2765114,-0.84,-1.10%,75.6169,215203831.59,23682
2017-05-24,78.11,78.61,77.91,78.28,1425679,0.137,0.18%,76.4569,111556901.07,12483
2017-05-23,78.75,78.79,78.09,78.14,2977040,-0.40,-0.52%,76.3201,233034736.55,18064
2017-05-22,78.31,78.79,78.21,78.55,1386580,0.293,0.38%,76.7206,108902154.04,12515
2017-05-19,77.66,78.53,77.35,78.25,2293207,0.684,0.90%,76.4276,179141434.68,16725
2017-05-18,77.38,77.94,76.81,77.55,2534383,-0.117,-0.15%,75.7439,196432321.81,22232
2017-05-17,78.33,78.78,77.63,77.67,2208679,-0.85,-1.11%,75.8611,172486751.17,20822
2017-05-16,79.44,79.475,78.22,78.54,2011809,-0.859,-1.11%,76.7108,158180721.77,18171
2017-05-15,80.29,80.68,79.83,80.12,1725817,0.319,0.41%,77.5703,138520604.64,14130
2017-05-12,79.47,79.98,79.30,79.79,1439949,0.261,0.34%,77.2508,114830436.46,13206
2017-05-11,79.90,80.0165,79.2095,79.52,1440444,-0.223,-0.29%,76.9894,114644171.64,13086
