date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,143.06,144.51,142.60,143.32,576494,0.25,0.17%,143.32,82768687.12,7191
2018-03-09,140.83,143.18,140.49,143.07,836403,2.81,2.00%,143.07,119008039.97,7553
2018-03-08,141.54,142.95,139.80,140.26,1024669,-0.23,-0.16%,140.26,144333272.76,10056
2018-03-07,141.88,143.07,139.10,140.49,1388239,-2.51,-1.76%,140.49,195575661.45,14529
2018-03-06,143.99,144.42,142.56,143.00,888688,-0.63,-0.44%,143.00,127327989.81,10223
2018-03-05,142.79,144.15,141.06,143.63,898740,0.01,0.01%,143.63,128564448.73,9667
2018-03-02,141.87,143.81,139.52,143.62,947882,0.97,0.68%,143.62,134848906.64,10685
2018-03-01,143.89,145.01,141.19,142.65,1183389,-1.63,-1.13%,142.65,168842089.41,14119
2018-02-28,148.17,149.01,144.17,144.28,1021716,-3.44,-2.33%,144.28,148648178.59,11998
2018-02-27,150.58,152.13,147.55,147.72,898083,-1.802,-1.21%,147.72,133870836.66,9421
2018-02-26,149.43,150.56,147.755,149.56,542105,0.70,0.47%,149.5225,80845849.59,6644
2018-02-23,149.96,149.9826,147.70,148.86,760010,-0.48,-0.32%,148.8226,112941580.17,6481
2018-02-22,148.90,150.75,148.56,149.34,545629,1.28,0.86%,149.3025,81653086.30,6126
2018-02-21,146.65,150.88,146.65,148.06,405608,1.38,0.94%,148.0228,60486576.11,5374
2018-02-20,147.33,147.75,145.94,146.68,581927,-1.87,-1.26%,146.6432,85445869.55,7079
2018-02-16,150.20,150.27,147.27,148.55,659826,-2.999,-1.98%,148.5127,98329159.60,7710
2018-02-15,150.78,151.55,148.04,151.55,751613,0.89,0.59%,151.512,112768027.96,8697
2018-02-14,146.16,151.38,146.06,150.66,1395065,3.679,2.50%,150.6222,207469644.44,12107
2018-02-13,146.22,147.89,146.07,146.98,411996,0.20,0.14%,146.9431,60582213.44,4900
2018-02-12,144.44,148.29,144.44,146.78,698146,2.689,1.87%,146.7432,102360435.82,8719
2018-02-09,143.67,145.30,139.43,144.09,986107,1.41,0.99%,144.0538,140494612.66,11325
2018-02-08,148.37,148.55,142.58,142.68,909420,-6.528,-4.38%,142.6442,131659247.04,10111
2018-02-07,152.80,152.80,149.03,149.21,784635,2.279,1.55%,149.1725,117823092.15,10063
2018-02-06,143.06,147.68,141.06,146.93,1385981,0.68,0.46%,146.8931,201879573.92,17588
2018-02-05,150.49,152.59,146.25,146.25,840813,-4.819,-3.19%,146.2133,125423380.70,10628
2018-02-02,153.31,154.48,150.47,151.07,592840,-3.099,-2.01%,151.0321,90036182.42,6986
2018-02-01,153.00,155.6599,152.09,154.17,695434,-0.91,-0.59%,154.1313,107312058.22,8243
2018-01-31,156.37,157.80,154.58,155.08,716001,-1.17,-0.75%,155.0411,111514697.00,8512
2018-01-30,154.85,157.96,153.63,156.25,729595,1.09,0.70%,156.2108,114113338.35,9138
2018-01-29,152.99,157.22,152.99,155.16,680876,1.32,0.86%,155.1211,106006216.97,8147
2018-01-26,153.58,154.05,150.891,153.84,708315,1.13,0.74%,153.8014,108320172.10,7065
2018-01-25,152.39,155.64,151.03,152.71,926382,1.37,0.91%,152.6717,142373923.73,10394
2018-01-24,151.63,153.74,150.74,151.34,628771,0.26,0.17%,151.302,95574920.49,7285
2018-01-23,148.06,151.36,147.11,151.08,665922,2.729,1.84%,151.0421,99984642.93,7774
2018-01-22,147.06,148.67,145.8984,148.35,588978,1.28,0.87%,148.3128,87217425.98,6990
2018-01-19,145.53,147.19,144.98,147.07,568779,2.369,1.64%,147.0331,83385316.90,5794
2018-01-18,147.34,148.29,143.79,144.70,640855,2.209,1.55%,144.6637,93196774.80,7050
2018-01-17,141.95,143.23,140.86,142.49,510856,1.09,0.77%,142.4542,72656341.34,6110
2018-01-16,144.15,144.15,141.08,141.40,518877,-2.229,-1.55%,141.3645,73691284.61,6026
2018-01-12,143.00,144.83,142.59,143.63,488816,1.05,0.74%,143.5939,70210490.78,5633
2018-01-11,141.05,142.63,140.19,142.58,490021,1.64,1.16%,142.5442,69586358.73,4872
2018-01-10,140.88,141.20,139.15,140.94,581570,-0.22,-0.16%,140.9046,81775789.47,6144
2018-01-09,142.01,142.81,140.54,141.16,414266,-1.58,-1.11%,141.1246,58626473.18,4723
2018-01-08,143.10,143.63,140.4201,142.74,821811,-0.35,-0.24%,142.7042,116905692.43,8738
2018-01-05,141.32,143.70,140.10,143.09,1099768,1.67,1.18%,143.0541,156825436.51,9465
2018-01-04,139.19,142.70,137.80,141.42,1033900,2.209,1.59%,141.3845,145502860.29,10267
2018-01-03,139.36,139.76,137.93,139.21,855166,0.24,0.17%,139.1751,118608836.41,8996
