date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,35.99,36.20,35.69,35.96,898285,-0.03,-0.08%,35.96,32308145.00,7140
2018-03-09,35.46,36.07,35.35,35.99,1020458,0.82,2.33%,35.99,36654646.25,8971
2018-03-08,35.23,35.4014,34.90,35.17,1745236,0.00,0.00%,35.17,61317495.10,12265
2018-03-07,34.34,35.39,34.34,35.17,1898541,0.49,1.41%,35.17,66392459.10,14032
2018-03-06,34.33,35.01,34.21,34.68,1686093,0.46,1.34%,34.68,58382774.24,13141
2018-03-05,34.01,34.55,33.95,34.22,1419473,-0.02,-0.06%,34.22,48637931.48,12256
2018-03-02,33.52,34.30,33.34,34.24,1888266,0.38,1.12%,34.24,64132932.36,14945
2018-03-01,34.32,34.62,33.72,33.86,2162314,-0.58,-1.68%,33.86,73725360.78,18445
2018-02-28,35.18,35.29,34.44,34.44,2337853,-0.60,-1.71%,34.44,81487140.44,14366
2018-02-27,35.65,36.10,35.025,35.04,1702667,-0.62,-1.74%,35.04,60260286.47,13262
2018-02-26,35.65,35.95,35.31,35.66,1648439,-0.01,-0.03%,35.66,58673286.60,13628
2018-02-23,36.14,36.14,34.78,35.67,2007741,-0.23,-0.64%,35.67,70984020.36,16056
2018-02-22,36.25,37.22,35.82,35.90,3045851,1.06,3.04%,35.90,110515861.76,20234
2018-02-21,34.92,35.73,34.81,34.84,2165886,-0.11,-0.31%,34.84,76156266.25,17425
2018-02-20,34.91,35.33,34.761,34.95,1451087,-0.12,-0.34%,34.95,50892275.13,12549
2018-02-16,34.73,35.45,34.715,35.07,1123556,0.24,0.69%,35.07,39478509.64,8630
2018-02-15,34.77,34.83,34.12,34.83,933307,0.40,1.16%,34.83,32332430.27,7708
2018-02-14,33.44,34.46,33.30,34.43,1345729,0.71,2.11%,34.43,45783960.06,11157
2018-02-13,33.75,34.01,33.49,33.72,1020379,-0.26,-0.77%,33.72,34402826.94,8983
2018-02-12,33.73,34.26,33.48,33.98,1535663,0.45,1.34%,33.98,52088279.22,12903
2018-02-09,34.04,34.23,32.70,33.53,2084776,0.02,0.06%,33.53,69765206.75,16687
2018-02-08,34.48,34.49,33.50,33.51,2003437,-0.94,-2.73%,33.51,68122149.08,16270
2018-02-07,35.00,35.60,34.42,34.45,2807776,-0.73,-2.08%,34.45,97644630.49,19640
2018-02-06,33.71,35.36,33.10,35.18,2047228,0.78,2.27%,35.18,71239736.79,17371
2018-02-05,35.77,36.25,34.24,34.40,2299954,-1.69,-4.68%,34.40,81017425.22,20164
2018-02-02,38.00,38.00,36.07,36.09,2779731,-2.17,-5.67%,36.09,101813599.28,20541
2018-02-01,38.40,38.58,38.1199,38.26,1406289,-0.23,-0.60%,38.26,53870396.31,11338
2018-01-31,38.95,39.09,38.29,38.49,1177724,0.09,0.23%,38.49,45397008.62,8729
2018-01-30,38.58,38.69,38.05,38.40,1306888,-0.47,-1.21%,38.40,50071513.50,11483
2018-01-29,39.11,39.59,38.77,38.87,890516,-0.27,-0.69%,38.87,34799244.07,6752
2018-01-26,39.00,39.14,38.74,39.14,1343846,0.25,0.64%,39.14,52377448.74,9879
2018-01-25,39.24,39.24,38.36,38.89,1450971,-0.08,-0.21%,38.89,56343113.41,11416
2018-01-24,39.19,39.31,38.68,38.97,1790917,0.10,0.26%,38.97,69802892.03,13056
2018-01-23,39.03,39.18,38.59,38.87,1367080,-0.22,-0.56%,38.87,53094361.85,10242
2018-01-22,38.90,39.27,38.85,39.09,907637,0.10,0.26%,39.09,35430035.07,7533
2018-01-19,38.67,39.00,38.37,38.99,1175594,0.46,1.19%,38.99,45618711.21,8259
2018-01-18,38.76,39.00,38.46,38.53,1190064,-0.20,-0.52%,38.53,45994653.82,9752
2018-01-17,39.00,39.0299,38.33,38.73,1039921,0.04,0.10%,38.73,40181091.55,8254
2018-01-16,39.69,39.79,38.56,38.69,1248744,-0.75,-1.90%,38.69,48782747.54,8960
2018-01-12,39.23,39.47,38.95,39.44,1083041,0.37,0.95%,39.44,42517115.99,9204
2018-01-11,38.35,39.16,38.14,39.07,1614767,0.93,2.44%,39.07,62783030.70,10451
2018-01-10,38.70,38.7855,38.06,38.14,1669836,-0.50,-1.29%,38.14,64005551.95,13574
2018-01-09,39.20,39.37,38.63,38.64,1753118,-0.46,-1.18%,38.64,68168427.90,13944
2018-01-08,39.57,39.72,38.70,39.10,1322841,-0.41,-1.04%,39.10,51822800.18,10548
2018-01-05,39.91,39.91,39.21,39.51,1417775,-0.35,-0.88%,39.51,55902006.24,9905
2018-01-04,39.75,40.105,39.46,39.86,1218959,0.31,0.78%,39.86,48543370.98,8953
2018-01-03,39.35,39.62,38.95,39.55,973293,0.31,0.79%,39.55,38361257.40,9070
