date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,162.65,163.47,160.12,161.11,1787843,1.02,0.64%,161.11,288050763.56,17642
2018-03-09,157.95,160.18,157.15,160.09,1340339,2.21,1.40%,160.09,213258893.51,12705
2018-03-08,155.74,158.09,155.44,157.88,2190892,2.78,1.79%,157.88,344752689.78,20516
2018-03-07,152.55,155.80,152.31,155.10,1821740,1.45,0.94%,155.10,281452162.43,15042
2018-03-06,153.06,154.67,151.77,153.65,1470049,1.735,1.14%,153.65,225271983.15,15069
2018-03-05,148.81,153.42,148.51,152.74,1852851,3.292,2.22%,151.9151,281185469.74,17056
2018-03-02,147.24,149.98,146.65,149.43,1420550,1.502,1.02%,148.6229,211252222.18,13966
2018-03-01,149.21,150.08,146.59,147.92,1918018,-1.82,-1.22%,147.1211,284156666.40,19848
2018-02-28,154.15,154.50,149.66,149.75,1541703,-4.227,-2.76%,148.9412,233531865.44,13285
2018-02-27,154.90,155.32,153.55,154.00,1239447,-1.82,-1.17%,153.1682,191400253.22,12024
2018-02-26,155.44,155.98,153.66,155.83,1018619,0.209,0.13%,154.9884,157951515.54,8697
2018-02-23,154.31,155.74,152.55,155.62,1593417,1.939,1.27%,154.7795,246244641.13,11595
2018-02-22,153.87,154.955,153.14,153.67,1627277,0.925,0.61%,152.84,250630217.49,11065
2018-02-21,153.47,155.74,152.74,152.74,1834365,-0.855,-0.56%,151.9151,282302758.62,14581
2018-02-20,152.25,154.26,151.64,153.60,2590482,-0.01,-0.01%,152.7704,396910160.07,16509
2018-02-16,154.55,155.13,153.20,153.61,1589380,-2.178,-1.41%,152.7804,244831294.62,13735
2018-02-15,156.27,156.31,153.12,155.80,1634169,0.726,0.47%,154.9585,253004494.20,16786
2018-02-14,152.25,156.2399,152.00,155.07,1621955,1.233,0.81%,154.2325,251496039.25,16437
2018-02-13,152.73,154.45,152.08,153.83,1402778,0.08,0.05%,152.9992,215196187.69,14594
2018-02-12,150.87,154.98,150.50,153.75,3099661,4.247,2.86%,152.9196,474725561.39,24728
2018-02-09,145.29,150.63,144.702,149.48,3116244,5.381,3.76%,148.6727,459720490.05,32282
2018-02-08,149.88,150.62,144.05,144.07,2054280,-5.908,-3.96%,143.2919,301774923.48,23947
2018-02-07,154.56,154.78,150.00,150.01,2248013,-5.271,-3.41%,149.1998,343146979.99,24045
2018-02-06,150.15,156.39,148.02,155.31,3718122,4.963,3.32%,154.4712,566944897.82,39466
2018-02-05,154.02,156.84,150.03,150.32,2593867,-4.704,-3.05%,149.5081,398044822.68,27784
2018-02-02,156.72,157.35,154.95,155.05,2086193,-4.754,-2.99%,154.2126,325175153.25,20543
2018-02-01,159.84,160.90,158.93,159.83,1520840,-1.651,-1.03%,158.9668,242989038.53,16736
2018-01-31,161.43,162.33,160.04,161.49,3570523,0.766,0.48%,160.6178,575901058.92,21079
2018-01-30,162.70,162.935,160.66,160.72,2007749,-2.099,-1.30%,159.852,324078849.29,19386
2018-01-29,165.20,166.13,160.71,162.83,2982761,-2.845,-1.73%,161.9506,489341849.00,23575
2018-01-26,163.69,166.24,162.18,165.69,1869982,2.327,1.43%,164.7951,308467236.00,18430
2018-01-25,166.26,166.95,161.80,163.35,3391829,2.467,1.54%,162.4677,557328745.06,30225
2018-01-24,159.10,162.04,158.98,160.87,3701079,1.631,1.03%,160.0011,595004750.06,24782
2018-01-23,159.66,160.81,158.51,159.23,1775284,-1.382,-0.87%,158.37,282596785.18,18610
2018-01-22,161.57,161.70,159.61,160.62,1523403,-1.253,-0.78%,159.7525,244430058.58,11327
2018-01-19,162.20,162.35,161.29,161.88,1678970,0.378,0.24%,161.0057,271665203.58,14580
2018-01-18,162.98,164.51,161.40,161.50,1746700,-1.949,-1.20%,160.6277,283399159.76,18013
2018-01-17,163.55,164.23,161.46,163.46,1751876,1.353,0.84%,162.5772,285641190.20,16346
2018-01-16,164.50,165.23,160.2187,162.10,2754050,-2.039,-1.25%,161.2245,447046107.06,18206
2018-01-12,164.06,165.12,163.25,164.15,2644425,0.338,0.21%,163.2634,434687347.37,15831
2018-01-11,164.11,166.08,163.31,163.81,2007118,1.184,0.73%,162.9253,329465655.90,18674
2018-01-10,162.70,163.17,161.50,162.62,2416816,-0.259,-0.16%,161.7417,392787488.31,14598
2018-01-09,162.34,164.49,161.96,162.88,3366585,1.562,0.97%,162.0003,549650445.54,15981
2018-01-08,161.11,161.65,160.46,161.31,936660,-0.06,-0.04%,160.4388,150885174.08,10256
2018-01-05,161.77,162.34,160.56,161.37,1700146,1.392,0.88%,160.4984,274093323.46,13966
2018-01-04,159.39,161.34,158.87,159.97,1896774,2.457,1.57%,159.106,303578485.23,15983
2018-01-03,156.03,157.69,155.68,157.50,1428049,1.303,0.84%,156.6493,224261676.07,12349
2018-01-02,154.76,156.35,153.31,156.19,1067624,1.502,0.98%,155.3464,165965555.45,12661
2017-12-29,155.15,155.75,154.16,154.68,1924260,-0.607,-0.39%,153.8446,298209208.97,8855
2017-12-28,154.42,155.42,153.73,155.29,905791,1.094,0.71%,154.4513,140201830.96,8259
2017-12-27,153.07,154.32,152.75,154.19,1574917,1.571,1.04%,153.3572,242287559.01,8866
2017-12-26,153.77,153.77,152.33,152.61,1960872,-1.223,-0.80%,151.7858,300298628.75,6586
2017-12-22,153.75,154.61,153.3505,153.84,509460,-0.259,-0.17%,153.0091,78375074.22,5498
2017-12-21,154.30,154.6999,153.65,154.10,1363268,0.09,0.06%,153.2677,210099445.26,10157
2017-12-20,154.53,154.77,153.74,154.01,987330,-0.159,-0.10%,153.1782,152164885.58,9992
2017-12-19,153.91,154.51,153.32,154.17,1811179,0.835,0.55%,153.3373,278933146.68,13285
2017-12-18,150.60,153.45,150.50,153.33,2350153,3.71,2.49%,152.5019,358218017.01,20088
2017-12-15,149.38,149.95,148.78,149.60,3631121,0.458,0.31%,148.792,543144164.89,17699
2017-12-14,151.36,151.55,148.75,149.14,2503182,-2.118,-1.41%,148.3345,374471676.67,15684
2017-12-13,152.35,152.35,150.76,151.27,1183609,-0.07,-0.05%,150.453,179066026.59,12272
2017-12-12,151.92,152.71,150.81,151.34,1508203,-0.915,-0.60%,150.5226,228423841.69,14052
2017-12-11,152.10,152.75,151.78,152.26,3109436,0.845,0.56%,151.4376,473337163.12,19638
2017-12-08,152.09,152.32,151.16,151.41,1424896,0.448,0.30%,150.5922,215814102.68,10913
2017-12-07,150.63,151.34,150.28,150.96,1646963,0.567,0.38%,150.1447,248496928.08,12717
2017-12-06,151.74,152.04,150.24,150.39,1421247,-1.892,-1.25%,149.5777,214412450.58,14465
2017-12-05,153.25,153.74,152.708,153.08,1308134,-0.277,-0.18%,151.47,200580908.58,12239
2017-12-04,153.31,154.36,153.00,153.36,2301354,1.474,0.98%,151.7471,353731731.51,16183
2017-12-01,153.73,153.87,151.531,151.87,2270136,-2.028,-1.33%,150.2728,346337832.35,17845
2017-11-30,155.80,155.97,153.24,153.92,3178303,-1.237,-0.81%,152.3012,491000288.34,20187
2017-11-29,156.27,156.27,154.33,155.17,1301689,-1.177,-0.76%,153.538,202167957.11,11645
2017-11-28,152.33,156.40,151.79,156.36,2641075,4.235,2.81%,154.7155,409908290.99,21667
2017-11-27,153.42,153.92,151.87,152.08,1253072,-0.792,-0.52%,150.4805,190881209.60,9684
2017-11-24,153.05,153.85,152.76,152.88,807793,1.148,0.76%,151.2721,123775198.79,6040
2017-11-22,151.81,152.49,151.19,151.72,2340970,0.366,0.24%,150.1243,355249552.83,11196
2017-11-21,151.36,152.28,150.79,151.35,2127922,0.475,0.32%,149.7582,321813304.58,14171
2017-11-20,150.64,151.18,150.42,150.87,1498134,0.228,0.15%,149.2833,226005875.00,10506
2017-11-17,149.11,151.44,149.04,150.64,2930685,1.583,1.07%,149.0557,441380034.61,20765
2017-11-16,147.50,149.08,146.78,149.04,1779861,2.84,1.96%,147.4725,264300790.25,15305
2017-11-15,147.21,147.50,145.87,146.17,1943838,-1.445,-0.99%,144.6327,284882929.70,13748
