date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,171.58,172.50,169.76,171.19,925103,-0.34,-0.20%,171.19,158457088.85,8372
2018-03-09,169.65,171.66,169.33,171.53,1068927,3.85,2.30%,171.53,182729672.53,9986
2018-03-08,170.87,171.85,167.31,167.68,1087572,-2.49,-1.46%,167.68,183417235.27,10565
2018-03-07,168.40,171.50,167.08,170.17,1911289,0.21,0.12%,170.17,324246432.72,14422
2018-03-06,172.73,172.795,169.55,169.96,1503515,-1.73,-1.01%,169.96,256185498.04,14332
2018-03-05,168.35,172.34,167.80,171.69,1527647,2.80,1.66%,171.69,261511599.08,15305
2018-03-02,167.63,169.73,164.60,168.89,1821260,-0.27,-0.16%,168.89,305172824.37,18495
2018-03-01,170.86,172.41,166.59,169.16,1943111,-1.07,-0.63%,169.16,329325056.91,21523
2018-02-28,175.52,177.375,170.21,170.23,2113825,-4.44,-2.54%,170.23,365267300.65,19729
2018-02-27,179.33,180.07,174.4801,174.67,1704291,-5.02,-2.79%,174.67,300660453.32,16366
2018-02-26,181.06,181.38,178.49,179.69,1146618,-0.31,-0.17%,179.69,205857234.77,12984
2018-02-23,178.05,180.02,177.38,180.00,1402411,2.59,1.46%,180.00,251404960.93,14300
2018-02-22,175.96,179.76,175.00,177.41,1102157,2.68,1.53%,177.41,195943340.72,12145
2018-02-21,178.03,178.88,174.70,174.73,1218384,-3.52,-1.97%,174.73,215329771.86,14069
2018-02-20,179.50,180.6497,177.49,178.25,979992,-0.54,-0.30%,178.25,175263075.61,11424
2018-02-16,179.11,180.54,178.075,178.79,1243728,-0.80,-0.45%,178.79,222823379.50,10952
2018-02-15,179.45,179.91,174.51,179.59,1426443,0.09,0.05%,179.59,254228656.69,16075
2018-02-14,170.70,180.45,169.96,179.50,1690095,7.33,4.26%,179.50,300415951.28,18566
2018-02-13,170.51,172.72,169.46,172.17,1245777,1.14,0.67%,172.17,213490362.96,13958
2018-02-12,168.02,173.65,167.36,171.03,1981071,5.98,3.62%,171.03,339015971.22,20890
2018-02-09,170.72,171.65,159.43,165.05,2846631,-4.11,-2.43%,165.05,466032149.10,31984
2018-02-08,176.97,178.96,169.00,169.16,2886034,-7.04,-4.00%,169.16,499132362.33,31605
2018-02-07,181.78,184.67,175.65,176.20,3635630,2.25,1.29%,176.20,648549808.67,33066
2018-02-06,168.44,174.50,166.21,173.95,2657630,2.13,1.24%,173.95,454106737.27,30627
2018-02-05,177.00,180.72,170.33,171.82,2425758,-6.92,-3.87%,171.82,424676584.64,27096
2018-02-02,184.29,184.71,177.51,178.74,2306483,-7.91,-4.24%,178.74,413457757.68,23587
2018-02-01,183.30,186.65,181.57,186.65,1382659,3.74,2.04%,186.65,255870602.12,15181
2018-01-31,183.04,185.18,181.97,182.91,2195365,0.25,0.14%,182.91,401814995.17,15673
2018-01-30,185.01,185.69,181.65,182.66,2094584,-4.34,-2.32%,182.66,383515111.02,18284
2018-01-29,186.95,189.5494,186.09,187.00,1105801,-1.36,-0.72%,187.00,207989998.40,10717
2018-01-26,188.31,188.87,187.06,188.36,1247590,-0.14,-0.07%,188.36,234468885.74,12191
2018-01-25,189.00,189.95,186.6716,188.50,1578417,0.17,0.09%,188.50,297407604.06,17213
2018-01-24,184.88,188.89,184.66,188.33,1932396,2.32,1.25%,188.33,362708648.01,16042
2018-01-23,186.79,187.27,184.41,186.01,1567445,-0.29,-0.16%,186.01,291383558.28,15521
2018-01-22,184.42,186.51,183.425,186.30,1656856,3.13,1.71%,186.30,307619806.39,15605
2018-01-19,183.86,184.34,182.2884,183.17,1668107,-1.21,-0.66%,183.17,305566235.66,12299
2018-01-18,184.50,186.755,183.2501,184.38,1154644,0.06,0.03%,184.38,213401068.53,10696
2018-01-17,182.62,185.63,180.97,184.32,1498850,1.81,0.99%,184.32,275702389.99,13746
2018-01-16,186.50,186.79,182.45,182.51,1652845,-3.64,-1.96%,182.51,304286890.17,15556
2018-01-12,184.02,187.18,183.06,186.15,1357078,1.98,1.08%,186.15,252103036.55,14737
2018-01-11,179.58,187.54,178.67,184.17,2671796,5.47,3.06%,184.17,493436909.09,23863
2018-01-10,178.46,180.36,177.76,178.70,1414835,0.75,0.42%,178.70,253555940.58,14898
2018-01-09,178.88,179.85,177.75,177.95,1371797,-0.58,-0.32%,177.95,245174753.54,13524
2018-01-08,176.13,179.28,176.13,178.53,1595688,2.02,1.14%,178.53,283584232.05,13603
2018-01-05,176.39,176.88,174.89,176.51,1195147,-0.76,-0.43%,176.51,210321894.96,10847
2018-01-04,176.86,177.91,174.91,177.27,1552416,0.93,0.53%,177.27,274738182.00,14849
2018-01-03,174.36,178.195,173.15,176.34,3288559,3.42,1.98%,176.34,578334578.74,27784
2018-01-02,174.30,175.45,172.29,172.92,1777752,0.07,0.04%,172.92,307930651.39,15982
2017-12-29,173.46,174.11,171.774,172.85,1586980,0.27,0.16%,172.85,274613128.30,9279
2017-12-28,172.50,173.185,171.17,172.58,730538,0.14,0.08%,172.58,125856218.76,7380
2017-12-27,174.12,174.24,171.49,172.44,927527,-1.55,-0.89%,172.44,160172722.29,10154
2017-12-26,171.75,174.59,170.521,173.99,1406461,2.87,1.68%,173.99,243862788.99,12902
2017-12-22,169.625,173.72,168.62,171.12,1461725,2.30,1.36%,171.12,250574209.95,12411
2017-12-21,166.83,169.45,165.68,168.82,1376468,1.62,0.97%,168.82,231471408.11,15039
2017-12-20,160.44,167.33,159.26,167.20,1858461,7.00,4.37%,167.20,306641361.24,18217
2017-12-19,159.88,161.00,158.80,160.20,1318122,0.89,0.56%,160.20,211320769.38,12399
2017-12-18,155.86,160.41,155.55,159.31,1559469,3.48,2.23%,159.31,248392303.41,12635
2017-12-15,157.57,157.99,155.47,155.83,1781532,-0.75,-0.48%,155.83,278824701.49,12357
2017-12-14,157.46,158.62,156.54,156.58,895453,-0.48,-0.31%,156.58,140984811.60,8278
2017-12-13,159.09,159.69,156.12,157.06,947149,-1.93,-1.21%,157.06,149065070.56,9737
2017-12-12,159.16,160.00,156.82,158.99,1248006,0.32,0.20%,158.99,197769621.34,13101
2017-12-11,155.95,159.81,155.95,158.67,1766084,2.77,1.78%,158.67,279888536.67,12488
2017-12-08,155.40,156.78,154.705,155.90,1165525,1.65,1.07%,155.90,181570948.48,9895
2017-12-07,150.63,154.51,150.20,154.25,1302464,3.59,2.38%,154.25,199466910.79,14555
2017-12-06,153.40,153.91,150.04,150.66,1078440,-3.20,-2.08%,150.66,162960400.34,12481
2017-12-05,156.37,157.19,153.26,153.86,1395848,-2.49,-1.59%,153.86,215443225.99,13213
2017-12-04,156.52,158.75,155.77,156.35,1523866,-0.81,-0.52%,156.35,238731089.17,14210
2017-12-01,157.24,160.21,156.091,157.16,1634998,1.12,0.72%,157.16,258155311.46,16469
2017-11-30,152.68,156.82,151.805,156.04,1915693,4.88,3.23%,156.04,297887907.11,18782
2017-11-29,151.52,153.33,149.51,151.16,917412,0.07,0.05%,151.16,138808930.92,12197
2017-11-28,150.77,151.61,149.53,151.09,899167,0.51,0.34%,151.09,135761179.98,10151
2017-11-27,153.60,153.60,148.985,150.58,1379609,-3.52,-2.28%,150.58,207619055.33,13720
2017-11-24,155.32,155.87,154.10,154.10,372901,0.02,0.01%,154.10,57733705.22,4272
2017-11-22,153.55,155.42,152.72,154.08,1044210,1.85,1.22%,154.08,161185334.27,10566
