date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,63.05,63.48,62.30,62.81,15801317,-0.22,-0.35%,62.81,993546646.01,58265
2018-03-09,62.36,63.06,62.12,63.03,7655312,1.21,1.96%,63.03,480425578.79,45915
2018-03-08,62.65,62.74,61.5655,61.82,8902097,-0.67,-1.07%,61.82,551903690.50,40393
2018-03-07,61.49,62.61,61.425,62.49,12602357,0.35,0.56%,62.49,782653023.63,53639
2018-03-06,63.50,63.55,61.06,62.14,23450350,-1.87,-2.92%,62.14,1454227985.02,112398
2018-03-05,64.34,65.60,63.54,64.01,15445533,-0.73,-1.13%,64.01,990981180.65,85026
2018-03-02,64.31,64.85,64.03,64.74,10612696,-0.22,-0.34%,64.74,684910118.43,49795
2018-03-01,65.03,66.2372,64.33,64.96,10799216,-0.04,-0.06%,64.96,703847509.78,66439
2018-02-28,66.70,66.72,64.911,65.00,9582055,-1.34,-2.02%,65.00,628871208.69,52462
2018-02-27,67.00,67.629,66.01,66.34,14325999,-0.07,-0.11%,66.34,955961965.39,69765
2018-02-26,64.55,67.3599,64.19,66.98,27374315,3.629,5.78%,66.41,1808564217.72,118605
2018-02-23,62.81,63.32,62.03,63.32,6762248,1.13,1.83%,62.7811,424819079.91,40482
2018-02-22,63.15,63.58,62.03,62.18,11722256,-1.21,-1.92%,61.6508,737272498.51,63128
2018-02-21,63.12,63.86,62.65,63.40,14895594,-0.585,-0.92%,62.8605,941868919.85,77317
2018-02-20,63.01,64.14,61.86,63.99,27494591,-0.853,-1.33%,63.4454,1733576909.10,113706
2018-02-16,64.77,65.83,64.595,64.85,11760282,-0.426,-0.66%,64.2981,765983494.17,59347
2018-02-15,66.38,66.38,63.86,65.28,15548429,-1.299,-1.97%,64.7245,1009040550.60,69539
2018-02-14,65.15,66.80,65.1044,66.59,10370934,0.882,1.35%,66.0233,687773243.63,63989
2018-02-13,65.23,65.76,64.98,65.70,7695947,0.04,0.06%,65.1409,503424231.64,37084
2018-02-12,64.89,65.70,64.39,65.66,13692129,1.656,2.61%,65.1012,893523459.94,64747
2018-02-09,62.95,64.32,61.46,63.99,23094960,1.557,2.52%,63.4454,1448745154.87,116868
2018-02-08,64.63,65.07,62.40,62.42,13451577,-2.598,-4.03%,61.8888,852033056.57,86728
2018-02-07,64.22,66.12,64.02,65.04,15021211,0.635,0.99%,64.4865,981832360.93,88956
2018-02-06,62.31,64.53,62.20,64.40,24458674,2.647,4.33%,63.852,1553217152.15,132775
2018-02-05,66.30,66.55,60.50,61.73,35995985,-4.303,-6.57%,61.2047,2284479680.64,197998
2018-02-02,66.18,67.04,65.86,66.07,10971652,-0.724,-1.09%,65.5077,727283370.98,65015
2018-02-01,67.00,68.35,66.32,66.80,16838486,-1.438,-2.12%,66.2315,1132623097.22,90125
2018-01-31,67.55,68.38,67.46,68.25,13915637,1.249,1.88%,67.6692,947007830.41,75180
2018-01-30,67.43,67.91,66.73,66.99,8059489,-0.327,-0.49%,66.4199,540454712.43,49005
2018-01-29,68.16,68.30,67.24,67.32,9745261,-1.20,-1.77%,66.7471,658969851.60,41767
2018-01-26,67.94,68.53,67.60,68.53,7918957,1.101,1.65%,67.9468,539618667.70,42783
2018-01-25,68.14,68.37,67.29,67.42,9122225,-0.555,-0.82%,66.8463,618328037.06,45848
2018-01-24,68.20,68.285,67.38,67.98,12383058,-0.357,-0.53%,67.4015,839343149.79,52633
2018-01-23,68.60,68.895,68.24,68.34,7825572,-0.327,-0.48%,67.7584,536484741.33,46267
2018-01-22,67.81,68.75,67.705,68.67,8566244,0.625,0.93%,68.0856,586758837.19,38965
