date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,127.24,127.24,124.77,125.26,1173329,-1.36,-1.07%,125.26,147610722.90,11377
2018-03-09,125.69,126.67,124.43,126.62,2276892,1.84,1.47%,126.62,286804449.82,19995
2018-03-08,124.35,125.20,124.06,124.78,1824256,1.25,1.01%,124.78,227606483.17,14096
2018-03-07,122.78,123.83,122.24,123.53,1503912,-0.27,-0.22%,123.53,185241757.33,12569
2018-03-06,121.60,124.19,121.20,123.80,2536785,3.04,2.52%,123.80,311317271.44,19771
2018-03-05,121.62,122.47,120.44,121.36,1886775,-1.264,-1.04%,120.76,229466847.22,16691
2018-03-02,123.00,123.1399,120.96,122.63,1898476,-1.333,-1.08%,122.0237,231724407.63,19114
2018-03-01,126.34,127.45,123.15,123.97,1681413,-2.617,-2.08%,123.3571,210282518.71,19016
2018-02-28,129.45,130.13,126.55,126.60,1836676,-2.249,-1.75%,125.9741,234540922.63,16806
2018-02-27,130.40,130.62,128.83,128.86,1264913,-1.532,-1.18%,128.2229,164094810.75,12929
2018-02-26,130.96,131.27,129.94,130.40,1058398,0.199,0.15%,129.7553,137966220.26,9304
2018-02-23,130.32,130.78,129.70,130.20,1045226,0.597,0.46%,129.5563,136038146.69,10198
2018-02-22,131.41,133.02,129.59,129.60,1652819,-0.945,-0.73%,128.9593,215179667.63,15585
2018-02-21,132.04,133.09,130.47,130.55,1459989,-1.005,-0.77%,129.9046,192212185.86,14561
2018-02-20,131.00,132.92,130.60,131.56,1155253,-0.119,-0.09%,130.9096,152194398.04,12609
2018-02-16,131.10,132.70,130.27,131.68,1195725,-0.03,-0.02%,131.029,157634918.64,12429
2018-02-15,131.38,131.99,129.90,131.71,993050,1.174,0.90%,131.0588,130309652.58,11800
2018-02-14,128.07,131.34,128.01,130.53,1539099,1.493,1.16%,129.8847,200041306.63,18148
2018-02-13,128.60,130.15,127.75,129.03,1732187,-0.239,-0.19%,128.3921,223733272.54,19832
2018-02-12,126.51,130.50,125.97,129.27,2081633,4.776,3.86%,128.6309,268070208.11,21333
2018-02-09,124.09,125.61,119.76,124.47,2334475,2.01,1.65%,123.8546,286590894.25,25231
2018-02-08,128.62,128.68,122.42,122.45,1221472,-6.04,-4.72%,121.8446,152381647.81,15809
2018-02-07,127.69,130.09,127.16,128.52,1761740,0.856,0.67%,127.8846,226945951.50,16898
2018-02-06,122.77,128.03,122.55,127.66,1755969,2.279,1.83%,127.0288,221349439.65,20702
2018-02-05,128.89,129.94,124.55,125.37,1783640,-4.269,-3.31%,124.7502,227380059.23,19875
2018-02-02,132.68,133.28,129.21,129.66,1416339,-3.632,-2.74%,129.019,185188807.09,16610
2018-02-01,133.35,134.19,132.86,133.31,1296898,-0.239,-0.18%,132.6509,172970034.39,14061
2018-01-31,133.27,134.81,133.18,133.55,1455622,0.269,0.20%,132.8897,194916452.57,13903
2018-01-30,134.22,135.10,132.82,133.28,1379088,-1.483,-1.11%,132.6211,184202686.57,13354
2018-01-29,134.55,135.65,133.75,134.77,1302052,-0.209,-0.16%,134.1037,175341516.16,12918
2018-01-26,132.60,135.19,132.12,134.98,1569027,3.035,2.31%,134.3127,210443154.34,14881
2018-01-25,132.52,132.68,130.05,131.93,2058189,-0.577,-0.44%,131.2777,270386190.70,17687
2018-01-24,127.92,134.755,127.49,132.51,4607329,5.264,4.16%,131.8549,607987774.42,35249
2018-01-23,128.83,129.14,126.67,127.22,2094490,-1.473,-1.15%,126.591,266650665.49,19443
2018-01-22,128.88,128.89,126.54,128.70,1738055,-0.269,-0.21%,128.0637,222503413.01,16370
2018-01-19,130.31,130.41,128.80,128.97,1445835,-0.348,-0.27%,128.3324,187037463.46,11453
2018-01-18,130.00,130.50,128.93,129.32,1328376,-0.886,-0.68%,128.6806,172023832.54,12766
2018-01-17,127.56,130.61,126.98,130.21,1754524,3.443,2.73%,129.5662,226956769.59,17201
2018-01-16,128.38,129.25,125.79,126.75,1340285,-0.776,-0.61%,126.1233,170881997.66,13896
2018-01-12,125.50,127.65,125.23,127.53,1524072,2.11,1.69%,126.8995,193859233.36,13828
2018-01-11,125.00,125.99,123.73,125.41,1297350,2.338,1.91%,124.79,162036369.70,13490
2018-01-10,123.00,124.38,122.915,123.06,1015157,-0.09,-0.07%,122.4516,125444197.10,10916
2018-01-09,121.79,124.12,121.40,123.15,1191948,2.05,1.70%,122.5411,146885708.03,13640
2018-01-08,120.99,121.72,120.12,121.09,1023963,-0.139,-0.12%,120.4913,124064871.52,10758
2018-01-05,122.72,122.86,120.625,121.23,1182387,-1.224,-1.00%,120.6306,143265472.15,11020
2018-01-04,124.00,124.29,121.86,122.46,1118447,-1.114,-0.91%,121.8546,137109623.63,11613
2018-01-03,121.23,124.45,121.04,123.58,2295092,3.184,2.66%,122.969,283486123.82,20576
2018-01-02,120.17,120.52,119.58,120.38,1317492,1.095,0.92%,119.7848,158276286.15,14274
2017-12-29,121.13,121.47,119.21,119.28,924679,-1.592,-1.32%,118.6903,110844897.40,8530
2017-12-28,121.35,121.60,120.31,120.88,598676,-0.328,-0.27%,120.2824,72270592.20,6649
2017-12-27,120.03,121.53,120.03,121.21,576498,1.025,0.86%,120.6107,69813284.03,6673
2017-12-26,120.80,120.93,119.85,120.18,638346,-0.876,-0.73%,119.5858,76752730.76,6625
2017-12-22,121.44,122.19,120.406,121.06,1077903,-0.687,-0.57%,120.4615,130490809.99,10140
2017-12-21,124.36,124.44,121.341,121.75,1346190,-1.721,-1.40%,121.1481,164232015.11,13430
2017-12-20,126.36,127.12,123.35,123.48,1341317,-2.458,-1.96%,122.8695,166710449.64,13824
2017-12-19,127.19,128.62,126.39,126.55,1270796,-0.03,-0.02%,125.3273,161551020.41,13833
2017-12-18,126.09,129.67,125.18,126.58,2009341,1.476,1.19%,125.357,255104267.62,19244
2017-12-15,122.64,125.65,122.37,125.09,1989184,3.397,2.82%,123.8814,247811357.17,14937
