date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,58.95,59.20,58.58,59.12,1232460,0.02,0.03%,59.12,72587294.46,11325
2018-03-09,58.90,59.11,58.08,59.10,1376076,0.14,0.24%,59.10,80647130.20,12332
2018-03-08,58.91,59.52,58.50,58.96,839218,0.11,0.19%,58.96,49537710.90,7203
2018-03-07,58.84,59.40,58.58,58.85,773947,-0.10,-0.17%,58.85,45542595.44,8050
2018-03-06,58.90,59.00,58.22,58.95,762383,0.23,0.39%,58.95,44788489.44,7933
2018-03-05,58.55,59.55,58.43,58.72,1074484,-0.21,-0.36%,58.72,63318669.49,10474
2018-03-02,58.00,59.09,57.25,58.93,1334902,0.60,1.03%,58.93,77831503.83,12628
2018-03-01,57.97,58.67,57.65,58.33,1729004,0.22,0.38%,58.33,100701005.41,17104
2018-02-28,58.17,58.98,57.84,58.11,1575113,0.20,0.35%,58.11,91858523.61,11755
2018-02-27,59.46,59.84,57.90,57.91,1457830,-1.42,-2.39%,57.91,85133140.51,12574
2018-02-26,59.24,59.53,58.51,59.33,1086361,0.32,0.54%,59.33,64106896.99,8385
2018-02-23,58.48,59.03,57.96,59.01,1053300,0.73,1.25%,59.01,61739719.84,9723
2018-02-22,56.84,58.61,56.76,58.28,975831,1.54,2.71%,58.28,56764007.30,10771
2018-02-21,57.92,57.99,56.71,56.74,1499362,-1.32,-2.27%,56.74,85895661.67,12152
2018-02-20,57.78,58.85,57.78,58.06,2551471,0.02,0.03%,58.06,148717396.27,18979
2018-02-16,56.89,58.34,56.85,58.04,1796147,0.755,1.32%,58.04,103896045.07,14775
2018-02-15,57.96,58.53,57.67,57.84,1324289,0.178,0.31%,57.285,76716496.14,12538
2018-02-14,57.11,57.95,56.01,57.66,1363851,0.119,0.21%,57.1068,78304420.90,11119
2018-02-13,57.27,57.739,56.46,57.54,973278,0.267,0.47%,56.9879,55715389.62,7472
2018-02-12,57.11,57.51,54.87,57.27,1343849,0.565,1.01%,56.7205,75879184.01,13298
2018-02-09,56.17,57.08,55.03,56.70,1468567,1.109,2.02%,56.156,82196095.91,14765
2018-02-08,57.37,57.73,55.58,55.58,1445543,-1.931,-3.39%,55.0467,81771204.66,13746
2018-02-07,57.83,59.11,57.50,57.53,1472932,-0.258,-0.45%,56.978,85384912.11,12021
2018-02-06,57.69,58.74,56.66,57.79,1955774,-0.495,-0.86%,57.2355,112674524.23,16611
2018-02-05,59.84,60.93,58.29,58.29,1190638,-1.812,-3.04%,57.7307,70659350.33,11951
2018-02-02,60.36,60.74,59.67,60.12,859083,-0.565,-0.94%,59.5431,51690143.55,8177
2018-02-01,62.94,63.22,60.66,60.69,1343759,-2.199,-3.53%,60.1077,82135871.37,10209
2018-01-31,61.94,62.97,61.67,62.91,1730743,1.07,1.75%,62.3064,108276358.60,13112
2018-01-30,62.41,62.59,61.58,61.83,867125,-0.733,-1.18%,61.2367,53661280.56,7036
2018-01-29,63.89,63.95,62.07,62.57,1492088,-0.584,-0.93%,61.9696,93262432.24,12426
2018-01-26,64.30,64.34,63.03,63.16,1157331,-0.951,-1.50%,62.554,73239272.36,9423
2018-01-25,64.25,64.76,63.83,64.12,796932,-0.178,-0.28%,63.5048,51082895.72,7355
2018-01-24,64.58,64.645,63.981,64.30,1045213,-0.287,-0.45%,63.683,67134684.25,11093
2018-01-23,64.53,64.69,64.18,64.59,869768,0.277,0.44%,63.9703,56089842.32,8408
2018-01-22,63.73,64.36,63.66,64.31,1159638,0.535,0.85%,63.6929,74408761.37,11348
2018-01-19,63.81,64.05,63.40,63.77,1026696,0.129,0.20%,63.1581,65366969.43,6562
2018-01-18,63.94,64.13,63.37,63.64,883540,-0.565,-0.89%,63.0294,56394490.40,8217
2018-01-17,63.92,64.37,63.53,64.21,881369,0.545,0.86%,63.5939,56479011.30,8004
2018-01-16,64.26,64.97,63.59,63.66,985024,-0.396,-0.62%,63.0492,63080670.02,9463
2018-01-12,64.45,64.45,63.53,64.06,943886,-0.307,-0.48%,63.4453,60328429.33,8794
2018-01-11,65.34,65.57,64.29,64.37,1305291,-0.961,-1.48%,63.7524,84360279.88,11335
2018-01-10,65.31,65.54,64.40,65.34,932674,-0.555,-0.85%,64.7131,60692644.14,9509
2018-01-09,67.42,67.42,65.89,65.90,789802,-1.406,-2.11%,65.2677,52322360.61,8596
2018-01-08,66.82,67.56,66.82,67.32,903798,0.545,0.82%,66.6741,60717044.80,6999
2018-01-05,67.13,67.36,66.63,66.77,944853,-0.02,-0.03%,66.1293,63195218.30,8373
2018-01-04,69.08,69.08,66.76,66.79,844923,-2.238,-3.27%,66.1492,56918597.83,9242
2018-01-03,69.57,69.62,68.67,69.05,781233,-0.485,-0.70%,68.3875,53879175.22,6787
