date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,20.09,20.21,19.86,19.92,8554528,-0.19,-0.94%,19.92,170883728.62,36485
2018-03-09,19.92,20.14,19.75,20.11,10828313,0.35,1.77%,20.11,216638853.01,36298
2018-03-08,19.85,19.94,19.455,19.76,7466526,-0.02,-0.10%,19.76,146644131.14,33530
2018-03-07,19.69,19.95,19.625,19.87,6609981,-0.03,-0.15%,19.78,130979635.64,30572
2018-03-06,19.80,19.94,19.55,19.90,7795301,0.179,0.91%,19.8099,154134834.07,35645
2018-03-05,19.22,19.83,19.0848,19.72,6964359,0.249,1.28%,19.6307,136228412.63,31612
2018-03-02,19.14,19.51,18.834,19.47,9335571,0.209,1.09%,19.3818,179381381.71,37161
2018-03-01,19.44,19.675,19.11,19.26,12432207,-0.149,-0.77%,19.1728,240923055.68,49323
2018-02-28,19.69,19.86,19.40,19.41,14165441,-0.209,-1.07%,19.3221,277834967.79,45610
2018-02-27,19.82,20.10,19.62,19.62,11728376,-0.179,-0.91%,19.5311,233021145.35,47534
2018-02-26,19.75,19.84,19.60,19.80,11291369,0.149,0.76%,19.7103,222954675.06,39587
2018-02-23,19.39,19.66,19.25,19.65,9741581,0.338,1.76%,19.561,188954943.07,34794
2018-02-22,19.72,19.809,19.245,19.31,12121736,-0.309,-1.58%,19.2225,237302207.27,52626
2018-02-21,19.38,19.88,19.37,19.62,9887269,0.219,1.13%,19.5311,194924136.78,42806
2018-02-20,19.43,19.67,19.31,19.40,6879104,-0.05,-0.26%,19.3121,133871917.81,27517
2018-02-16,19.39,19.67,19.36,19.45,7873642,-0.03,-0.15%,19.3619,153571418.89,30910
2018-02-15,19.49,19.565,19.23,19.48,8832404,0.11,0.57%,19.3918,171445626.23,37210
2018-02-14,18.79,19.41,18.73,19.37,16959860,0.518,2.76%,19.2823,324704507.79,58998
2018-02-13,18.34,18.885,18.26,18.85,13246359,0.378,2.06%,18.7646,247972675.00,44522
2018-02-12,18.42,18.76,18.28,18.47,9323609,0.199,1.09%,18.3863,172441285.94,40350
2018-02-09,18.15,18.43,17.62,18.27,18812156,0.368,2.07%,18.1873,339445301.26,82692
2018-02-08,19.04,19.04,17.90,17.90,16345405,-1.055,-5.59%,17.8189,300641164.93,74111
2018-02-07,18.55,19.20,18.51,18.96,14037332,0.289,1.55%,18.8741,266181504.32,65950
2018-02-06,18.09,18.77,17.73,18.67,20334870,0.209,1.14%,18.5854,374615360.29,94269
2018-02-05,19.02,19.38,18.36,18.46,17764456,-0.786,-4.10%,18.3764,335668207.29,76311
2018-02-02,19.55,19.90,19.20,19.25,14249800,-0.289,-1.48%,19.1628,278523341.85,62501
2018-02-01,19.19,19.60,19.15,19.54,9505133,0.309,1.61%,19.4515,184945935.24,38863
2018-01-31,19.18,19.43,19.14,19.23,9979454,0.08,0.42%,19.1429,192434260.56,32518
2018-01-30,19.09,19.32,19.0637,19.15,6516731,-0.11,-0.57%,19.0633,125187477.77,29788
2018-01-29,19.34,19.50,19.22,19.26,8093874,-0.119,-0.62%,19.1728,156302346.74,32294
2018-01-26,19.26,19.38,19.12,19.38,8528999,0.239,1.25%,19.2922,164462316.66,31198
2018-01-25,19.51,19.55,19.125,19.14,11805027,-0.289,-1.49%,19.0533,227143924.35,44891
2018-01-24,19.38,19.60,19.28,19.43,18690072,0.07,0.36%,19.342,363565448.27,58678
