date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,153.52,156.34,152.5587,155.08,1361869,-0.40,-0.26%,155.08,211088086.63,12490
2018-03-09,154.85,155.53,153.21,155.48,1362686,2.02,1.32%,155.48,210544044.77,13131
2018-03-08,153.88,155.10,152.18,153.46,1576341,0.15,0.10%,153.46,241946036.70,13492
2018-03-07,148.81,157.22,148.04,153.31,2346053,3.59,2.40%,153.31,358473107.18,21103
2018-03-06,151.12,152.31,148.39,149.72,1529841,-0.11,-0.07%,149.72,228866786.79,16563
2018-03-05,147.62,150.28,147.07,149.83,1217896,1.07,0.72%,149.83,181687464.44,12943
2018-03-02,144.08,149.02,143.33,148.76,1186836,3.32,2.28%,148.76,175241461.34,13268
2018-03-01,147.70,147.94,143.80,145.44,1691322,-1.96,-1.33%,145.44,246274984.57,19229
2018-02-28,148.00,149.62,147.40,147.40,1289432,-0.04,-0.03%,147.40,191444341.59,13191
2018-02-27,148.67,150.30,147.43,147.44,1649484,-0.59,-0.40%,147.44,244793757.97,16106
2018-02-26,147.12,148.44,146.68,148.03,874384,1.41,0.96%,148.03,129228844.43,9559
2018-02-23,145.67,146.69,144.42,146.62,957165,1.96,1.35%,146.62,139731155.35,9243
2018-02-22,143.90,146.185,143.59,144.66,1329025,1.24,0.86%,144.66,192571182.55,13666
2018-02-21,144.88,147.90,143.23,143.42,2395134,-0.90,-0.62%,143.42,349169484.60,18687
2018-02-20,141.51,145.97,141.13,144.32,3242464,1.61,1.13%,144.32,468656223.44,23070
2018-02-16,139.80,143.67,139.37,142.71,2251228,2.64,1.88%,142.71,320621145.69,18880
2018-02-15,135.00,140.38,134.67,140.07,2606496,5.88,4.38%,140.07,362249479.55,20709
2018-02-14,131.00,134.57,130.71,134.19,2205186,2.16,1.64%,134.19,294585798.58,20323
2018-02-13,128.75,132.18,128.06,132.03,2027411,2.71,2.10%,132.03,265560632.58,15537
2018-02-12,127.97,130.18,127.04,129.32,1486616,2.48,1.96%,129.32,191626269.69,17469
2018-02-09,126.02,128.17,121.27,126.84,1943700,2.19,1.76%,126.84,242491706.70,22951
2018-02-08,129.56,129.56,124.64,124.65,2050619,-4.16,-3.23%,124.65,259011516.34,22940
2018-02-07,128.08,130.69,127.82,128.81,1460900,0.13,0.10%,128.81,189095606.05,16297
2018-02-06,124.50,129.19,124.50,128.68,2050854,1.63,1.28%,128.68,260556595.47,24098
2018-02-05,125.97,135.00,125.82,127.05,3677177,-0.96,-0.75%,127.05,479647967.30,32968
2018-02-02,129.93,130.04,127.78,128.01,1382548,-2.61,-2.00%,128.01,178075555.82,16669
2018-02-01,130.47,131.69,129.575,130.62,1347190,-0.76,-0.58%,130.62,175963797.10,14985
2018-01-31,132.31,133.32,131.01,131.38,1436132,-0.08,-0.06%,131.38,189350439.72,16219
2018-01-30,131.56,132.7347,130.03,131.46,1184168,-1.49,-1.12%,131.46,155775274.29,12685
2018-01-29,135.01,135.77,132.88,132.95,1529826,-2.27,-1.68%,132.95,204587223.01,13207
2018-01-26,131.50,135.54,131.34,135.22,2239603,4.32,3.30%,135.22,300874432.65,20786
2018-01-25,129.76,131.97,128.79,130.90,1744907,2.01,1.56%,130.90,228209396.43,15456
2018-01-24,129.00,129.83,128.24,128.89,1811899,0.74,0.58%,128.89,233857933.71,15826
2018-01-23,128.23,128.48,126.83,128.15,1485922,0.14,0.11%,128.15,190022974.39,13673
2018-01-22,125.75,128.07,125.12,128.01,1947493,2.07,1.64%,128.01,248260921.55,13907
2018-01-19,125.71,126.36,125.10,125.94,1469079,0.47,0.37%,125.94,184751554.27,12690
2018-01-18,126.22,126.42,124.82,125.47,1473040,-1.13,-0.89%,125.47,184817439.78,15342
2018-01-17,124.87,126.93,124.69,126.60,1081353,2.01,1.61%,126.60,136600001.57,10719
2018-01-16,126.98,127.67,123.8101,124.59,1289126,-1.36,-1.08%,124.59,161757372.48,12373
