date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,98.69,99.26,98.09,98.24,496253,-0.51,-0.52%,98.24,48919227.26,6140
2018-03-09,97.11,98.76,96.875,98.75,694783,2.49,2.59%,98.75,68208277.67,8323
2018-03-08,96.31,96.39,94.79,96.26,756446,0.26,0.27%,96.26,72275017.34,7244
2018-03-07,94.77,96.23,94.47,96.00,696824,0.15,0.16%,96.00,66544786.88,9368
2018-03-06,94.25,95.87,93.1628,95.85,915826,2.24,2.39%,95.85,87094301.62,10280
2018-03-05,91.20,94.05,90.68,93.61,578046,1.75,1.91%,93.61,53889279.99,6596
2018-03-02,91.29,92.10,89.64,91.86,651882,-0.16,-0.17%,91.86,59328131.53,8285
2018-03-01,92.72,93.66,91.275,92.02,1403555,-0.69,-0.74%,92.02,129654419.12,14646
2018-02-28,94.02,94.5899,92.69,92.71,1259592,-0.99,-1.06%,92.71,117726398.36,12109
2018-02-27,93.60,95.07,93.02,93.70,1264909,1.10,1.19%,93.70,119272383.09,14154
2018-02-26,91.93,92.64,90.96,92.60,408271,1.13,1.24%,92.60,37611883.00,5224
2018-02-23,90.18,91.47,90.07,91.47,643895,1.39,1.54%,91.47,58454298.68,5547
2018-02-22,91.57,92.80,89.88,90.08,967968,-1.14,-1.25%,90.08,88063479.08,7874
2018-02-21,92.21,92.99,91.18,91.22,795994,-1.01,-1.10%,91.22,73377689.61,10433
2018-02-20,92.22,93.17,91.83,92.23,689703,-0.33,-0.36%,92.23,63759346.23,6949
2018-02-16,90.96,92.85,90.83,92.56,1080803,1.25,1.37%,92.56,99635365.78,9136
2018-02-15,91.97,92.39,90.45,91.31,864583,0.29,0.32%,91.31,78971202.29,8176
2018-02-14,88.41,91.07,88.24,91.02,1130048,2.29,2.58%,91.02,101866980.24,11879
2018-02-13,88.45,89.10,87.57,88.73,972320,-0.28,-0.31%,88.73,86119481.12,6801
2018-02-12,87.84,89.83,87.27,89.01,1213371,1.93,2.22%,89.01,107791896.14,13844
2018-02-09,86.87,87.68,84.37,87.08,1389199,1.02,1.19%,87.08,119777257.34,13491
2018-02-08,91.13,91.13,86.02,86.06,1235189,-4.99,-5.48%,86.06,108295878.63,12290
2018-02-07,90.78,92.79,90.78,91.05,724900,-0.37,-0.40%,91.05,66470683.39,9349
2018-02-06,87.73,91.64,86.90,91.42,1050313,1.63,1.82%,91.42,94344536.43,10784
2018-02-05,93.00,94.61,89.615,89.79,911818,-4.54,-4.81%,89.79,84137104.16,9784
2018-02-02,96.81,97.32,94.00,94.33,659502,-3.03,-3.11%,94.33,62726113.02,6426
2018-02-01,96.22,97.3956,95.2223,97.36,1312098,0.97,1.01%,97.36,126891467.67,6919
2018-01-31,95.63,96.77,95.63,96.39,891295,0.68,0.71%,96.39,85842614.39,10037
