date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,285.90,286.00,282.07,282.83,289652,-2.21,-0.78%,282.83,82073337.66,3834
2018-03-09,280.48,285.8399,280.22,285.04,621790,5.35,1.91%,285.04,176402605.83,7585
2018-03-08,280.78,281.19,276.09,279.69,434943,0.30,0.11%,279.69,121314453.36,5324
2018-03-07,271.04,280.43,271.04,279.39,562545,5.65,2.06%,279.39,156505609.01,7044
2018-03-06,273.09,274.41,270.89,273.74,326307,1.21,0.44%,273.74,89081928.80,5027
2018-03-05,267.37,273.58,265.18,272.53,418455,4.52,1.69%,272.53,113220088.46,5256
2018-03-02,265.77,268.95,264.6123,268.01,420473,0.52,0.19%,268.01,112338877.25,6662
2018-03-01,275.00,277.00,267.23,267.49,551470,-7.60,-2.76%,267.49,148824641.99,7120
2018-02-28,281.43,282.54,275.08,275.09,417700,-5.24,-1.87%,275.09,115803139.23,5103
2018-02-27,285.24,285.885,280.23,280.33,452749,-5.00,-1.75%,280.33,127527679.78,6215
2018-02-26,282.59,286.58,281.975,285.33,282328,4.19,1.49%,285.33,80311293.35,4293
2018-02-23,281.08,282.54,279.28,281.14,310744,1.54,0.55%,281.14,87231303.06,4689
2018-02-22,279.42,283.60,279.03,279.60,456752,1.17,0.42%,279.60,128261474.14,6624
2018-02-21,277.18,282.59,277.10,278.43,531567,1.69,0.61%,278.43,148696160.77,6601
2018-02-20,275.06,277.91,274.03,276.74,418748,0.43,0.16%,276.74,115756400.29,6243
2018-02-16,274.30,277.47,273.77,276.31,492866,0.56,0.20%,276.31,135870589.10,6001
2018-02-15,272.31,276.00,267.55,275.75,434062,4.66,1.72%,275.75,119143223.33,5625
2018-02-14,269.15,271.91,267.40,271.09,504682,0.62,0.23%,271.09,136601711.19,6183
2018-02-13,268.86,270.97,266.12,270.47,392857,0.35,0.13%,270.47,105750505.58,5255
2018-02-12,263.29,272.42,261.64,270.12,571766,8.59,3.28%,270.12,153515617.47,7563
2018-02-09,261.93,263.50,254.10,261.53,637070,2.13,0.82%,261.53,165500066.66,9195
2018-02-08,266.65,266.65,259.23,259.40,834262,-6.79,-2.55%,259.40,218387910.58,10379
2018-02-07,267.91,272.85,266.19,266.19,616672,-2.60,-0.97%,266.19,165605303.97,8336
2018-02-06,261.44,269.90,258.31,268.79,970622,2.04,0.76%,268.79,258051486.75,13218
2018-02-05,285.21,289.5495,265.786,266.75,1009725,-18.45,-6.47%,266.75,278820363.40,13314
2018-02-02,280.65,290.415,276.99,285.20,678260,3.95,1.40%,285.20,193797262.17,9687
2018-02-01,280.41,282.97,278.18,281.25,537867,0.66,0.24%,281.25,151028377.92,6889
2018-01-31,281.11,282.12,277.94,280.59,1206452,0.96,0.34%,280.59,338225878.08,5668
2018-01-30,279.87,282.00,276.87,279.63,378891,-1.67,-0.59%,279.63,106031300.53,5227
2018-01-29,283.32,284.5735,281.26,281.30,301149,-2.84,-1.00%,281.30,85040162.44,4828
2018-01-26,279.63,284.22,278.53,284.14,297036,5.06,1.81%,284.14,83978674.96,4793
