date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,76.87,77.15,76.01,76.43,4057069,-0.58,-0.75%,76.43,310500221.65,25152
2018-03-09,76.13,77.05,75.22,77.01,3419956,1.79,2.38%,77.01,261170661.53,31764
2018-03-08,75.95,76.93,74.91,75.22,3795061,-0.18,-0.24%,75.22,286189747.35,33690
2018-03-07,76.67,77.31,73.76,75.40,8768165,-5.11,-6.35%,75.40,663526853.02,71829
2018-03-06,78.50,80.67,78.155,80.51,4420893,2.53,3.24%,80.51,350213050.56,35406
2018-03-05,78.36,78.37,76.73,77.98,2756778,-0.44,-0.56%,77.98,214447555.20,25690
2018-03-02,77.18,79.0499,76.6826,78.42,2603788,0.47,0.60%,78.42,202648747.72,26531
2018-03-01,77.93,79.31,76.90,77.95,3033118,-0.14,-0.18%,77.95,236697482.79,32795
2018-02-28,78.90,80.70,78.08,78.09,3781287,0.55,0.71%,78.09,299326410.45,29230
2018-02-27,80.22,81.16,77.52,77.54,3214597,-2.41,-3.01%,77.54,252095952.09,28205
2018-02-26,79.31,80.02,78.66,79.95,2114622,1.08,1.37%,79.95,168502666.54,19139
2018-02-23,79.05,79.38,76.88,78.87,3196372,0.37,0.47%,78.87,249316181.75,24363
2018-02-22,78.22,79.56,78.1575,78.50,1262087,0.62,0.80%,78.50,99439145.63,15049
2018-02-21,78.04,79.64,77.81,77.88,1755863,-0.10,-0.13%,77.88,137840400.71,18601
2018-02-20,79.69,79.92,77.94,77.98,2256811,-2.19,-2.73%,77.98,177047342.02,20240
2018-02-16,80.48,80.94,79.70,80.17,2356817,-0.44,-0.55%,80.17,189451685.76,22542
2018-02-15,79.16,80.63,78.72,80.61,2184677,1.68,2.13%,80.61,174715992.97,18753
2018-02-14,77.15,79.24,76.94,78.93,1996664,1.11,1.43%,78.93,156831781.52,19857
2018-02-13,77.13,77.99,76.61,77.82,1369687,0.47,0.61%,77.82,106113632.20,14128
2018-02-12,77.72,78.15,76.23,77.35,2302199,0.03,0.04%,77.35,178305126.07,21243
2018-02-09,75.53,78.02,74.00,77.32,3907830,2.26,3.01%,77.32,297078449.65,37190
2018-02-08,77.87,78.70,75.02,75.06,3438523,-2.93,-3.76%,75.06,262349157.82,30214
