date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,15.74,15.855,15.31,15.60,5822828,-0.14,-0.89%,15.60,90743167.00,32346
2018-03-09,15.16,15.81,15.07,15.74,10375479,0.68,4.52%,15.74,161043474.57,50004
2018-03-08,15.27,15.42,14.93,15.06,5935634,-0.20,-1.31%,15.06,89419851.36,33151
2018-03-07,15.00,15.54,14.9592,15.26,8588882,0.04,0.26%,15.26,131098169.72,44606
2018-03-06,15.24,15.37,15.04,15.22,9353023,0.11,0.73%,15.22,142155904.45,47380
2018-03-05,14.64,15.37,14.615,15.11,10945966,0.46,3.14%,15.11,166041558.39,57507
2018-03-02,13.66,14.69,13.61,14.65,8730750,0.88,6.39%,14.65,124795533.23,44194
2018-03-01,13.37,14.195,13.24,13.77,12073236,0.48,3.61%,13.77,166655883.14,58380
2018-02-28,14.06,14.40,13.18,13.29,15919555,0.13,0.99%,13.29,216043723.72,69353
2018-02-27,13.50,13.75,13.16,13.16,7301708,-0.39,-2.88%,13.16,97688645.92,39093
2018-02-26,13.52,13.79,13.40,13.55,5273776,0.10,0.74%,13.55,71603248.63,29732
2018-02-23,13.16,13.47,13.06,13.45,6424930,0.45,3.46%,13.45,85464193.99,30813
2018-02-22,13.06,13.56,12.93,13.00,9426611,0.08,0.62%,13.00,124287735.62,44808
2018-02-21,13.08,13.19,12.82,12.92,10019712,-0.16,-1.22%,12.92,129933090.23,36331
2018-02-20,13.37,13.54,12.97,13.08,8508228,-0.20,-1.51%,13.08,112124483.04,34553
2018-02-16,13.53,13.72,13.235,13.28,7499301,-0.35,-2.57%,13.28,100825919.65,37818
2018-02-15,13.17,13.74,12.96,13.63,11773277,0.49,3.73%,13.63,158465059.00,49886
2018-02-14,12.56,13.19,12.46,13.14,9274054,0.41,3.22%,13.14,119788847.11,47245
2018-02-13,12.90,13.13,12.715,12.73,5099550,-0.32,-2.45%,12.73,65392493.46,30038
2018-02-12,12.92,13.19,12.77,13.05,8504651,0.34,2.68%,13.05,110674552.89,44600
2018-02-09,12.92,12.97,11.93,12.71,12940115,-0.11,-0.86%,12.71,160999668.58,64590
2018-02-08,13.21,13.62,12.82,12.82,10770437,-0.30,-2.29%,12.82,140846264.79,63102
2018-02-07,13.80,14.04,13.10,13.12,10740157,-0.67,-4.86%,13.12,144203501.99,53092
2018-02-06,12.86,13.86,12.70,13.79,13161579,0.69,5.27%,13.79,177211816.65,63379
2018-02-05,13.34,13.76,12.98,13.10,13362357,-0.45,-3.32%,13.10,177313947.55,64172
2018-02-02,13.75,13.78,13.26,13.55,12546018,-0.38,-2.73%,13.55,168821263.21,53290
2018-02-01,14.19,14.34,13.79,13.93,11451395,-0.32,-2.25%,13.93,160286366.76,52139
2018-01-31,14.62,14.67,14.09,14.25,13373710,-0.38,-2.60%,14.25,190939078.92,61117
2018-01-30,14.90,15.08,14.425,14.63,19163142,-0.46,-3.05%,14.63,280724009.91,73740
2018-01-29,14.99,15.26,14.77,15.09,11859623,-0.21,-1.37%,15.09,178702151.36,52339
2018-01-26,15.27,15.66,15.165,15.30,9475851,-0.02,-0.13%,15.30,146189923.16,40884
2018-01-25,15.91,16.10,15.10,15.32,33161083,-1.68,-9.88%,15.32,512182709.45,113100
2018-01-24,17.30,17.48,16.91,17.00,8500846,-0.33,-1.90%,17.00,145506039.69,41642
2018-01-23,16.85,17.46,16.80,17.33,8813197,0.78,4.71%,17.33,150922226.58,42355
2018-01-22,16.08,16.57,16.07,16.55,6881931,0.47,2.92%,16.55,113036872.84,30992
2018-01-19,16.44,16.44,15.805,16.08,11213115,-0.39,-2.37%,16.08,179941061.32,36936
2018-01-18,16.68,16.81,16.46,16.47,5960637,-0.31,-1.85%,16.47,98960492.29,29030
2018-01-17,16.87,16.97,16.48,16.78,8965056,0.00,0.00%,16.78,149945053.09,39449
2018-01-16,17.45,17.47,16.67,16.78,8756402,-0.80,-4.55%,16.78,147939945.93,37234
2018-01-12,17.22,17.64,17.135,17.58,6656146,0.31,1.80%,17.58,116240018.35,29716
2018-01-11,17.03,17.52,16.83,17.27,7367311,0.49,2.92%,17.27,127063276.09,29623
2018-01-10,17.13,17.475,16.77,16.78,5577740,-0.28,-1.64%,16.78,94736368.87,27858
2018-01-09,16.91,17.17,16.7901,17.06,7044523,0.21,1.25%,17.06,119805343.23,31398
2018-01-08,16.80,16.88,16.46,16.85,8164738,0.09,0.54%,16.85,136492015.32,36482
2018-01-05,17.05,17.20,16.74,16.76,8272485,-0.64,-3.68%,16.76,139807097.71,37111
2018-01-04,17.58,17.895,17.10,17.40,9625077,-0.41,-2.30%,17.40,168185072.72,42873
2018-01-03,18.32,18.39,17.735,17.81,11343127,-0.11,-0.61%,17.81,203457880.39,43924
2018-01-02,17.66,18.06,17.37,17.92,8548538,0.86,5.04%,17.92,152334365.86,37974
2017-12-29,17.65,17.87,17.05,17.06,5618879,-0.55,-3.12%,17.06,97246287.22,25839
2017-12-28,17.17,17.66,17.14,17.61,6258525,0.65,3.83%,17.61,109634412.64,28321
2017-12-27,17.08,17.20,16.87,16.96,3683483,-0.03,-0.18%,16.96,62681506.06,18543
2017-12-26,16.60,17.1166,16.60,16.99,3570514,0.53,3.22%,16.99,60481954.24,17423
2017-12-22,16.61,16.85,16.44,16.46,4669473,-0.04,-0.24%,16.46,77546456.42,21487
2017-12-21,15.75,16.57,15.45,16.50,9115837,0.69,4.36%,16.50,147363211.62,38655
2017-12-20,15.77,16.00,15.61,15.81,7294009,0.11,0.70%,15.81,115293395.13,30470
2017-12-19,16.05,16.145,15.69,15.70,5126576,-0.21,-1.32%,15.70,81270378.95,26059
2017-12-18,15.85,16.36,15.715,15.91,9008863,0.28,1.79%,15.91,144302931.51,38536
2017-12-15,16.04,16.10,15.33,15.63,15361932,-0.36,-2.25%,15.63,240408966.66,48866
2017-12-14,16.22,16.29,15.98,15.99,6072262,-0.23,-1.42%,15.99,97707249.78,30929
2017-12-13,16.41,16.485,16.1501,16.24,6709471,-0.11,-0.67%,16.22,109318873.67,25596
2017-12-12,16.82,16.93,16.26,16.35,7860720,-0.35,-2.10%,16.3299,129440684.00,31925
2017-12-11,16.11,16.81,16.11,16.70,7447415,0.619,3.86%,16.6794,124003704.78,33425
2017-12-08,16.10,16.29,15.91,16.08,6503426,0.13,0.82%,16.0602,104655609.00,32240
2017-12-07,16.42,16.42,15.94,15.95,9538528,-0.549,-3.33%,15.9304,153511238.23,39917
2017-12-06,17.30,17.30,16.37,16.50,8984226,-0.779,-4.51%,16.4797,149305015.63,40914
2017-12-05,17.73,17.9159,17.26,17.28,5337026,-0.589,-3.30%,17.2587,93087057.22,29148
2017-12-04,18.44,18.79,17.81,17.87,5242631,-0.629,-3.41%,17.848,95593787.64,28777
2017-12-01,18.38,18.93,18.245,18.50,6942205,0.479,2.66%,18.4772,128919495.96,38834
2017-11-30,18.11,18.39,17.69,18.02,6933734,0.02,0.11%,17.9978,124918852.05,35448
2017-11-29,18.06,18.37,17.755,18.00,6068120,0.02,0.11%,17.9778,109750676.16,34964
2017-11-28,17.62,18.05,17.46,17.98,7569495,0.33,1.87%,17.9578,135606518.89,37619
2017-11-27,17.39,17.71,17.075,17.65,4931531,0.28,1.61%,17.6283,86085204.59,26974
2017-11-24,17.77,17.7899,17.34,17.37,2394508,-0.32,-1.81%,17.3486,41916336.65,14291
2017-11-22,17.38,17.83,17.32,17.69,4366012,0.509,2.97%,17.6682,76916186.21,22821
2017-11-21,17.45,17.70,17.12,17.18,3728766,-0.12,-0.69%,17.1588,64385497.43,23556
2017-11-20,17.84,17.85,17.23,17.30,4072187,-0.729,-4.05%,17.2787,70941068.85,21630
2017-11-17,17.32,18.06,17.29,18.03,7819932,0.829,4.83%,18.0078,139590055.88,30908
2017-11-16,17.12,17.52,17.11,17.20,4620555,0.12,0.70%,17.1788,79651825.49,25506
2017-11-15,17.19,17.22,16.88,17.08,6269033,-0.27,-1.56%,17.059,107090800.11,34305
2017-11-14,18.39,18.455,17.28,17.35,8683266,-1.228,-6.62%,17.3286,152591832.28,44527
2017-11-13,19.15,19.17,18.53,18.58,5595699,-0.649,-3.38%,18.5571,104895854.31,29347
2017-11-10,18.84,19.375,18.79,19.23,6383930,0.33,1.75%,19.2063,122388154.22,34461
2017-11-09,18.60,19.05,18.45,18.90,6088438,0.28,1.50%,18.8767,114828446.02,33500
2017-11-08,18.99,18.99,18.30,18.62,9038804,-0.35,-1.85%,18.5971,168188623.47,41733
2017-11-07,19.21,19.29,18.75,18.97,10224589,-0.21,-1.09%,18.9466,193786001.39,37405
2017-11-06,18.14,19.25,17.97,19.18,11545613,1.049,5.79%,19.1564,216909371.09,55394
2017-11-03,17.88,18.28,17.67,18.13,5417986,0.26,1.45%,18.1077,97890090.54,29540
2017-11-02,18.54,18.54,17.71,17.87,8991042,-0.559,-3.04%,17.848,161387945.15,33200
2017-11-01,18.38,18.585,18.19,18.43,7584432,0.32,1.77%,18.4073,139613314.12,43457
2017-10-31,17.85,18.21,17.62,18.11,7146564,0.16,0.89%,18.0877,128231126.59,39722
2017-10-30,18.22,18.26,17.83,17.95,7590915,-0.11,-0.61%,17.9279,136846571.35,38292
2017-10-27,17.59,18.1399,17.41,18.06,8712376,0.34,1.92%,18.0377,155571949.60,49129
2017-10-26,18.03,18.03,17.44,17.72,8772553,-0.37,-2.05%,17.6982,154877510.80,49626
2017-10-25,18.09,18.57,17.78,18.09,9972358,-0.499,-2.69%,18.0677,180342724.86,52148
2017-10-24,18.61,18.82,18.31,18.59,5313382,0.14,0.76%,18.5671,98706155.45,30470
2017-10-23,18.78,19.025,18.44,18.45,5217278,-0.409,-2.17%,18.4273,97013150.54,30431
2017-10-20,18.90,19.07,18.76,18.86,3679320,-0.14,-0.74%,18.8368,69458806.37,23857
