date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,166.92,169.26,166.16,168.91,784388,2.42,1.45%,168.91,131957198.69,8228
2018-03-09,164.46,166.59,163.58,166.49,1120928,2.28,1.39%,166.49,185412784.55,12319
2018-03-08,158.83,164.38,156.2705,164.21,1129002,5.44,3.43%,164.21,183632612.22,10665
2018-03-07,156.01,159.39,156.01,158.77,1347150,2.27,1.45%,158.77,212863184.97,13023
2018-03-06,157.33,158.15,155.45,156.50,1078472,-0.18,-0.11%,156.50,169009285.13,12428
2018-03-05,152.14,156.99,151.425,156.68,1335908,3.77,2.47%,156.68,207215838.62,13745
2018-03-02,153.51,155.12,151.98,152.91,1626975,-2.05,-1.32%,152.91,249309680.08,16233
2018-03-01,157.57,157.57,153.88,154.96,1396025,-2.31,-1.47%,154.96,216680612.68,17916
2018-02-28,163.88,165.0401,157.14,157.27,1996467,-5.93,-3.63%,157.27,320100463.88,17353
2018-02-27,161.82,170.00,160.511,163.20,2728610,-9.53,-5.52%,163.20,448441749.08,24158
2018-02-26,172.92,174.22,171.81,172.73,1298391,-0.20,-0.12%,172.73,224324255.63,13470
2018-02-23,172.08,173.56,171.312,172.93,887474,1.81,1.06%,172.93,153250983.17,9278
2018-02-22,170.43,173.54,170.00,171.12,1011966,1.62,0.96%,171.12,174089406.57,13964
2018-02-21,169.43,172.5253,168.96,169.50,1210182,-0.22,-0.13%,169.50,206109711.23,14054
2018-02-20,168.07,170.73,168.07,169.72,818994,0.60,0.35%,169.72,139021317.52,10280
2018-02-16,166.75,170.17,165.09,169.12,1438222,2.02,1.21%,169.12,243080553.43,13336
2018-02-15,162.89,167.64,160.08,167.10,1146682,4.54,2.79%,167.10,189246747.20,13218
2018-02-14,159.58,163.38,157.44,162.56,1392428,1.14,0.71%,162.56,224432858.10,13405
2018-02-13,159.10,162.11,158.73,161.42,1249074,1.79,1.12%,161.42,200781074.86,10475
2018-02-12,160.25,161.72,157.26,159.63,1271735,-0.10,-0.06%,159.63,202432345.74,14822
2018-02-09,160.60,162.7903,154.36,159.73,1305784,-0.12,-0.08%,159.73,206796364.41,14105
2018-02-08,166.59,168.49,159.75,159.85,1271652,-6.66,-4.00%,159.85,207218716.12,13783
2018-02-07,165.15,168.60,165.15,166.51,1075498,0.51,0.31%,166.51,179273902.30,11547
2018-02-06,166.84,168.54,162.631,166.00,2522737,-2.27,-1.35%,166.00,417651789.63,16742
2018-02-05,173.25,174.21,168.17,168.27,1335969,-4.94,-2.85%,168.27,227683946.31,10598
2018-02-02,173.27,174.91,171.43,173.21,777709,-1.52,-0.87%,173.21,134753150.03,9250
2018-02-01,174.41,177.67,170.01,174.73,1340868,0.23,0.13%,174.73,235222596.22,10520
2018-01-31,170.27,175.9999,169.75,174.50,1399234,4.79,2.82%,174.50,243664543.90,10162
2018-01-30,169.03,170.17,166.97,169.71,1159840,0.19,0.11%,169.71,196507233.93,8969
2018-01-29,171.83,173.00,169.29,169.52,789670,-2.76,-1.60%,169.52,134481180.04,9131
2018-01-26,171.15,172.63,169.78,172.28,802505,1.99,1.17%,172.28,137564790.78,7877
2018-01-25,168.89,170.71,168.70,170.29,1038098,1.34,0.79%,170.29,176510700.27,10511
2018-01-24,168.25,169.68,167.86,168.95,627455,0.70,0.42%,168.95,105890412.00,7449
2018-01-23,168.16,169.15,166.58,168.25,834732,0.60,0.36%,168.25,140238486.05,8931
2018-01-22,165.55,167.89,164.815,167.65,1027730,1.86,1.12%,167.65,171693003.39,11148
2018-01-19,161.80,165.98,161.15,165.79,1618038,4.14,2.56%,165.79,266091250.14,14432
2018-01-18,160.89,162.51,159.87,161.65,1441198,0.18,0.11%,161.65,232649487.36,10298
2018-01-17,159.72,162.98,159.70,161.47,751060,1.62,1.01%,161.47,121311187.92,9423
