date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,58.67,59.68,58.48,59.40,10550283,0.94,1.61%,59.40,626337532.53,65268
2018-03-09,57.67,58.63,57.67,58.46,9539617,0.99,1.72%,58.46,556594095.72,57786
2018-03-08,57.29,57.80,57.13,57.47,7434706,0.44,0.77%,57.47,427247937.51,42247
2018-03-07,56.62,57.165,56.62,57.03,7044099,0.00,0.00%,57.03,401313555.37,46716
2018-03-06,57.25,57.25,56.54,57.03,8046794,0.04,0.07%,57.03,457807981.10,56931
2018-03-05,56.83,57.42,56.68,56.99,7835398,0.06,0.11%,56.99,447621361.31,51448
2018-03-02,55.72,57.20,55.6805,56.93,11555132,0.76,1.35%,56.93,655805103.56,73660
2018-03-01,57.00,57.56,55.83,56.17,11127627,-0.93,-1.63%,56.17,628371911.22,82828
2018-02-28,56.84,57.92,56.83,57.10,11541059,0.53,0.94%,57.10,663196464.61,68331
2018-02-27,57.29,57.64,56.56,56.57,8821414,-0.60,-1.05%,56.57,502191454.75,60202
2018-02-26,56.42,57.35,56.32,57.17,8713847,1.03,1.83%,57.17,496637292.19,56576
2018-02-23,55.65,56.15,54.80,56.14,11394350,0.74,1.34%,56.14,633095085.20,66209
2018-02-22,55.95,56.14,55.26,55.40,10172399,-0.70,-1.25%,55.40,565666377.04,66038
2018-02-21,55.93,56.74,55.86,56.10,7850950,0.13,0.23%,56.10,441610261.26,55225
2018-02-20,56.29,56.54,55.83,55.97,9450906,-0.51,-0.90%,55.97,530186148.87,55724
2018-02-16,56.65,57.05,56.34,56.48,10151328,-0.10,-0.18%,56.48,574770414.50,58977
2018-02-15,56.36,56.83,55.90,56.58,10294949,0.59,1.05%,56.58,580505191.05,60895
2018-02-14,55.47,56.70,55.29,55.99,14190323,0.32,0.57%,55.99,796191692.97,79616
2018-02-13,55.25,55.72,55.02,55.67,10416385,0.29,0.52%,55.67,577523664.59,50796
2018-02-12,54.86,55.73,54.55,55.38,10968956,0.80,1.47%,55.38,606002296.05,72478
2018-02-09,54.20,55.06,53.65,54.58,19382011,0.81,1.51%,54.58,1054757273.74,137340
2018-02-08,54.50,54.789,53.75,53.77,17736671,-0.69,-1.27%,53.77,963568578.84,120602
2018-02-07,55.08,55.43,54.44,54.46,13927022,-0.85,-1.54%,54.46,764151812.30,90885
2018-02-06,53.685,56.06,53.56,55.61,17415065,0.915,1.68%,55.31,958215050.12,129425
2018-02-05,55.53,56.26,54.57,54.69,16059955,-1.074,-1.94%,54.3949,890186025.14,114803
2018-02-02,55.90,56.32,55.70,55.77,15358909,-0.229,-0.41%,55.4691,858588662.48,82548
2018-02-01,56.28,56.42,55.89,56.00,14690146,-0.806,-1.43%,55.6979,824529116.98,83113
2018-01-31,57.23,57.45,56.70,56.81,13118364,-0.378,-0.66%,56.5035,748113261.97,74717
2018-01-30,56.96,57.54,56.74,57.19,14341155,0.169,0.30%,56.8815,819663608.57,78047
2018-01-29,57.55,58.35,56.91,57.02,18899867,-0.965,-1.67%,56.7124,1082950850.18,106291
2018-01-26,57.94,58.17,56.55,57.99,51851690,-2.546,-4.23%,57.6771,2982998014.68,233189
