date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,39.31,39.35,38.24,39.08,1712991,-0.05,-0.13%,39.08,66653605.25,9791
2018-03-09,40.28,40.625,38.87,39.13,1632573,-1.457,-3.59%,39.13,64256832.52,12544
2018-03-08,41.83,41.95,41.04,41.20,1569386,-0.433,-1.06%,40.5875,64875906.22,11646
2018-03-07,40.57,41.78,40.49,41.64,1479021,0.67,1.66%,41.0209,61130225.98,10591
2018-03-06,40.71,40.99,39.61,40.96,1315520,0.227,0.56%,40.351,53182683.59,10303
2018-03-05,39.61,40.96,39.60,40.73,1436360,1.064,2.72%,40.1245,58159728.89,11382
2018-03-02,39.48,39.97,39.00,39.65,1212334,-0.108,-0.28%,39.0605,47860961.73,9449
2018-03-01,39.70,40.43,38.92,39.76,1785580,0.089,0.23%,39.1689,71007841.95,11408
2018-02-28,40.01,40.25,39.50,39.67,1231610,-0.256,-0.65%,39.0802,49017943.75,9238
2018-02-27,39.98,40.48,39.51,39.93,947291,-0.049,-0.13%,39.3364,37869856.10,9753
2018-02-26,38.82,40.33,38.76,39.98,1106063,0.68,1.76%,39.3856,44066882.73,8766
2018-02-23,39.78,39.78,38.77,39.29,1198821,-0.63,-1.60%,38.7059,47095941.93,10196
2018-02-22,36.95,40.10,36.59,39.93,2593495,3.586,10.03%,39.3364,101348104.85,19724
2018-02-21,36.86,37.39,36.28,36.29,1342546,-0.64,-1.76%,35.7505,49315316.63,12075
2018-02-20,37.52,37.72,36.60,36.94,1163946,-0.759,-2.04%,36.3908,43042728.90,7515
2018-02-16,37.05,38.00,36.87,37.71,1509017,0.493,1.34%,37.1494,56811277.35,12099
2018-02-15,36.60,37.27,36.08,37.21,1007266,0.719,2.00%,36.6568,36980217.99,8405
2018-02-14,35.80,36.73,35.51,36.48,1452046,0.453,1.28%,35.9377,52510984.21,11917
2018-02-13,35.49,36.23,34.8386,36.02,1871860,0.355,1.01%,35.4845,66446451.43,15406
2018-02-12,36.48,36.65,34.76,35.66,2519861,-0.63,-1.76%,35.1298,89152833.37,18818
2018-02-09,36.22,36.74,35.041,36.30,1690581,0.69,1.97%,35.7603,60640685.70,14050
2018-02-08,36.66,37.28,35.50,35.60,1621198,-1.044,-2.89%,35.0707,58509416.80,13414
2018-02-07,37.59,38.77,35.93,36.66,2570593,-0.946,-2.55%,36.115,95645225.94,18522
2018-02-06,37.11,38.26,35.31,37.62,3728358,0.177,0.48%,37.0607,137182087.87,29464
2018-02-05,39.13,39.81,37.44,37.44,2710401,-1.704,-4.42%,36.8834,103890854.78,18583
2018-02-02,38.72,39.65,38.26,39.17,2659891,0.099,0.26%,38.5877,103879696.98,17165
2018-02-01,40.56,40.85,38.80,39.07,4154876,-1.547,-3.86%,38.4891,162912833.38,25584
2018-01-31,40.82,41.13,39.22,40.64,5780926,-0.099,-0.25%,40.0358,231858125.35,34069
2018-01-30,43.16,43.53,40.36,40.74,2409446,-2.532,-5.93%,40.1343,100240772.25,14520
2018-01-29,43.30,43.90,42.98,43.31,1920047,-0.118,-0.28%,42.6661,83423357.92,13870
2018-01-26,41.81,43.45,41.18,43.43,2159224,1.409,3.40%,42.7843,91938317.72,13250
2018-01-25,40.58,42.00,40.53,42.00,3046783,1.261,3.14%,41.3756,126073056.17,18042
2018-01-24,41.29,41.50,40.35,40.72,3641390,-0.433,-1.07%,40.1146,148352173.10,22072
2018-01-23,43.14,43.99,40.64,41.16,4123491,-2.167,-5.07%,40.5481,175115999.32,26778
2018-01-22,43.40,43.694,43.14,43.36,2581295,0.01,0.02%,42.7154,112065205.86,16426
2018-01-19,42.63,43.35,41.87,43.35,2640205,0.867,2.07%,42.7055,113048170.96,15443
2018-01-18,42.48,42.95,41.51,42.47,2401581,-0.059,-0.14%,41.8386,101302276.94,15344
2018-01-17,42.25,42.93,42.11,42.53,1885007,0.217,0.52%,41.8977,80087193.45,15536
2018-01-16,44.05,44.30,42.02,42.31,3117615,-1.714,-3.95%,41.681,133037554.66,20992
2018-01-12,44.46,44.67,43.99,44.05,1622130,-0.453,-1.03%,43.3951,71793063.31,13213
2018-01-11,44.60,45.26,44.28,44.51,2080458,0.246,0.56%,43.8483,92891151.49,16202
2018-01-10,44.30,45.00,43.62,44.26,2328949,-0.532,-1.21%,43.602,103093712.91,17496
2018-01-09,45.46,45.74,44.68,44.80,2255677,-0.709,-1.58%,44.134,101414177.75,17617
2018-01-08,45.04,45.60,44.87,45.52,3236620,0.493,1.11%,44.8433,146533238.56,25996
2018-01-05,46.32,46.44,44.51,45.02,5796481,-1.291,-2.83%,44.3507,261425043.42,45703
2018-01-04,47.65,48.26,46.01,46.33,9295314,-1.30,-2.77%,45.6412,440676243.10,65685
2018-01-03,47.75,49.3995,47.12,47.65,19006353,8.649,22.59%,46.9416,907548243.04,125981
2018-01-02,39.93,39.98,38.07,38.87,2932313,-0.896,-2.29%,38.2921,114029805.70,18811
2017-12-29,39.77,40.00,39.48,39.78,1137534,0.059,0.15%,39.1886,45256914.18,7526
2017-12-28,39.61,39.815,39.135,39.72,1309209,0.236,0.61%,39.1295,51794164.50,10216
2017-12-27,39.26,39.95,39.26,39.48,1315758,0.384,1.00%,38.8931,52036061.85,8951
2017-12-26,39.17,40.30,38.99,39.09,1740774,0.079,0.21%,38.5088,68572135.96,11905
2017-12-22,37.25,39.26,37.095,39.01,3379877,1.596,4.33%,38.43,130353720.53,21418
2017-12-21,41.10,41.40,37.37,37.39,5863335,-3.872,-9.51%,36.8341,225317415.91,37348
2017-12-20,41.87,42.03,40.80,41.32,2107785,-0.571,-1.38%,40.7057,87174562.45,15936
2017-12-19,42.89,43.47,41.81,41.90,1984770,-1.064,-2.51%,41.2771,84293233.50,15769
2017-12-18,44.17,44.45,42.45,42.98,3256178,-1.419,-3.24%,42.341,139784068.11,22766
2017-12-15,43.875,45.50,43.11,44.42,8213926,1.616,3.83%,43.7596,365661972.20,32462
2017-12-14,42.54,43.87,42.15,42.78,1933665,0.246,0.59%,42.144,83373184.09,16071
2017-12-13,42.75,42.885,42.08,42.53,2676913,-0.256,-0.61%,41.8977,113837692.86,14309
2017-12-12,42.30,43.83,42.30,42.79,2982652,0.404,0.97%,42.1538,128662456.50,19705
2017-12-11,44.93,44.99,41.85,42.38,3575232,-2.746,-6.17%,41.7499,152327975.62,26489
2017-12-08,44.31,45.78,44.20,45.78,2443156,1.39,3.22%,44.496,110684118.86,16769
2017-12-07,43.57,44.36,43.51,44.35,1786884,0.554,1.30%,43.1061,78782377.18,14361
2017-12-06,43.62,43.91,42.91,43.78,2469281,0.272,0.64%,42.5521,107612421.60,15653
