date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,57.86,58.04,57.54,57.76,6019959,0.06,0.10%,57.76,347901888.65,37050
2018-03-09,56.41,57.73,56.40,57.70,7152232,1.79,3.20%,57.70,409953686.47,49454
2018-03-08,55.67,55.97,54.89,55.91,8160751,0.48,0.87%,55.91,453200402.79,49658
2018-03-07,53.94,55.47,53.15,55.43,7656058,0.70,1.28%,55.43,420354394.53,51774
2018-03-06,53.70,54.74,53.3484,54.73,7464515,1.12,2.09%,54.73,405369026.48,47845
2018-03-05,51.96,53.84,51.80,53.61,5762427,0.98,1.86%,53.61,306368242.21,38131
2018-03-02,51.56,52.76,50.47,52.63,8586603,0.58,1.11%,52.63,445687104.93,59768
2018-03-01,52.90,53.49,51.49,52.05,7096084,-0.97,-1.83%,52.05,371242661.77,47972
2018-02-28,54.00,54.51,53.00,53.02,5915609,-0.78,-1.45%,53.02,317429467.07,36585
2018-02-27,53.74,55.39,53.74,53.80,8601863,0.07,0.13%,53.80,469226181.67,60130
2018-02-26,53.00,53.73,52.52,53.73,5767308,0.99,1.88%,53.73,306999756.70,39679
2018-02-23,52.20,52.76,52.025,52.74,5252790,0.71,1.36%,52.74,275376071.23,30914
2018-02-22,52.69,53.09,51.85,52.03,6315592,-0.27,-0.52%,52.03,330062608.14,43137
2018-02-21,52.28,53.13,52.21,52.30,5896557,-0.04,-0.08%,52.30,311055758.62,41193
2018-02-20,51.95,52.72,51.95,52.34,4671544,0.17,0.33%,52.34,244640696.20,27472
2018-02-16,52.04,52.59,51.72,52.17,5886242,-0.16,-0.31%,52.17,307243608.59,36571
2018-02-15,52.92,53.133,51.66,52.33,4921352,-0.07,-0.13%,52.33,257340724.49,35909
2018-02-14,50.95,52.61,50.90,52.40,5995493,1.25,2.44%,52.40,311577617.34,40550
2018-02-13,50.63,51.22,50.291,51.15,6467148,0.21,0.41%,51.15,328700240.79,43607
2018-02-12,50.72,51.50,50.43,50.94,7561259,0.82,1.64%,50.94,385506056.77,49736
2018-02-09,50.21,50.52,48.04,50.12,12923565,1.22,2.49%,50.12,636916124.82,85476
2018-02-08,51.99,52.17,48.90,48.90,11895231,-3.03,-5.83%,48.90,596331327.95,83832
2018-02-07,51.79,53.02,51.64,52.03,10182203,-0.828,-1.57%,51.93,532694239.86,69362
2018-02-06,50.00,53.16,49.15,52.86,14434784,1.567,3.06%,52.7584,747379649.08,100708
2018-02-05,52.54,54.10,50.95,51.29,11267092,-2.046,-3.84%,51.1914,595153218.00,75504
2018-02-02,54.75,55.05,53.14,53.34,9097595,-1.567,-2.86%,53.2375,492068826.06,53535
2018-02-01,53.28,54.92,53.14,54.91,6938091,1.567,2.94%,54.8045,377469886.68,41863
2018-01-31,53.44,53.81,53.065,53.34,7737225,0.14,0.26%,53.2375,413442153.79,36401
2018-01-30,53.76,54.38,53.195,53.20,8368045,-0.848,-1.57%,53.0977,447831635.00,40388
2018-01-29,54.36,54.75,53.87,54.05,8052354,-0.22,-0.41%,53.9461,436157550.08,39568
2018-01-26,54.37,54.43,53.74,54.27,8782004,0.09,0.17%,54.1657,474685380.78,50809
2018-01-25,55.61,55.66,53.985,54.18,7453650,-1.208,-2.18%,54.0759,406377224.22,41755
2018-01-24,55.75,55.87,54.955,55.39,6351387,0.07,0.13%,55.2835,352086432.65,35637
2018-01-23,55.16,55.86,55.03,55.32,7011542,-0.12,-0.22%,55.2137,387914423.57,43055
2018-01-22,55.40,55.61,54.73,55.44,7245606,-0.04,-0.07%,55.3334,399555631.63,38095
2018-01-19,55.44,55.60,55.15,55.48,7439457,0.15,0.27%,55.3734,412097650.60,39804
2018-01-18,55.78,56.22,55.135,55.33,5837280,-0.759,-1.35%,55.2237,323723232.14,35173
2018-01-17,55.61,56.25,54.52,56.09,8312166,0.559,1.01%,55.9822,463982097.12,49730
2018-01-16,55.73,56.13,54.97,55.53,9365297,0.14,0.25%,55.4233,520271496.17,52968
2018-01-12,54.66,55.52,54.66,55.39,7516978,1.218,2.25%,55.2835,415077587.72,41264
2018-01-11,53.75,54.23,53.2402,54.17,5379327,0.609,1.14%,54.0659,289955375.81,32049
2018-01-10,53.48,54.475,53.35,53.56,9043341,0.22,0.41%,53.4571,486730527.48,48973
2018-01-09,52.41,53.59,52.32,53.34,6660649,1.098,2.11%,53.2375,354967905.41,41858
2018-01-08,51.90,52.325,51.84,52.24,4803621,0.23,0.44%,52.1396,250710327.84,25229
2018-01-05,51.99,52.05,51.47,52.01,5696212,0.20,0.39%,51.91,295222500.85,30554
2018-01-04,51.93,52.48,51.64,51.81,5310435,0.289,0.56%,51.7104,275895068.76,33349
2018-01-03,51.20,51.77,51.04,51.52,5522692,0.08,0.16%,51.421,283862563.67,35873
2018-01-02,51.55,51.61,50.96,51.44,7220792,0.07,0.14%,51.3411,370670714.03,36217
2017-12-29,52.20,52.40,51.36,51.37,3895263,-0.669,-1.29%,51.2713,201048028.31,22811
2017-12-28,51.96,52.055,51.63,52.04,2058854,0.19,0.37%,51.94,106855613.79,14522
2017-12-27,52.03,52.10,51.67,51.85,4395815,-0.02,-0.04%,51.7503,227879726.56,19439
2017-12-26,52.00,52.17,51.56,51.87,2330581,-0.21,-0.40%,51.7703,120784385.60,15669
2017-12-22,52.42,52.51,51.835,52.08,4728956,-0.20,-0.38%,51.9799,246183282.80,20924
2017-12-21,52.09,52.51,51.96,52.28,4890045,0.469,0.91%,52.1795,255800860.34,28290
2017-12-20,52.40,52.52,51.575,51.81,7401525,0.00,0.00%,51.7104,384186983.56,36903
2017-12-19,52.09,52.30,51.60,51.81,5573981,0.07,0.14%,51.7104,289007681.94,33990
2017-12-18,52.09,52.20,51.505,51.74,6092546,0.459,0.90%,51.6406,315374593.79,33294
2017-12-15,50.63,51.6701,50.26,51.28,10621877,1.078,2.15%,51.1814,543181556.65,44114
2017-12-14,50.66,50.78,50.10,50.20,6911589,-0.13,-0.26%,50.1035,348072439.42,37350
2017-12-13,51.45,51.45,50.31,50.33,8193384,-1.228,-2.39%,50.2333,415862341.36,50016
2017-12-12,51.00,51.98,50.89,51.56,7251146,0.838,1.66%,51.4609,374660427.08,45687
2017-12-11,51.42,51.45,50.51,50.72,7238351,-0.669,-1.30%,50.6225,367870724.54,38279
2017-12-08,51.38,51.41,50.60,51.39,6265962,0.309,0.61%,51.2912,320494338.05,35419
2017-12-07,50.33,51.41,50.22,51.08,5449806,0.539,1.07%,50.9818,278215680.89,35551
2017-12-06,50.56,51.03,50.30,50.54,6505383,-0.24,-0.47%,50.4429,329665507.35,35402
2017-12-05,51.74,51.78,50.64,50.78,7799182,-0.769,-1.49%,50.6824,398170125.60,43639
2017-12-04,50.41,51.89,49.82,51.55,13058546,2.046,4.14%,51.4509,669404703.93,78882
2017-12-01,48.82,49.55,48.00,49.50,10350498,0.709,1.46%,49.4049,508183803.27,68789
2017-11-30,48.74,49.54,48.39,48.79,11493432,0.369,0.76%,48.6962,562506756.18,52394
2017-11-29,47.63,48.58,47.54,48.42,12387383,1.278,2.72%,48.3269,597610092.39,79363
2017-11-28,45.85,47.265,45.66,47.14,6663462,1.367,2.99%,47.0494,310783861.02,40105
2017-11-27,45.80,46.16,45.74,45.77,3967368,-0.01,-0.02%,45.682,182000813.05,24487
2017-11-24,46.03,46.07,45.73,45.78,1269015,-0.02,-0.04%,45.692,58190640.95,7283
2017-11-22,46.11,46.25,45.76,45.80,4212746,-0.279,-0.61%,45.712,193450724.44,23045
2017-11-21,45.36,46.325,45.25,46.08,7767059,0.958,2.13%,45.9914,357108860.02,39428
2017-11-20,44.82,45.37,44.64,45.12,4430022,0.439,0.98%,45.0333,199819770.50,23666
2017-11-17,44.33,44.86,44.18,44.68,4272456,0.04,0.09%,44.5941,190602392.64,26770
2017-11-16,44.83,45.28,44.595,44.64,3842352,0.10,0.22%,44.5542,172163466.85,23008
2017-11-15,44.22,45.10,44.00,44.54,6834890,-0.05,-0.11%,44.4544,305009884.75,39008
2017-11-14,44.42,44.72,44.17,44.59,3747501,-0.01,-0.02%,44.5043,166663702.50,27045
2017-11-13,44.00,44.85,43.93,44.60,4225822,0.329,0.75%,44.5143,188077244.10,26820
2017-11-10,44.12,44.50,43.92,44.27,4512049,0.269,0.61%,44.1849,199677786.64,28377
2017-11-09,43.95,44.20,43.325,44.00,4613546,-0.20,-0.45%,43.9154,202373702.78,33832
2017-11-08,44.12,44.379,43.87,44.28,3927882,0.13,0.29%,44.115,173559640.80,24098
2017-11-07,44.71,44.86,43.86,44.15,4318089,-0.498,-1.12%,43.9855,190689733.59,26833
2017-11-06,44.69,44.905,44.43,44.65,2813160,-0.169,-0.38%,44.4837,125566904.45,18549
2017-11-03,44.79,44.89,44.48,44.82,3627495,-0.239,-0.53%,44.653,162170874.90,21944
2017-11-02,44.08,45.3553,43.825,45.06,4980638,0.817,1.85%,44.8921,222752734.04,32334
2017-11-01,45.09,45.315,44.20,44.24,6465722,-0.598,-1.34%,44.0752,288181755.55,37845
2017-10-31,44.78,45.57,44.77,44.84,6398241,-0.01,-0.02%,44.6729,288334120.18,37878
2017-10-30,44.51,44.89,44.47,44.85,3256440,-0.06,-0.13%,44.6829,145668516.68,22205
2017-10-27,45.25,45.31,44.58,44.91,5233009,-0.438,-0.97%,44.7427,235103034.27,29874
2017-10-26,44.74,45.64,44.545,45.35,5767231,0.697,1.57%,45.181,261231837.91,36708
2017-10-25,45.38,45.48,44.215,44.65,5197489,-0.538,-1.19%,44.4837,232281251.17,37772
2017-10-24,44.90,45.32,44.62,45.19,8614602,0.717,1.62%,45.0216,387872239.68,49029
2017-10-23,44.72,44.90,44.25,44.47,6502699,-0.209,-0.47%,44.3043,289096693.02,35622
2017-10-20,43.89,44.865,43.58,44.68,9190582,1.405,3.26%,44.5135,407942574.62,47856
2017-10-19,43.02,43.35,42.20,43.27,4395276,-0.209,-0.48%,43.1088,189728681.45,28079
2017-10-18,43.62,43.69,43.3071,43.48,4309589,0.09,0.21%,43.318,187348620.73,28171
2017-10-17,44.78,44.89,43.34,43.39,7189357,-1.076,-2.43%,43.2283,314249713.35,35588
2017-10-16,44.16,44.75,43.91,44.47,6709512,-0.259,-0.58%,44.3043,297359278.32,42080
2017-10-13,44.80,45.04,44.33,44.73,6821689,-0.299,-0.67%,44.5634,305202966.17,40567
2017-10-12,45.50,45.50,44.93,45.03,5896051,-0.279,-0.62%,44.8622,266500856.63,30956
2017-10-11,45.02,45.45,44.76,45.31,5039997,0.219,0.49%,45.1412,227558465.19,30263
2017-10-10,45.41,45.62,44.86,45.09,7953015,-0.319,-0.70%,44.922,358478333.68,45881
2017-10-09,45.35,45.48,45.11,45.41,5006178,0.07,0.15%,45.2408,227007629.48,28220
2017-10-06,45.62,46.21,44.50,45.34,14787083,0.159,0.35%,45.1711,671387245.31,78373
2017-10-05,44.33,45.29,44.25,45.18,7001352,0.897,2.03%,45.0117,315312489.59,41985
2017-10-04,44.42,44.61,44.14,44.28,4260508,-0.179,-0.40%,44.115,189184180.92,25218
2017-10-03,44.10,44.51,44.01,44.46,5231491,0.418,0.95%,44.2944,231915469.74,30732
2017-10-02,43.82,44.06,43.56,44.04,4642450,0.299,0.69%,43.8759,203681300.72,29893
2017-09-29,43.53,43.96,43.39,43.74,5346806,0.11,0.25%,43.577,233757305.59,29908
