date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,44.74,44.87,44.51,44.60,936653,-0.05,-0.11%,44.60,41785559.94,8383
2018-03-09,44.08,44.685,43.79,44.65,2019069,0.85,1.94%,44.65,89809420.75,9921
2018-03-08,43.83,43.995,43.56,43.80,1340815,-0.01,-0.02%,43.80,58692181.49,11727
2018-03-07,44.17,44.36,43.71,43.81,2784232,-0.58,-1.31%,43.81,122257765.41,16897
2018-03-06,43.94,44.455,43.51,44.39,2621624,0.45,1.02%,44.39,115739597.92,20214
2018-03-05,42.77,44.10,42.75,43.94,4784725,0.83,1.93%,43.94,209342560.94,27953
2018-03-02,41.65,43.18,41.61,43.11,5231362,1.27,3.04%,43.11,223605769.54,24479
2018-03-01,42.22,42.59,41.67,41.84,2925434,-0.37,-0.88%,41.84,122939514.98,25479
2018-02-28,42.19,42.91,42.10,42.37,2837059,0.229,0.55%,42.21,120624026.21,21950
2018-02-27,42.71,43.13,42.14,42.14,1865937,-0.658,-1.54%,41.9809,79480017.55,16773
2018-02-26,42.74,42.97,42.24,42.80,1928747,0.139,0.33%,42.6384,82358424.63,16378
2018-02-23,42.14,42.68,41.98,42.66,1643220,0.717,1.72%,42.4989,69700314.85,12744
2018-02-22,42.30,42.81,41.80,41.94,2734216,-0.259,-0.62%,41.7816,115205715.41,19238
2018-02-21,42.16,42.88,42.16,42.20,1644404,0.13,0.31%,42.0407,69985186.34,14582
2018-02-20,42.41,42.8288,41.96,42.07,1762313,-0.588,-1.38%,41.9111,74514067.16,13640
2018-02-16,42.75,42.905,42.29,42.66,2291694,-0.229,-0.54%,42.4989,97778511.63,17099
2018-02-15,42.75,43.015,42.16,42.89,2440422,0.379,0.89%,42.728,104185126.95,18811
2018-02-14,41.43,42.51,41.43,42.51,3718720,0.787,1.89%,42.3495,156495685.85,24906
2018-02-13,42.16,42.20,41.26,41.72,3141982,-0.797,-1.88%,41.5625,130711911.96,24137
2018-02-12,41.84,42.76,41.26,42.52,6423789,0.857,2.06%,42.3594,271122335.75,36210
2018-02-09,42.96,43.18,40.76,41.66,4418923,-0.956,-2.25%,41.5027,183976034.96,38528
2018-02-08,44.37,45.09,42.60,42.62,4542226,-1.733,-3.92%,42.4591,197776782.35,36747
2018-02-07,44.28,45.1999,43.96,44.36,3915371,0.08,0.18%,44.1925,174560923.40,31922
2018-02-06,43.69,44.47,43.07,44.28,4568421,-0.189,-0.43%,44.1128,200085044.14,38214
2018-02-05,46.05,46.16,44.23,44.47,3948968,-1.743,-3.79%,44.3021,178201414.29,27707
