date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,48.56,48.74,46.97,47.98,3177685,-0.92,-1.88%,47.98,152159626.65,26206
2018-03-09,48.45,49.365,48.32,48.90,1810949,1.04,2.17%,48.90,88703355.20,15637
2018-03-08,49.45,49.45,47.54,47.86,1752475,-1.58,-3.20%,47.86,84299343.48,15488
2018-03-07,48.36,49.71,48.06,49.44,2831521,0.69,1.42%,49.44,138872188.12,24929
2018-03-06,50.40,50.94,48.58,48.75,3628499,-1.60,-3.18%,48.75,178448485.01,27457
2018-03-05,50.78,51.55,50.145,50.35,1536987,-0.72,-1.41%,50.35,77958779.49,14010
2018-03-02,50.93,51.24,49.68,51.07,1216714,-0.53,-1.03%,51.07,61707560.75,12695
2018-03-01,50.28,51.79,49.68,51.60,1505969,1.32,2.63%,51.60,77184814.72,14835
2018-02-28,50.98,51.81,50.25,50.28,1675222,-0.36,-0.71%,50.28,85138325.13,14429
2018-02-27,52.12,53.24,50.635,50.64,1940745,-1.14,-2.20%,50.64,100353651.34,18133
2018-02-26,52.37,52.51,51.43,51.78,1156817,-0.47,-0.90%,51.78,59976405.90,10870
2018-02-23,51.01,52.99,50.98,52.25,2181639,1.54,3.04%,52.25,113690492.22,18489
2018-02-22,50.13,51.33,49.93,50.71,1620311,0.64,1.28%,50.71,82489308.73,15821
2018-02-21,49.74,51.06,49.31,50.07,1415676,0.96,1.95%,50.07,71172655.05,12323
2018-02-20,51.05,51.32,49.01,49.11,2658909,-2.22,-4.32%,49.11,133717325.96,20380
2018-02-16,51.24,52.59,51.24,51.33,1616162,0.09,0.18%,51.33,83698453.82,13256
2018-02-15,51.67,52.06,50.68,51.24,1296248,0.12,0.23%,51.24,66364314.77,11519
2018-02-14,48.88,52.00,48.59,51.12,2610667,2.12,4.33%,51.12,132572816.11,14850
2018-02-13,48.69,49.70,48.27,49.00,968827,0.51,1.05%,49.00,47577281.29,9278
2018-02-12,49.10,49.375,47.19,48.49,1533521,-0.47,-0.96%,48.49,73903333.62,13938
2018-02-09,49.95,50.21,47.04,48.96,1946917,-0.42,-0.85%,48.96,94267503.60,17615
2018-02-08,50.14,51.29,49.36,49.38,1104253,-0.76,-1.52%,49.38,55364440.62,10864
2018-02-07,49.54,51.06,49.46,50.14,1744606,0.64,1.29%,50.14,87701099.38,13244
2018-02-06,47.65,50.00,47.65,49.50,2207185,0.62,1.27%,49.50,108979682.12,20720
2018-02-05,50.65,51.56,48.86,48.88,2396659,-2.49,-4.85%,48.88,120125193.81,22784
2018-02-02,52.52,52.925,50.40,51.37,1965172,-1.27,-2.41%,51.37,100625166.24,18672
2018-02-01,52.52,53.67,51.84,52.64,1087946,0.05,0.10%,52.64,57447491.52,10784
2018-01-31,53.14,53.8272,52.50,52.90,1617611,0.04,0.08%,52.59,85968625.70,13219
2018-01-30,54.29,54.74,52.68,52.86,1276966,-1.869,-3.43%,52.5502,68123868.21,10539
2018-01-29,54.80,55.26,53.81,54.74,998879,-0.557,-1.01%,54.4192,54566674.11,10496
2018-01-26,54.70,55.74,54.251,55.30,1413306,0.537,0.99%,54.9759,77994733.18,11833
2018-01-25,55.90,55.90,54.41,54.76,1448779,-1.153,-2.07%,54.4391,79503047.18,13822
2018-01-24,57.21,58.59,55.85,55.92,1640778,-1.352,-2.37%,55.5923,92974695.21,14296
2018-01-23,55.95,57.33,55.68,57.28,1062730,1.402,2.52%,56.9443,60354751.33,10497
2018-01-22,55.11,56.05,54.01,55.87,1562001,0.795,1.45%,55.5426,86893942.25,13737
2018-01-19,55.80,56.06,54.61,55.07,1902614,-0.915,-1.64%,54.7473,104797354.71,15680
2018-01-18,55.34,56.63,55.25,55.99,1283440,0.348,0.63%,55.6619,71709340.23,11692
2018-01-17,57.11,57.845,55.40,55.64,1766766,-1.143,-2.03%,55.3139,99053870.06,16519
2018-01-16,57.40,58.00,56.02,56.79,2106632,-0.149,-0.26%,56.4572,120043395.18,17636
2018-01-12,54.13,57.81,54.06,56.94,2838449,1.71,3.11%,56.6063,160221544.67,23954
2018-01-11,52.70,56.28,52.39,55.22,5802621,2.515,4.80%,54.8964,318632468.27,42087
2018-01-10,55.70,56.71,51.91,52.69,8792733,-3.877,-6.89%,52.3812,466121364.17,58276
2018-01-09,57.35,58.1416,56.31,56.59,2918770,-0.845,-1.48%,56.2584,166260009.98,22758
2018-01-08,57.17,59.10,57.17,57.44,3947318,0.507,0.90%,57.1034,229217365.51,24037
2018-01-05,56.05,57.20,55.53,56.93,2140562,1.123,2.03%,56.5964,121570350.44,16363
2018-01-04,54.57,56.40,54.29,55.80,2089108,0.994,1.82%,55.473,116037855.55,16417
2018-01-03,55.04,55.53,54.02,54.80,2078087,-0.487,-0.89%,54.4789,113539820.15,15631
2018-01-02,56.74,58.22,54.87,55.29,2423420,-1.253,-2.23%,54.966,135054581.73,22264
2017-12-29,56.32,58.60,56.32,56.55,2421992,0.626,1.13%,56.2186,139299738.81,20625
2017-12-28,56.81,57.03,55.06,55.92,1152361,-0.706,-1.25%,55.5923,64140687.52,12083
2017-12-27,57.86,57.87,56.35,56.63,1260752,-1.103,-1.92%,56.2981,71814718.40,12171
2017-12-26,56.67,59.30,56.67,57.74,2197999,1.133,2.01%,57.4016,127669367.39,18818
2017-12-22,54.99,56.98,54.53,56.60,1671391,0.845,1.52%,56.2683,94208181.02,14976
2017-12-21,54.23,56.145,54.22,55.75,1660839,1.63,3.03%,55.4233,92276980.49,13070
2017-12-20,53.35,54.56,53.01,54.11,1358304,0.855,1.62%,53.7929,73362880.58,12862
2017-12-19,55.15,55.453,53.01,53.25,2338204,-1.66,-3.04%,52.938,125012338.74,17192
2017-12-18,54.12,55.11,53.62,54.92,1873531,1.163,2.18%,54.5982,102152838.90,16688
2017-12-15,53.83,54.95,53.20,53.75,3989784,0.487,0.92%,53.435,215308964.87,24893
2017-12-14,53.82,54.73,53.00,53.26,1440112,-0.626,-1.17%,52.9479,77215779.76,13207
2017-12-13,53.00,54.905,52.70,53.89,2067506,0.865,1.64%,53.5742,111734646.46,18932
2017-12-12,52.91,54.03,52.51,53.02,1517153,0.258,0.49%,52.7093,80707123.36,12850
2017-12-11,53.26,53.715,51.86,52.76,1516245,-0.457,-0.86%,52.4508,80060127.12,13357
2017-12-08,51.10,53.59,51.10,53.22,2415081,1.899,3.72%,52.9081,127666832.95,16646
2017-12-07,51.00,52.80,50.88,51.31,1374151,0.388,0.77%,51.0093,70776315.09,14472
2017-12-06,50.53,51.60,50.33,50.92,1722526,0.487,0.97%,50.6216,87842152.93,15845
2017-12-05,49.97,50.83,49.08,50.43,1962977,0.298,0.60%,50.1345,98620647.60,18759
2017-12-04,51.57,52.58,49.881,50.13,3374799,-1.849,-3.58%,49.8362,170813207.14,28147
2017-12-01,52.65,53.65,51.76,51.99,2729471,-0.298,-0.57%,51.6853,143671806.45,22246
2017-11-30,51.59,53.60,51.59,52.29,5203947,-0.089,-0.17%,51.9836,273305041.30,26219
2017-11-29,52.82,53.87,50.66,52.38,3211447,-0.706,-1.34%,52.0731,166688631.10,28252
2017-11-28,51.85,53.19,51.0101,53.09,2919396,0.835,1.61%,52.7789,152450905.83,26271
2017-11-27,50.25,52.50,49.35,52.25,4214526,2.436,4.92%,51.9438,215926772.21,34765
2017-11-24,52.98,53.069,49.33,49.80,3761599,-3.191,-6.06%,49.5082,190643953.68,27008
2017-11-22,53.56,57.88,52.301,53.01,10380311,0.219,0.42%,52.6994,564091033.25,67564
2017-11-21,59.00,61.06,52.50,52.79,18604145,-22.915,-30.39%,52.4807,1019424134.31,120505
2017-11-20,76.64,76.8988,75.41,75.84,2826655,-0.736,-0.97%,75.3956,215424849.95,27159
2017-11-17,74.95,77.94,74.61,76.58,2848689,2.366,3.21%,76.1312,219122337.24,26933
2017-11-16,73.95,74.6001,71.83,74.20,1787871,0.427,0.58%,73.7652,131878857.30,16305
2017-11-15,72.00,75.57,71.38,73.77,2677405,1.352,1.88%,73.3377,198344384.65,25599
2017-11-14,68.83,72.77,68.82,72.41,2635302,2.903,4.20%,71.9857,188103110.58,26082
2017-11-13,70.72,71.64,68.63,69.49,1490654,-1.312,-1.86%,69.0828,103954432.64,15510
2017-11-10,70.78,72.70,69.95,70.81,1346418,-0.04,-0.06%,70.3951,95679050.90,13127
2017-11-09,67.10,71.24,66.81,70.85,2530573,3.539,5.29%,70.4348,177398137.35,19913
2017-11-08,66.69,68.03,66.23,67.29,1101724,0.457,0.69%,66.8957,74392464.33,11328
2017-11-07,67.59,68.60,65.98,66.83,1447225,-0.666,-0.99%,66.4384,97064573.20,13013
2017-11-06,65.14,68.14,64.65,67.50,1636683,2.098,3.23%,67.1044,110105346.34,14740
2017-11-03,66.37,66.785,65.00,65.39,1985411,-0.994,-1.51%,65.0068,130091784.46,19375
2017-11-02,66.50,67.94,65.50,66.39,1662453,-0.08,-0.12%,66.001,111103489.54,15412
2017-11-01,66.30,68.22,65.33,66.47,1724652,0.895,1.37%,66.0805,115056679.56,15983
2017-10-31,64.29,65.90,63.95,65.57,1418473,1.203,1.88%,65.1858,92642417.77,12328
2017-10-30,66.12,66.12,64.32,64.36,1268101,-2.386,-3.59%,63.9828,82286555.24,11944
2017-10-27,65.57,66.83,63.70,66.76,1273958,0.915,1.40%,66.3688,83520560.36,9774
2017-10-26,65.32,65.9399,64.32,65.84,911715,0.636,0.98%,65.4542,59532574.37,9284
2017-10-25,66.32,66.51,64.11,65.51,994371,-0.999,-1.52%,64.8179,64812974.50,9963
2017-10-24,65.50,66.63,64.90,66.52,1297793,1.306,2.02%,65.8173,85461460.00,11405
2017-10-23,65.78,68.34,65.03,65.20,2077271,-0.752,-1.15%,64.5112,138407187.42,18184
2017-10-20,63.39,66.12,63.39,65.96,2257175,3.018,4.85%,65.2632,147676692.36,19020
2017-10-19,61.19,63.37,61.10,62.91,1383831,1.445,2.38%,62.2454,86567023.37,12232
2017-10-18,61.37,62.62,61.10,61.45,1035182,0.267,0.44%,60.8008,63696234.98,10998
2017-10-17,60.75,61.80,60.75,61.18,1061938,0.574,0.96%,60.5337,65075470.38,9926
2017-10-16,60.02,61.21,60.02,60.60,1029161,0.584,0.98%,59.9598,62299549.98,10411
2017-10-13,61.66,62.1125,59.90,60.01,1607292,-1.563,-2.57%,59.376,97807222.10,15072
2017-10-12,63.72,63.82,61.2042,61.59,2178543,-2.474,-3.90%,60.9393,135222484.26,18033
2017-10-11,66.28,66.69,63.95,64.09,1216176,-2.335,-3.55%,63.4129,78537509.56,10923
2017-10-10,65.46,67.60,65.31,66.45,918630,0.881,1.36%,65.748,61174605.93,8362
2017-10-09,67.56,67.655,65.19,65.56,751102,-1.741,-2.61%,64.8674,49310123.46,8576
2017-10-06,67.40,68.23,67.23,67.32,970785,-0.327,-0.49%,66.6088,65591285.59,7926
2017-10-05,66.90,67.96,65.65,67.65,1000126,0.762,1.15%,66.9353,67159203.99,9942
2017-10-04,67.50,67.725,66.47,66.88,1241269,-0.742,-1.11%,66.1735,83144355.87,10287
2017-10-03,66.25,67.75,65.51,67.63,1181853,1.484,2.27%,66.9155,79414121.87,11851
2017-10-02,66.79,66.93,64.80,66.13,1058518,-0.416,-0.63%,65.4314,69543250.18,9931
2017-09-29,67.37,67.735,66.52,66.55,753150,-0.544,-0.82%,65.8469,50369434.57,8219
2017-09-28,66.61,67.73,66.26,67.10,857793,0.544,0.83%,66.3911,57429436.07,9150
2017-09-27,65.52,66.86,65.19,66.55,1535133,1.088,1.68%,65.8469,101680829.91,13808
2017-09-26,65.28,66.345,65.20,65.45,1351936,-0.237,-0.37%,64.7586,88783122.90,12413
2017-09-25,64.39,65.85,64.171,65.69,1094451,1.286,2.02%,64.996,71714957.92,11129
2017-09-22,64.31,64.69,63.94,64.39,759903,-0.188,-0.29%,63.7098,48878349.30,7810
2017-09-21,64.91,65.62,64.23,64.58,1082005,-0.327,-0.51%,63.8978,70096860.78,10703
2017-09-20,67.45,67.45,64.63,64.91,1986241,-2.167,-3.26%,64.2243,129923106.46,17738
2017-09-19,67.56,67.76,65.60,67.10,1571933,-0.396,-0.59%,66.3911,104777642.12,11914
2017-09-18,69.95,69.95,67.44,67.50,1314038,-2.226,-3.23%,66.7869,89555177.16,10872
2017-09-15,68.60,70.245,68.00,69.75,2703286,0.861,1.26%,69.0131,188158234.68,14447
2017-09-14,68.73,69.46,66.69,68.88,1727000,0.148,0.22%,68.1523,118394536.81,15116
2017-09-13,68.20,69.33,68.20,68.73,1391681,0.425,0.63%,68.0039,95844686.37,12013
2017-09-12,66.61,69.02,66.04,68.30,2163546,2.038,3.11%,67.5785,147263322.73,18462
2017-09-11,65.72,66.79,65.49,66.24,1468731,0.742,1.15%,65.5402,97432709.39,14109
2017-09-08,65.37,65.95,64.575,65.49,1178957,0.594,0.92%,64.7981,77175760.77,12132
2017-09-07,65.93,66.13,64.33,64.89,1579586,-0.772,-1.19%,64.2045,102548825.55,16390
2017-09-06,64.98,65.97,64.54,65.67,1490619,1.098,1.72%,64.9762,97735733.47,12800
2017-09-05,64.37,64.79,62.95,64.56,1702599,0.198,0.31%,63.878,108949258.93,16322
2017-09-01,63.22,64.56,62.80,64.36,1516664,1.276,2.05%,63.6801,96857134.18,14077
2017-08-31,63.28,63.85,62.50,63.07,1372933,0.148,0.24%,62.4037,86739693.77,12418
2017-08-30,62.52,63.64,62.36,62.92,1360953,0.148,0.24%,62.2553,85835931.75,11702
2017-08-29,62.21,63.08,60.91,62.77,1882600,0.079,0.13%,62.1069,117550046.65,15643
2017-08-28,63.69,64.18,61.86,62.69,2379236,0.01,0.02%,62.0277,149872591.43,18963
2017-08-25,62.00,65.22,61.32,62.68,5573384,2.117,3.53%,62.0178,355428536.39,40436
2017-08-24,62.29,63.99,59.92,60.54,12460373,8.559,16.67%,59.9004,773803430.43,71901
2017-08-23,52.02,52.95,51.09,51.89,3010754,-0.257,-0.50%,51.3418,156546719.39,23667
2017-08-22,52.94,53.42,51.84,52.15,1769176,-0.663,-1.27%,51.5991,92638388.07,14537
2017-08-21,53.69,53.99,52.45,52.82,1498633,-0.762,-1.44%,52.262,79421320.68,12671
2017-08-18,53.76,54.43,52.73,53.59,1167552,-0.505,-0.94%,53.0239,62713074.34,11964
2017-08-17,53.71,56.53,52.51,54.10,2027999,0.208,0.39%,53.5285,111137437.90,14576
2017-08-16,53.93,54.32,52.83,53.89,1358882,0.317,0.60%,53.3207,72715395.61,10673
2017-08-15,56.16,56.16,53.15,53.57,2555917,-2.701,-4.85%,53.0041,137563626.75,17958
2017-08-14,57.11,57.60,56.11,56.30,1208234,-0.237,-0.42%,55.7052,68735494.67,10710
2017-08-11,55.42,57.19,55.11,56.54,1477379,0.881,1.60%,55.9427,83417882.80,12533
2017-08-10,59.45,59.55,54.90,55.65,2136060,-4.551,-7.63%,55.0621,120424156.92,17499
2017-08-09,61.42,62.21,59.58,60.25,1547496,-1.732,-2.82%,59.6135,93652614.85,12273
2017-08-08,61.74,62.84,60.69,62.00,1181852,0.03,0.05%,61.345,73181431.69,11966
2017-08-07,60.89,62.03,60.05,61.97,868310,1.098,1.82%,61.3153,53366095.55,8849
2017-08-04,60.10,61.20,60.10,60.86,1046890,0.92,1.55%,60.2171,63635322.76,10092
2017-08-03,58.61,60.351,58.53,59.93,884640,1.039,1.78%,59.2969,52776720.07,10040
2017-08-02,60.91,61.30,58.63,58.88,794632,-2.483,-4.09%,58.258,47217409.30,8781
2017-08-01,61.18,61.72,60.09,61.39,716407,0.228,0.38%,60.7415,43785140.22,6334
2017-07-31,61.63,61.63,60.47,61.16,651331,-0.346,-0.57%,60.5139,39667326.69,6821
2017-07-28,62.25,62.58,60.91,61.51,693700,-0.811,-1.32%,60.8602,42712411.07,6161
2017-07-27,61.00,62.40,60.71,62.33,1158864,1.425,2.36%,61.6715,71689950.71,10422
2017-07-26,61.26,61.35,59.67,60.89,1014246,-0.267,-0.44%,60.2467,61575524.79,9687
2017-07-25,58.52,61.71,58.495,61.47,2003486,3.15,5.49%,60.5139,121517576.60,17454
2017-07-24,58.52,59.1392,57.49,58.27,870357,-0.473,-0.82%,57.3637,50858493.16,7726
2017-07-21,58.92,59.09,58.16,58.75,713719,-0.03,-0.05%,57.8362,41807651.33,6729
2017-07-20,58.73,59.73,58.02,58.78,1078998,0.354,0.62%,57.8657,63661047.09,9927
2017-07-19,57.64,58.79,57.13,58.42,1099635,1.29,2.29%,57.5113,64018030.30,10643
2017-07-18,58.59,59.09,56.20,57.11,1791000,-1.427,-2.48%,56.2217,102486962.54,14021
2017-07-17,59.66,60.68,58.40,58.56,1861223,-1.299,-2.20%,57.6492,109746582.39,16435
2017-07-14,60.64,61.35,59.8401,59.88,1694912,-0.63,-1.06%,58.9486,102778424.70,12639
2017-07-13,59.38,60.77,59.22,60.52,1352693,1.408,2.42%,59.5787,81629043.65,11586
2017-07-12,60.26,60.67,59.03,59.09,1152043,-1.004,-1.70%,58.1709,68512572.08,10659
2017-07-11,60.98,60.98,59.02,60.11,1688572,-0.807,-1.35%,59.175,100677480.14,14247
2017-07-10,61.83,61.83,60.09,60.93,1168129,-1.093,-1.79%,59.9823,71112844.45,9852
2017-07-07,61.48,62.25,60.78,62.04,1294598,0.463,0.76%,61.075,79673417.53,11093
2017-07-06,63.62,64.085,61.31,61.57,1467082,-2.481,-3.93%,60.6123,90827024.61,13475
2017-07-05,63.42,64.29,62.36,64.09,1221057,0.541,0.87%,63.0931,77853259.70,11021
2017-07-03,63.93,64.39,62.59,63.54,1052428,0.295,0.47%,62.5517,66627005.53,8653
2017-06-30,63.68,63.80,62.32,63.24,1299819,-0.453,-0.72%,62.2564,82046992.94,10802
2017-06-29,63.25,65.48,62.33,63.70,1608818,0.64,1.03%,62.7092,102546710.89,12432
2017-06-28,63.22,63.92,62.89,63.05,2051229,0.049,0.08%,62.0693,129525780.31,13478
2017-06-27,60.25,63.71,60.25,63.00,2424829,2.707,4.56%,62.0201,152583228.06,17788
2017-06-26,58.42,60.49,58.041,60.25,1150928,1.811,3.15%,59.3129,69034630.68,10567
2017-06-23,56.69,58.48,55.74,58.41,2735084,1.408,2.51%,57.5015,157763857.15,12309
2017-06-22,56.33,57.43,55.57,56.98,1312126,0.768,1.39%,56.0937,74467288.95,11446
2017-06-21,59.45,59.50,55.62,56.20,2324569,-3.249,-5.55%,55.3259,131891979.39,21100
2017-06-20,60.85,61.09,59.44,59.50,2060732,-1.329,-2.22%,58.5745,123492066.72,16343
2017-06-19,60.52,61.07,60.03,60.85,1837911,0.404,0.68%,59.9035,111246315.76,15476
2017-06-16,59.72,60.45,58.195,60.44,2190005,0.522,0.88%,59.4999,131200120.40,15041
2017-06-15,59.85,60.46,59.05,59.91,1829919,-0.059,-0.10%,58.9782,109595929.53,16677
2017-06-14,59.38,60.15,58.32,59.97,2088329,0.797,1.37%,59.0372,124141936.99,19320
2017-06-13,59.86,60.6799,59.04,59.16,2928497,-0.719,-1.22%,58.2398,174682102.05,24158
2017-06-12,59.48,61.10,58.88,59.89,2796909,0.394,0.67%,58.9585,167746351.36,23729
2017-06-09,57.09,60.33,57.03,59.49,2999913,2.481,4.42%,58.5647,177846398.30,26496
2017-06-08,56.44,58.20,56.12,56.97,2434961,0.847,1.53%,56.0839,138951110.34,21376
2017-06-07,54.24,56.92,53.95,56.11,3573412,2.126,4.00%,55.2373,200511705.09,28078
2017-06-06,51.92,54.39,51.02,53.95,3156272,1.063,2.04%,53.1109,167566650.92,25919
2017-06-05,52.82,53.25,52.59,52.87,2491433,-0.138,-0.26%,52.0477,131767690.81,24515
2017-06-02,52.17,53.35,51.83,53.01,2279747,0.591,1.14%,52.1855,120491821.55,20124
2017-06-01,48.33,52.90,48.12,52.41,5145853,4.243,8.96%,51.5948,265424188.66,36173
2017-05-31,47.85,48.22,46.09,48.10,4064241,0.217,0.46%,47.3519,193312278.29,29421
2017-05-30,49.17,49.61,47.51,47.88,4691032,-1.408,-2.90%,47.1353,226071250.86,37558
2017-05-26,50.15,50.96,48.10,49.31,4941851,-0.975,-1.97%,48.543,243024546.74,38423
2017-05-25,55.25,56.03,49.81,50.30,9345786,-4.164,-7.76%,49.5176,484544078.90,56863
2017-05-24,55.42,55.96,52.86,54.53,4381366,-3.79,-6.59%,53.6818,237354294.65,35587
2017-05-23,59.71,59.87,58.33,58.38,1224527,-1.368,-2.33%,57.472,72254802.62,10073
2017-05-22,58.52,60.09,58.24,59.77,1447030,1.103,1.91%,58.8403,86244299.01,12310
2017-05-19,59.26,59.91,58.25,58.65,1377933,-0.669,-1.15%,57.7378,81189661.55,11447
2017-05-18,59.08,60.58,59.08,59.33,1122455,0.423,0.73%,58.4072,66773329.27,11414
2017-05-17,58.27,59.50,57.87,58.90,1915856,0.374,0.65%,57.9839,112744596.59,15030
2017-05-16,60.15,60.15,58.20,58.52,1327306,-1.644,-2.77%,57.6098,78212946.18,10195
2017-05-15,60.19,60.78,59.59,60.19,1300712,0.059,0.10%,59.2538,78275928.56,9884
2017-05-12,61.32,61.32,59.85,60.13,1030708,-1.526,-2.51%,59.1947,62343412.33,9602
2017-05-11,62.63,62.8335,60.61,61.68,1065100,-1.339,-2.16%,60.7206,65475479.17,10518
2017-05-10,64.93,64.93,62.651,63.04,1327337,-1.88,-2.94%,62.0595,84165506.05,11374
2017-05-09,64.55,65.42,64.01,64.95,651220,0.482,0.76%,63.9398,42311028.72,6550
2017-05-08,65.20,65.30,64.38,64.46,712326,-0.541,-0.85%,63.4574,46172705.62,6504
2017-05-05,64.14,66.16,63.25,65.01,1344289,1.093,1.74%,63.9988,87039509.31,9885
2017-05-04,65.27,65.37,63.88,63.90,516020,-1.093,-1.71%,62.9061,33222745.37,6020
2017-05-03,65.68,66.38,64.76,65.01,701828,-0.66,-1.02%,63.9988,45787281.18,6815
2017-05-02,65.41,65.94,64.88,65.68,1013031,0.276,0.43%,64.6584,66333830.09,9373
