date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,68.73,69.21,67.845,68.09,5226739,-0.69,-1.00%,68.09,356770033.05,37037
2018-03-09,67.29,69.07,67.245,68.78,8309669,2.04,3.06%,68.78,570314753.67,57422
2018-03-08,66.34,66.78,65.78,66.74,6099096,0.51,0.77%,66.74,404857059.32,36077
2018-03-07,65.87,66.50,65.22,66.23,5851897,-0.40,-0.60%,66.23,385948026.90,39685
2018-03-06,66.84,67.12,66.0919,66.63,5131431,0.47,0.71%,66.63,342100764.06,38792
2018-03-05,64.93,66.59,64.91,66.16,5274293,0.69,1.05%,66.16,348105189.28,39936
2018-03-02,64.65,65.715,63.901,65.47,6797168,0.25,0.38%,65.47,440861210.17,46663
2018-03-01,65.49,66.72,65.03,65.22,9673988,-0.42,-0.64%,65.22,635532922.21,63250
2018-02-28,67.39,67.6799,65.62,65.64,10144601,-1.27,-1.90%,65.64,675588164.19,63417
2018-02-27,67.30,69.048,66.86,66.91,8736139,0.18,0.27%,66.91,591239933.60,57463
2018-02-26,67.15,67.27,66.30,66.73,6605022,0.23,0.35%,66.73,440998514.44,43909
2018-02-23,65.30,66.6967,65.07,66.50,7652020,1.54,2.37%,66.50,505921359.88,48753
2018-02-22,64.84,65.97,64.70,64.96,8393763,0.56,0.87%,64.96,547350125.35,53245
2018-02-21,65.35,66.0937,64.38,64.40,7855013,-1.21,-1.84%,64.40,512669205.96,48142
2018-02-20,66.71,67.1999,65.26,65.61,6840734,-0.67,-1.01%,65.61,451091387.28,41816
2018-02-16,66.15,67.29,65.90,66.28,7512502,0.07,0.11%,66.28,499451011.04,49597
2018-02-15,66.25,66.25,64.82,66.21,8844529,0.34,0.52%,66.21,581452470.59,60034
2018-02-14,65.34,66.27,64.57,65.87,13030918,-0.05,-0.08%,65.87,853045760.62,85970
2018-02-13,66.63,66.86,65.68,65.92,7959910,-0.92,-1.38%,65.92,526143308.96,55027
2018-02-12,66.37,67.68,66.27,66.84,11382811,1.65,2.53%,66.84,763013816.30,70872
2018-02-09,68.18,68.37,63.37,65.19,19725618,-2.21,-3.28%,65.19,1288845112.46,119468
2018-02-08,69.80,69.90,67.35,67.40,12185999,-2.35,-3.37%,67.40,831698050.99,73636
2018-02-07,71.15,72.53,69.62,69.75,7344965,-1.29,-1.82%,69.75,519125276.85,60153
2018-02-06,69.51,72.56,69.00,71.04,12391892,0.19,0.27%,71.04,872957835.94,98860
2018-02-05,72.85,74.3807,70.59,71.35,11310341,-2.324,-3.18%,70.85,820600199.81,85667
2018-02-02,74.88,75.25,73.36,73.69,9066579,-1.807,-2.41%,73.1736,673235532.48,63547
2018-02-01,73.79,75.56,73.79,75.51,8671581,1.916,2.62%,74.9808,649465924.12,59311
2018-01-31,74.89,74.9466,73.11,73.58,10198715,-0.953,-1.29%,73.0644,750955607.40,64742
2018-01-30,75.40,75.79,73.93,74.54,11370998,-1.827,-2.41%,74.0176,847442604.15,69886
2018-01-29,77.09,77.405,76.10,76.38,7877852,-1.221,-1.58%,75.8447,604483095.45,48010
2018-01-26,77.69,78.18,77.39,77.61,6055329,0.278,0.36%,77.0661,470715626.09,41080
