date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,99.45,100.12,99.01,99.79,1115684,0.18,0.18%,99.79,111204056.65,10685
2018-03-09,99.71,99.77,97.80,99.61,799569,0.14,0.14%,99.61,79224039.04,9318
2018-03-08,100.50,100.50,99.16,99.47,761608,-0.61,-0.61%,99.47,75890113.85,7332
2018-03-07,99.33,100.56,98.88,100.08,996531,0.25,0.25%,100.08,99718832.18,7989
2018-03-06,98.34,99.93,97.81,99.83,698881,1.42,1.44%,99.83,69408003.70,7859
2018-03-05,96.73,99.24,96.52,98.41,1354153,0.56,0.57%,98.41,133332993.20,9296
2018-03-02,96.29,97.91,95.25,97.85,1015160,1.18,1.22%,97.85,98261990.91,11121
2018-03-01,96.39,98.15,95.59,96.67,1233692,-0.25,-0.26%,96.67,119498973.72,13033
2018-02-28,96.44,98.43,95.95,96.92,1467199,1.03,1.07%,96.92,142656443.95,10910
2018-02-27,98.22,98.95,95.85,95.89,959204,-2.17,-2.21%,95.89,92679501.00,10954
2018-02-26,97.93,98.11,97.00,98.06,556776,0.44,0.45%,98.06,54401176.54,6261
2018-02-23,96.50,97.67,95.41,97.62,431887,1.71,1.78%,97.62,41860930.36,5040
2018-02-22,94.66,97.15,94.56,95.91,885990,1.41,1.49%,95.91,85308450.86,9526
2018-02-21,96.03,97.35,94.49,94.50,1382164,-1.75,-1.82%,94.50,132005933.56,10834
2018-02-20,95.86,97.51,95.78,96.25,1043264,0.05,0.05%,96.25,100818167.11,8922
2018-02-16,95.47,96.63,95.38,96.20,639791,0.66,0.69%,96.20,61516856.02,6519
2018-02-15,94.13,95.97,93.86,95.54,1040004,1.75,1.87%,95.54,99307028.35,9999
2018-02-14,93.12,94.43,92.03,93.79,1124675,-0.03,-0.03%,93.79,105237579.62,10340
2018-02-13,92.66,94.27,91.91,93.82,921313,1.13,1.22%,93.82,85903274.79,9133
2018-02-12,92.31,93.20,89.62,92.69,996285,0.51,0.55%,92.69,91483583.19,10055
2018-02-09,91.15,93.05,89.46,92.18,1761105,1.57,1.73%,92.18,161199403.60,12959
2018-02-08,92.66,94.18,90.61,90.61,1376334,-2.25,-2.42%,90.61,126985773.25,13829
2018-02-07,93.18,94.75,92.78,92.86,1100825,-0.59,-0.63%,92.86,102949649.37,11568
2018-02-06,92.32,94.705,91.20,93.45,2448717,-0.19,-0.20%,93.45,227243347.14,24347
2018-02-05,97.69,97.86,93.64,93.64,1788310,-4.43,-4.52%,93.64,170700058.73,17840
2018-02-02,98.80,99.42,97.41,98.07,1426507,-1.43,-1.44%,98.07,140279789.73,13435
2018-02-01,100.47,100.985,98.97,99.50,1202948,-1.02,-1.01%,99.50,119798719.88,12216
2018-01-31,98.56,100.56,98.25,100.52,1612494,2.33,2.37%,100.52,161017244.40,15684
2018-01-30,98.38,98.99,97.80,98.19,1350870,-0.28,-0.28%,98.19,132698830.70,13429
2018-01-29,97.89,98.98,96.98,98.47,1288918,0.55,0.56%,98.47,126546123.91,12959
2018-01-26,98.11,99.25,96.405,97.92,987339,1.43,1.48%,97.92,96432324.92,11119
2018-01-25,96.01,97.09,94.595,96.49,1111095,-0.49,-0.51%,96.49,106633193.80,10468
2018-01-24,97.14,97.61,96.50,96.98,980037,-0.17,-0.17%,96.98,94967676.70,9444
2018-01-23,96.18,97.21,95.99,97.15,830588,1.19,1.24%,97.15,80489665.07,9427
2018-01-22,93.88,96.13,93.88,95.96,1183588,2.05,2.18%,95.96,112904046.51,10689
2018-01-19,94.18,94.725,92.95,93.91,1699843,-0.20,-0.21%,93.91,158891313.26,10593
2018-01-18,95.12,95.12,93.99,94.11,858522,-0.96,-1.01%,94.11,80932150.36,8700
