date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,43.62,43.89,43.485,43.82,5337279,0.06,0.14%,43.82,233316525.54,27830
2018-03-09,43.44,43.76,43.31,43.76,5335382,0.35,0.81%,43.76,232356558.36,30713
2018-03-08,43.70,43.94,43.35,43.41,6059678,-0.26,-0.60%,43.41,263617056.44,32120
2018-03-07,44.07,44.24,43.47,43.67,6400406,-0.43,-0.98%,43.67,279705793.91,37255
2018-03-06,44.90,44.90,44.02,44.10,6080579,-0.74,-1.65%,44.10,269653588.42,33517
2018-03-05,44.12,45.10,44.04,44.84,10168230,0.64,1.45%,44.84,455218773.95,48471
2018-03-02,43.98,44.67,43.58,44.20,8117433,0.22,0.50%,44.20,357941284.64,45068
2018-03-01,43.08,44.22,43.08,43.98,9698336,0.92,2.14%,43.98,425145247.25,61497
2018-02-28,43.44,43.54,42.93,43.06,7518605,-0.34,-0.78%,43.06,324371897.40,40138
2018-02-27,44.01,44.32,43.40,43.40,6709520,-0.63,-1.43%,43.40,293426666.57,36017
2018-02-26,44.29,44.50,43.86,44.03,6777659,-0.04,-0.09%,44.03,299058449.14,33639
2018-02-23,43.02,44.22,42.99,44.07,5647999,1.05,2.44%,44.07,247535326.60,30976
2018-02-22,42.92,43.43,42.38,43.02,7088792,0.10,0.23%,43.02,305029663.53,40299
2018-02-21,43.58,43.851,42.91,42.92,8576278,-0.55,-1.27%,42.92,371189013.34,45482
2018-02-20,43.74,43.9201,43.19,43.47,8368539,-0.46,-1.05%,43.47,363652468.84,42327
2018-02-16,43.98,44.06,43.51,43.93,7861120,-0.05,-0.11%,43.93,344916529.29,42720
2018-02-15,43.85,44.57,43.73,44.56,8512282,0.967,2.25%,43.98,377250863.30,42742
2018-02-14,44.35,44.43,43.56,43.58,8010336,-1.026,-2.33%,43.0128,352287031.54,39076
2018-02-13,44.58,44.835,44.10,44.62,6832417,-0.059,-0.13%,44.0392,304021847.44,36099
2018-02-12,44.33,44.87,43.97,44.68,7209660,0.345,0.79%,44.0984,320608526.23,41933
2018-02-09,43.38,44.65,43.30,44.33,11018623,0.918,2.14%,43.753,483869771.98,76467
2018-02-08,43.20,44.05,43.03,43.40,9475716,0.059,0.14%,42.8351,413792009.77,56691
2018-02-07,43.39,43.93,43.184,43.34,10125322,-0.148,-0.34%,42.7759,440854707.45,54556
2018-02-06,43.34,43.88,42.63,43.49,14707719,-0.227,-0.53%,42.9239,635670836.17,89938
2018-02-05,44.23,44.72,43.52,43.72,9907362,-0.444,-1.02%,43.1509,436218444.15,54715
2018-02-02,44.20,44.53,44.02,44.17,7211562,-0.207,-0.47%,43.5951,318760054.85,36002
2018-02-01,45.11,45.30,44.22,44.38,9120735,-0.72,-1.62%,43.8023,405944916.36,46648
2018-01-31,44.75,45.15,44.51,45.11,9355218,0.306,0.69%,44.5228,419965212.86,45248
2018-01-30,43.98,44.92,43.98,44.80,8254735,0.799,1.84%,44.2169,368442040.10,41525
2018-01-29,44.17,44.21,43.85,43.99,5900427,-0.316,-0.72%,43.4174,259868783.19,29769
2018-01-26,44.65,44.84,43.98,44.31,8851912,-0.306,-0.69%,43.7333,391556652.71,40397
2018-01-25,44.08,44.69,44.03,44.62,6763841,0.533,1.23%,44.0392,300169591.29,36562
2018-01-24,44.44,44.59,44.08,44.08,8133010,-0.385,-0.88%,43.5063,359609349.09,37269
2018-01-23,43.67,44.75,43.16,44.47,10273664,0.424,0.98%,43.8912,455758186.54,38705
2018-01-22,44.61,44.72,43.97,44.04,9649525,-0.395,-0.90%,43.4668,427389089.93,36314
2018-01-19,44.99,45.07,44.405,44.44,8808602,-0.454,-1.02%,43.8616,393145374.72,35529
2018-01-18,44.97,45.14,44.26,44.90,9885110,-0.148,-0.33%,44.3156,441722437.17,45439
2018-01-17,44.62,45.28,44.56,45.05,10598358,0.385,0.87%,44.4636,477200512.09,52576
2018-01-16,44.94,45.15,44.31,44.66,9767041,-0.178,-0.40%,44.0787,436115140.89,45921
2018-01-12,45.08,45.365,44.44,44.84,8591236,-0.405,-0.91%,44.2564,386241154.00,41863
2018-01-11,45.65,45.84,45.08,45.25,6867825,-0.701,-1.54%,44.661,311867658.54,37280
2018-01-10,46.46,46.51,45.811,45.96,7197008,-0.642,-1.39%,45.3618,331401879.66,35634
2018-01-09,47.20,47.25,46.5809,46.61,5694549,-0.582,-1.25%,46.0033,266282925.37,26528
2018-01-08,46.90,47.23,46.73,47.20,7945474,0.415,0.90%,46.5856,373407252.05,33151
2018-01-05,46.79,46.95,46.44,46.78,6120474,0.079,0.17%,46.1711,285646248.95,30959
2018-01-04,46.89,47.09,46.58,46.70,5231497,-0.197,-0.43%,46.0922,245078710.56,29242
2018-01-03,47.05,47.37,46.84,46.90,6292814,-0.266,-0.57%,46.2895,295893645.66,32514
2018-01-02,48.01,48.07,46.96,47.17,7278829,-0.908,-1.91%,46.556,343940028.58,31608
2017-12-29,48.35,48.47,48.01,48.09,3632869,-0.188,-0.39%,47.4641,174878012.55,18522
2017-12-28,48.09,48.44,48.08,48.28,2994467,0.227,0.48%,47.6516,144384859.15,17515
2017-12-27,48.05,48.27,47.92,48.05,4185675,0.00,0.00%,47.4246,201237622.76,22634
2017-12-26,48.51,48.75,48.02,48.05,3961511,-0.444,-0.93%,47.4246,191460872.47,22579
2017-12-22,49.42,49.54,48.48,48.50,7877193,-0.977,-2.00%,47.8687,384182675.94,39278
2017-12-21,49.68,50.30,49.42,49.49,10331211,-0.444,-0.90%,48.8458,513501994.98,47337
2017-12-20,49.83,50.05,49.63,49.94,7125718,0.128,0.26%,49.29,355648433.27,33698
2017-12-19,50.49,50.5958,49.78,49.81,7315001,-0.73,-1.46%,49.1617,365364878.62,30426
2017-12-18,51.27,51.49,50.47,50.55,5331834,-0.75,-1.48%,49.892,270370802.63,29766
2017-12-15,51.88,52.00,51.22,51.31,9391314,-0.207,-0.41%,50.6421,484702779.56,27398
2017-12-14,51.35,51.70,51.03,51.52,4534821,-0.158,-0.31%,50.8494,233528375.54,26843
2017-12-13,51.35,51.925,51.27,51.68,5115794,0.484,0.96%,51.0073,264139867.79,30307
2017-12-12,51.56,51.88,51.17,51.19,4031877,-0.484,-0.95%,50.5237,207242872.55,25474
2017-12-11,50.93,51.75,50.93,51.68,5095357,0.612,1.21%,51.0073,262111726.90,25083
2017-12-08,51.22,51.43,50.93,51.06,4791379,-0.266,-0.53%,50.3954,244891352.74,25670
2017-12-07,50.78,51.34,50.45,51.33,6637859,0.434,0.86%,50.6619,338761620.63,30259
2017-12-06,50.46,50.95,50.42,50.89,4041575,0.523,1.05%,50.2276,205038472.16,23357
2017-12-05,50.33,50.50,49.6995,50.36,5578158,0.03,0.06%,49.7045,280248331.37,33601
2017-12-04,51.37,51.46,50.23,50.33,5505002,-0.77,-1.53%,49.6749,278897791.40,31884
2017-12-01,51.45,51.54,50.8399,51.11,4709948,-0.089,-0.18%,50.4448,240697399.25,29716
2017-11-30,51.21,51.50,51.07,51.20,5499764,0.109,0.22%,50.5336,281804156.52,24126
2017-11-29,51.28,51.3681,50.795,51.09,5099212,-0.395,-0.78%,50.425,260271240.63,29982
2017-11-28,51.60,51.665,51.19,51.49,4185942,-0.069,-0.14%,50.8198,215301193.35,21827
2017-11-27,51.41,51.66,51.23,51.56,3981262,0.168,0.33%,50.8889,205245207.61,23671
2017-11-24,51.40,51.66,51.36,51.39,1155785,0.03,0.06%,50.7211,59489526.47,8138
2017-11-22,51.36,51.44,51.1244,51.36,2642981,0.059,0.12%,50.6915,135627775.95,17509
2017-11-21,51.26,51.49,51.18,51.30,2591995,0.118,0.23%,50.6323,132974200.90,17599
2017-11-20,51.05,51.32,50.97,51.18,2950609,0.207,0.41%,50.5138,150912806.86,18374
2017-11-17,51.37,51.63,50.95,50.97,5389150,-0.385,-0.76%,50.3066,275708003.23,25237
2017-11-16,51.95,52.03,51.58,51.94,4356095,0.02,0.04%,50.6915,225971983.80,21725
2017-11-15,52.34,52.6496,51.85,51.92,3589438,-0.381,-0.75%,50.672,186807864.16,23447
2017-11-14,51.71,52.34,51.6466,52.31,3890000,0.478,0.95%,51.0526,202916509.03,21452
2017-11-13,51.45,51.99,51.40,51.82,2780219,0.449,0.90%,50.5744,143962041.84,19639
2017-11-10,51.73,51.73,51.32,51.36,3501819,-0.634,-1.25%,50.1254,180276293.00,22823
2017-11-09,51.75,52.02,51.555,52.01,3633205,0.234,0.46%,50.7598,188378463.86,24416
2017-11-08,51.74,52.00,51.24,51.77,5424971,0.049,0.10%,50.5256,279809675.04,29374
2017-11-07,51.72,51.99,51.31,51.72,5454060,0.068,0.14%,50.4768,282172115.36,33553
2017-11-06,52.34,52.3466,51.56,51.65,5631894,-0.771,-1.51%,50.4085,291772281.50,33433
2017-11-03,53.09,53.51,52.42,52.44,4842597,-0.791,-1.52%,51.1795,255928466.96,29640
2017-11-02,52.38,53.27,52.20,53.25,6568547,1.142,2.25%,51.97,348006290.30,37909
2017-11-01,52.40,52.40,51.76,52.08,3957610,-0.117,-0.23%,50.8281,206004784.71,26851
2017-10-31,52.02,52.28,51.88,52.20,4721096,0.107,0.21%,50.9452,246068801.71,22871
2017-10-30,52.04,52.17,51.83,52.09,3346010,0.00,0.00%,50.8379,174110242.67,19428
2017-10-27,51.98,52.30,51.82,52.09,3179048,0.029,0.06%,50.8379,165504901.14,19864
2017-10-26,52.35,52.59,52.005,52.06,3501756,-0.156,-0.31%,50.8086,182659527.94,20620
2017-10-25,52.18,52.33,51.69,52.22,3951850,-0.146,-0.29%,50.9648,205689449.42,26796
2017-10-24,52.10,52.41,51.90,52.37,4889300,0.166,0.33%,51.1111,255549282.68,25172
2017-10-23,52.14,52.28,51.96,52.20,3000007,-0.01,-0.02%,50.9452,156445124.04,17910
