date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,156.72,157.80,156.11,156.74,2259690,0.17,0.11%,156.74,354372564.77,19100
2018-03-09,156.14,156.79,154.15,156.57,1376266,0.29,0.19%,156.57,214069421.87,15087
2018-03-08,156.18,157.05,155.17,156.28,1201691,0.36,0.23%,156.28,187869412.38,13283
2018-03-07,156.68,158.49,155.26,155.92,1461896,-1.71,-1.08%,155.92,228198987.72,15683
2018-03-06,156.75,158.18,156.03,157.63,1472017,0.17,0.11%,157.63,231735682.47,16979
2018-03-05,154.37,158.67,154.37,157.46,1610266,1.94,1.25%,157.46,253403529.92,19032
2018-03-02,154.77,155.74,153.12,155.52,1566075,0.58,0.37%,155.52,242457238.31,16762
2018-03-01,153.30,156.885,152.8901,154.94,1655159,1.43,0.93%,154.94,256754820.16,20384
2018-02-28,154.68,155.82,153.38,153.51,2076066,-0.42,-0.27%,153.51,320002529.57,17469
2018-02-27,160.11,161.08,153.93,153.93,1944287,-5.14,-3.23%,153.93,302948552.00,21551
2018-02-26,157.15,159.15,156.50,159.07,1451846,2.41,1.54%,159.07,229603946.76,15426
2018-02-23,154.44,156.66,153.88,156.66,1071009,2.63,1.71%,156.66,166944891.27,11384
2018-02-22,152.04,155.96,152.04,154.03,1602912,2.73,1.80%,154.03,247563189.67,17229
2018-02-21,155.00,155.69,151.28,151.30,1657113,-4.29,-2.76%,151.30,253277026.91,18639
2018-02-20,155.97,157.40,155.53,155.59,1516642,-0.50,-0.32%,155.59,236896483.52,16692
2018-02-16,156.01,157.54,155.49,156.09,1909869,-0.06,-0.04%,156.09,298520104.97,19029
2018-02-15,154.57,156.6674,153.86,156.15,1692440,2.06,1.34%,156.15,263389701.75,19208
2018-02-14,154.66,155.03,151.31,154.09,2092528,-1.40,-0.90%,154.09,321374844.55,20989
2018-02-13,154.56,156.10,153.50,155.49,1481858,0.64,0.41%,155.49,229822160.39,16167
2018-02-12,157.33,157.84,152.36,156.80,2338537,-0.395,-0.25%,154.85,363265833.01,27070
2018-02-09,152.89,158.47,151.27,157.20,3211691,4.958,3.30%,155.2451,498690788.33,31681
2018-02-08,154.39,156.87,152.14,152.18,2940126,-2.647,-1.73%,150.2875,453257374.40,31397
2018-02-07,155.79,158.50,154.76,154.86,2055725,-1.106,-0.72%,152.9342,320747225.18,22501
2018-02-06,154.16,156.09,152.13,155.98,3469694,0.849,0.55%,154.0402,535036127.46,38114
2018-02-05,155.68,159.18,154.36,155.12,2678627,-1.383,-0.89%,153.1909,419031325.47,26843
2018-02-02,159.19,160.00,155.70,156.52,3166161,-3.091,-1.96%,154.5735,497676505.89,29468
2018-02-01,163.61,164.83,159.30,159.65,2652727,-3.674,-2.28%,157.6646,425829221.85,20080
2018-01-31,159.97,163.67,158.56,163.37,3259452,0.751,0.47%,161.3383,527576840.09,25316
2018-01-30,162.81,163.47,161.26,162.61,2145028,-0.306,-0.19%,160.5878,347826674.28,18795
2018-01-29,163.43,163.79,161.83,162.92,1678637,-0.78,-0.48%,160.8939,273342187.05,16148
2018-01-26,164.85,165.36,163.02,163.71,1574717,-0.484,-0.30%,161.6741,257865984.01,15469
2018-01-25,165.58,166.23,162.60,164.20,1476861,-1.876,-1.14%,162.158,242034063.87,14435
2018-01-24,166.65,167.16,164.77,166.10,1802212,-0.227,-0.14%,164.0344,298621357.85,19132
2018-01-23,166.93,169.28,165.59,166.33,2863969,0.227,0.14%,164.2615,477852296.86,22522
2018-01-22,164.28,166.83,164.07,166.10,1751645,1.837,1.13%,164.0344,290313881.52,17496
2018-01-19,164.91,165.285,163.03,164.24,1805213,-0.01,-0.01%,162.1975,296712457.37,15380
2018-01-18,167.03,167.63,163.75,164.25,1947562,-3.111,-1.88%,162.2074,320607321.46,20710
2018-01-17,165.72,167.96,164.62,167.40,1699268,2.331,1.43%,165.3182,283732618.34,16069
2018-01-16,165.92,168.10,164.90,165.04,1449412,-0.464,-0.28%,162.9876,240623309.91,15277
2018-01-12,165.01,165.97,164.3676,165.51,1238631,0.672,0.41%,163.4517,205014981.44,12826
2018-01-11,165.25,165.49,164.06,164.83,1494603,-0.148,-0.09%,162.7802,246378903.17,15523
2018-01-10,164.68,165.12,162.77,164.98,1339538,-0.543,-0.33%,162.9283,220062639.43,15052
2018-01-09,168.91,169.41,165.13,165.53,1720886,-3.674,-2.20%,163.4715,286277806.40,16618
2018-01-08,168.96,170.17,168.34,169.25,1874939,1.086,0.65%,167.1452,317320580.54,15220
2018-01-05,167.05,168.369,166.37,168.15,2126503,1.531,0.93%,166.0589,356954444.83,18455
2018-01-04,171.49,171.49,166.54,166.60,2159477,-4.958,-2.93%,164.5282,362901271.65,21608
2018-01-03,172.10,172.61,169.85,171.62,1849302,-0.79,-0.46%,169.4857,316578455.02,15327
2018-01-02,172.34,173.02,170.34,172.42,1442874,0.672,0.40%,170.2758,248617606.31,14596
2017-12-29,171.32,172.35,170.36,171.74,1190860,0.583,0.34%,169.6042,204552861.11,11408
2017-12-28,170.84,171.43,169.92,171.15,994954,0.375,0.22%,169.0216,170148566.02,11958
2017-12-27,169.82,171.25,169.13,170.77,1617650,1.392,0.83%,168.6463,276096312.29,15653
2017-12-26,167.25,169.99,166.66,169.36,1103036,2.262,1.37%,167.2538,186606601.74,12586
2017-12-22,164.42,167.81,164.00,167.07,2015582,2.341,1.44%,164.9923,335664744.80,14025
2017-12-21,164.50,164.92,163.80,164.70,1098472,0.711,0.44%,162.6518,180628258.31,11415
2017-12-20,167.82,169.00,163.90,163.98,2263533,-4.385,-2.64%,161.9407,374376565.19,16906
2017-12-19,169.80,170.47,167.26,168.42,1569509,-1.383,-0.82%,166.3255,264404127.18,15371
2017-12-18,167.97,170.93,167.90,169.82,1688966,1.985,1.20%,167.7081,286822879.75,15983
2017-12-15,166.89,169.11,166.235,167.81,3053308,2.153,1.32%,165.7231,512140364.21,19850
2017-12-14,166.57,167.78,165.29,165.63,1342814,-0.198,-0.12%,163.5702,223378192.55,14740
2017-12-13,166.77,168.34,165.20,165.83,1878268,-0.514,-0.31%,163.7677,311938936.56,16928
2017-12-12,166.00,167.30,163.475,166.35,4140471,4.039,2.52%,164.2813,687293459.11,30916
2017-12-11,162.30,163.33,161.66,162.26,1122277,0.01,0.01%,160.2421,182194304.32,12051
2017-12-08,161.86,162.74,160.7384,162.25,1423758,0.178,0.11%,160.2323,230155579.18,12845
2017-12-07,162.07,163.13,161.695,162.07,1137931,-0.681,-0.42%,160.0545,184811803.85,10873
2017-12-06,162.86,163.93,161.7839,162.76,1311046,0.01,0.01%,160.7359,213197903.27,15499
2017-12-05,164.24,164.24,162.07,162.75,2010502,-0.909,-0.56%,160.726,327310732.86,17574
2017-12-04,163.195,164.20,162.29,163.67,2498753,1.304,0.81%,161.6346,408442302.31,22764
2017-12-01,162.20,162.79,160.975,162.35,1725120,0.593,0.37%,160.331,279735386.22,17432
2017-11-30,159.35,162.32,158.86,161.75,2655144,2.982,1.90%,159.7385,428224584.81,21943
2017-11-29,156.05,159.98,155.51,158.73,2627293,2.578,1.67%,156.756,416729650.32,19889
