date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,279.20,279.91,278.0801,278.52,71924793,-0.35,-0.13%,278.52,20056730131.56,242963
2018-03-09,275.70,278.87,275.34,278.87,113625335,4.77,1.74%,278.87,31533602940.08,334912
2018-03-08,273.55,274.24,272.42,274.10,66901150,1.32,0.48%,274.10,18287795502.49,259822
2018-03-07,270.42,273.18,270.20,272.78,87063502,-0.10,-0.04%,272.78,23649771575.96,318136
2018-03-06,273.30,273.39,271.18,272.88,79213163,0.69,0.25%,272.88,21575531994.65,295498
2018-03-05,267.73,272.89,267.61,272.19,97307387,3.11,1.16%,272.19,26358387852.46,356242
2018-03-02,265.80,269.72,264.82,269.08,139083217,1.38,0.52%,269.08,37159143894.91,540430
2018-03-01,271.41,273.17,266.00,267.70,176855077,-3.95,-1.45%,267.70,47559318702.39,620295
2018-02-28,275.68,276.19,271.29,271.65,121907767,-2.78,-1.01%,271.65,33361810791.27,402197
2018-02-27,278.11,278.92,274.36,274.43,99099165,-3.47,-1.25%,274.43,27388325006.02,364249
2018-02-26,275.93,278.01,275.26,277.90,86491406,3.19,1.16%,277.90,23948522029.62,281800
2018-02-23,271.79,274.71,271.25,274.71,92766428,4.31,1.59%,274.71,25340728228.97,321920
2018-02-22,271.10,273.05,269.64,270.40,110511290,0.35,0.13%,270.40,29950005851.25,404227
2018-02-21,271.90,274.72,269.94,270.05,98883740,-1.35,-0.50%,270.05,26931203342.16,392254
2018-02-20,272.03,273.67,270.50,271.40,86369662,-1.71,-0.63%,271.40,23495492319.41,339897
2018-02-16,272.32,275.32,272.27,273.11,160420135,0.08,0.03%,273.11,43884125786.40,424982
2018-02-15,271.57,273.04,268.77,273.03,111200286,3.44,1.28%,273.03,30165809657.33,423213
2018-02-14,264.31,270.00,264.30,269.59,120735685,3.59,1.35%,269.59,32328716562.31,528181
2018-02-13,263.97,266.62,263.31,266.00,81223640,0.66,0.25%,266.00,21529647371.85,375379
2018-02-12,263.83,267.01,261.6644,265.34,143735976,3.84,1.47%,265.34,38048019326.74,609802
2018-02-09,260.80,263.61,252.92,261.50,283565315,3.87,1.50%,261.50,73211947038.98,1201538
2018-02-08,268.01,268.17,257.59,257.63,246449505,-10.04,-3.75%,257.63,64723736434.41,932887
2018-02-07,268.50,272.36,267.58,267.67,167376100,-1.46,-0.54%,267.67,45135543626.44,741997
2018-02-06,259.94,269.70,258.70,269.13,355026782,5.20,1.97%,269.13,93990841145.95,1527389
2018-02-05,273.45,275.85,263.31,263.93,294681816,-11.52,-4.18%,263.93,79543535379.29,1178565
2018-02-02,280.08,280.23,275.41,275.45,173174790,-6.13,-2.18%,275.45,48020507376.07,548621
2018-02-01,281.07,283.06,280.68,281.58,90102470,-0.32,-0.11%,281.58,25383103897.04,304908
2018-01-31,282.73,283.30,280.68,281.90,118948131,0.14,0.05%,281.90,33529342177.31,363005
2018-01-30,282.60,284.736,281.22,281.76,131796419,-2.92,-1.03%,281.76,37182292251.56,383528
2018-01-29,285.93,286.43,284.50,284.68,90118337,-1.90,-0.66%,284.68,25712881129.39,286719
