date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,64.71,65.15,64.39,64.87,599346,0.20,0.31%,64.87,38852130.97,6194
2018-03-09,64.25,64.70,63.63,64.67,1292624,0.86,1.35%,64.67,83135408.57,8380
2018-03-08,63.92,63.92,63.42,63.81,763233,0.05,0.08%,63.81,48634938.54,6737
2018-03-07,62.86,63.81,62.67,63.76,1027322,0.64,1.01%,63.76,65161327.05,7496
2018-03-06,63.21,63.21,62.43,63.12,950269,0.12,0.19%,63.12,59788114.58,7841
2018-03-05,60.91,63.02,60.91,63.00,1079251,1.68,2.74%,63.00,67334552.99,10286
2018-03-02,61.79,61.9403,60.93,61.32,1019957,-0.72,-1.16%,61.32,62642028.96,11063
2018-03-01,62.68,62.81,61.90,62.04,1381909,-0.63,-1.01%,62.04,86125174.78,12510
2018-02-28,62.58,63.47,62.03,62.67,1483478,0.13,0.21%,62.67,93310015.56,12648
2018-02-27,61.72,62.85,61.55,62.54,2714532,0.63,1.02%,62.54,168890566.78,20949
2018-02-26,60.56,61.98,60.11,61.91,1762675,1.86,3.10%,61.91,107906625.56,13368
2018-02-23,60.57,60.60,58.53,60.05,2805091,-0.58,-0.96%,60.05,167063219.84,22819
2018-02-22,68.26,68.26,60.06,60.63,7423286,-14.28,-19.06%,60.63,460781237.29,53625
2018-02-21,75.41,76.64,74.81,74.91,964419,-0.31,-0.41%,74.91,72821222.55,9054
2018-02-20,75.83,76.53,74.98,75.22,1238555,-0.80,-1.05%,75.22,93536361.00,6772
2018-02-16,75.50,76.73,75.50,76.02,840472,0.40,0.53%,76.02,63962660.82,6854
2018-02-15,74.68,75.88,74.05,75.62,615695,1.33,1.79%,75.62,46355448.13,6287
2018-02-14,71.94,74.87,71.63,74.29,769052,2.12,2.94%,74.29,56776146.00,8491
2018-02-13,71.99,72.60,71.13,72.17,647572,0.80,1.12%,72.17,46614197.29,6067
2018-02-12,70.51,71.68,70.09,71.37,522124,1.22,1.74%,71.37,37144932.03,5582
2018-02-09,71.32,71.44,68.40,70.15,943853,-0.40,-0.57%,70.15,65686360.33,9851
2018-02-08,72.99,73.20,70.53,70.55,1070512,-2.29,-3.14%,70.55,76978445.41,10142
2018-02-07,71.26,73.45,71.00,72.84,1318577,1.53,2.15%,72.84,96168753.41,9670
2018-02-06,69.91,71.91,69.26,71.31,1148985,0.59,0.83%,71.31,81282241.41,12097
