date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,108.87,109.95,108.34,109.75,2270723,0.67,0.61%,109.75,248607825.58,17770
2018-03-09,110.02,110.38,108.29,109.08,2497816,-0.71,-0.65%,109.08,272199001.53,15834
2018-03-08,108.71,110.20,108.57,109.79,1845052,1.23,1.13%,109.79,202180366.42,15571
2018-03-07,109.02,109.73,107.78,108.56,1335092,-0.80,-0.73%,108.56,144852021.47,11064
2018-03-06,110.68,111.85,108.97,109.36,1478822,-1.33,-1.20%,109.36,162057588.77,12975
2018-03-05,107.14,111.13,106.64,110.69,1955333,3.60,3.36%,110.69,215255521.89,18735
2018-03-02,107.57,108.71,105.84,107.09,1284431,-0.55,-0.51%,107.09,137348134.62,12617
2018-03-01,109.08,110.12,107.205,107.64,1903142,-1.34,-1.23%,107.64,205963329.39,20080
2018-02-28,110.33,110.60,108.71,108.98,1693259,-1.06,-0.96%,108.98,185469243.35,15730
2018-02-27,110.99,111.31,108.37,110.04,3101839,0.53,0.48%,110.04,341541528.83,25699
2018-02-26,109.46,110.01,108.80,109.51,4029309,-0.06,-0.05%,109.51,440635815.74,17414
2018-02-23,106.88,109.64,106.88,109.57,1514052,2.93,2.75%,109.57,164836314.41,14455
2018-02-22,105.96,107.49,105.06,106.64,1990627,1.21,1.15%,106.64,212576790.01,14122
2018-02-21,107.52,108.18,105.38,105.43,2563248,-2.11,-1.96%,105.43,273593909.30,14867
2018-02-20,108.61,109.205,106.71,107.54,2287528,-1.47,-1.35%,107.54,245948511.69,12188
2018-02-16,107.73,109.305,107.54,109.01,1328453,1.03,0.95%,109.01,144375540.06,12174
2018-02-15,106.08,108.00,105.32,107.98,2222808,2.51,2.38%,107.98,238839719.34,13272
2018-02-14,106.05,106.30,105.155,105.47,1145954,-1.34,-1.25%,105.47,121045497.20,11712
2018-02-13,106.39,107.22,105.06,106.81,1471019,0.19,0.18%,106.81,156510424.26,13685
2018-02-12,106.17,107.21,105.34,106.62,1698124,0.51,0.48%,106.62,180675752.63,15842
2018-02-09,103.73,106.81,102.92,106.11,3397321,2.75,2.66%,106.11,356684541.54,24382
2018-02-08,103.79,104.97,102.93,103.36,3073989,-0.73,-0.70%,103.36,319649259.52,26361
2018-02-07,103.41,105.105,103.02,104.09,3910457,0.69,0.67%,104.09,407910367.01,23990
2018-02-06,103.36,103.78,100.63,103.40,3161372,-0.85,-0.82%,103.40,324017975.61,29765
2018-02-05,105.46,107.11,103.935,104.25,3137190,-1.33,-1.26%,104.25,330899839.86,26258
2018-02-02,105.90,106.72,105.18,105.58,2005608,-0.95,-0.89%,105.58,212359095.92,18620
2018-02-01,107.10,109.19,105.84,106.53,2977199,-0.49,-0.46%,106.53,317692013.75,23391
2018-01-31,106.00,107.17,105.55,107.02,2787205,1.19,1.12%,107.02,297390999.62,22867
2018-01-30,104.50,106.18,104.40,105.83,2633498,1.38,1.32%,105.83,278611832.10,19470
2018-01-29,105.10,105.42,103.66,104.45,2433145,-1.08,-1.02%,104.45,253918313.80,18599
2018-01-26,106.72,106.74,104.62,105.53,3059445,-0.87,-0.82%,105.53,322104727.13,19706
2018-01-25,105.95,106.47,105.57,106.40,1835129,0.72,0.68%,106.40,194689749.50,16721
2018-01-24,106.23,106.455,105.46,105.68,3445406,-0.54,-0.51%,105.68,364441664.72,14660
2018-01-23,105.14,107.10,105.08,106.22,2601524,1.17,1.11%,106.22,277024922.10,18609
2018-01-22,106.66,106.96,104.83,105.05,2748498,-0.94,-0.89%,105.05,289940722.36,16584
2018-01-19,106.13,106.53,105.68,105.99,2167815,-0.03,-0.03%,105.99,229859754.47,14529
2018-01-18,106.21,106.58,104.93,106.02,3442384,-0.57,-0.53%,106.02,364155889.24,21886
2018-01-17,106.96,107.09,106.03,106.59,2153496,-0.47,-0.44%,106.59,229364000.67,17126
2018-01-16,107.78,107.81,106.50,107.06,3808708,0.17,0.16%,107.06,407728529.09,14398
2018-01-12,106.34,107.44,106.13,106.89,2561944,0.19,0.18%,106.89,274096677.99,11663
2018-01-11,107.27,107.55,106.39,106.70,1839131,-0.49,-0.46%,106.70,196461295.87,15207
2018-01-10,106.85,107.50,106.73,107.19,2579663,-0.43,-0.40%,107.19,276376057.26,18675
2018-01-09,108.56,108.70,107.52,107.62,4306959,-0.86,-0.79%,107.62,464203416.51,16938
2018-01-08,108.45,108.53,107.62,108.48,3887756,0.03,0.03%,108.48,420652438.89,20750
