date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,72.70,73.37,72.39,72.58,2572556,-0.27,-0.37%,72.58,187030298.17,18864
2018-03-09,71.90,72.87,71.54,72.85,1855212,1.53,2.15%,72.85,134500335.78,15784
2018-03-08,71.76,71.95,70.38,71.32,1743445,-0.15,-0.21%,71.32,123737419.12,11558
2018-03-07,70.08,71.70,70.08,71.47,1829998,0.40,0.56%,71.47,130270233.97,14660
2018-03-06,70.85,71.26,70.07,71.07,2109692,0.40,0.57%,71.07,149345164.19,19609
2018-03-05,68.90,70.91,68.535,70.67,2267508,1.05,1.51%,70.67,159332896.15,18798
2018-03-02,68.67,69.84,67.53,69.62,2797167,0.53,0.77%,69.62,193282404.76,24343
2018-03-01,70.03,70.32,68.39,69.09,3367153,-0.75,-1.07%,69.09,233465058.46,32873
2018-02-28,71.16,71.61,69.79,69.84,3284870,-0.73,-1.03%,69.84,232217623.69,25058
2018-02-27,71.78,72.51,70.53,70.57,2956202,-1.03,-1.44%,70.57,211248663.61,27698
2018-02-26,71.78,72.07,70.97,72.00,1999577,0.706,1.00%,71.60,143241977.91,18577
2018-02-23,70.51,71.34,70.14,71.29,2011415,0.945,1.35%,70.8939,142179858.24,17343
2018-02-22,71.87,71.90,70.15,70.34,2540728,-1.104,-1.55%,69.9492,180243853.20,21824
2018-02-21,71.56,72.62,71.42,71.45,3628772,-0.07,-0.10%,71.053,261205602.04,29637
2018-02-20,70.83,71.75,70.80,71.52,4646787,0.368,0.52%,71.1226,331742362.68,30784
2018-02-16,70.17,71.26,70.11,71.15,3387571,0.517,0.74%,70.7547,240369419.46,23617
2018-02-15,70.66,71.05,69.85,70.63,2798238,0.557,0.80%,70.2376,196990817.64,22889
2018-02-14,67.79,70.29,67.78,70.07,3009256,2.138,3.17%,69.6807,208913147.11,27785
2018-02-13,67.05,68.02,66.73,67.92,3012568,0.328,0.49%,67.5426,203634558.06,25814
2018-02-12,68.08,69.00,67.36,67.59,4072605,0.109,0.16%,67.2145,277205141.84,32408
2018-02-09,66.96,67.94,64.80,67.48,4562404,1.671,2.55%,67.1051,303555859.16,39455
2018-02-08,69.27,69.30,65.78,65.80,3859569,-3.192,-4.65%,65.4344,259108166.30,33243
2018-02-07,67.98,70.415,67.85,69.01,6349166,0.577,0.85%,68.6266,441990257.80,51442
2018-02-06,64.83,68.83,64.32,68.43,6019428,2.118,3.21%,68.0498,402928483.50,48044
2018-02-05,68.66,69.39,65.96,66.30,5418206,-3.162,-4.58%,65.9316,368281015.48,44487
2018-02-02,71.13,71.73,69.40,69.48,4794080,-1.919,-2.70%,69.094,337473043.68,35610
2018-02-01,70.58,71.45,70.13,71.41,3361621,0.706,1.00%,71.0132,238746017.84,24770
2018-01-31,70.79,71.30,70.519,70.70,2843240,0.189,0.27%,70.3072,201330523.84,21090
2018-01-30,70.33,71.26,70.32,70.51,2934440,-0.229,-0.33%,70.1182,207370424.90,22247
2018-01-29,71.15,72.06,70.73,70.74,3025002,-0.636,-0.90%,70.347,215449278.82,21895
2018-01-26,70.69,71.405,70.5038,71.38,2373538,0.776,1.10%,70.9834,168622467.37,20127
2018-01-25,71.30,71.31,70.35,70.60,2817613,-0.597,-0.84%,70.2077,199234173.17,22650
2018-01-24,70.78,71.36,70.23,71.20,3275972,0.875,1.25%,70.8044,232287249.98,28260
2018-01-23,69.49,70.64,69.45,70.32,3516428,0.438,0.63%,69.9293,246777737.34,27546
2018-01-22,68.78,69.88,68.72,69.88,3742215,1.293,1.90%,69.4917,259808156.22,27065
2018-01-19,68.05,68.755,66.89,68.58,5101810,0.636,0.94%,68.199,347222688.89,38278
2018-01-18,68.29,68.63,67.82,67.94,3723432,-0.408,-0.60%,67.5625,253465350.37,31076
2018-01-17,68.62,68.68,67.47,68.35,4388477,0.05,0.07%,67.9702,299030787.67,34422
2018-01-16,69.26,69.56,68.04,68.30,2691766,-0.587,-0.86%,67.9205,184938571.72,22268
2018-01-12,68.38,68.95,67.99,68.89,4509411,1.024,1.52%,68.5072,309554962.04,30479
2018-01-11,68.14,68.17,67.475,67.86,4168375,0.159,0.24%,67.483,282362354.45,28439
2018-01-10,67.13,68.62,66.95,67.70,3274506,0.746,1.12%,67.3239,222494024.91,29096
2018-01-09,66.59,67.68,66.54,66.95,3277356,0.597,0.90%,66.578,220204359.96,29402
2018-01-08,66.35,66.63,65.54,66.35,4319752,0.438,0.67%,65.9814,286357945.43,30061
2018-01-05,66.12,66.38,65.15,65.91,4768316,0.05,0.08%,65.5438,313126919.48,29892
2018-01-04,65.94,67.02,65.43,65.86,5825629,0.179,0.27%,65.4941,385448705.62,41193
2018-01-03,64.81,65.70,64.65,65.68,4720485,0.815,1.26%,65.3151,308761150.70,32979
2018-01-02,65.07,65.13,64.51,64.86,3259413,0.269,0.42%,64.4996,211103242.70,22525
