date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,110.00,110.33,108.47,108.83,1720681,-1.00,-0.91%,108.83,187694851.65,15123
2018-03-09,107.05,110.24,106.76,109.83,2597966,3.65,3.44%,109.83,283453392.62,20681
2018-03-08,105.92,106.59,104.81,106.18,2343882,0.83,0.79%,106.18,247646973.25,19417
2018-03-07,104.19,105.75,104.14,105.35,1489582,-0.11,-0.10%,105.35,156696381.87,10953
2018-03-06,106.27,106.505,105.11,105.46,2139298,-0.39,-0.37%,105.46,226005589.55,17716
2018-03-05,103.65,106.58,103.405,105.85,2290359,1.57,1.51%,105.85,242050013.00,20592
2018-03-02,103.92,104.50,101.64,104.28,2707349,-0.30,-0.29%,104.28,279219079.29,21458
2018-03-01,106.35,106.915,103.91,104.58,2694378,-1.57,-1.48%,104.58,283648391.45,25979
2018-02-28,107.27,108.99,106.09,106.15,3278156,-1.02,-0.95%,106.15,352686985.96,22854
2018-02-27,107.25,108.80,106.84,107.17,3284005,0.35,0.33%,107.17,354698766.06,24915
2018-02-26,105.00,106.85,104.60,106.82,1434953,2.32,2.22%,106.82,152461204.90,14284
2018-02-23,103.21,104.59,103.05,104.50,910951,1.78,1.73%,104.50,94665901.30,10716
2018-02-22,104.59,105.31,102.48,102.72,1504202,-1.24,-1.19%,102.72,155800938.13,13806
2018-02-21,103.94,105.89,103.35,103.96,1237554,0.17,0.16%,103.96,129448473.88,10651
2018-02-20,103.99,105.22,103.32,103.79,1189677,-0.76,-0.73%,103.79,123722885.37,12468
2018-02-16,103.04,105.37,101.95,104.55,1988686,0.59,0.57%,104.55,207560625.47,17280
2018-02-15,104.50,105.175,103.05,103.96,1344350,0.02,0.02%,103.96,139453863.20,13336
2018-02-14,100.82,104.09,100.66,103.94,1263225,2.67,2.64%,103.94,130167674.79,12942
2018-02-13,101.07,101.99,100.37,101.27,987821,-0.51,-0.50%,101.27,100017500.55,10469
2018-02-12,100.77,102.82,100.12,101.78,1404947,1.77,1.77%,101.78,143022654.86,15987
2018-02-09,100.18,100.87,96.79,100.01,1809727,1.47,1.49%,100.01,179490441.29,17735
2018-02-08,103.66,103.92,98.49,98.54,2277937,-4.98,-4.81%,98.54,228259200.98,18856
2018-02-07,103.73,106.09,103.42,103.52,2110359,-0.98,-0.94%,103.52,220634918.56,18961
2018-02-06,100.15,104.71,99.42,104.50,2766280,2.03,1.98%,104.50,285066683.75,25967
2018-02-05,106.50,107.81,102.22,102.47,1958863,-5.00,-4.65%,102.47,205346086.25,17302
2018-02-02,110.28,110.77,107.295,107.47,2503658,-2.86,-2.59%,107.47,271304475.21,18406
2018-02-01,109.77,110.99,109.39,110.33,1465814,0.16,0.15%,110.33,161507238.68,13620
2018-01-31,110.13,110.95,109.69,110.17,2048420,0.03,0.03%,110.17,225859754.01,15792
2018-01-30,111.47,111.65,109.86,110.14,1567748,-1.55,-1.39%,110.14,173492496.48,12782
2018-01-29,111.05,112.64,110.97,111.69,1875300,0.78,0.70%,111.69,209978220.52,14001
2018-01-26,110.33,110.91,109.225,110.91,1695023,0.58,0.53%,110.91,187375520.87,13575
2018-01-25,112.77,112.80,110.06,110.33,1731030,-2.38,-2.11%,110.33,191784715.44,18251
2018-01-24,112.56,114.27,112.00,112.71,2224249,0.53,0.47%,112.71,251171429.94,18634
2018-01-23,108.99,112.43,108.99,112.18,3373112,3.19,2.93%,112.18,375590448.82,22787
2018-01-22,107.52,109.10,107.17,108.99,2068791,1.38,1.28%,108.99,224091559.04,19839
