date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,230.50,231.83,228.69,230.15,1760012,-0.19,-0.08%,230.15,405230215.87,14376
2018-03-09,228.87,230.35,227.81,230.34,1766569,2.64,1.16%,230.34,405779141.56,16879
2018-03-08,224.89,228.25,224.06,227.70,1553102,3.79,1.69%,227.70,351917810.84,15628
2018-03-07,220.13,224.2698,219.49,223.91,1384478,1.35,0.61%,223.91,308350526.20,13655
2018-03-06,219.98,223.14,219.00,222.56,1200939,3.04,1.38%,222.56,265934452.60,14736
2018-03-05,218.38,219.70,217.51,219.52,1042365,-0.32,-0.15%,219.52,228267673.96,10144
2018-03-02,215.68,220.04,213.92,219.84,1643418,3.89,1.80%,219.84,357617548.28,16820
2018-03-01,216.24,216.77,213.575,215.95,1541303,0.47,0.22%,215.95,332021630.68,18708
2018-02-28,219.32,219.40,215.48,215.48,1314084,-2.57,-1.18%,215.48,284879537.10,11004
2018-02-27,217.48,219.77,216.52,218.05,2150006,0.01,0.00%,218.05,469299360.12,20245
2018-02-26,217.45,218.82,215.795,218.04,1148681,0.58,0.27%,218.04,249609772.35,12009
2018-02-23,214.00,217.47,212.91,217.46,1498599,4.35,2.04%,217.46,323302999.20,14681
2018-02-22,214.29,217.00,212.69,213.11,1583358,-0.68,-0.32%,213.11,339265029.31,14977
2018-02-21,218.33,220.65,209.02,213.79,2879546,-3.54,-1.63%,213.79,620068765.64,28168
2018-02-20,218.28,219.54,216.88,217.33,1020450,-2.12,-0.97%,217.33,222265759.46,9408
2018-02-16,216.69,220.20,216.48,219.45,1499273,2.64,1.22%,219.45,328569465.11,14225
2018-02-15,214.59,217.02,213.07,216.81,1487351,2.81,1.31%,216.81,320550670.38,14470
2018-02-14,212.98,215.17,211.49,214.00,1205454,0.53,0.25%,214.00,257415428.14,14012
2018-02-13,213.11,214.81,211.25,213.47,1411693,0.46,0.22%,213.47,301357426.42,14872
2018-02-12,211.01,215.2999,211.01,213.01,3131603,2.75,1.31%,213.01,668397964.07,21067
2018-02-09,211.06,211.96,204.60,210.26,2881838,1.53,0.73%,210.26,604109699.96,33227
2018-02-08,214.28,215.75,208.64,208.73,2242692,-4.90,-2.29%,208.73,475436074.92,24453
2018-02-07,215.75,217.49,214.05,214.15,1791745,-2.135,-0.99%,213.63,386049626.75,20969
2018-02-06,208.57,217.15,207.77,216.29,2718348,5.277,2.51%,215.7648,582935283.30,33029
2018-02-05,214.40,216.37,210.224,211.00,1994614,-4.878,-2.27%,210.4877,425253966.69,22218
2018-02-02,219.66,220.5999,215.11,215.89,1745172,-4.788,-2.17%,215.3658,378717751.32,16755
2018-02-01,219.19,221.18,218.69,220.69,986071,1.217,0.56%,220.1542,217133730.54,12382
2018-01-31,220.37,221.64,219.13,219.47,1670435,-0.579,-0.26%,218.9371,367294917.05,15013
2018-01-30,219.74,221.24,218.02,220.05,1006142,-0.688,-0.31%,219.5157,221627431.01,10567
2018-01-29,223.34,223.85,220.66,220.74,1304519,-2.893,-1.30%,220.204,289446345.68,14017
2018-01-26,221.52,223.88,221.08,223.64,1329339,2.324,1.05%,223.097,296210475.80,11163
2018-01-25,222.83,223.29,220.99,221.31,1429314,-0.718,-0.32%,220.7727,316965941.87,14805
2018-01-24,221.22,223.51,219.67,222.03,2354807,1.247,0.57%,221.4909,521856948.10,22594
2018-01-23,219.07,221.08,218.35,220.78,1609880,1.456,0.67%,220.2439,354605271.61,17296
2018-01-22,217.97,219.81,217.97,219.32,1699028,1.037,0.48%,218.7875,372194471.49,16723
2018-01-19,218.00,219.57,217.61,218.28,2235249,0.988,0.46%,217.75,488354494.63,19163
2018-01-18,219.39,219.87,215.41,217.29,1962638,-1.925,-0.88%,216.7624,427293186.63,21542
2018-01-17,218.02,220.19,217.9501,219.22,1923993,1.456,0.67%,218.6877,422268690.75,18818
2018-01-16,217.95,220.00,217.20,217.76,2205195,0.239,0.11%,217.2313,481979794.75,18690
2018-01-12,219.50,219.98,216.89,217.52,4266158,-1.526,-0.70%,216.9919,930826926.21,23105
2018-01-11,219.78,220.92,218.40,219.05,2096004,-0.309,-0.14%,218.5181,459752828.67,20606
2018-01-10,221.79,221.93,218.245,219.36,3418547,-2.713,-1.22%,218.8274,751730188.49,27901
2018-01-09,216.77,222.55,216.50,222.08,2331389,5.227,2.42%,221.5408,515042351.64,26315
2018-01-08,219.88,220.16,214.00,216.84,4978427,-3.033,-1.38%,216.3135,1077443149.44,44337
2018-01-05,220.45,222.86,216.25,219.88,10175304,-5.896,-2.62%,219.3461,2235117024.58,83543
2018-01-04,228.36,229.50,224.71,225.79,2784533,-1.706,-0.75%,225.2418,630517779.27,29323
2018-01-03,226.70,228.775,226.01,227.50,1715761,0.938,0.41%,226.9476,390375627.04,19082
2018-01-02,229.00,229.4599,225.81,226.56,2346887,-2.005,-0.88%,226.0099,532807233.61,19493
2017-12-29,228.12,229.4249,227.00,228.57,1827874,0.589,0.26%,228.015,418053780.89,15093
2017-12-28,228.49,228.98,225.59,227.98,1866461,1.995,0.89%,227.4265,424894176.34,19608
2017-12-27,225.78,226.36,223.58,225.98,1348043,0.469,0.21%,225.4313,304097692.41,12452
2017-12-26,224.36,226.3257,223.511,225.51,1545597,1.696,0.76%,224.9625,348409685.94,11168
2017-12-22,224.19,224.97,222.09,223.81,949738,-0.788,-0.35%,223.2666,211988635.14,10969
2017-12-21,224.54,225.47,223.18,224.60,976952,1.087,0.49%,224.0547,219206009.28,11725
2017-12-20,223.75,223.91,221.05,223.51,1193093,0.279,0.13%,222.9673,265869252.16,12275
2017-12-19,222.95,224.5099,222.63,223.23,1366685,0.808,0.36%,222.688,305205880.17,13518
2017-12-18,224.805,226.34,221.50,222.42,1453090,-2.015,-0.90%,221.88,324175268.13,14957
2017-12-15,221.955,224.84,221.48,224.44,2446407,1.686,0.76%,223.8951,546873377.86,15754
2017-12-14,219.26,224.3799,219.01,222.75,1319846,4.16,1.91%,222.2092,294308509.24,14235
2017-12-13,219.83,220.83,217.96,218.58,1104763,-1.427,-0.65%,218.0493,242024915.75,12333
2017-12-12,220.12,223.46,218.38,220.01,1694249,0.638,0.29%,219.4758,374756103.77,15934
2017-12-11,217.21,219.86,215.94,219.37,1357073,1.387,0.64%,218.8374,296636185.76,12659
2017-12-08,217.32,218.02,216.87,217.98,1342619,1.127,0.52%,217.4507,292122003.17,8663
2017-12-07,217.02,218.385,216.62,216.85,886442,-0.08,-0.04%,216.3235,192667292.01,10108
2017-12-06,217.33,218.87,216.74,216.93,964226,0.11,0.05%,216.4033,209568527.47,11213
2017-12-05,216.35,217.92,215.83,216.82,1123609,0.479,0.22%,216.2936,243408012.06,10655
2017-12-04,219.19,219.49,214.33,216.34,1699286,-2.255,-1.03%,215.8147,366244408.02,13963
2017-12-01,217.66,218.7703,215.85,218.60,1082162,1.008,0.46%,218.0692,235805707.81,12542
2017-11-30,214.37,217.90,213.08,217.59,1542050,3.222,1.51%,217.0617,334429052.83,13237
2017-11-29,220.49,221.09,212.67,214.36,1560100,-5.646,-2.57%,213.8395,335087526.27,18016
2017-11-28,220.19,221.11,218.81,220.02,1117889,-0.10,-0.05%,219.4858,246059557.24,12371
2017-11-27,221.81,221.985,219.7508,220.12,812014,-1.756,-0.79%,219.5855,178984535.14,10442
2017-11-24,220.93,221.88,219.96,221.88,303028,1.427,0.65%,221.3413,67040971.39,3401
2017-11-22,219.95,220.69,218.07,220.45,616606,0.688,0.31%,219.9147,135410642.38,8173
2017-11-21,217.83,220.32,217.55,219.76,860751,2.175,1.00%,219.2264,189164463.60,9772
2017-11-20,216.80,217.86,216.35,217.58,1108330,1.287,0.60%,217.0517,240742886.29,10334
2017-11-17,217.18,217.245,215.2664,216.29,880438,-1.047,-0.48%,215.7648,190555521.58,9909
2017-11-16,218.53,219.255,217.18,217.34,1233811,0.18,0.08%,216.8123,269049426.31,11293
2017-11-15,219.33,227.20,215.79,217.16,1254637,-0.928,-0.43%,216.6327,272366906.80,14591
2017-11-14,220.79,221.12,217.62,218.09,1064573,-2.664,-1.21%,217.5605,232710323.22,12824
2017-11-13,219.00,221.50,218.67,220.76,885426,2.085,0.96%,220.224,195141498.51,9800
2017-11-10,218.50,219.00,217.805,218.67,672156,0.539,0.25%,218.1391,146831029.03,8544
2017-11-09,217.50,218.42,216.53,218.13,616303,0.499,0.23%,217.6004,134086809.00,8690
2017-11-08,215.99,217.89,215.31,217.63,1757558,2.145,1.00%,217.1016,381344011.62,10733
2017-11-07,215.94,216.51,214.82,215.48,1556234,-0.319,-0.15%,214.9568,335436591.61,11943
2017-11-06,215.76,216.73,215.05,215.80,789997,0.409,0.19%,215.276,170630146.16,10067
2017-11-03,214.52,216.81,214.52,215.91,853304,1.582,0.74%,214.8671,184247227.46,7535
2017-11-02,215.53,216.435,213.57,214.32,1043295,-1.672,-0.78%,213.2848,224124653.80,12836
2017-11-01,219.37,219.56,215.86,216.00,1152896,-3.075,-1.41%,214.9567,250545733.14,14139
2017-10-31,214.25,219.29,214.00,219.09,1727294,6.061,2.86%,218.0318,376347117.68,17266
2017-10-30,213.92,214.50,211.61,213.00,1082358,1.095,0.52%,211.9712,230605107.61,12509
2017-10-27,212.02,212.70,210.40,211.90,801436,0.159,0.08%,210.8765,169793603.82,8907
2017-10-26,212.58,213.175,211.32,211.74,836131,-0.726,-0.34%,210.7173,177318940.81,7903
2017-10-25,213.20,213.81,211.515,212.47,824174,-0.179,-0.08%,211.4437,175071498.50,10421
2017-10-24,211.87,212.96,211.50,212.65,1092329,0.935,0.44%,211.6229,231896990.00,10986
2017-10-23,211.91,212.27,210.75,211.71,599562,0.458,0.22%,210.6874,126833542.87,7898
2017-10-20,212.10,212.2988,210.92,211.25,1191456,-0.726,-0.34%,210.2296,251852107.94,10484
2017-10-19,211.73,212.72,210.37,211.98,977631,0.189,0.09%,210.9561,207279457.81,8760
2017-10-18,213.60,214.53,210.93,211.79,1255137,-1.841,-0.87%,210.767,266286769.50,11862
2017-10-17,210.11,213.90,209.87,213.64,2758634,3.175,1.52%,212.6081,586652477.48,15583
2017-10-16,208.64,211.06,208.10,210.45,1218330,1.881,0.91%,209.4335,256031927.67,11614
2017-10-13,208.07,208.85,205.85,208.56,1011937,1.154,0.56%,207.5526,210335328.26,10544
2017-10-12,207.81,208.56,207.10,207.40,1321690,-0.338,-0.16%,206.3982,274703487.32,11737
2017-10-11,208.35,209.09,207.34,207.74,972306,-0.219,-0.11%,206.7366,202202453.41,9979
2017-10-10,205.3799,208.6004,205.30,207.96,1669970,-0.229,-0.11%,206.9555,346242566.97,14068
2017-10-09,209.85,210.29,207.83,208.19,745599,-1.911,-0.91%,207.1844,155886163.12,8440
2017-10-06,209.28,210.25,207.39,210.11,1776910,0.856,0.41%,209.0951,371517121.09,18025
2017-10-05,211.75,213.40,207.0001,209.25,4951911,8.031,4.01%,208.2393,1039025198.10,42004
2017-10-04,199.95,202.25,199.27,201.18,3141396,2.09,1.05%,200.2083,632022716.80,22564
2017-10-03,199.56,200.79,198.44,199.08,1959955,-0.269,-0.14%,198.1184,390940942.35,14809
2017-10-02,200.39,202.71,199.28,199.35,2017448,-0.10,-0.05%,198.3871,403863114.36,15041
2017-09-29,199.35,200.70,199.08,199.45,1253757,0.149,0.08%,198.4866,250364259.90,12221
2017-09-28,199.20,199.905,197.52,199.30,1906835,-0.498,-0.25%,198.3374,379769293.46,14034
2017-09-27,200.45,200.91,198.25,199.80,1283259,-0.647,-0.32%,198.8349,256097949.27,12394
2017-09-26,200.00,201.6999,197.32,200.45,1309599,-0.159,-0.08%,199.4818,261961137.49,12181
2017-09-25,201.98,202.36,199.82,200.61,628151,-1.194,-0.59%,199.641,125924212.36,7061
2017-09-22,201.40,201.98,200.68,201.81,736801,0.786,0.39%,200.8352,148441731.77,7832
2017-09-21,201.71,202.10,200.74,201.02,645481,-0.746,-0.37%,200.049,129797783.63,6714
2017-09-20,202.08,202.945,200.26,201.77,831855,-0.557,-0.28%,200.7954,167800312.39,9673
2017-09-19,203.92,204.2798,201.79,202.33,1200569,-1.562,-0.77%,201.3527,242836097.41,9671
2017-09-18,203.52,204.95,203.24,203.90,828567,0.498,0.25%,202.9151,169157202.02,10637
2017-09-15,204.50,204.55,203.28,203.40,1398954,-0.975,-0.48%,202.4175,285122899.18,9781
2017-09-14,204.46,204.6699,204.11,204.38,812492,-0.07,-0.03%,203.3928,166053467.68,7126
2017-09-13,204.60,204.88,203.87,204.45,1191442,-0.169,-0.08%,203.4625,243529635.57,8436
2017-09-12,203.68,205.12,203.585,204.62,1287071,0.916,0.45%,203.6317,263174515.86,9688
2017-09-11,203.35,204.47,202.78,203.70,1015513,1.304,0.65%,202.7161,206919034.95,9647
2017-09-08,202.16,203.56,202.16,202.39,846480,0.179,0.09%,201.4124,171622253.17,8674
2017-09-07,202.96,203.75,201.13,202.21,814806,-0.309,-0.15%,201.2333,164723925.23,10221
2017-09-06,201.39,202.7097,197.81,202.52,2059993,1.423,0.71%,201.5418,413854880.29,13633
2017-09-05,200.12,201.20,198.97,201.09,1074627,0.856,0.43%,200.1187,215278921.12,10409
2017-09-01,200.55,200.799,198.20,200.23,992590,0.129,0.06%,199.2629,198330005.44,11192
2017-08-31,199.73,200.64,199.398,200.10,1937476,0.557,0.28%,199.1335,387602137.05,9806
2017-08-30,198.40,200.00,198.21,199.54,1127301,1.134,0.57%,198.5762,224904205.00,7844
2017-08-29,197.28,199.08,197.25,198.40,715925,0.517,0.26%,197.4417,142117240.10,8046
2017-08-28,198.50,199.33,197.12,197.88,1336078,-0.438,-0.22%,196.9242,264457824.11,9523
2017-08-25,197.44,199.33,196.89,198.32,689197,1.433,0.73%,197.3621,136668587.31,6884
2017-08-24,198.41,199.79,196.08,196.88,1267506,0.149,0.08%,195.929,249940514.54,13759
2017-08-23,196.73,197.62,196.01,196.73,418197,-0.01,-0.01%,195.7798,82272538.16,5203
2017-08-22,198.16,198.75,195.9582,196.74,940968,-1.373,-0.70%,195.7897,185187721.01,10576
2017-08-21,198.17,198.49,196.94,198.12,702312,0.239,0.12%,197.163,138931590.90,7719
2017-08-18,196.66,198.40,195.89,197.88,776053,0.796,0.41%,196.9242,153180378.61,7490
2017-08-17,198.64,199.29,196.94,197.08,780371,-1.483,-0.75%,196.1281,154551604.88,7984
2017-08-16,199.00,199.34,198.09,198.57,866417,-0.129,-0.07%,197.6109,172142452.71,9209
2017-08-15,197.18,198.77,196.16,198.70,775647,1.503,0.77%,197.7402,153609454.55,8032
2017-08-14,197.05,198.48,196.22,197.19,941309,1.533,0.79%,196.2375,185915608.97,9051
2017-08-11,195.00,197.71,194.98,195.65,897797,0.955,0.49%,194.705,176147792.05,9358
2017-08-10,195.25,196.49,193.92,194.69,1036547,-0.697,-0.36%,193.7496,202061159.38,11452
2017-08-09,194.30,195.64,193.55,195.39,937292,0.707,0.36%,194.4462,182529597.53,7477
2017-08-08,195.04,196.315,193.84,194.68,878148,-0.289,-0.15%,193.7397,171324449.57,9148
2017-08-07,193.65,195.21,193.01,194.97,774042,1.662,0.86%,194.0283,150633043.29,9323
2017-08-04,193.23,194.45,192.10,193.82,744105,0.774,0.40%,192.3663,143778000.99,8944
2017-08-03,194.00,194.91,192.91,193.04,749676,-0.466,-0.24%,191.5922,145099899.25,8276
2017-08-02,195.10,195.28,191.71,193.51,1746772,-0.308,-0.16%,192.0586,337506707.55,12959
2017-08-01,193.23,194.45,192.10,193.82,744105,0.466,0.24%,192.3663,143778000.99,8944
2017-07-31,194.40,194.80,192.86,193.35,1528320,-1.231,-0.64%,191.8998,295919740.40,8452
2017-07-28,194.78,195.89,194.111,194.59,807819,0.129,0.07%,193.1305,157298478.52,9198
2017-07-27,194.24,195.757,193.02,194.46,1627261,1.072,0.56%,193.0015,316233772.94,13945
2017-07-26,194.55,195.10,193.07,193.38,1636366,-0.288,-0.15%,191.9296,317049502.69,14808
2017-07-25,196.00,196.00,193.64,193.67,1487950,-2.313,-1.19%,192.2174,289282729.02,14928
2017-07-24,196.54,197.09,195.52,196.00,1285164,-2.501,-1.27%,194.53,252237824.84,12374
2017-07-21,197.58,198.68,196.931,198.52,707862,0.397,0.20%,197.0311,140086376.10,8190
2017-07-20,198.53,199.89,197.00,198.12,1575833,-0.179,-0.09%,196.6341,312342535.50,10764
2017-07-19,197.51,198.37,196.00,198.30,986780,1.112,0.57%,196.8127,194749943.62,11525
2017-07-18,197.00,198.18,196.40,197.18,1541188,0.576,0.30%,195.7011,303814769.57,10963
2017-07-17,198.41,199.64,196.37,196.60,1817734,-1.707,-0.87%,195.1255,359199165.63,13467
2017-07-14,196.60,198.46,196.53,198.32,736197,2.054,1.05%,196.8326,145663900.14,7550
2017-07-13,197.55,197.62,195.54,196.25,956150,-0.844,-0.43%,194.7781,187676728.60,10134
2017-07-12,195.00,197.86,194.49,197.10,1591995,3.186,1.66%,195.6217,312501163.19,15658
2017-07-11,193.65,194.08,192.50,193.89,873269,0.069,0.04%,192.4358,169009586.50,9489
2017-07-10,194.12,194.96,192.90,193.82,914321,0.298,0.16%,192.3663,177157897.95,9770
2017-07-07,194.29,194.51,192.86,193.52,723504,-0.238,-0.12%,192.0686,140053035.63,8875
2017-07-06,192.89,194.59,192.60,193.76,1187001,-0.159,-0.08%,192.3068,229925469.53,11192
2017-07-05,191.41,194.81,191.06,193.92,1450460,2.174,1.14%,192.4656,280933495.31,13995
2017-07-03,194.14,194.58,191.68,191.73,969084,-1.985,-1.03%,190.292,186731447.00,9370
2017-06-30,194.63,196.67,193.03,193.73,3097488,0.933,0.49%,192.277,602532150.24,23171
2017-06-29,197.33,197.41,192.06,192.79,6167244,9.042,4.96%,191.344,1200704366.87,49278
2017-06-28,183.23,184.71,181.90,183.68,2145517,1.39,0.77%,182.3024,394626063.92,18929
2017-06-27,181.31,182.71,180.4601,182.28,1302179,-0.189,-0.10%,180.9129,237197887.06,13332
2017-06-26,184.97,185.005,182.34,182.47,1187451,-2.084,-1.14%,181.1014,217893048.99,11823
2017-06-23,184.17,185.77,183.54,184.57,1099954,0.457,0.25%,183.1857,203318933.62,8900
