date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,160.35,160.35,157.29,157.82,1085506,-2.16,-1.35%,157.82,171795823.60,10490
2018-03-09,157.75,160.51,157.37,159.98,1613754,3.06,1.95%,159.98,257771057.07,15740
2018-03-08,156.65,157.471,155.61,156.92,904060,0.92,0.59%,156.92,141419084.43,10534
2018-03-07,151.96,157.56,150.961,156.63,1785392,3.127,2.05%,156.00,277398374.32,19048
2018-03-06,152.93,153.98,151.50,153.49,1711066,1.265,0.83%,152.8727,262026987.03,17812
2018-03-05,151.44,152.98,149.94,152.22,1868775,-0.339,-0.22%,151.6078,284053297.30,14287
2018-03-02,151.86,153.27,149.75,152.56,1540566,-0.388,-0.25%,151.9464,233504155.55,15643
2018-03-01,159.03,160.19,152.81,152.95,1881745,-6.215,-3.92%,152.3348,292224428.74,20716
2018-02-28,162.85,162.85,159.06,159.19,1113613,-2.45,-1.52%,158.5497,178584170.12,11852
2018-02-27,162.92,164.94,161.635,161.65,962895,-1.345,-0.83%,160.9998,156881584.04,9278
2018-02-26,160.85,163.43,160.85,163.00,876164,2.052,1.28%,162.3444,142089268.21,8103
2018-02-23,160.73,161.04,158.81,160.94,897391,1.185,0.74%,160.2927,143656632.45,7547
2018-02-22,160.84,162.03,159.29,159.75,651118,-0.588,-0.37%,159.1075,104405136.34,7537
2018-02-21,158.93,162.73,158.93,160.34,1176428,1.125,0.71%,159.6951,189612196.97,13163
2018-02-20,158.91,160.23,158.485,159.21,923681,-0.558,-0.35%,158.5697,147242354.22,9313
2018-02-16,159.95,161.35,159.25,159.77,1084924,-0.359,-0.22%,159.1274,173665006.30,11407
2018-02-15,160.78,160.90,159.09,160.13,955966,0.857,0.54%,159.486,152837981.86,10252
2018-02-14,156.31,159.58,155.92,159.27,1143078,2.191,1.40%,158.6294,180675521.37,12620
2018-02-13,157.33,157.93,156.14,157.07,926273,-0.966,-0.61%,156.4383,145349731.00,10579
2018-02-12,155.13,159.24,154.70,158.04,1254451,3.795,2.47%,157.4044,197654010.43,14105
2018-02-09,154.45,155.45,149.37,154.23,2035179,1.364,0.90%,153.6097,310701711.21,23884
2018-02-08,159.50,159.77,152.70,152.86,1889495,-6.852,-4.31%,152.2452,294471271.32,20484
2018-02-07,161.66,163.0332,159.65,159.74,1304959,-1.872,-1.16%,159.0975,210274026.91,15095
2018-02-06,155.53,161.99,153.75,161.62,1902884,3.456,2.19%,160.97,302346555.69,21780
2018-02-05,163.41,164.67,157.63,158.15,2073020,-5.667,-3.47%,157.5139,334851071.00,19161
2018-02-02,166.16,166.16,163.15,163.84,1309284,-2.918,-1.76%,163.181,215294604.80,16840
2018-02-01,165.02,167.755,164.12,166.77,1296696,0.538,0.32%,166.0993,215601301.59,16645
2018-01-31,167.41,167.99,165.70,166.23,1483661,-0.129,-0.08%,165.5614,247381403.74,14502
2018-01-30,167.69,168.31,166.20,166.36,1079417,-2.131,-1.27%,165.6909,180288407.92,11670
2018-01-29,169.31,169.75,167.66,168.50,1199399,-1.215,-0.72%,167.8223,202315585.24,12668
2018-01-26,169.64,170.96,169.27,169.72,1754038,0.558,0.33%,169.0374,298280600.97,15241
2018-01-25,170.87,171.03,167.27,169.16,2027911,-1.424,-0.84%,168.4796,343341040.50,20207
2018-01-24,174.52,175.89,170.37,170.59,2200705,-3.287,-1.90%,169.9039,377409340.59,22620
2018-01-23,176.09,176.24,173.14,173.89,1443863,-1.335,-0.76%,173.1906,251659389.51,13649
2018-01-22,176.05,176.62,173.30,175.23,880383,-0.677,-0.39%,174.5252,153735362.71,10407
2018-01-19,175.60,176.27,175.02,175.91,1095452,1.155,0.66%,175.2025,192606098.46,8790
2018-01-18,174.28,175.72,173.98,174.75,850973,0.986,0.57%,174.0472,148667856.84,9163
2018-01-17,171.99,174.12,171.74,173.76,878496,2.739,1.61%,173.0611,152422717.57,9869
2018-01-16,174.40,174.40,170.48,171.01,866260,-2.40,-1.39%,170.3222,149051626.16,9376
2018-01-12,173.34,173.95,172.555,173.42,591185,0.886,0.52%,172.7225,102512174.23,6736
2018-01-11,171.72,172.58,171.04,172.53,467133,1.484,0.87%,171.8361,80335008.02,7018
2018-01-10,173.19,173.52,170.57,171.04,772547,-2.56,-1.48%,170.3521,132457243.66,9874
2018-01-09,173.23,174.87,173.06,173.61,672127,0.946,0.55%,172.9117,116985176.98,8631
2018-01-08,170.42,172.88,170.25,172.66,809170,2.072,1.22%,171.9656,139392352.18,9285
2018-01-05,170.35,171.03,169.16,170.58,1536469,0.787,0.47%,169.8939,261684888.52,8580
2018-01-04,169.44,171.184,169.3692,169.79,840633,0.657,0.39%,169.1071,143020703.72,9734
2018-01-03,168.00,169.27,167.03,169.13,839004,0.618,0.37%,168.4498,141263991.15,9788
2018-01-02,170.52,170.69,168.055,168.51,875283,-1.175,-0.70%,167.8323,147637202.90,10220
2017-12-29,170.21,170.81,169.69,169.69,555840,-0.339,-0.20%,169.0075,94481874.96,7118
2017-12-28,169.53,170.07,168.49,170.03,534700,1.345,0.80%,169.3461,90664040.52,6674
2017-12-27,168.05,169.20,168.00,168.68,362131,0.867,0.52%,168.0016,61078992.06,4345
2017-12-26,168.01,168.40,167.36,167.81,523728,0.349,0.21%,167.1351,87897959.99,6573
2017-12-22,168.48,169.68,167.22,167.46,501119,-1.594,-0.95%,166.7865,84019249.70,6654
2017-12-21,168.74,169.49,168.23,169.06,469078,0.05,0.03%,168.38,79258987.63,6294
2017-12-20,169.00,169.58,168.65,169.01,862615,0.359,0.21%,168.3302,145889389.23,7032
2017-12-19,167.43,169.05,166.98,168.65,1002453,1.036,0.62%,167.9717,168729632.99,9389
2017-12-18,166.44,168.08,165.61,167.61,1125215,1.892,1.15%,166.9359,188447089.08,12552
2017-12-15,166.00,167.01,165.5201,165.71,1267206,0.767,0.47%,165.0435,210442774.05,9087
2017-12-14,166.55,166.88,164.89,164.94,661257,-1.106,-0.67%,164.2766,109617507.25,7905
2017-12-13,165.95,167.25,165.73,166.05,986773,0.10,0.06%,165.3821,164194390.35,10016
2017-12-12,166.87,168.0098,165.81,165.95,842587,-0.946,-0.57%,165.2825,140459090.28,9096
2017-12-11,167.82,167.95,166.78,166.90,837351,-0.757,-0.45%,166.2287,140064874.90,8441
2017-12-08,169.27,169.27,166.58,167.66,1094782,-0.697,-0.42%,166.9857,183444518.35,11500
2017-12-07,168.24,169.66,167.90,168.36,931633,-0.11,-0.07%,167.6829,157234661.21,10048
2017-12-06,168.69,169.01,167.49,168.47,584422,0.129,0.08%,167.7924,98453227.99,6664
2017-12-05,169.59,170.49,168.22,168.34,1152133,-1.464,-0.87%,167.6629,194755283.45,10319
2017-12-04,169.80,170.90,169.2001,169.81,1296763,1.076,0.64%,169.127,220411992.35,12953
2017-12-01,169.44,170.33,166.1401,168.73,879448,-0.896,-0.53%,168.0514,148283666.60,9864
