date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,37.20,37.57,36.81,36.98,3977573,-0.30,-0.80%,36.98,147705852.80,26873
2018-03-09,37.18,37.29,36.59,37.28,5151327,0.44,1.19%,37.28,190499935.96,31227
2018-03-08,36.50,36.91,36.10,36.84,4141577,0.54,1.49%,36.84,151357663.03,27214
2018-03-07,35.81,36.39,35.71,36.30,4320827,0.10,0.28%,36.30,156258383.31,24948
2018-03-06,36.34,36.54,35.615,36.20,4312701,-0.03,-0.08%,36.20,155674744.27,24637
2018-03-05,35.70,36.38,35.425,36.23,6491297,0.30,0.83%,36.23,234705799.66,29092
2018-03-02,35.56,36.0099,34.70,35.93,5433802,0.08,0.22%,35.93,192911979.70,37933
2018-03-01,36.50,36.98,35.72,35.85,7483001,-0.54,-1.48%,35.85,271068867.68,44465
2018-02-28,37.17,37.53,36.38,36.39,4691290,-0.42,-1.14%,36.39,172902142.02,25985
2018-02-27,37.39,38.07,36.80,36.81,6428357,-0.58,-1.55%,36.81,240193328.67,36367
2018-02-26,37.27,37.40,36.79,37.39,5200258,0.24,0.65%,37.39,193599079.02,23695
2018-02-23,36.54,37.16,36.43,37.15,3101317,0.82,2.26%,37.15,114618538.81,21382
2018-02-22,36.77,36.91,36.24,36.33,7871225,-0.24,-0.66%,36.33,287090172.62,28705
2018-02-21,36.61,37.405,36.50,36.57,4423269,0.01,0.03%,36.57,163716911.78,32376
2018-02-20,36.63,36.91,36.36,36.56,4235073,-0.17,-0.46%,36.56,155198951.02,25216
2018-02-16,36.74,37.18,36.61,36.73,4413116,-0.11,-0.30%,36.73,162688029.71,23879
2018-02-15,37.04,37.135,36.31,36.84,5219276,0.14,0.38%,36.84,191932883.17,32477
2018-02-14,35.81,36.72,35.535,36.70,6964822,0.69,1.92%,36.70,252173882.37,39986
2018-02-13,35.92,36.14,35.52,36.01,4509913,-0.23,-0.63%,36.01,161952540.77,28061
2018-02-12,35.35,36.485,35.24,36.24,7027417,1.21,3.45%,36.24,253373393.44,50898
2018-02-09,35.35,35.86,33.605,35.03,11802187,0.05,0.14%,35.03,408131806.32,77011
2018-02-08,37.50,37.55,34.97,34.98,9244141,-2.52,-6.72%,34.98,332021655.15,56683
2018-02-07,37.44,38.19,37.30,37.50,8031493,-0.17,-0.45%,37.50,302913203.85,44417
2018-02-06,36.05,37.84,35.45,37.67,9274995,0.79,2.14%,37.67,342963289.46,60161
2018-02-05,38.26,38.91,36.58,36.88,10395410,-1.80,-4.65%,36.88,392837242.24,50897
2018-02-02,39.50,39.885,38.505,38.68,6191996,-0.83,-2.10%,38.68,241545429.56,38978
2018-02-01,39.54,39.67,39.03,39.66,5474435,-0.02,-0.05%,39.51,215800585.37,30266
2018-01-31,39.75,40.30,39.66,39.68,6981714,0.05,0.13%,39.5299,278771126.84,37502
2018-01-30,39.92,40.16,39.6036,39.63,5453665,-0.528,-1.32%,39.4801,217014173.73,30248
2018-01-29,40.11,40.59,40.10,40.16,5791854,-0.05,-0.12%,40.0081,233629843.21,32260
2018-01-26,39.63,40.235,39.49,40.21,5504686,0.628,1.59%,40.0579,220043063.10,25823
2018-01-25,39.91,40.03,39.47,39.58,7034589,-0.159,-0.40%,39.4303,279331893.98,33761
2018-01-24,39.89,40.19,39.46,39.74,7679372,-0.04,-0.10%,39.5897,305568700.95,42499
2018-01-23,39.42,39.94,39.06,39.78,8378425,0.259,0.66%,39.6296,332177497.32,49557
2018-01-22,38.18,39.60,38.16,39.52,15163719,1.046,2.73%,39.3705,594414721.73,49324
2018-01-19,37.74,38.84,36.85,38.47,11775729,1.166,3.14%,38.3245,448635315.04,61223
2018-01-18,38.29,38.29,36.75,37.30,13730959,-0.757,-2.00%,37.1589,512223044.89,61961
2018-01-17,38.16,38.33,37.791,38.06,10737223,0.13,0.34%,37.9161,408474950.55,54576
2018-01-16,39.46,39.58,37.78,37.93,12961240,-1.435,-3.66%,37.7865,497821747.66,65234
2018-01-12,40.04,40.05,37.66,39.37,8532072,-0.389,-0.98%,39.2211,336984285.61,42190
2018-01-11,39.77,40.17,39.28,39.76,6144238,0.10,0.25%,39.6096,243065674.34,34405
2018-01-10,39.51,40.03,39.38,39.66,7627096,0.219,0.56%,39.51,303019063.08,44552
2018-01-09,39.53,39.81,39.30,39.44,6594309,0.179,0.46%,39.2908,260898527.17,36968
2018-01-08,39.61,39.78,39.24,39.26,4959693,-0.478,-1.21%,39.1115,195532702.48,26318
2018-01-05,39.66,39.79,39.25,39.74,4686523,0.339,0.86%,39.5897,185549709.06,24761
2018-01-04,39.47,39.86,39.37,39.40,3645907,0.279,0.72%,39.251,144082547.69,21565
2018-01-03,38.87,39.18,38.73,39.12,4327329,0.259,0.67%,38.972,168916409.07,20515
2018-01-02,38.80,39.00,38.52,38.86,3326886,0.249,0.65%,38.713,128949106.62,20529
2017-12-29,39.13,39.17,38.60,38.61,3506529,-0.359,-0.92%,38.464,135945811.51,20407
2017-12-28,38.80,39.11,38.74,38.97,3472744,0.369,0.96%,38.8226,135222827.57,21141
2017-12-27,38.71,38.82,38.41,38.60,2607222,-0.11,-0.28%,38.454,100585550.58,16843
2017-12-26,38.70,38.96,38.55,38.71,3130468,-0.06,-0.15%,38.5636,121163846.71,9916
2017-12-22,38.60,38.86,38.27,38.77,4260019,0.169,0.44%,38.6234,164523305.51,23382
2017-12-21,38.17,38.77,38.07,38.60,4162742,0.638,1.69%,38.454,160447058.39,24731
2017-12-20,38.32,38.65,37.92,37.96,3489660,-0.219,-0.58%,37.8164,132836765.93,21568
2017-12-19,38.76,38.85,38.16,38.18,7136985,-0.329,-0.86%,38.0356,274046478.17,35205
2017-12-18,37.78,38.965,37.73,38.51,8723520,1.315,3.55%,38.3644,336071758.61,45403
2017-12-15,37.22,37.60,36.88,37.19,8883521,0.199,0.54%,37.0493,331094051.18,38588
2017-12-14,36.94,37.33,36.84,36.99,5601721,0.349,0.96%,36.8501,207654055.33,34987
2017-12-13,37.40,37.54,36.60,36.64,8078735,-0.717,-1.93%,36.5014,299195199.40,45482
2017-12-12,37.62,37.86,37.36,37.36,7197824,-0.229,-0.61%,37.2187,270291024.15,38855
2017-12-11,37.44,37.70,37.29,37.59,5916793,0.09,0.24%,37.4478,222196368.76,32886
2017-12-08,37.85,37.85,37.165,37.50,7833933,0.159,0.43%,37.3582,293187324.04,36850
2017-12-07,37.16,37.73,37.09,37.34,8103359,-0.05,-0.13%,37.1988,303187395.78,37520
2017-12-06,37.10,37.60,37.04,37.39,5705954,0.08,0.21%,37.2486,213372238.34,32830
2017-12-05,37.60,37.93,37.19,37.31,8227480,-0.139,-0.37%,37.1689,308106521.50,46791
2017-12-04,36.57,38.04,36.57,37.45,14111953,1.504,4.20%,37.3084,527772281.10,75523
2017-12-01,35.79,36.065,34.66,35.94,7336509,0.05,0.14%,35.8041,261990852.17,49705
2017-11-30,35.50,36.45,35.435,35.89,12016633,0.538,1.53%,35.7543,431832775.71,62309
2017-11-29,34.94,35.68,34.885,35.35,11568625,0.857,2.49%,35.2163,408457619.15,61813
2017-11-28,33.22,34.61,33.075,34.49,8612137,1.275,3.85%,34.3596,293945024.83,40717
2017-11-27,33.48,33.50,32.92,33.21,6196285,-0.279,-0.84%,33.0844,205686882.65,29318
2017-11-24,33.73,33.755,33.42,33.49,2372259,-0.179,-0.53%,33.3633,79534687.16,13134
2017-11-22,33.90,33.98,33.50,33.67,4177322,-0.10,-0.30%,33.5427,140857238.42,20782
2017-11-21,33.91,33.99,33.31,33.77,6838202,-0.09,-0.27%,33.6423,229953682.38,32633
2017-11-20,33.86,34.32,33.82,33.86,8232766,0.00,0.00%,33.7319,279854792.78,36397
2017-11-17,33.40,34.0401,33.34,33.86,8665801,0.478,1.44%,33.7319,292778185.71,50678
2017-11-16,33.52,33.86,33.19,33.38,11362732,0.847,2.61%,33.2538,379757081.83,53416
2017-11-15,32.08,32.74,31.85,32.53,6556729,-0.03,-0.09%,32.407,212468449.38,31807
2017-11-14,32.37,32.66,32.26,32.56,3936393,-0.03,-0.09%,32.4369,127991302.73,24619
2017-11-13,32.18,32.63,32.11,32.59,5185287,0.518,1.62%,32.4667,168199152.28,29582
2017-11-10,32.13,32.38,32.045,32.07,2669691,-0.02,-0.06%,31.9487,85775060.10,14494
2017-11-09,31.92,32.21,31.55,32.09,4140332,0.02,0.06%,31.9686,132358928.32,28758
2017-11-08,32.28,32.39,31.79,32.07,4130146,-0.289,-0.90%,31.9487,132264237.43,23904
2017-11-07,32.82,33.02,32.27,32.36,4561456,-0.408,-1.25%,32.2376,148451011.82,25035
2017-11-06,33.00,33.08,32.77,32.77,4144841,-0.339,-1.03%,32.6461,136252591.40,18606
2017-11-03,33.12,33.37,32.90,33.11,4242511,0.04,0.12%,32.9848,140695452.92,27792
2017-11-02,32.80,33.2399,32.465,33.22,6214598,0.387,1.19%,32.9449,204581545.87,35876
2017-11-01,32.71,32.95,32.545,32.83,2934139,0.208,0.64%,32.5582,96124652.93,20597
2017-10-31,32.54,32.82,32.43,32.62,4589305,0.02,0.06%,32.3499,149736075.72,23734
2017-10-30,32.78,33.10,32.51,32.60,3998141,-0.337,-1.03%,32.3301,131013263.27,25152
2017-10-27,32.61,32.97,32.43,32.94,4059277,0.069,0.21%,32.6673,133113540.64,22807
2017-10-26,32.66,32.97,32.60,32.87,5219779,0.481,1.50%,32.5978,171462683.01,20561
2017-10-25,32.38,32.63,32.00,32.385,7238597,-0.263,-0.81%,32.1169,234005505.64,44574
2017-10-24,32.76,32.86,32.27,32.65,4908863,-0.03,-0.09%,32.3797,160219873.84,27139
2017-10-23,33.26,33.33,32.63,32.68,6188226,-0.357,-1.09%,32.4094,203539101.06,32419
2017-10-20,33.41,34.08,32.845,33.04,15400879,1.319,4.19%,32.7664,511062429.92,68775
2017-10-19,31.20,31.87,30.8601,31.71,7787702,0.198,0.63%,31.4474,245782546.30,44505
2017-10-18,31.12,31.55,30.99,31.51,6903778,0.526,1.71%,31.2491,216787514.36,36002
2017-10-17,31.59,31.5953,30.85,30.98,4723587,-0.516,-1.65%,30.7235,146625402.56,24279
2017-10-16,30.99,31.62,30.91,31.50,10557372,0.674,2.21%,31.2392,330929419.04,37087
2017-10-13,30.45,31.24,30.38,30.82,7889857,0.179,0.59%,30.5648,244217749.76,32731
2017-10-12,31.33,31.33,30.48,30.64,6771795,-0.774,-2.48%,30.3863,208385732.05,34732
2017-10-11,31.72,31.83,31.37,31.42,3444158,-0.327,-1.04%,31.1598,108437244.69,21241
2017-10-10,31.50,31.90,31.50,31.75,4867343,0.307,0.99%,31.4871,154567319.97,26873
2017-10-09,31.47,31.69,31.26,31.44,2616838,0.129,0.42%,31.1797,82183584.69,17974
2017-10-06,31.46,31.575,31.19,31.31,4694973,-0.347,-1.11%,31.0508,147164271.42,27667
2017-10-05,31.32,31.665,31.16,31.66,4838914,0.347,1.12%,31.3979,152596653.05,28545
2017-10-04,31.76,31.79,31.26,31.31,4750351,-0.407,-1.29%,31.0508,149549077.57,29137
2017-10-03,31.46,31.885,31.42,31.72,5916553,0.238,0.76%,31.4574,187568829.25,33235
2017-10-02,31.17,31.49,30.92,31.48,4478645,0.426,1.38%,31.2193,140152454.91,28890
2017-09-29,31.19,31.38,30.92,31.05,5255634,-0.139,-0.45%,30.7929,163514110.14,27435
2017-09-28,30.90,31.43,30.88,31.19,7666619,0.248,0.81%,30.9317,239128002.91,47260
2017-09-27,30.24,31.185,30.18,30.94,11194657,0.992,3.34%,30.6838,345547671.77,49107
2017-09-26,29.61,30.04,29.51,29.94,3918596,0.377,1.29%,29.6921,117036640.12,26169
2017-09-25,29.35,29.88,29.31,29.56,6827273,0.089,0.31%,29.3152,202223976.46,38719
2017-09-22,28.86,29.50,28.85,29.47,6320700,0.575,2.01%,29.226,184943846.34,30319
2017-09-21,29.00,29.09,28.7044,28.89,5281836,-0.109,-0.38%,28.6508,152626679.61,29287
2017-09-20,29.20,29.2663,28.90,29.00,6347444,-0.089,-0.31%,28.7599,184322194.91,35708
2017-09-19,29.29,29.48,29.05,29.09,5754324,-0.169,-0.58%,28.8491,168064550.07,28554
2017-09-18,29.11,29.30,28.95,29.26,5682866,0.238,0.83%,29.0177,165697244.77,27020
2017-09-15,28.57,29.21,28.46,29.02,11003615,0.317,1.11%,28.7797,318627190.08,29819
2017-09-14,29.27,29.43,28.67,28.70,7550324,-0.615,-2.11%,28.4624,217973270.83,32792
2017-09-13,29.25,29.57,29.20,29.32,7166697,0.129,0.45%,29.0772,210316599.17,27709
2017-09-12,29.35,29.5699,29.11,29.19,5179802,0.04,0.14%,28.9483,151550320.59,26389
2017-09-11,28.82,29.35,28.65,29.15,6050435,0.595,2.10%,28.9086,175962604.80,38587
2017-09-08,28.63,28.86,28.3286,28.55,8560010,-0.506,-1.75%,28.3136,244947074.39,43115
2017-09-07,30.00,30.00,28.955,29.06,5625159,-0.893,-3.00%,28.8194,164521730.97,32844
2017-09-06,30.05,30.275,29.93,29.96,5911938,0.089,0.30%,29.7119,177679507.04,25978
2017-09-05,30.70,30.75,29.75,29.87,6260221,-1.041,-3.40%,29.6227,187962046.25,36979
2017-09-01,30.78,31.035,30.70,30.92,3076912,0.129,0.42%,30.664,95119214.49,20256
2017-08-31,30.72,30.92,30.62,30.79,5132643,0.129,0.42%,30.5351,158011422.48,29254
2017-08-30,30.10,30.76,30.05,30.66,5629844,0.536,1.79%,30.4061,172015858.08,23701
2017-08-29,30.04,30.20,29.79,30.12,5722722,-0.169,-0.56%,29.8706,171627351.37,26252
2017-08-28,30.74,30.75,30.17,30.29,3713368,-0.248,-0.82%,30.0392,112649485.46,19358
2017-08-25,30.53,30.85,30.44,30.54,2908220,0.079,0.26%,30.2871,88971668.86,20207
2017-08-24,30.49,30.70,30.30,30.46,3220895,0.149,0.49%,30.2078,98283304.76,17196
2017-08-23,30.20,30.57,30.13,30.31,4292320,-0.03,-0.10%,30.059,130478385.47,23921
2017-08-22,30.34,30.465,30.00,30.34,6259800,0.079,0.26%,30.0888,189227237.55,29799
2017-08-21,30.10,30.30,29.95,30.26,4640230,0.188,0.63%,30.0094,139921639.27,25367
2017-08-18,30.19,30.36,29.88,30.07,5534198,-0.03,-0.10%,29.821,166720913.52,29999
2017-08-17,30.87,30.91,30.05,30.10,7398466,-0.764,-2.49%,29.8508,224131496.51,41744
2017-08-16,31.67,31.68,30.82,30.87,7408484,-0.119,-0.39%,30.6144,230927639.63,41636
2017-08-15,30.91,31.13,30.38,30.99,13489294,1.339,4.55%,30.7334,416298646.23,62819
2017-08-14,29.50,30.20,29.40,29.64,5917603,0.436,1.51%,29.3946,176488828.73,35386
2017-08-11,29.34,29.395,28.96,29.20,6667952,-0.119,-0.41%,28.9582,194402273.53,32494
2017-08-10,30.07,30.09,28.93,29.32,9816244,-0.922,-3.07%,29.0772,288871780.56,54036
2017-08-09,30.48,30.56,30.13,30.25,5204224,-0.466,-1.53%,29.9995,157501639.55,30183
2017-08-08,30.34,31.41,30.34,30.72,8043165,0.317,1.05%,30.4656,248526342.49,40079
2017-08-07,29.88,30.515,29.77,30.40,5164241,0.526,1.77%,30.1483,156603645.91,31594
2017-08-04,30.17,30.32,29.80,29.87,7284103,-0.04,-0.13%,29.6227,218486662.20,24425
2017-08-03,29.90,30.40,29.79,29.91,6989317,-0.00,-0.00%,29.6623,210413765.71,39802
2017-08-02,29.93,30.185,29.78,30.06,6298118,0.00,0.00%,29.6623,189001067.01,26324
2017-08-01,29.93,30.185,29.78,30.06,6297940,-0.257,-0.86%,29.6623,188995725.38,26323
2017-07-31,30.06,30.48,30.06,30.32,12946027,0.375,1.27%,29.9189,392666449.83,42269
2017-07-28,30.19,30.27,29.84,29.94,8419178,-0.395,-1.32%,29.5439,252347239.21,34997
2017-07-27,30.59,30.63,30.125,30.34,6599655,-0.227,-0.75%,29.9386,200375550.68,29152
2017-07-26,31.07,31.09,30.53,30.57,6270366,-0.316,-1.04%,30.1656,192942447.49,28850
2017-07-25,30.98,31.20,30.71,30.89,5911593,0.148,0.49%,30.4814,182694583.49,29455
2017-07-24,30.80,31.12,30.53,30.74,5999767,-0.128,-0.42%,30.3334,184666612.50,31813
2017-07-21,31.49,31.90,30.12,30.87,11172344,1.322,4.54%,30.4616,343076239.30,56200
2017-07-20,29.42,29.74,29.19,29.53,5706991,0.02,0.07%,29.1394,168422190.19,34045
2017-07-19,29.45,29.61,29.24,29.51,5228496,0.178,0.61%,29.1196,153804873.46,22582
2017-07-18,29.43,29.565,29.17,29.33,4653406,-0.316,-1.08%,28.942,136332394.47,28440
2017-07-17,29.48,29.845,29.22,29.65,3948445,0.168,0.58%,29.2578,117178199.69,23213
2017-07-14,29.15,29.635,29.06,29.48,4252680,0.118,0.41%,29.09,125163487.13,26683
2017-07-13,29.21,29.705,29.21,29.36,4742338,0.03,0.10%,28.9716,139743099.83,26695
2017-07-12,29.10,29.35,28.89,29.33,3924898,0.227,0.79%,28.942,114564762.22,24763
2017-07-11,29.16,29.16,28.80,29.10,7745356,-0.03,-0.10%,28.715,224836616.57,43820
2017-07-10,29.67,29.70,29.085,29.13,5717614,-0.562,-1.92%,28.7447,167248134.11,29260
2017-07-07,29.54,29.84,29.40,29.70,3595756,0.316,1.09%,29.3071,106712976.77,20415
2017-07-06,29.80,29.80,29.29,29.38,4040153,-0.395,-1.34%,28.9913,119110279.73,23507
2017-07-05,30.17,30.26,29.74,29.78,4380623,-0.276,-0.93%,29.3861,130779298.65,27050
2017-07-03,30.06,30.37,29.95,30.06,2315274,0.237,0.80%,29.6623,69771346.92,14813
2017-06-30,29.78,29.96,29.47,29.82,4782940,0.266,0.91%,29.4255,142348540.19,25109
2017-06-29,30.25,30.54,29.315,29.55,10081553,-0.247,-0.84%,29.1591,299404350.32,46542
2017-06-28,29.67,30.10,29.59,29.80,10205769,0.355,1.22%,29.4058,304486362.56,31032
2017-06-27,29.75,29.80,29.42,29.44,6395732,-0.237,-0.81%,29.0506,189031468.32,37905
