date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,166.31,168.41,165.82,167.89,1579965,1.48,0.89%,167.89,264584722.92,11936
2018-03-09,164.36,167.62,163.84,166.41,1684033,3.06,1.87%,166.41,280330972.04,14818
2018-03-08,163.44,164.62,162.66,163.35,1250773,0.36,0.22%,163.35,204528552.29,10737
2018-03-07,161.24,163.65,161.11,162.99,1096537,0.26,0.16%,162.99,178240450.03,9293
2018-03-06,163.25,163.41,161.74,162.73,878450,0.19,0.12%,162.73,142786778.56,9894
2018-03-05,160.00,163.21,159.88,162.54,903004,1.74,1.08%,162.54,146325954.86,9710
2018-03-02,158.30,161.23,158.30,160.80,1108078,1.51,0.95%,160.80,177432592.03,11488
2018-03-01,161.82,162.09,158.21,159.29,1352385,-2.87,-1.77%,159.29,216550445.27,15878
2018-02-28,165.17,165.87,162.10,162.16,1357995,-1.96,-1.19%,162.16,222323844.52,12939
2018-02-27,166.09,166.76,164.12,164.12,1196687,-1.65,-1.00%,164.12,197602353.30,13247
2018-02-26,163.15,165.975,162.95,165.77,1788941,4.07,2.52%,165.77,295415485.79,16795
2018-02-23,159.64,161.75,158.89,161.70,983059,2.74,1.72%,161.70,158137536.80,9445
2018-02-22,158.84,160.53,158.18,158.96,811520,1.08,0.68%,158.96,129356873.92,8828
2018-02-21,158.79,160.71,157.77,157.88,1428564,-0.86,-0.54%,157.88,226860618.89,11597
2018-02-20,159.14,159.9217,157.77,158.74,1118896,-1.13,-0.71%,158.74,177735459.23,10310
2018-02-16,158.23,161.31,158.1801,159.87,1065280,1.33,0.84%,159.87,170211774.26,9944
2018-02-15,157.41,158.59,156.13,158.54,1160957,2.30,1.47%,158.54,183363238.93,10763
2018-02-14,153.70,156.78,153.33,156.24,1792185,1.68,1.09%,156.24,278847024.76,14806
2018-02-13,152.61,155.01,152.30,154.56,950036,0.90,0.59%,154.56,146324671.07,8743
2018-02-12,152.50,154.77,152.02,153.66,1568564,2.44,1.61%,153.66,240856959.69,14818
2018-02-09,149.27,152.482,146.80,151.22,1550126,3.21,2.17%,151.22,231932416.03,16047
2018-02-08,153.67,154.36,147.92,148.01,1654154,-5.66,-3.68%,148.01,248715113.45,15687
2018-02-07,153.60,156.76,153.27,153.67,1607912,-0.47,-0.30%,153.67,248927762.70,17518
2018-02-06,150.71,155.43,150.33,154.14,2754391,-0.26,-0.17%,154.14,421165303.81,29102
2018-02-05,161.45,162.67,152.01,154.40,2575970,-7.85,-4.84%,154.40,406486757.41,24337
2018-02-02,163.81,164.54,162.04,162.25,1240948,-2.53,-1.54%,162.25,202506655.73,11987
2018-02-01,163.85,165.27,163.29,164.78,1495762,0.40,0.24%,164.78,245971147.49,15904
2018-01-31,168.11,168.11,163.45,164.38,2846461,-4.07,-2.42%,164.38,469995266.75,23392
2018-01-30,167.48,168.635,166.31,168.45,2171803,-0.30,-0.18%,168.45,364678044.47,17822
2018-01-29,168.78,170.00,168.30,168.75,1558083,-0.16,-0.09%,168.75,263229015.85,13900
2018-01-26,165.65,169.01,165.29,168.91,1310187,3.36,2.03%,168.91,219959367.49,12645
2018-01-25,165.16,165.71,164.23,165.55,1009727,1.06,0.64%,165.55,166821222.37,10950
2018-01-24,162.84,164.98,162.63,164.49,1332331,2.55,1.57%,164.49,218939588.34,13851
2018-01-23,162.58,163.65,161.74,161.94,1103532,-0.58,-0.36%,161.94,179318262.40,10453
2018-01-22,161.30,162.66,160.63,162.52,1354660,1.24,0.77%,162.52,219612534.69,10106
2018-01-19,161.02,161.84,160.30,161.28,1196712,1.00,0.62%,161.28,192887481.00,8998
2018-01-18,160.09,160.82,159.94,160.28,1364235,0.01,0.01%,160.28,218721932.70,12996
2018-01-17,160.00,160.46,159.05,160.27,1299743,0.80,0.50%,160.27,207934097.80,12639
2018-01-16,159.36,160.90,158.845,159.47,1369579,1.24,0.78%,159.47,218691349.32,11758
2018-01-12,159.00,161.75,158.03,158.23,1138974,-0.37,-0.23%,158.23,180556568.63,10580
2018-01-11,159.57,160.26,157.85,158.60,1129590,-0.94,-0.59%,158.60,179112621.66,11876
2018-01-10,160.40,160.90,157.71,159.54,1255027,-1.24,-0.77%,159.54,199945787.40,13204
2018-01-09,163.54,164.20,159.26,160.78,1817411,-2.48,-1.52%,160.78,292256083.66,17587
2018-01-08,160.68,163.74,160.45,163.26,1240260,2.20,1.37%,163.26,201969611.35,10704
2018-01-05,159.44,161.32,159.015,161.06,962735,2.32,1.46%,161.06,154451966.92,9341
2018-01-04,159.23,159.82,158.475,158.74,862436,-0.05,-0.03%,158.74,137054402.45,9181
2018-01-03,157.88,160.32,157.41,158.79,1398730,0.89,0.56%,158.79,222615792.12,14308
2018-01-02,156.65,158.40,155.65,157.90,1060784,3.06,1.98%,157.90,167090007.01,10785
2017-12-29,156.13,156.26,154.84,154.84,785694,-0.78,-0.50%,154.84,121965270.57,7095
2017-12-28,155.33,156.25,154.98,155.62,655703,0.47,0.30%,155.62,102013667.53,6812
2017-12-27,154.64,155.86,154.16,155.62,905441,1.406,0.91%,155.15,140691659.14,8529
2017-12-26,154.23,155.14,154.1475,154.21,347507,0.07,0.05%,153.7443,53687484.09,4337
