date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,37.05,37.565,37.04,37.36,22305006,0.31,0.84%,37.36,834245165.22,88952
2018-03-09,37.17,37.22,36.82,37.05,18820270,-0.06,-0.16%,37.05,696236165.01,73525
2018-03-08,36.91,37.11,36.56,37.11,19766286,0.20,0.54%,37.11,728460339.50,77333
2018-03-07,36.59,37.025,36.56,36.91,18485992,0.04,0.11%,36.91,680906060.11,77651
2018-03-06,36.83,36.90,36.50,36.87,17462057,0.17,0.46%,36.87,641841862.98,71812
2018-03-05,36.20,36.82,36.10,36.70,19298996,0.35,0.96%,36.70,706391713.38,74262
2018-03-02,36.00,36.40,35.95,36.35,21364000,0.35,0.97%,36.35,774213371.51,91037
2018-03-01,36.31,36.75,35.865,36.00,28548902,-0.30,-0.83%,36.00,1032732491.67,120721
2018-02-28,37.18,37.18,36.30,36.30,29281673,-0.57,-1.55%,36.30,1071810282.85,89174
2018-02-27,37.42,37.64,36.87,36.87,21420614,-0.59,-1.58%,36.87,797575141.68,99172
2018-02-26,36.93,37.51,36.81,37.46,19871434,0.74,2.02%,37.46,739590430.97,76570
2018-02-23,36.55,36.75,36.29,36.72,17446314,0.25,0.69%,36.72,638084750.70,67766
2018-02-22,36.47,36.99,36.41,36.47,18537517,0.16,0.44%,36.47,680226215.18,83201
2018-02-21,36.77,37.0388,36.28,36.31,20792614,-0.46,-1.25%,36.31,762213356.82,81797
2018-02-20,36.88,37.09,36.67,36.77,22071534,-0.37,-1.00%,36.77,813137560.67,85783
2018-02-16,36.98,37.39,36.8601,37.14,19901638,0.14,0.38%,37.14,739887614.09,83660
2018-02-15,36.47,37.00,36.23,37.00,27507162,0.59,1.62%,37.00,1008708150.88,89913
2018-02-14,36.40,36.769,36.11,36.41,24834221,-0.19,-0.52%,36.41,905745910.37,95394
2018-02-13,36.29,36.71,35.97,36.60,22877170,0.23,0.63%,36.60,832506576.15,93560
2018-02-12,36.33,36.60,35.97,36.37,27750742,0.32,0.89%,36.37,1008540665.38,112052
2018-02-09,35.83,36.35,35.03,36.05,50218426,0.48,1.35%,36.05,1790934805.03,245665
2018-02-08,36.89,36.95,35.57,35.57,45743025,-1.36,-3.68%,35.57,1651372330.51,188829
2018-02-07,36.81,37.45,36.74,36.93,35634519,0.10,0.27%,36.93,1325015852.16,149541
2018-02-06,36.08,37.07,35.50,36.83,62905300,0.20,0.55%,36.83,2288656291.91,268403
2018-02-05,37.81,38.31,36.63,36.63,45595537,-1.44,-3.78%,36.63,1708185954.68,197151
2018-02-02,39.03,39.04,37.81,38.07,46098657,-1.09,-2.78%,38.07,1764571630.14,167921
2018-02-01,38.51,39.29,38.401,39.16,59963826,1.71,4.57%,39.16,2341891601.79,227699
2018-01-31,37.42,37.9248,37.33,37.45,41422384,0.01,0.03%,37.45,1558282954.42,123228
2018-01-30,37.36,37.80,37.30,37.44,29883171,0.18,0.48%,37.44,1122224326.10,89262
2018-01-29,37.13,37.68,36.98,37.26,30879645,-0.56,-1.48%,37.26,1153073643.34,104228
2018-01-26,37.46,37.82,37.36,37.82,21608455,0.37,0.99%,37.82,813232302.38,66177
2018-01-25,37.09,37.45,36.84,37.45,23400305,0.43,1.16%,37.45,872458024.63,83714
2018-01-24,37.29,37.385,36.98,37.02,28567810,-0.17,-0.46%,37.02,1060611256.57,95564
2018-01-23,37.95,38.22,37.03,37.19,33035978,-0.68,-1.80%,37.19,1232744919.13,107723
2018-01-22,37.20,37.90,36.98,37.87,31660644,0.66,1.77%,37.87,1191725826.51,99346
2018-01-19,37.37,37.37,36.94,37.21,27919839,0.06,0.16%,37.21,1037108440.94,92882
2018-01-18,36.84,37.38,36.81,37.15,27661060,0.30,0.81%,37.15,1026432811.61,88718
2018-01-17,36.77,36.95,36.485,36.85,22050208,0.13,0.35%,36.85,810511887.67,77001
2018-01-16,36.90,37.02,36.54,36.72,24727605,-0.18,-0.49%,36.72,908936810.04,78087
2018-01-12,36.48,36.99,36.32,36.90,31182186,0.42,1.15%,36.90,1145266873.50,92978
2018-01-11,36.67,36.77,36.37,36.48,41400305,-0.14,-0.38%,36.48,1513104060.38,121852
2018-01-10,37.39,37.39,36.54,36.62,41078627,-0.87,-2.32%,36.62,1512118432.00,127683
2018-01-09,37.63,37.99,37.48,37.49,28061066,-0.26,-0.69%,37.49,1057401971.64,92058
2018-01-08,38.15,38.48,37.85,38.25,26643949,0.109,0.29%,37.75,1017525484.88,81943
2018-01-05,38.14,38.16,37.80,38.14,22194851,0.138,0.37%,37.6414,843146411.64,77953
2018-01-04,37.75,38.19,37.26,38.00,27865665,0.345,0.93%,37.5033,1054707450.67,102638
2018-01-03,38.47,38.49,37.53,37.65,39162458,-0.878,-2.31%,37.1578,1482628587.38,138337
2018-01-02,39.06,39.06,38.36,38.54,32195623,-0.336,-0.87%,38.0362,1241065961.09,102667
2017-12-29,39.22,39.32,38.88,38.88,26479899,-0.296,-0.77%,38.3718,1032657937.62,64789
2017-12-28,39.00,39.20,38.88,39.18,15627434,0.286,0.75%,38.6678,610843858.74,66115
2017-12-27,39.08,39.14,38.71,38.89,16339334,-0.168,-0.44%,38.3816,636011533.37,55515
2017-12-26,38.95,39.325,38.95,39.06,13578192,0.118,0.31%,38.5494,531213318.91,54569
2017-12-22,38.77,39.11,38.70,38.94,19960503,0.059,0.15%,38.431,775988945.86,67190
2017-12-21,38.59,39.29,38.471,38.88,31981720,0.326,0.86%,38.3718,1245265771.33,89993
2017-12-20,38.28,38.84,38.18,38.55,26968863,0.493,1.31%,38.0461,1040976051.27,98181
2017-12-19,38.50,38.6785,38.03,38.05,29181805,-0.405,-1.07%,37.5526,1117007095.34,85406
2017-12-18,38.51,38.89,38.385,38.46,31497249,0.217,0.58%,37.9573,1214130945.64,99875
2017-12-15,38.08,38.29,37.93,38.24,46808578,0.493,1.32%,37.7401,1787667900.27,90541
2017-12-14,37.835,38.1556,37.68,37.74,34286518,-0.296,-0.79%,37.2467,1297954368.36,90362
2017-12-13,38.01,38.19,37.37,38.04,39671434,-0.059,-0.16%,37.5427,1502752848.79,143881
2017-12-12,37.03,38.17,36.98,38.10,46399912,1.184,3.25%,37.602,1753667134.87,159690
2017-12-11,36.65,36.94,36.52,36.90,23666709,0.168,0.46%,36.4176,870148044.13,79746
2017-12-08,36.16,36.75,36.15,36.73,25507428,0.553,1.55%,36.2499,931360778.91,88513
2017-12-07,36.13,36.40,35.81,36.17,24529301,0.059,0.17%,35.6972,888746639.53,93464
2017-12-06,36.41,36.45,36.025,36.11,31172158,-0.434,-1.20%,35.638,1127541967.46,120005
2017-12-05,37.20,37.29,36.52,36.55,33055388,-0.711,-1.93%,36.0722,1216078801.06,131291
2017-12-04,36.795,37.54,36.75,37.27,40482422,0.76,2.11%,36.7828,1511354347.57,152891
2017-12-01,36.35,36.75,35.925,36.50,31437115,0.118,0.33%,36.0229,1144355815.33,132484
2017-11-30,36.50,36.90,36.025,36.38,49831258,-0.099,-0.27%,35.9044,1817454810.73,154250
2017-11-29,35.48,36.55,35.41,36.48,53178129,1.046,2.99%,36.0031,1929552829.57,204695
2017-11-28,34.56,35.54,34.56,35.42,34450425,0.73,2.13%,34.957,1210140423.48,106978
2017-11-27,34.84,35.01,34.55,34.68,26793427,-0.128,-0.37%,34.2267,930669633.26,90570
2017-11-24,34.87,34.95,34.74,34.81,9203078,-0.059,-0.17%,34.355,320658732.98,40691
2017-11-22,34.28,34.91,34.20,34.87,26453909,0.533,1.57%,34.4142,918906660.12,95282
2017-11-21,34.60,34.75,34.29,34.33,35417001,-0.306,-0.89%,33.8812,1221365798.33,147872
2017-11-20,34.55,34.90,34.44,34.64,31264652,0.128,0.38%,34.1872,1082933197.94,105073
2017-11-17,34.43,34.88,34.35,34.51,36967216,-0.01,-0.03%,34.0589,1279849193.74,110727
2017-11-16,33.86,34.66,33.81,34.52,39966218,0.701,2.10%,34.0688,1371945623.94,154716
