date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,81.25,81.96,80.57,80.96,1534932,-0.13,-0.16%,80.96,124285114.05,12978
2018-03-09,80.76,81.14,80.31,81.09,1812607,0.54,0.67%,81.09,146504190.98,15416
2018-03-08,78.69,80.69,78.54,80.55,2372339,2.29,2.93%,80.55,190255981.96,13846
2018-03-07,78.01,78.46,77.74,78.26,1151147,-0.53,-0.67%,78.26,89928858.39,10607
2018-03-06,78.34,78.91,77.82,78.79,1931208,0.76,0.97%,78.79,151841339.08,11888
2018-03-05,78.09,78.56,76.88,78.03,2339387,-0.31,-0.40%,78.03,182259509.99,16695
2018-03-02,76.62,78.40,76.311,78.34,1982352,1.91,2.50%,78.34,154100935.77,16778
2018-03-01,76.55,77.52,75.8575,76.84,2203112,0.587,0.77%,76.43,168960199.68,17988
2018-02-28,77.02,77.07,75.97,76.25,1939149,-0.328,-0.43%,75.8431,148217221.05,14321
2018-02-27,77.78,78.165,76.57,76.58,1301849,-1.343,-1.73%,76.1714,100427251.18,11414
2018-02-26,78.78,79.48,76.73,77.93,1637416,-0.726,-0.93%,77.5142,127091589.48,13098
2018-02-23,78.64,78.97,77.46,78.66,1387559,0.209,0.27%,78.2403,108973401.61,8901
2018-02-22,78.95,79.74,78.00,78.45,2067572,-0.298,-0.38%,78.0314,162685310.79,12754
2018-02-21,79.64,80.36,78.72,78.75,1814880,-0.995,-1.25%,78.3298,143948873.26,14888
2018-02-20,81.06,81.27,79.71,79.75,1688130,-1.711,-2.11%,79.3245,135532447.21,11693
2018-02-16,81.71,82.29,80.89,81.47,1706587,-0.269,-0.33%,81.0353,139288949.89,14949
2018-02-15,80.49,81.86,79.15,81.74,2085987,1.283,1.60%,81.3038,168605016.20,18460
2018-02-14,77.25,80.69,77.00,80.45,3886394,4.725,6.27%,80.0207,307545133.29,29324
2018-02-13,75.62,76.09,74.11,75.70,1669864,-0.07,-0.09%,75.2961,125957449.10,14408
2018-02-12,75.53,76.68,75.16,75.77,1989488,1.552,2.10%,75.3657,151362091.30,16388
2018-02-09,74.84,75.27,72.71,74.21,2405149,-0.298,-0.40%,73.814,177781374.58,20118
2018-02-08,76.79,76.89,74.50,74.51,2568779,-1.641,-2.17%,74.1124,194007023.70,19568
2018-02-07,77.61,78.21,75.79,76.16,2525070,-1.81,-2.33%,75.7536,193494187.47,22363
2018-02-06,76.98,78.4797,76.76,77.98,2208667,0.298,0.39%,77.5639,171688922.56,21407
2018-02-05,80.44,81.58,77.35,77.68,1763517,-3.362,-4.17%,77.2655,138842162.51,16212
2018-02-02,82.96,83.09,80.80,81.06,1242601,-2.477,-2.98%,80.6275,101054245.50,10323
2018-02-01,83.85,83.91,83.11,83.55,759700,-0.467,-0.56%,83.1042,63419838.81,6096
