date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,105.62,105.89,104.59,105.24,1430441,-0.51,-0.48%,105.24,150644060.21,10090
2018-03-09,103.32,105.79,103.13,105.75,1497373,2.92,2.84%,105.75,157262195.28,10863
2018-03-08,102.65,102.92,102.02,102.83,1544246,0.66,0.65%,102.83,158370744.61,11582
2018-03-07,100.82,102.42,100.61,102.17,2248281,0.24,0.24%,102.17,228092599.52,16409
2018-03-06,102.15,102.79,101.58,101.93,993248,0.34,0.33%,101.93,101317334.95,10112
2018-03-05,101.00,102.06,99.58,101.59,1654583,0.21,0.21%,101.59,167396271.70,10969
2018-03-02,99.31,101.53,98.93,101.38,1397106,1.30,1.30%,101.38,140507248.00,12304
2018-03-01,103.02,103.45,99.929,100.08,2264686,-3.01,-2.92%,100.08,228791314.05,20407
2018-02-28,104.58,105.34,103.06,103.09,1456791,-1.30,-1.25%,103.09,151483392.38,9790
2018-02-27,104.39,106.00,104.31,104.39,1380298,-0.05,-0.05%,104.39,144847271.26,12802
2018-02-26,102.91,104.60,102.48,104.44,1179043,2.17,2.12%,104.44,122598081.97,10497
2018-02-23,101.68,102.32,101.32,102.27,759198,1.25,1.24%,102.27,77321120.84,7567
2018-02-22,102.02,102.175,100.72,101.02,1355496,-0.75,-0.74%,101.02,137325526.13,12439
2018-02-21,102.84,104.16,102.15,102.17,1384828,-0.339,-0.33%,101.77,142508578.09,13099
2018-02-20,101.46,103.2226,101.20,102.51,1264063,0.408,0.40%,102.1087,129600360.93,12798
2018-02-16,101.13,102.83,100.59,102.10,1706916,0.697,0.69%,101.7003,174247587.38,12618
2018-02-15,100.37,101.42,99.81,101.40,1470340,1.654,1.66%,101.003,148061128.06,13196
2018-02-14,98.02,99.98,97.985,99.74,1512900,0.946,0.96%,99.3495,150353510.36,15059
2018-02-13,98.02,99.12,97.80,98.79,1087032,0.09,0.09%,98.4032,107207630.94,12264
2018-02-12,97.25,99.27,96.91,98.70,2201810,2.291,2.39%,98.3136,216814430.31,19478
2018-02-09,96.27,97.24,92.48,96.40,2892536,1.126,1.19%,96.0226,275282277.98,28281
2018-02-08,99.73,99.97,95.19,95.27,1887700,-4.323,-4.36%,94.897,183983415.74,18873
2018-02-07,98.86,101.60,98.42,99.61,1996806,0.468,0.47%,99.22,200376984.10,17671
2018-02-06,97.14,99.91,96.00,99.14,3189465,0.418,0.43%,98.7519,312455332.73,28567
2018-02-05,101.20,103.06,98.72,98.72,2188977,-3.446,-3.39%,98.3335,220557141.57,18779
2018-02-02,103.32,104.14,102.05,102.18,2801881,-1.594,-1.54%,101.78,287921543.73,19018
2018-02-01,102.28,104.52,102.19,103.78,1939346,1.245,1.22%,103.3737,201088411.04,16353
2018-01-31,102.90,103.07,102.0501,102.53,2907350,0.199,0.20%,102.1286,298551730.28,21258
2018-01-30,103.18,103.30,102.10,102.33,1941268,-1.544,-1.49%,101.9294,199093924.37,14306
2018-01-29,103.50,105.23,103.50,103.88,2693861,-0.468,-0.45%,103.4733,280898705.59,20484
2018-01-26,103.25,105.06,102.73,104.35,2321353,1.703,1.67%,103.9415,242206712.84,17229
2018-01-25,102.79,105.48,102.27,102.64,2643995,0.249,0.24%,102.2382,273489681.72,22100
2018-01-24,108.10,108.23,102.18,102.39,4131417,1.683,1.68%,101.9891,430516171.75,33314
